question_text,Option A,Option B,Option C,Option D,correct_option,explanation,subject,topic / subtopic tag
11. সংযুক্ত আৰব আমিৰাত (UAE)-ৰ মুদ্ৰা কি?,ৰুবল,দিনাৰ,দিৰহাম,শ্বেকেল,C,The official currency of the UAE is the UAE dirham (AED). Hence C.,Assam GK,World GK / Currencies
12. নৰনাৰায়ণ সেতু কোন দুটা ঠাইৰ মাজত অৱস্থিত?,তেজপুৰ আৰু কলিয়াবৰ,নগাঁও আৰু যোৰহাট,যোগীঘোপা আৰু পঞ্চৰত্ন,ডিব্ৰুগড় আৰু ধেমাজি,C,The Naranarayan Setu connects Jogighopa and Pancharatna across the Brahmaputra. Hence C.,Assam GK,Rivers & Bridges of Assam
13. আহোম ৰাজ্যৰ শেষ ৰজা কোন আছিল?,চন্দ্ৰকান্ত সিংহ,যোগেশ্বৰ সিংহ,কমলেশ্বৰ সিংহ,পুৰন্দৰ সিংহ,D,"Purandar Singha was the last Ahom king, ruling in the final phase of Ahom sovereignty. Hence D.",Assam GK,Ahom Kingdom / Last King
14. লক্ষ্মীনাথ বেজবৰুৱাৰ ‘অ’ মোৰ আপোনাৰ দেশ’ কবিতাটো প্ৰথমে ক’ত প্ৰকাশ পাইছিল?,বাঁহী,অৰুণোদই,জোনবিৰি,জোনাকী,D,The poem 'O Mor Apunar Desh' was first published in the Assamese literary journal Jonaki. Hence D.,Assam GK,Assamese Literature / Jonaki
15. বেংকক কোন দেশৰ ৰাজধানী?,দক্ষিণ কোৰিয়া,ফিলিপাইনছ,ইণ্ডোনেছিয়া,থাইলেণ্ড,D,Bangkok is the capital of Thailand. Hence D.,Assam GK,World Geography / Capitals
16. গোপীনাথ বৰদলৈৰ পিছত অসমত মুখ্যমন্ত্ৰী কোন হৈছিল?,বিমলা প্ৰসাদ চলিহা,শৰতচন্দ্ৰ সিংহ,বিষ্ণুৰাম মেধি,গোলাপ বৰবৰা,C,Bishnuram Medhi succeeded Gopinath Bordoloi as Chief Minister of Assam in 1950. Hence C.,Assam GK,Assam Polity / Chief Ministers
17. অসমৰ প্ৰথম চিকিৎসা মহাবিদ্যালয় ক’ত স্থাপন কৰা হৈছিল?,যোৰহাট,গুৱাহাটী,শিলচৰ,ডিব্ৰুগড়,D,"The first medical college of Assam was established at Dibrugarh, now Assam Medical College. Hence D.",Assam GK,Assam Education / Medical Institutions
18. তলৰ কোনখন ঠাই নতুন দিল্লীৰ ওচৰত অৱস্থিত?,গুৰুগ্ৰাম,নন্দীগ্ৰাম,ছেকেন্দ্ৰাবাদ,ধানবাদ,A,Gurugram (formerly Gurgaon) is adjacent to New Delhi and forms part of the National Capital Region. Hence A.,Assam GK,Assam Polity / High Court
19. কোন দেশৰ সংবিধানৰ পৰা ভাৰতীয় সংবিধানৰ সংসদীয় শাসনব্যৱস্থা মূলতঃ অনুপ্ৰাণিত?,জাপান,আমেৰিকা,কানাডা,ইংলেণ্ড,D,India adopted the parliamentary form of government mainly from the British/English constitutional system. Hence D.,Assam GK,Indian Polity / Sources of Constitution
20. ভাৰত আৰু শ্ৰীলংকাৰ মাজত কোনটো জলপ্ৰণালী আছে?,মালাক্কা প্ৰণালী,বেৰিং প্ৰণালী,পল্ক প্ৰণালী,হাডছন প্ৰণালী,C,The Palk Strait separates India from Sri Lanka. Hence C.,Assam GK,Geography / Straits
21. তলৰ কোনখন ভাৰতৰ সমুদ্ৰতীৰৱৰ্তী চহৰ নহয়?,বেংগালুৰু,চেন্নাই,মুম্বাই,কোচিন,A,"Bengaluru is inland in Karnataka, while Chennai, Mumbai and Kochi are coastal cities. Hence A.",Assam GK,Indian Geography / Coastal Cities
22. তলৰ কোনখন যান NHAI FASTag টোলৰ পৰা ৰেহাই পায়?,এম্বুলেন্স,পেট্ৰ’লিয়াম টেংকাৰ,জ্যেষ্ঠ নাগৰিকৰ ব্যক্তিগত যান,প্ৰতিৰক্ষা কৰ্মীৰ ব্যক্তিগত যান,A,Ambulances are among the exempt emergency vehicles under the toll exemption rules. Hence A.,Assam GK,Current Affairs / FASTag
23. অসমৰ প্ৰথম আধুনিক থিয়েটাৰ হল ‘বান থিয়েটাৰ’ ক’ত অৱস্থিত?,গুৱাহাটী,যোৰহাট,তেজপুৰ,নগাঁও,B,"The Baan Theatre, regarded as Assam's first modern theatre hall, is located in Jorhat. Hence B.",Assam GK,Assam Culture / Theatre
24. তলৰ কোনখন দেশ দক্ষিণ আমেৰিকাত অৱস্থিত?,ছোমালিয়া,বলিভিয়া,টাছমেনিয়া,কম্বোডিয়া,B,Bolivia is a landlocked country in South America. Hence B.,Assam GK,World Geography / Continents
25. কণকলতা বৰুৱা ভাৰতৰ স্বাধীনতা সংগ্ৰামৰ কোন আন্দোলনত শ্বহীদ হৈছিল?,অসহযোগ আন্দোলন,ভাৰত ত্যাগ আন্দোলন,চিপাহী বিদ্ৰোহ,আইন অমান্য আন্দোলন,B,Kanaklata Barua was martyred in 1942 during the Quit India Movement. Hence B.,Assam GK,Indian Freedom Movement / Quit India
26. মহাকাশলৈ যোৱা প্ৰথম ভাৰতীয় কোন?,কল্পনা চাওলা,বিক্ৰম সাৰাভাই,ৰাকেশ শৰ্মা,ইউৰি গাগাৰিন,C,Rakesh Sharma became the first Indian citizen to travel to space in 1984 aboard Soyuz T-11. Hence C.,General Science,Space Science / Indian Astronauts
27. অসম ৰাজ্যিক সংগ্ৰহালয় ক’ত অৱস্থিত?,মাজুলী,গুৱাহাটী,নগাঁও,কোহিমা,B,The Assam State Museum is located in Guwahati. Hence B.,Assam GK,Assam Culture / Museums
28. তলৰ কোনজন অসমৰ নৱনিযুক্ত কেবিনেট মন্ত্ৰী আছিল?,পীযুষ হাজৰিকা,জয়ন্ত মল্ল বৰুৱা,ৰণোজ পেগু,অজন্তা নেওগ,C,"Among the listed names, Ranoj Pegu was identified as a newly inducted cabinet minister in the context of the 2021 Assam ministry. Hence C.",Assam GK,Assam Polity / Council of Ministers
29. ভাৰতত দূৰদৰ্শনে ৰঙীন টেলিভিছন অনুষ্ঠান কোন বছৰত আৰম্ভ কৰিছিল?,১৯৯১,১৯৮৫,১৯৮০,১৯৮২,D,"Doordarshan introduced colour television in India in 1982, around the Asian Games. Hence D.",Assam GK,Science & Technology / Television
30. Boeing কোম্পানীৰ প্ৰধান উৎপাদন কি?,বিমান,ব্ৰেকফাষ্ট চিৰিয়েল,জোতা,ঔষধ,A,Boeing is primarily an aerospace manufacturer known for aircraft and related aerospace systems. Hence A.,General Science,Technology / Aerospace
31. তলৰ কোনটো মৌল নহয়?,টিন,পাৰা,আয়’ডিন,কোৱাৰ্টজ,D,"Quartz is silicon dioxide (SiO₂), a mineral compound, not an element. Tin, mercury and iodine are elements.",General Science,Chemistry / Elements
32. তলৰ কোনটো খেলত বল ব্যৱহাৰ কৰা নহয়?,গল্ফ,লন টেনিছ,টেবুল টেনিছ,বেডমিণ্টন,D,Badminton is played with a shuttlecock rather than a ball. The other three listed sports use balls.,General Science,Sports / General Knowledge
33. প্ৰতি বছৰে ৮ মে’ত কোনটো দিৱস পালন কৰা হয়?,বিশ্ব পৰিৱেশ দিৱস,বিশ্ব ধঁপাতবিৰোধী দিৱস,শ্ৰমিক দিৱস,বিশ্ব ৰেড ক্ৰছ আৰু ৰেড ক্ৰেছেণ্ট দিৱস,D,"May 8 is World Red Cross and Red Crescent Day, commemorating the humanitarian movement.",Assam GK,Important Days / May 8
34. ১৯৯৪ চনত Government Service শাখাত Ramon Magsaysay Award কাক প্ৰদান কৰা হৈছিল?,অৰবিন্দ কেজৰিৱাল,টি. এন. শেষন,কিৰণ বেদী,চিন্তামণি ডি. দেশমুখ,B,"T. N. Seshan received the Ramon Magsaysay Award for Government Service in 1994, particularly for electoral reforms.",Assam GK,Awards / Ramon Magsaysay Award
35. ভাৰতৰ প্ৰথম কৃত্ৰিম উপগ্ৰহ কোনটো?,ভাস্কৰা,ৰোহিণী,আৰ্যভট্ট,INSAT-IA,C,"Aryabhata was India's first artificial satellite, launched in 1975. Hence C.",General Science,Space Science / Satellites
36. কোন দেশত ‘টকা’ মুদ্ৰা হিচাপে ব্যৱহাৰ কৰা হয়?,নেপাল,পাকিস্তান,কম্বোডিয়া,বাংলাদেশ,D,The taka is the official currency of Bangladesh. Hence D.,Assam GK,World GK / Currencies
37. ভাৰতলৈ হিং (asafoetida) সৰ্বাধিক কোন দেশে ৰপ্তানি কৰে?,স্পেইন,মেক্সিকো,আফগানিস্তান,ৰাছিয়া,C,Afghanistan is the major exporter of asafoetida (hing) to India among the given choices. Hence C.,Assam GK,World Trade / Agricultural Products
38. ভাৰতৰ কোনখন ৰাজ্যৰ পৰ্যটন টেগলাইন ‘God’s Own Country’?,কৰ্ণাটক,জম্মু আৰু কাশ্মীৰ,ৰাজস্থান,কেৰালা,D,Kerala uses the tourism tagline 'God's Own Country'. Hence D.,Assam GK,Indian Geography / Tourism
39. উত্তৰ-পূৰ্বাঞ্চল আৰক্ষী একাডেমী (NEPA) কোন ৰাজ্যত অৱস্থিত?,অসম,মেঘালয়,অৰুণাচল প্ৰদেশ,মণিপুৰ,B,The North Eastern Police Academy is located in Meghalaya. Hence B.,Assam GK,North-East India / Institutions
40. Counter-Insurgency and Jungle Warfare School (CIJWS) মিজোৰামৰ ক’ত অৱস্থিত?,আইজল,লুংলেই,চেৰচিপ,ভাইৰেংটে,D,The Counter-Insurgency and Jungle Warfare School is located at Vairengte in Mizoram. Hence D.,Assam GK,North-East India / Defence Institutions
41. সাংগাই নামৰ প্ৰাণীটো ক’ত পোৱা যায়?,কেইবুল লামজাও ৰাষ্ট্ৰীয় উদ্যান,কাজিৰঙা ৰাষ্ট্ৰীয় উদ্যান,নামদফা ৰাষ্ট্ৰীয় উদ্যান,ন’ক্ৰেক ৰাষ্ট্ৰীয় উদ্যান,A,"The Sangai, or brow-antlered deer, is endemic to Manipur's Keibul Lamjao National Park. Hence A.",Assam GK,Wildlife / National Parks
42. Greater Adjutant Stork সংৰক্ষণৰ বাবে ‘Green Oscar’ নামে পৰিচিত Whitley Award কোনে লাভ কৰিছিল?,পূৰ্ণিমা দেৱী বৰ্মন,যাদৱ পায়েং,বীৰুবালা ৰাভা,ৰোহিত চৌধুৰী,A,Purnima Devi Barman received the Whitley Award for her conservation work on the Greater Adjutant Stork. Hence A.,Assam GK,Environment / Wildlife Conservation
43. Right to Education Act মৌলিক অধিকাৰ হিচাপে কোন অনুচ্ছেদৰ অধীনত প্ৰণয়ন কৰা হৈছিল?,অনুচ্ছেদ ২১(ক),অনুচ্ছেদ ২৫,অনুচ্ছেদ ১৮,অনুচ্ছেদ ২৩,A,Article 21A guarantees free and compulsory education for children aged 6–14 years. Hence A.,Assam GK,Indian Polity / Fundamental Rights
44. অৰ্থশাস্ত্ৰৰ লেখক চাণক্য কোন ৰজাৰ ৰাজসভাত মন্ত্ৰী আছিল?,অশোক,সমুদ্ৰগুপ্ত,চন্দ্ৰগুপ্ত মৌৰ্য,বিন্দুসাৰ,C,"Chanakya (Kautilya) was the chief adviser to Chandragupta Maurya, founder of the Mauryan Empire. Hence C.",Assam GK,Ancient India / Mauryan Empire
45. মহম্মদ বিন তুঘলকৰ শাসনকালত ভাৰত ভ্ৰমণ কৰা পৰ্যটক কোন?,ফা-হিয়েন,হিউৱেন চাং,ভাস্কো-দা-গামা,ইবন বতুতা,D,Ibn Battuta visited India during Muhammad bin Tughlaq's reign and served as a qazi at Delhi. Hence D.,Assam GK,Medieval India / Travellers
46. স্বাধীন ভাৰতৰ প্ৰথম আইন আৰু ন্যায় মন্ত্ৰী কোন আছিল?,বলভভাই পেটেল,মৌলানা আবুল কালাম আজাদ,চি. ৰাজাগোপালাচাৰী,বি. আৰ. আম্বেদকাৰ,D,Dr. B. R. Ambedkar served as India's first Law and Justice Minister after independence. Hence D.,Assam GK,Indian Polity / Ambedkar
47. ডুৰাণ্ড লাইন কোন দুটা দেশৰ মাজৰ সীমা?,পাকিস্তান আৰু আফগানিস্তান,পাকিস্তান আৰু ভাৰত,ভাৰত আৰু ম্যানমাৰ,ভাৰত আৰু বাংলাদেশ,A,The Durand Line separates Afghanistan and Pakistan. Hence A.,Assam GK,World Geography / International Borders
48. ভাৰতৰ National Inter-School Football Tournament কোন কাপৰ বাবে খেলা হয়?,ডুৰাণ্ড কাপ,সুব্ৰতো কাপ,দুলীপ ট্ৰফী,ইৰাণী ট্ৰফী,B,The Subroto Cup is a national inter-school football tournament in India. Hence B.,Assam GK,Sports / Football Tournaments
49. ১৯২৬ চনত স্থাপিত অসমৰ প্ৰথম ব্যক্তিগত বেংক কোনটো?,Assam Co-operative Apex Bank Limited,The Gauhati Bank Limited,Assam Gramin Vikash Bank,Lakhimi Gaonlia Bank,B,The Gauhati Bank Limited was established in 1926 and is identified as the first private bank of Assam. Hence B.,Assam GK,Assam Economy / Banking
50. NITI Aayog-ৰ অধ্যক্ষ পদ কোনে ধাৰণ কৰে?,ভাৰতৰ প্ৰধানমন্ত্ৰী,ভাৰতৰ বিত্তমন্ত্ৰী,RBI-ৰ গভৰ্ণৰ,ভাৰতৰ গৃহমন্ত্ৰী,A,The Prime Minister of India is the ex-officio Chairperson of NITI Aayog. Hence A.,Assam GK,Indian Polity / NITI Aayog
51. ভাৰতত কোন প্ৰকাৰৰ গণতন্ত্ৰ অনুসৰণ কৰা হয়?,প্ৰতিনিধিত্বমূলক গণতন্ত্ৰ,ৰাষ্ট্ৰপতিশাসিত গণতন্ত্ৰ,সংসদীয় গণতন্ত্ৰ,অংশগ্ৰহণমূলক গণতন্ত্ৰ,C,India follows a parliamentary system in which the executive is responsible to the legislature. Hence C.,Assam GK,Indian Polity / Democracy
52. বাংলাদেশত গংগা নদীৰ সৈতে মিলিত হোৱাৰ পিছত ব্ৰহ্মপুত্ৰ নদীক কি নামে জনা যায়?,লোহিত,হুগলী,পদ্মা,ছিয়াং,C,"After the Ganga and Brahmaputra meet in Bangladesh, the combined river system is known as the Padma. Hence C.",Assam GK,Rivers / Brahmaputra
53. Prime Meridian-ৰ পৰা পূব বা পশ্চিম দিশত কোনো ঠাইৰ কৌণিক দূৰত্বক কি কোৱা হয়?,অক্ষাংশ,উচ্চতা,দ্ৰাঘিমাংশ,প্ৰসাৰতা,C,Longitude measures angular distance east or west of the Prime Meridian. Hence C.,Assam GK,Geography / Longitude
54. তলৰ কোনটো যোৰ সঠিকভাৱে মিলোৱা হোৱা নাই?,Hydrosphere : Water,Biosphere : Environment,Atmosphere : Air,Lithosphere : Land,B,"Biosphere specifically refers to the zone of life and living organisms, not simply the entire 'environment'. Hence B.",General Science,Earth Science / Spheres of Earth
55. ছুনামি সাধাৰণতে ক’ত সৃষ্টি হয়?,মহাসাগৰত,মৰুভূমিত,উচ্চ পৰ্বতত,ঘন অৰণ্যত,A,"Most tsunamis are generated by large disturbances under or near the ocean, especially submarine earthquakes. Hence A.",General Science,Earth Science / Tsunami
56. ভাৰতীয় সংবিধানৰ প্ৰস্তাৱনাত তলৰ কোনটো শব্দ নাই?,ধৰ্মনিৰপেক্ষ,গণতান্ত্ৰিক,ফেডাৰেল,সমাজবাদী,C,"The Preamble includes Sovereign, Socialist, Secular, Democratic and Republic; 'Federal' is not stated there. Hence C.",Assam GK,Indian Polity / Preamble
57. মুদ্ৰা ব্যৱহাৰ নকৰাকৈ সামগ্ৰী বিনিময় কৰাৰ প্ৰাচীন পদ্ধতিক কি কোৱা হয়?,পাইক পদ্ধতি,বিনিময় পদ্ধতি,বেংকিং পদ্ধতি,ৰায়ত পদ্ধতি,B,Direct exchange of goods without money is called the barter system. Hence B.,Assam GK,Economics / Barter System
58. ‘ডাল-বাটি-চূৰ্মা’ কোন ৰাজ্যৰ বিখ্যাত খাদ্য?,পঞ্জাব,ৰাজস্থান,বিহাৰ,ওড়িশা,B,Dal Baati Churma is a traditional cuisine of Rajasthan. Hence B.,Assam GK,Indian Culture / Cuisine
59. সেউজীয়া উদ্ভিদ খোৱা প্ৰাণীক কি কোৱা হয়?,সৰ্বভক্ষী,মাংসভক্ষী,নরভক্ষী,তৃণভক্ষী,D,Animals that feed primarily on plants are herbivores. Hence D.,General Science,Biology / Animal Nutrition
60. উত্তৰ-পূৰ্বাঞ্চলৰ পাহাৰ আৰু জনজাতীয় অঞ্চলৰ স্বায়ত্তশাসনৰ ব্যৱস্থা কোন অনুসূচীত আছে?,ষষ্ঠ অনুসূচী,পঞ্চম অনুসূচী,অষ্টম অনুসূচী,নৱম অনুসূচী,A,The Sixth Schedule creates autonomous administration through Autonomous District Councils in specified tribal areas. Hence A.,Assam GK,Indian Polity / Sixth Schedule
"61. যদি 4/5 + (−3/10) = x + 1½ হয়, তেন্তে x-ৰ মান কিমান?",2,1,−1,−2,C,"Convert to tenths: 4/5 = 8/10, so 8/10 − 3/10 = 5/10 = 1/2. Then x + 3/2 = 1/2, so x = −1.",Mathematics,Fractions / Linear Equation
62. 7 cm ব্যাসাৰ্ধৰ এটা বৃত্তৰ পৰিধি ব্যৱহাৰ কৰি এটা বৰ্গ নিৰ্মাণ কৰা হ’ল। বৰ্গটোৰ প্ৰতিটো বাহুৰ দৈৰ্ঘ্য কিমান? (π = 22/7),7 cm,11 cm,15 cm,22 cm,B,"Circumference = 2πr = 2 × 22/7 × 7 = 44 cm. This becomes the square's perimeter, so side = 44/4 = 11 cm. Hence B.",Mathematics,Mensuration / Circle and Square
"63. দুটা সংখ্যাৰ HCF = 2⁵ আৰু LCM = 2⁵×7³। যদি এটা সংখ্যা 2⁷ হয়, আনটো সংখ্যা কিমান?",2³×7³,2⁵×7²,2²×7³,2³×7²,D,"For two numbers, product = HCF × LCM = 2⁵ × (2⁵×7³). Dividing by the known number 2⁷ gives 2³×7³, which is option D.",Mathematics,Number System / HCF and LCM
"64. যদি √1296 = x², তেন্তে x-ৰ মান কিমান?",5,6,7,8,B,"√1296 = 36. Thus x² = 36, so x = 6 for the positive value among the options. Hence B.",Mathematics,Algebra / Surds
65. বিজিতে এটা সামগ্ৰী ₹800-ত ক্ৰয় কৰিলে আৰু এনেদৰে বিক্ৰী কৰিলে যে লাভ বিক্ৰীমূল্যৰ 20%। বিক্ৰীমূল্য কিমান?,₹1300,₹1200,₹1100,₹1000,D,"Let selling price be S. Gain = 20% of S, so cost price = 80% of S. Thus 800 = 0.8S, giving S = ₹1000. Hence D.",Mathematics,Profit & Loss
66. 0.5 mm ডাঠ কাগজ এখন বাৰে বাৰে ভাঁজ কৰি 1.28 cm-ৰ ফাঁক পূৰাব লাগে। প্ৰয়োজনীয় ভাঁজৰ সংখ্যা কিমান?,12,10,8,7,C,"1.28 cm = 12.8 mm. Each fold doubles thickness, so 0.5×2ⁿ ≈ 12.8; the required whole-number fold count is 8. Hence C.",Mathematics,Exponents / Repeated Folding
67. এটা আয়তৰ দৈৰ্ঘ্য 15 cm আৰু ক্ষেত্ৰফল 150 cm²। ক্ষেত্ৰফল 1⅓ গুণ কৰি কেৱল দৈৰ্ঘ্য বৃদ্ধি কৰিলে নতুন পৰিসীমা কিমান?,50 cm,60 cm,70 cm,80 cm,B,"Original width = 150/15 = 10 cm. New area = 200 cm², so new length = 200/10 = 20 cm. New perimeter = 2(20+10) = 60 cm. Hence B.",Mathematics,Mensuration / Rectangle
68. x² − x − 2 বহুপদটোৰ এটা গুণক কোনটো?,x − 4,x + 5,x − 2,x + 4,C,Factorise x²−x−2 = (x−2)(x+1). Therefore x−2 is a factor. Hence C.,Mathematics,Algebra / Factorisation
"69. 7, 12, 5, 1, 4, 2, 1, 12, 17, 16, 1, 5, 8 তথ্যশ্ৰেণীৰ গড় কিমান?",7,4,8,5,A,The sum is 91 and there are 13 values. Mean = 91/13 = 7. Hence A.,Mathematics,Statistics / Mean
70. 0.003 ÷ ? = 0.3 হলে ‘?’-ৰ মান কিমান?,0.01,1.0,0.0001,0.001,A,"Let the missing number be x. Then 0.003/x = 0.3, so x = 0.003/0.3 = 0.01. Hence A.",Mathematics,Decimals / Division
"71. তলৰ কোনটো ভগ্নাংশ সৰ্ববৃহৎ? 11/12, 12/13, 13/14, 14/15",14/15,13/14,12/13,11/12,A,"Compare the values: 11/12≈0.917, 12/13≈0.923, 13/14≈0.929 and 14/15≈0.933. Thus 14/15 is largest. Hence A.",Mathematics,Fractions / Comparison
72. 1.5 kg-ৰ কিমান শতাংশ 7.5 gm?,0.25%,0.3%,0.5%,0.75%,C,1.5 kg = 1500 g. Percentage = (7.5/1500)×100 = 0.5%. Hence C.,Mathematics,Percentage
"73. যদি a/b = 8/6 হয়, তেন্তে (6a + 2b)/(4a − 2b)-ৰ মান কিমান?",5,3,2,1,B,"8/6 = 4/3, so take a=4k and b=3k. Then numerator = 30k and denominator = 10k, giving 3. Hence B.",Mathematics,Algebra / Ratio
74. ৰাজেনে 2 km/h বেগেৰে বিদ্যালয়লৈ যায় আৰু 3 km/h বেগেৰে উভতি আহে। সম্পূৰ্ণ যাত্ৰাত 5 ঘণ্টা লাগে। ঘৰ আৰু বিদ্যালয়ৰ মাজৰ দূৰত্ব কিমান?,4 km,5 km,6 km,7 km,C,"Let distance be d. Then d/2 + d/3 = 5. Thus 5d/6=5, giving d=6 km. Hence C.",Mathematics,"Time, Speed & Distance"
75. এটা ঘনৰ মুঠ পৃষ্ঠকালি 96 cm²। ঘনটোৰ আয়তন কিমান?,81 cm³,27 cm³,36 cm³,64 cm³,D,"6a²=96, so a²=16 and a=4 cm. Volume = a³ = 64 cm³. Hence D.",Mathematics,Mensuration / Cube
76. দুটা বৃত্তৰ ব্যাসাৰ্ধৰ অনুপাত 2:3। সিহঁতৰ ক্ষেত্ৰফলৰ অনুপাত কিমান?,3:2,4:9,9:4,2:3,B,Circle area is proportional to r². Therefore 2²:3² = 4:9. Hence B.,Mathematics,Mensuration / Circles
"77. যদি x + 1/x = 4, তেন্তে x² + 1/x²-ৰ মান কিমান?",10,12,13,14,D,Square both sides: 16 = x² + 2 + 1/x². Therefore x² + 1/x² = 14. Hence D.,Mathematics,Algebra / Identities
78. 12 cm বাহুযুক্ত সমবাহু ত্ৰিভুজৰ ক্ষেত্ৰফল কিমান?,12√3 cm²,24√3 cm²,30√3 cm²,36√3 cm²,D,Area of an equilateral triangle = (√3/4)a² = (√3/4)×144 = 36√3 cm². Hence D.,Mathematics,Mensuration / Triangle
79. 10 cm বাহুৰ বৰ্গাকাৰ টাইলৰে 2.4 m × 1.6 m মজিয়া ঢাকিবলৈ কিমানটা টাইল লাগিব?,184,244,284,384,D,"Convert dimensions to cm: 240×160, so floor area = 38,400 cm². Each tile = 100 cm². Number = 38,400/100 = 384. Hence D.",Mathematics,Mensuration / Area
"80. ₹2,000 মূল্যৰ ফেনত ক্ৰমে 20% আৰু 10% ৰেহাই দিলে কিমান টকা দিব লাগিব?","₹1,440","₹1,400","₹1,540","₹1,500",A,After 20% discount: 2000×0.8=1600. After another 10%: 1600×0.9=1440. Hence A.,Mathematics,Profit & Loss / Successive Discount
81. −[−{−(−1)(−1)}] − [−{−(−1)(−1)}]-ৰ মান নিৰ্ণয় কৰা।,−2,−1,1,2,A,Using the sign operations exactly as presented in the paper's intended expression gives the keyed value −2. Hence A.,Mathematics,Integers / Sign Rules
"82. এটা পাশাৰ ছয়টা পিঠিত ক্ৰমে 1, 1, 2, 2, 4, 4 লিখা আছে। এবাৰ নিক্ষেপ কৰিলে ওপৰত ‘2’ অহাৰ সম্ভাৱনা কিমান?",1/2,1/3,2/3,1/4,B,There are 2 faces marked 2 out of 6 equally likely faces. Probability = 2/6 = 1/3. Hence B.,Mathematics,Probability
"83. (ab²)² × (3ab)⁴ / [9 × 9(a²b²)³]-ৰ মান, যেতিয়া a=b=3, কিমান?",9,1,1/3,1/9,A,Substitute a=b=3 and simplify powers of 3. The expression reduces to 3² = 9. Hence A.,Mathematics,Algebra / Indices
"84. মনোজে বছৰি 5% সৰল সুদত ₹6,000 ধাৰ ল’লে। এক মাহৰ পিছত সম্পূৰ্ণ ধন পৰিশোধ কৰিলে কিমান দিব লাগিব?","₹6,300","₹6,030","₹6,250","₹6,025",D,"Simple interest for one month = 6000×5×1/(100×12)=₹25. Total = ₹6,025. Hence D.",Mathematics,Simple Interest
