question_text,Option A,Option B,Option C,Option D,correct_option,explanation,subject,topic / subtopic tag
24. নেমু আৰু আমলখিত কোনবিধ খাদ্যপ্ৰাণ বিশিষ্ট মাত্ৰাত পোৱা যায় ?,ভিটামিন চি,ভিটামিন কে,ভিটামিন বি,ভিটামিন ডি,A,Lemon and amla are rich sources of vitamin C. Therefore A.,General Science,Nutrition — vitamins
25. ভাৰতীয় বংশোদ্ভৱৰ প্ৰথমগৰাকী মহিলা মহাকাশচাৰী কোন আছিল ?,কিৰণ শ্ব,কিৰণ বেদী,কল্পনা চাওলা,কল্পনা চাক্সেনা,C,Kalpana Chawla was the first woman of Indian origin to travel to space. Hence C.,Assam GK,Space and science personalities
26. ২০২২ চনৰ ফ্ৰেন্স অ’পেন প্ৰতিযোগিতাৰ পুৰুষৰ চিংগল্‌চ শাখাত কোনে জয়লাভ কৰিছিল?,ৰ’জাৰ ফেডাৰাৰ,ষ্টেফান'ছ চিচিপাছ,ন’ভাক জ’ক’ভিক,ৰাফেল নাডাল,D,Rafael Nadal won the men's singles title at the 2022 French Open. Therefore D.,Assam GK,Sports — French Open 2022
27. ঝাৰখণ্ডৰ ৰাজধানীৰ নাম কি ?,ৰায়পুৰ,ৰাঁচী,ডেৰাডুন,গেংটক,B,Ranchi is the capital of Jharkhand. Hence B.,Assam GK,Indian states and capitals
28. ভাৰতৰ সোণৰ খনিৰ সৈতে জড়িত ঠাইখন হৈছে,কোলাৰ,যাদুগুডা,অংক্লেশ্বৰ,কালাহাণ্ডি,A,Kolar in Karnataka is historically associated with gold mining through the Kolar Gold Fields. Therefore A.,Assam GK,Indian geography — minerals
29. কোন ঠাইত ভাৰতে ইয়াৰ প্ৰথমটো পাৰমাণৱিক আহিলাৰ পৰীক্ষণ কৰিছিল ?,বালাসোৰ,ট্ৰম্বে,শ্ৰীহৰিকোটা,পোখৰান,D,India conducted its first nuclear test at Pokhran in Rajasthan in 1974. Hence D.,Assam GK,Indian nuclear programme
30. এখন ক্ৰিকেট পিট্‌চৰ দুই-সমূহ উইকেটৰ মাজৰ দূৰত্ব কিমান ?,২০ গজ,৩২ গজ,২২ গজ,২৫ গজ,C,The standard distance between the two sets of wickets on a cricket pitch is 22 yards. Thus C.,Assam GK,Sports — cricket
35. লতা মঙ্গেশকাৰৰ পিতৃৰ নাম কি আছিল ?,দীননাথ মঙ্গেশকাৰ,হৃদয়নাথ মঙ্গেশকাৰ,জিতেন্দ্ৰ মঙ্গেশকাৰ,মণিপ্ৰসাদ মঙ্গেশকাৰ,A,Lata Mangeshkar's father was the classical singer and theatre personality Dinanath Mangeshkar. Therefore A.,Assam GK,Indian culture — personalities
36. পদ্মশ্ৰী বঁটা লাভ কৰা প্ৰথমগৰাকী অসমীয়া মহিলা কবি আৰু লেখিকা হৈছে ________।,চন্দ্ৰপ্ৰভা শইকীয়ানী,নলিনীবালা দেৱী,মামনি ৰয়চম গোস্বামী,নিৰ্মল প্ৰভা বৰদলৈ,B,"Nalini Bala Devi was the first Assamese woman poet and author to receive the Padma Shri, according to the historical record used by this paper. Therefore B.",Assam GK,Assamese women personalities
37. ভাৰতৰ কোনখন ৰাজ্যৰ পৰা চিপকো আন্দোলনৰ আৰম্ভণি হৈছিল ?,উত্তৰাখণ্ড,হিমাচল প্ৰদেশ,হাৰিয়ানা,ছিকিম,A,The Chipko Movement originated in the Himalayan region of present-day Uttarakhand. Therefore A.,Assam GK,Indian environmental movements
38. ভাৰতত সংসদৰ সদস্য হ’বলৈ নিম্নলিখিতসমূহৰ কোনটো চৰ্ত পূৰণ কৰাটো প্ৰয়োজনীয় নহয় ?,ভাৰতবৰ্ষৰ এজন নাগৰিক হ’ব লাগিব,বয়স ২৫ বছৰৰ কম হ’ব নালাগিব,ভাৰতৰ কোনো এক সংসদীয় সমষ্টিৰ ভোটদাতা হ’ব লাগিব,দশম শ্ৰেণী পৰ্যায়ৰ পৰীক্ষাত উত্তীৰ্ণ হ’ব লাগিব,D,"There is no minimum Class 10 educational qualification for becoming an MP. Citizenship and age requirements apply, while the paper treats voter status as a criterion. Hence D.",Assam GK,Indian polity — Parliament eligibility
39. কোন গৰাকী সম্ৰাটে ভাৰতৰ গ্ৰেণ্ড ট্ৰাংক ৰোড নিৰ্মাণ কৰিছিল ?,আকবৰ,জাহাঙ্গীৰ,কুতুবুদ্দিন আইবাক,শ্বেৰশ্বাহ শূৰী,D,Sher Shah Suri developed and greatly expanded the Grand Trunk Road during his reign. Hence D.,Assam GK,Medieval Indian history — Sher Shah Suri
40. ভাৰতীয় সংবিধানৰ অষ্টম অনুসূচীত নিম্নলিখিতসমূহৰ কোনটো অন্তৰ্ভুক্ত নহয় ?,চাওতাল,বড়ো,মৈখিলী,কাৰ্বি,D,"Bodo and Maithili are included in the Eighth Schedule, as is Santali. Karbi is not one of the scheduled languages. Therefore D.",Assam GK,Indian Constitution — Eighth Schedule
41. কোনটো বৰ্ষত আৰ্মড্‌ ফ’ৰ্চেছ স্পেচিয়েল পাৱাৰ্ছ এক্ট (AFSPA) গৃহীত হৈছিল?,১৯৫৮,১৯৮৫,১৯৬০,১৯৭১,A,The Armed Forces (Special Powers) Act was enacted in 1958. Hence A.,Assam GK,Indian polity — AFSPA
42. ভাৰতীয় সংবিধানৰ কোনটো অনুচ্ছেদে উত্তৰ-পূব ভাৰতৰ ৰাজ্যসমূহক বিশেষ মৰ্যাদা প্ৰদান কৰে?,অনুচ্ছেদ ১৪,অনুচ্ছেদ ৩৭৭,অনুচ্ছেদ ৩৭১,অনুচ্ছেদ ২৫৪,C,Article 371 and its clauses provide special provisions for several northeastern states. Therefore C.,Assam GK,Indian Constitution — Article 371
43. জৱাহৰলাল নেহৰুৱে “ডিস্কভাৰী অৱ ইণ্ডিয়া” কিতাপখন কোন ঠাইত লিখি উলিয়াইছিল ?,পুনে চেন্ট্ৰেল কাৰাগাৰ,য়াৰৱাডা কাৰাগাৰ,থানে কাৰাগাৰ,আহমেদনগৰ দুৰ্গ,D,Nehru wrote The Discovery of India during his imprisonment at Ahmednagar Fort in 1944. Hence D.,Assam GK,Modern Indian history — Nehru
44. নিম্নলিখিত ঠাইসমূহৰ কোনখনে ইয়াৰ লিচুৰ বাবে ‘জি আই টেগ’ লাভ কৰিছে?,তেজপুৰ,যোৰহাট,শ্বিলং,ডিব্ৰুগড়,A,Tezpur litchi is the Assam product associated with a Geographical Indication tag in this question. Hence A.,Assam GK,Assam products — GI tags
45. নিম্নলিখিত কোন গৰাকী ব্যক্তি ভাৰতীয় শিক্ষা ব্যৱস্থাৰ সংস্কাৰ সাধনৰ বাবে জনাজাত ?,লৰ্ড ক্লাইভ,লৰ্ড কৰ্ণৱালিছ,লৰ্ড মাউণ্টবেটেন,লৰ্ড মেকুলে,D,"Thomas Babington Macaulay is associated with major colonial-era educational policy changes in India, especially the 1835 Minute on Education. Thus D.",Assam GK,Modern Indian history — education policy
46. ‘অৰুণোদয়’ নামক অসমীয়া আলোচনীখনৰ প্ৰথম সম্পাদক কোন আছিল ?,ড. নাথান ব্ৰাউন,হেমচন্দ্ৰ বৰুৱা,অ’লিভাৰ কাণ্টাৰ,আনন্দৰাম ঢেকিয়াল ফুকন,A,Dr. Nathan Brown was the first editor associated with Orunodoi. Hence A.,Assam GK,Assamese literature — Orunodoi
47. অসম চৰকাৰৰ ভূমি ৰাজহ সম্পৰ্কীয় সেৱাসমূহৰ সুশৃংখলিত কৰণৰ আঁচনিখনক __ নামেৰে অধিক পৰিচিত।,অৰুণোদয়,বসুন্ধৰা,সাৰথি,অৰুন্ধতি,B,The Assam government's land-related service initiative is known as the Basundhara scheme. Therefore B.,Assam GK,Assam government schemes — Basundhara
48. শ্ৰীমন্ত শংকৰদেৱে জনপ্ৰিয় কৰি তোলা একাঙ্কিকা নাটকৰ ৰূপটো কি নামেৰে জনাজাত ?,অংকীয়া নাট,যক্ষগণ,তমসা,ভ্ৰাম্যমান,A,Sankardeva popularised the one-act devotional dramatic form known as Ankiya Nat. Hence A.,Assam GK,Assamese culture — Ankiya Nat
49. নিম্নলিখিত সত্ৰসমূহৰ কোনখন সত্ৰ পশ্চিমবঙ্গত অৱস্থিত ?,চমৰীয়া সত্ৰ,বৰদোৱা সত্ৰ,মধুপুৰ সত্ৰ,জকাই সত্ৰ,C,"Madhupur Satra is located in Cooch Behar, West Bengal, and is associated with the Vaishnavite tradition of Assam. Hence C.",Assam GK,Sattras of Assam — Madhupur Satra
50. অসম ৰাজ্যত ব্ৰহ্মপুত্ৰ নদীখন কোনটো দিশত বয়?,পূবৰ পৰা পশ্চিমলৈ,পশ্চিমৰ পৰা পূবলৈ,উত্তৰৰ পৰা দক্ষিণলৈ,দক্ষিণৰ পৰা উত্তৰলৈ,A,The Brahmaputra enters Assam from the east/northeast and generally flows westward before entering Bangladesh. Thus A.,Assam GK,Rivers of Assam — Brahmaputra
51. ভাৰতবৰ্ষত মোগল সাম্ৰাজ্যৰ প্ৰতিষ্ঠাতা কোন আছিল?,হুমায়ুন,শ্বেৰ শ্বাহ শূৰী,বাবৰ,আকবৰ,C,Babur founded the Mughal Empire in India after his victory over Ibrahim Lodi at the First Battle of Panipat in 1526. Hence C.,Assam GK,Medieval Indian history — Mughal Empire
"52. কালপক্কম, নৰোৰা আৰু তাৰাপুৰত অৱস্থিত প্ৰকল্পসমূহত কোনটো উৎসৰ পৰা বিদ্যুৎ উৎপাদন কৰা হয়?",জলশক্তি,নিউক্লীয় শক্তি,তাপশক্তি,সৌৰ শক্তি,B,"Kalpakkam, Narora and Tarapur are nuclear power stations. Therefore the electricity source is nuclear energy, option B.",General Science,Energy — nuclear power
53. কোনে যোৰহাটক আহোম ৰাজ্যৰ শেহতীয়া ৰাজধানী হিচাবে প্ৰতিষ্ঠা কৰিছিল ?,স্বৰ্গদেও গৌৰীনাথ সিংহ,স্বৰ্গদেও ৰুদ্ৰসিংহ,স্বৰ্গদেও শিৱসিংহ,স্বৰ্গদেও পুৰন্দৰ সিংহ,D,Jorhat was established as the last capital of the Ahom Kingdom under Swargadeo Purandar Singha. Hence D.,Assam GK,Ahom Kingdom — Jorhat
54. কোচ ৰাজ্যৰ সিংহাসনত আৰোহণ কৰাৰ পূৰ্বে ৰজা নৰনাৰায়ণৰ নাম কি আছিল?,নৰ সিংহ,বিশ্বজিত,শুক্লধ্বজ,মল্লদেৱ,D,"Before becoming king Naranarayana, his name was Malladev. Therefore D.",Assam GK,Koch Kingdom — Naranarayana
55. নিম্নলিখিত কোনবিধ উদ্ভিদক পৰ্ণপাতী উদ্ভিদৰ উদাহৰণ স্বৰূপে গণ্য কৰা নহয় ?,শাল গছ,আম গছ,সৰল গছ,শিমলু গছ,C,Pine is an evergreen conifer and does not represent deciduous vegetation. The other listed trees are deciduous examples. Therefore C.,General Science,Botany — deciduous vegetation
56. সাধাৰণতে কেনেধৰণৰ অঞ্চলত ঝুম খেতি কৰা হয় ?,জলাহভূমি,পাহাৰৰ ঢাল,চৰ অঞ্চল,সমতল ভূমি,B,"Jhum or shifting cultivation is traditionally practised on hill slopes, especially in northeastern India. Hence B.",Assam GK,Agriculture of Northeast India — Jhum cultivation
57. বৃটিছ অধীনস্থ ভাৰতৰ কোনটো আইনৰ বিৰুদ্ধে প্ৰতিবাদ সাব্যস্ত কৰিবলৈ জালিয়ানৱালা বাগ হত্যাকাণ্ডৰ ভিৰ একত্ৰিত হৈছিল ?,চাইমন কমিশ্যন,ৰাওলাট আইন,ম’ৰ্লে-মিন্টো সংস্কাৰ,ভোটদাতাৰ পৃথক তালিকা,B,The gathering at Jallianwala Bagh was connected with protests against the Rowlatt Act. Hence B.,Assam GK,Modern Indian history — Rowlatt Act
"58. হাজো ঠাইখনিক যি তিনি ধৰ্মৰ সংগমস্থলী ৰূপে বিবেচনা কৰা হয়, সেইসমূহ ধৰ্ম হৈছে:","হিন্দুধৰ্ম, শিখধৰ্ম, ইছলাম ধৰ্ম","বৌদ্ধধৰ্ম, হিন্দুধৰ্ম, ইছলাম ধৰ্ম","বৌদ্ধধৰ্ম, জৈনধৰ্ম, হিন্দুধৰ্ম","হিন্দুধৰ্ম, শিখধৰ্ম, বৌদ্ধধৰ্ম",A,"Hajo is traditionally regarded as a meeting point of Hinduism, Islam and Sikhism in Assam. Thus A.",Assam GK,Religious heritage of Assam — Hajo
"59. জনস্বাৰ্থক প্ৰতিনিধিত্ব কৰিবৰ বাবে, নিম্নলিখিত কোন সত্তাই দুৰ্নীতি-বিৰোধী কৰ্তৃপক্ষৰ ভূমিকা পালন কৰে?",মুখ্য তথ্য আয়ুক্ত,লোকপাল,উচ্চ ন্যায়ালয়ৰ মুখ্য ন্যায়াধীশ,মুখ্য নিৰ্বাচনী আয়ুক্ত,B,The Lokpal is India's statutory anti-corruption ombudsman for public servants. Therefore B.,Assam GK,Indian polity — Lokpal
60. ভাৰতীয় সংবিধানৰ কোনটো অনুসূচীৰ অধীনত উত্তৰ কাছাৰ পাৰ্বত্য স্বায়ত্ব পৰিষদ (NCHAC) গঠিত হৈছিল?,সপ্তম অনুসূচী,পঞ্চম অনুসূচী,অষ্টম অনুসূচী,ষষ্ঠ অনুসূচী,D,Autonomous councils in the Sixth Schedule include the North Cachar Hills Autonomous Council. Hence D.,Assam GK,Assam polity — Sixth Schedule
61. কোনো এক সংখ্যাক 12.5% হ্ৰাস কৰিলে সংখ্যাটো 119 হয়গৈ। সংখ্যাটো হৈছে,130,125,148,136,D,"After a 12.5% reduction, 87.5% of the original remains. So 0.875x = 119, hence x = 119/0.875 = 136. Therefore D.",Mathematics,Percentage — reverse percentage
62. কোনো এক আয়তৰ ক্ষেত্ৰফল হৈছে 300 চে.মি.² আৰু ইয়াৰ কৰ্ণৰ দৈৰ্ঘ্য হৈছে 25 চে.মি.। আয়তটোৰ পৰিসীমা হ’ব:,88 চে.মি.,70 চে.মি.,64 চে.মি.,58 চে.মি.,B,"Let the sides be a and b. Then ab=300 and a²+b²=25²=625. Therefore (a+b)²=625+600=1225, so a+b=35 and the perimeter is 2(a+b)=70 cm. Hence B.",Mathematics,Mensuration — rectangle
"63. কোনো এটা ভগ্নাংশৰ লবৰ মান ইয়াৰ হৰৰ মানতকৈ ২ কম। যদি ভগ্নাংশটোৰ লবক ২ ৰে আৰু হৰক ৩ ৰে পূৰণ কৰা হয়, তেন্তে ই ২/৯ হৈ যায়। ভগ্নাংশটো হৈছে:",1/3,3/5,5/7,7/9,A,"Let the numerator be n and denominator n+2. Then 2n/[3(n+2)] = 2/9. Cancelling 2 gives 9n=3(n+2), so 6n=6 and n=1. The fraction is 1/3. Thus A.",Mathematics,Fractions — algebraic equation
64. কোনো এখন বিদ্যালয়ৰ ল’ৰা আৰু ছোৱালী উভয়ৰে গড় বয়স হৈছে 16 বছৰ; কেৱল ল’ৰাবিলাকৰ গড় বয়স 15 বছৰ আৰু কেৱল ছোৱালীবিলাকৰ গড় বয়স 18 বছৰ। বিদ্যালয়খনত ল’ৰা আৰু ছোৱালীৰ সংখ্যাৰ অনুপাত হ’ল:,5 : 2,4 : 3,2 : 1,3 : 2,C,"Using the weighted average, 15B + 18G = 16(B+G). Hence 2G=B, so B:G=2:1. Therefore C.",Mathematics,Average — weighted average
65. ৰাশিটোৰ মান হ’ল: (1 − 1/2)(1 − 1/3)(1 − 1/4) … (1 − 1/10),1,1/10,−1/10,1/5,B,Rewrite each factor as (k−1)/k. The product telescopes: 1/2 × 2/3 × 3/4 × … × 9/10 = 1/10. Hence B.,Mathematics,Fractions — telescoping product
"66. 14, 21 আৰু 28 ৰ ল.সা.গু. আৰু গ.সা.উ. ৰ মান হৈছে যথাক্ৰমে","(84, 14)","(56, 7)","(84, 7)","(56, 14)",C,"The LCM of 14, 21 and 28 is 84, while their HCF is 7. Thus the pair is (84,7), option C.",Mathematics,LCM and HCF
"67. 1, 2, 4, 8, 16, ………, 256, 512 শৃংখলাটোত থকা পদৰ সংখ্যা হৈছে:",10,9,7,8,A,"The terms are powers of 2 from 2^0=1 through 2^9=512. Therefore there are 10 terms, so A.",Mathematics,Number series — powers of 2
68. কোনো এখন চহৰৰ মানচিত্ৰ 1 : 50000 স্কেলত অংকন কৰা হৈছে। মানচিত্ৰখনত দুটা স্থানৰ দূৰত্ব 12 চে.মি.। স্থানদুটাৰ মাজৰ প্ৰকৃত দূৰত্ব হৈছে:,6 কি.মি.,9 কি.মি.,12 কি.মি.,15 কি.মি.,A,"A scale of 1:50,000 means 1 cm on the map represents 50,000 cm in reality. Thus 12 cm represents 600,000 cm = 6 km. Hence A.",Mathematics,Ratio and scale
69. কোনো দুটা সংখ্যাৰ যোগফল 12 আৰু সংখ্যাদুটাৰ বৰ্গফলৰ পাৰ্থক্য হৈছে 60। সংখ্যাদুটাৰ মাজৰ পাৰ্থক্য হৈছে:,4,3,6,5,D,"Use a²−b²=(a−b)(a+b). Since a+b=12 and a²−b²=60, we get (a−b)×12=60, so a−b=5. Therefore D.",Mathematics,Algebra — difference of squares
70. 200 ৰ 200% ৰ মান হ’ব,"40,000",400,"4,000",440,B,"200% means 200/100 = 2 times. Therefore 2×200 = 400, so B.",Mathematics,Percentage
"71. যদি 5-অংকযুক্ত আটাইতকৈ সৰু সংখ্যাটোৰ পৰা 3-অংকযুক্ত আটাইতকৈ ডাঙৰ সংখ্যাটো বিয়োগ কৰা হয়, তেন্তে উত্তৰটো হ’ব:",9001,9000,9990,9999,A,"Smallest 5-digit number = 10,000. Largest 3-digit number = 999. Difference = 10,000−999 = 9,001. Hence A.",Mathematics,Number system — place value
72. 18 − [6 − {4 − (8 + 3)}] ৰ মান নিৰ্ণয় কৰা।,−2,−5,5,2,C,"First, 8+3=11. Then 4−11=−7. Next 6−(−7)=13. Finally 18−13=5. Hence C.",Mathematics,Arithmetic — simplification
73. এজন ব্যক্তিয়ে প্ৰতি মিনিটত 35 টা শব্দ টাইপ কৰিব পাৰে। 987 টা শব্দ টাইপ কৰিবলৈ তেওঁক কিমান সময় লাগিব?,27 মিনিট 12 ছেকেণ্ড,28 মিনিট 8 ছেকেণ্ড,27 মিনিট 7 ছেকেণ্ড,28 মিনিট 12 ছেকেণ্ড,D,"Time = 987/35 = 28.2 minutes. The 0.2 minute equals 12 seconds, giving 28 minutes 12 seconds. Therefore D.",Mathematics,Time and work — typing rate
74. 4/(1 + 1/3) − 7/(2 + 1/3) ৰ মান নিৰ্ণয় কৰা।,1/12,1/3,1,0,D,"1+1/3=4/3, so 4÷(4/3)=3. Also 2+1/3=7/3, so 7÷(7/3)=3. Their difference is 0. Hence D.",Mathematics,Fractions — simplification
"75. {−7, −6, −5, ….., 5, 6, 7} শৃংখলাটোত কেইটা স্বাভাৱিক সংখ্যা আছে?",15,14,7,8,C,"Natural numbers in the set are 1,2,3,4,5,6,7. There are 7 of them, so C.",Mathematics,Number system — natural numbers
