question_text,Option A,Option B,Option C,Option D,correct_option,explanation,subject,topic / subtopic tag
21. Swaraj Party কোনসকলে প্ৰতিষ্ঠা কৰিছিল?,B. R. Ambedkar আৰু Sardar Patel,Aruna Asaf Ali আৰু Subhash Chandra Bose,Bhagat Singh আৰু Rajguru,Motilal Nehru আৰু Chittaranjan Das,D,1923 চনত Motilal Nehru আৰু Chittaranjan Das-এ Swaraj Party গঠন কৰিছিল।,Assam GK,Indian Freedom Movement
"22. ধৰ্ম, জাতি, caste, sex আৰু place of birth-ৰ ভিত্তিত বৈষম্য নিষিদ্ধ কৰা সংবিধানৰ কোনটো Article?",Article 25,Article 13,Article 15,Article 19,C,Article 15-এ নিৰ্দিষ্ট ভিত্তিত বৈষম্য নিষিদ্ধ কৰে।,Assam GK,Indian Constitution
23. Muhammad Adil Shah-ৰ mausoleum Gol Gumbaz ক'ত অৱস্থিত?,Bijapur,Delhi,Hyderabad,Bhopal,A,Gol Gumbaz Karnataka-ৰ Bijapur (Vijayapura)-ত অৱস্থিত।,Assam GK,Indian History
24. ভাৰতৰ Civil Aviation Ministry-ৰ UDAN উদ্যোগত ‘A’-এ কি বুজায়?,Aam,Air,Aakash,Aviation,A,UDAN-ৰ অৰ্থ Ude Desh ka Aam Nagrik; সেয়ে A = Aam।,Assam GK,Government Schemes
25. ₹10 lakh crore market valuation লাভ কৰা প্ৰথম ভাৰতীয় কোম্পানী কোনটো?,Airtel,TCS,Wipro,Reliance,D,Reliance Industries-এ প্ৰথম ভাৰতীয় কোম্পানী হিচাপে ₹10 lakh crore market valuation অতিক্ৰম কৰিছিল।,Assam GK,Indian Economy / Companies
26. তলৰ কোনটো নৃত্যৰূপ আৰু ৰাজ্যৰ জোৰাটো ভুল?,Yakshagana – Tamil Nadu,Sattriya – Assam,Mohiniattam – Kerala,Odissi – Odisha,A,"Yakshagana Karnataka-ৰ নৃত্যৰূপ, Tamil Nadu-ৰ নহয়।",Assam GK,Indian Culture
27. অসমৰ একমাত্ৰ Ramsar wetland site কোনটো?,Deepor Beel,Bordoloni,Chandubi Beel,Dibru-Saikhowa,A,Deepor Beel অসমৰ Ramsar Site হিচাপে তালিকাভুক্ত wetland।,Assam GK,Wetlands of Assam
"28. ‘Beti Bachao, Beti Padhao’ আঁচনিৰ সৈতে তলৰ কোনটো Ministry জড়িত নহয়?",Ministry of Health and Family Welfare,Ministry of Rural Development,Ministry of Women and Child Development,Ministry of Human Resource Development,B,"এই আঁচনিখন WCD, Health আৰু তৎকালীন HRD Ministry-ৰ যৌথ উদ্যোগ; Rural Development Ministry মূল অংশীদাৰ নহয়।",Assam GK,Government Schemes
29. Assam Medical College ক'ত অৱস্থিত?,Silchar,Jorhat,Guwahati,Dibrugarh,D,Assam Medical College & Hospital Dibrugarh-ত অৱস্থিত।,Assam GK,Medical Institutions of Assam
30. Government of India-ৰ Mission Indradhanush কিহৰ সৈতে জড়িত?,Immunisation,Cleanliness,Digitalisation,Highway development,A,Mission Indradhanush-ৰ মূল লক্ষ্য হৈছে শিশুসকল আৰু গৰ্ভৱতী মহিলাৰ immunisation coverage বৃদ্ধি কৰা।,General Science,Immunisation
31. ভাৰতীয় সংবিধানৰ Article 17-এ কিহৰ বিলোপৰ কথা কয়?,Slavery,Bonded Labour,Untouchability,Sati,C,Article 17-এ untouchability বিলোপ কৰে।,Assam GK,Indian Constitution
32. তলৰ কোনটো ঘটনা 1919 চনত সংঘটিত হোৱা নাছিল?,Rowlatt Act passed,Montagu–Chelmsford Reforms announced,Partition of Bengal,Jallianwala Bagh tragedy,C,Bengal Partition 1905 চনত হৈছিল; 1919-ত Rowlatt Act আৰু Jallianwala Bagh tragedy হৈছিল।,Assam GK,Modern Indian History
33. জুলাই 2019-ত পানী সংৰক্ষণ আৰু harvesting ত্বৰান্বিত কৰিবলৈ কোনখন আঁচনি আৰম্ভ কৰা হৈছিল?,Jal Shakti Abhiyan,Jal Vikas Abhiyan,Jal Hi Dhan Hai Abhiyan,Jal Bachao Abhiyan,A,2019 চনত Jal Shakti Abhiyan আৰম্ভ কৰা হৈছিল water conservation আৰু rainwater harvesting-ৰ বাবে।,Assam GK,Government Schemes / Water
34. তলৰ কোনটো স্থান petroleum sector-ৰ সৈতে জড়িত নহয়?,Duliajan,Nazira,Bongaigaon,Margherita,D,Margherita মূলতঃ coal mining অঞ্চল; আন স্থানসমূহ petroleum/oil sector-ৰ সৈতে জড়িত।,Assam GK,Assam Petroleum
35. Goods and Services Tax (GST) প্ৰথমে কোনখন দেশে প্ৰৱৰ্তন কৰিছিল?,Germany,France,Canada,USA,B,France-এ 1954 চনত GST-ধৰণৰ value-added consumption tax প্ৰথমে প্ৰৱৰ্তন কৰিছিল।,Assam GK,World Economy
36. জানুৱাৰী 2022 অনুসৰি Rajya Sabha-ত সৰ্বাধিক আসন থকা ৰাজ্যখন কোনখন?,Karnataka,Madhya Pradesh,Rajasthan,Uttar Pradesh,D,Uttar Pradesh-ৰ Rajya Sabha-ত সৰ্বাধিক 31খন আসন আছে।,Assam GK,Indian Polity
37. Hiuen Tsang কোন ৰজাৰ শাসনকালত ভাৰত ভ্ৰমণ কৰিছিল?,Harshavardhana,Ashoka,Vishnugupta,Samudragupta,A,Hiuen Tsang 7ম শতিকাত Emperor Harshavardhana-ৰ শাসনকালত ভাৰতলৈ আহিছিল।,Assam GK,Ancient Indian History
38. Economic Survey of India কোনে প্ৰকাশ কৰে?,National Development Council,Institute of Finance,Indian Statistical Institute,Ministry of Finance,D,"Economic Survey Department of Economic Affairs, Ministry of Finance-এ প্ৰকাশ কৰে।",Assam GK,Indian Economy
"39. যি অৰ্থনীতিত উৎপাদনশীল সকলো সম্পদ চৰকাৰে মালিকানা আৰু নিয়ন্ত্ৰণ কৰে, তাক কি কয়?",Socialist,Capitalist,Mixed,Dual,A,Socialist economy-ত উৎপাদনৰ মুখ্য সম্পদসমূহৰ মালিকানা/নিয়ন্ত্ৰণ চৰকাৰৰ অধীনত থাকে।,Assam GK,Economic Systems
40. 1942 চনত Mahatma Gandhi-এ Quit India Movement কোন ঠাইৰ পৰা আৰম্ভ কৰিছিল?,Shivaji Park,Brabourne Stadium,August Kranti Maidan,Pragati Maidan,C,"Quit India Movement-ৰ ঐতিহাসিক resolution Bombay-ৰ Gowalia Tank Maidan, বৰ্তমান August Kranti Maidan-ত গ্ৰহণ কৰা হৈছিল।",Assam GK,Indian Freedom Movement
"41. দুটা সংখ্যাৰ LCM 40 আৰু HCF 4। সংখ্যাদুটাৰ পাৰ্থক্য 12 হলে, সংখ্যাদুটাৰ যোগফল কিমান?",20,24,28,32,C,"দুটা সংখ্যা 4a আৰু 4b ধৰা হওক। LCM=4ab=40 ⇒ ab=10 আৰু পাৰ্থক্য 4|a-b|=12 ⇒ |a-b|=3। সেয়ে a,b=2,5 আৰু সংখ্যা 8,20; যোগফল 28।",Mathematics,LCM and HCF
42. তলৰ expression-টোৰ মান নিৰ্ণয় কৰা: √(51 + √(134 + 5√(42 + √(16 + √9)))),52,8,19,9,B,"ভিতৰৰ পৰা সমাধান কৰোঁ: √9=3, √(16+3)=√19; তাৰ পিছত সম্পূৰ্ণ nested radical-টো গণনা কৰিলে মান 8 হয়।",Mathematics,Surds / Nested Radicals
"43. এটা সংখ্যাক 2-ৰে ভাগ কৰিলে অৱশিষ্ট 1, 3-ৰে ভাগ কৰিলে 2 আৰু 4-ৰে ভাগ কৰিলে 3 থাকে। সংখ্যাটো কোনটো?",25,41,13,11,D,"11 ÷ 2 অৱশিষ্ট 1, 11 ÷ 3 অৱশিষ্ট 2 আৰু 11 ÷ 4 অৱশিষ্ট 3। সেয়ে উত্তৰ 11।",Mathematics,Remainders
44. এটা ভগ্নাংশৰ numerator 3 বৃদ্ধি কৰিলে ভগ্নাংশটো তাৰ 3/4 অংশ বৃদ্ধি পায়। numerator-টো কিমান?,3,4,5,6,B,মূল ভগ্নাংশ n/d। numerator 3 বৃদ্ধি পালে বৃদ্ধি =3/d। এই বৃদ্ধি মূল ভগ্নাংশৰ 3/4 = (3/4)(n/d)। সেয়ে 3=(3/4)n ⇒ n=4।,Mathematics,Fractions
"45. √(1/2), √(1/3), √(1/4) আৰু √(2/3)-ৰ ভিতৰত সৰুটো কোনটো?",√(2/3),√(1/2),√(1/3),√(1/4),D,Square root function increasing। ভিতৰৰ fraction-সমূহৰ ভিতৰত 1/4 সৰ্বসৰু; সেয়ে √(1/4) সৰ্বসৰু।,Mathematics,Square Roots
"46. যদি x = √3, তেন্তে x⁴ + 1/x⁴-ৰ মান কিমান?",9 1/9,2 1/9,9 1/2,1/9,A,x=√3 হলে x⁴=(√3)⁴=9 আৰু 1/x⁴=1/9। সেয়ে যোগফল=9+1/9=9 1/9।,Mathematics,Algebraic Expressions
"47. যদি x/3 = y/4 = z/7, তেন্তে (x+y+z)/(2z)-ৰ মান কিমান?",1,3,2,4,A,"x=3k, y=4k, z=7k। সেয়ে (x+y+z)/(2z)=14k/14k=1।",Mathematics,Ratio and Proportion
48. চাৰিটা consecutive alternate সংখ্যা (পাৰ্থক্য 2)ৰ যোগফল 64। আটাইতকৈ সৰু সংখ্যাটো কিমান?,13,11,16,9,A,"সংখ্যাক n,n+2,n+4,n+6 ধৰা হওক। 4n+12=64 ⇒ n=13।",Mathematics,Arithmetic Progression
49. দুটা সংখ্যাৰ অনুপাত 2:3 আৰু সিহঁতৰ LCM আৰু HCF-ৰ গুণফল 96। সংখ্যাদুটাৰ যোগফল কিমান?,8,12,20,36,C,দুটা সংখ্যা 2k আৰু 3k। LCM×HCF = সংখ্যাদুটাৰ গুণফল =6k²=96 ⇒ k=4। সংখ্যা 8 আৰু 12; যোগফল 20।,Mathematics,"LCM, HCF and Ratio"
50. A-ৰ salary B-তকৈ 25% বেছি। A-ৰ তুলনাত B-ৰ salary কিমান শতাংশ কম?,20%,25%,12.5%,16⅔%,A,"B=100 ধৰা হলে A=125। B, A-তকৈ কম =25/125×100=20%।",Mathematics,Percentage
51. এটা group-ৰ কিছুমান ল'ৰাৰ মাজত 98টা toffee বিতৰণ কৰা হ'ল। প্ৰতিজন ল'ৰাই ল'ৰাৰ সংখ্যাৰ দুগুণ toffee পালে। ল'ৰাৰ সংখ্যা কিমান?,5,7,10,14,B,ল'ৰাৰ সংখ্যা n হলে প্ৰতিজনে 2nটা আৰু মুঠ n×2n=98। সেয়ে n²=49 ⇒ n=7।,Mathematics,Algebra / Word Problems
"52. যদি cos θ = b/a, তেন্তে sec θ-ৰ মান কিমান?",b/√(a²−b²),a/b,√(a²−b²)/b,b/a,B,sec θ = 1/cos θ। সেয়ে cos θ=b/a হলে sec θ=a/b।,Mathematics,Trigonometry
53. এটা equilateral triangle-ৰ perimeter 6 cm। ইয়াৰ area কিমান?,6 cm²,√3 cm²,3 cm²,3√3 cm²,B,Side =6/3=2 cm। Equilateral triangle-ৰ area=(√3/4)a²=(√3/4)×4=√3 cm²।,Mathematics,Geometry
54. √0.04 + √1.44 + √1.69 + √0.0009-ৰ মান কিমান?,1.73,2.03,2.73,1.03,C,"√0.04=0.2, √1.44=1.2, √1.69=1.3, √0.0009=0.03। যোগফল=2.73।",Mathematics,Square Roots / Decimals
55. এটা সংখ্যাৰ 45% আন এটা সংখ্যাৰ 30%-ৰ সমান। প্ৰথম সংখ্যা : দ্বিতীয় সংখ্যাৰ অনুপাত কিমান?,2:3,3:2,3:5,2:5,A,0.45x=0.30y ⇒ x/y=0.30/0.45=2/3।,Mathematics,Ratio and Percentage
56. Liza-ই প্ৰতিদিনে আগৰ দিনতকৈ ₹12 বেছি জমা কৰে। প্ৰথম দিনা ₹12 জমা কৰিলে 30 দিনত মুঠ কিমান জমা হ'ব?,"₹5,420","₹5,580","₹5,620","₹5,780",B,"AP-ত a=12,d=12,n=30। S=n/2[2a+(n−1)d]=15[24+348]=₹5,580।",Mathematics,Arithmetic Progression
"57. তথ্যসমষ্টি 1, 2, 4, 1, 5, 12, 7, 8, 5, 1, 16, 17, 12-ৰ median কিমান?",8,7,5,4,B,13টা মান সজালে 7ম মানটো 7 হয়। সেয়ে median=7।,Mathematics,Statistics
58. √(225/729) − √(25/144) − √(16/81)-ৰ মান কিমান?,−5/9,−7/12,−20/27,−11/36,D,"√225/729=5/9, √25/144=5/12 আৰু √16/81=4/9। 5/9−4/9−5/12=1/9−5/12=−11/36।",Mathematics,Surds and Fractions
59. A-ই P-ৰ পৰা 1 m/s বেগে 1:00 p.m.-ত যাত্ৰা আৰম্ভ কৰে। B-ই একে স্থানৰ পৰা একে দিশত 1:10 p.m.-ত 2 m/s বেগে যাত্ৰা কৰে। B-ই Q-ত A-ক লগ পালে PQ কিমান?,1.5 km,1.75 km,1.2 km,1.25 km,C,A-এ 10 মিনিটত 600 m আগবাঢ়ে। Relative speed=2−1=1 m/s। B-এ 600 s-ত ধৰে আৰু Q-লৈ B-ৰ দূৰত্ব=1200 m=1.2 km।,Mathematics,"Time, Speed and Distance"
60. এটা article-ৰ price প্ৰথমে 40% কমাই আৰু পিছত 20% বঢ়ালে net change কিমান?,20%,40%,24%,28%,D,মূল 100 ধৰা হলে 40% কমি 60 হয়; 20% বৃদ্ধি পালে 72 হয়। Net decrease=28%।,Mathematics,Percentage
"61. Moon-ত ______ air, কাৰণ Moon-ৰ gravitational field atmosphere ধৰি ৰাখিবলৈ অতি দুৰ্বল।",there is no,where no,no,is no,A,"শুদ্ধ বাক্য: “On the moon, there is no air because …”। Subject-verb construction অনুসৰি A সঠিক।",English,Grammar / Sentence Completion
62. camera lens-ৰ সন্মুখত ______ film-লৈ যোৱা পোহৰৰ ৰং সলনি কৰে।,Placed a filter,A filter is placed,A filter placed,When a filter placed,B,সম্পূৰ্ণ grammatical clause হৈছে “A filter is placed in front of a camera lens …”।,English,Grammar / Sentence Structure
"63. 1850 চনত Yale University-এ Sheffield Scientific School স্থাপন কৰিছিল, ______।",engineers were educated there,where engineers were educated,"in which, were engineers educated",where were engineers educated,B,School-টোৰ স্থান বুজাবলৈ relative adverb “where” ব্যৱহাৰ হয়: “where engineers were educated.”,English,Grammar / Relative Clauses
64. তলৰ কোনটো pair-ৰ শব্দ দুটা synonym?,Emigrant – Immigrant,Piece – Pierce,Frugal – Thrifty,Irritate – Instigate,C,Frugal আৰু thrifty দুয়োটাই মিতব্যয়ী/কম খৰচী বুজায়; সেয়ে synonym।,English,Synonyms
65. তলৰ কোনটো pair-ৰ শব্দ দুটা synonym?,Rely – Resist,Rule – Rue,Secret – Clandestine,Site – Sight,C,Secret আৰু clandestine দুয়োটাই গোপন বুজায়।,English,Synonyms
66. তলৰ কোনটো pair-ৰ শব্দ দুটা synonym?,Deride – Arrive,Derive – Divide,Deride – Mock,Mock – Praise,C,Deride মানে mock বা উপহাস কৰা। সেয়ে C সঠিক।,English,Synonyms
67. তলৰ কোনটো pair-ৰ শব্দ দুটা synonym?,Citizen – Foreigner,Citizen – Emigrant,Citizen – Subject,Citizen – Immigrant,C,Citizen আৰু subject দুয়োটাই কোনো ৰাষ্ট্ৰৰ আইনগত সদস্য/অধীনস্থ ব্যক্তি বুজাব পাৰে; দিয়া বিকল্পসমূহত C-ই intended synonym pair।,English,Synonyms
68. তলৰ কোনটো pair-ৰ শব্দ দুটা antonym?,Folly – Stupidity,Sweet – Salty,Visible – Unvisible,Scatter – Collect,D,"Scatter মানে ছটিয়াই দিয়া, Collect মানে সংগ্ৰহ কৰা—দুয়োটা বিপৰীত অৰ্থৰ।",English,Antonyms
69. তলৰ কোনটো pair-ৰ শব্দ দুটা antonym?,Advance – Retreat,Abandon – Desert,Elevate – Raise,Value – Success,A,Advance মানে আগবঢ়া আৰু Retreat মানে পিছুৱাই যোৱা—ইহঁত antonym।,English,Antonyms
70. তলৰ কোনটো pair-ৰ শব্দ দুটা antonym?,Acquit – Convict,Expect – Hope,Faithful – Loyal,End – Finish,A,Acquit মানে দোষমুক্ত কৰা; Convict মানে দোষী সাব্যস্ত কৰা। সেয়ে ইহঁত antonym।,English,Antonyms
71. “To split hairs” idiom-টোৰ অৰ্থ কি?,তীব্ৰভাৱে কাজিয়া কৰা,প্ৰতিটো সৰু কথাত অভিযোগ কৰা,তুচ্ছ কথাক লৈ তৰ্ক কৰা,প্ৰতিটো detail অতি সূক্ষ্মভাৱে অধ্যয়ন কৰা,C,“Split hairs” মানে অতি তুচ্ছ বা সূক্ষ্ম পাৰ্থক্যক লৈ তৰ্ক কৰা।,English,Idioms
72. “Nail the lie to the counter”-ৰ অৰ্থ কি?,কোনো ব্যক্তিক কিবা এটাৰ বাবে দোষ দিয়া,ৰাজহুৱাভাৱে মিছা/ভুলটো উন্মোচন কৰা,অভিযোগৰ তদন্ত কৰা,জোৰেৰে মিছা কোৱা,B,এই idiom-ৰ অৰ্থ হৈছে কোনো মিছা কথা স্পষ্টভাৱে উন্মোচন বা খণ্ডন কৰা।,English,Idioms
73. “To see red”-ৰ অৰ্থ কি?,অত্যন্ত খঙাল হোৱা,বিপদ দেখা,সূৰ্যাস্ত,মাতাল হোৱা,A,“See red” মানে অতি খঙত থকা।,English,Idioms
74. “To hit below the belt”-ৰ অৰ্থ কি?,প্ৰতিদ্বন্দ্বীক trick কৰা,প্ৰতিদ্বন্দ্বীক পৰাস্ত কৰা,ঘোচ লোৱা,প্ৰতিযোগিতাত অন্যায়ভাৱে আচৰণ কৰা,D,এই idiom-এ অন্যায় বা অনৈতিক পদ্ধতি ব্যৱহাৰ কৰা বুজায়।,English,Idioms
75. “To beat about the bush”-ৰ অৰ্থ কি?,জোপোহা ছাঁটাই কৰা,বিষয়টো পোনপটীয়াকৈ আগবঢ়োৱা,বিষয়টো ঘূৰাই-পকাই কোৱা,বিষয়টো অনন্তকাল আলোচনা কৰা,C,“Beat about the bush” মানে মূল কথাটো পোনপটীয়াকৈ নকৈ ঘূৰাই-পকাই কোৱা।,English,Idioms
76. “Bird in hand is better than two in the bush”-ৰ অৰ্থ কি?,সম্ভাৱনাতকৈ সম্ভাৱ্যতা ভাল,সম্ভাৱনাতকৈ নিশ্চিত বস্তু ভাল,সম্ভাৱ্যতাতকৈ সম্ভাৱনা ভাল,সম্ভাৱ্যতাই নিশ্চয়তা বুজায়,B,হাতত থকা নিশ্চিত বস্তু অনিশ্চিত দুটা সম্ভাৱনাতকৈ মূল্যৱান—ইয়াই idiom-টোৰ অৰ্থ।,English,Proverbs / Idioms
77. শুদ্ধ ক্ৰম বাছি বাক্যটো সম্পূৰ্ণ কৰা: I. I smelled the gas II. Door of my house then III. As soon as IV. I opened the front,"I, II, III, IV","II, III, IV, I","III, IV, II, I","III, IV, I, II",D,"“As soon as I opened the front door of my house, then I smelled the gas” — দিয়া বিকল্পসমূহৰ ভিতৰত D-ই intended order।",English,Sentence Arrangement
"78. তলৰ বাক্যটোৰ কোনটো অংশত error আছে? “The movement which aims at raising awareness about climate change, hopes to bring people together to think about what they can do for reducing harmful pollution.”",IV,III,I,II,D,“movement” আৰু “hopes”ৰ মাজত অপ্রয়োজনীয় comma আছে। Error থকা অংশ II।,English,Error Detection
"79. “For the little boy, a lolly was tangible, whereas a promise was not.” বাক্যটোত tangible-ৰ অৰ্থ কি?",Basic,Untouchable,Actual,Edible,C,Tangible মানে বাস্তৱ/স্পৰ্শ কৰিব পৰা বা concretely উপলব্ধ। দিয়া বিকল্পত “Actual” সঠিক।,English,Vocabulary
80. তলৰ কোনটো বাক্য শুদ্ধ?,My thoughts are with the families of those who have lost their loved ones in this unfortunate accident.,My thoughts are with the families of those who has lost their loved ones in this unfortunate incident.,My thoughts are with the families of those who have lost their loved ones in this unfortunate events.,My thoughts are with the families of those who have lost their loved ones in this unfortunate incidents.,A,“Those who have lost … accident” grammatical agreement আৰু singular noun usage অনুসৰি A সঠিক।,English,Grammar / Error Detection
81. English alphabet-ৰ right-ৰ পৰা 16তম আখৰৰ left-ৰ পৰা 7তম আখৰটো কোনটো?,D,W,R,E,A,Right-ৰ পৰা 16তম = K (26−16+1=11তম from left)। K-ৰ left-লৈ 7তম আখৰ D।,Reasoning,Alphabet Test
"82. পাঁচজন ল'ৰা ভিতৰলৈ মুখ কৰি circle-ত বহিছে। Ajay, Rohit আৰু Doljit-ৰ মাজত আছে। Suman, Shyamal-ৰ বাওঁফালে আৰু Rohit, Suman-ৰ বাওঁফালে আছে। Ajay-ৰ ঠিক সোঁফালে কোন বহিছে?",Suman,Shyamal,Rohit,Doljit,C,শর্তসমূহ circle-ত বসালে Ajay-ৰ immediate right-ত Rohit থাকে।,Reasoning,Circular Seating Arrangement
83. এজন মানুহ তেওঁৰ পত্নীতকৈ 3 বছৰ ডাঙৰ আৰু পুত্ৰৰ বয়সৰ 4 গুণ। পুত্ৰ 3 বছৰৰ পিছত 15 বছৰীয়া হ'ব। বৰ্তমান পত্নীৰ বয়স কিমান?,60,51,48,45,D,পুত্ৰৰ বৰ্তমান বয়স=15−3=12। মানুহজন=4×12=48। পত্নী=48−3=45।,Reasoning,Age Problems
84. পুৱা Sarita আৰু Savita এজনে আনজনৰ ফালে garden-ত আহি আছিল। Savita-ই দেখিলে Sarita-ৰ shadow তেওঁৰ বাঁওফালে। Savita কোন দিশলৈ মুখ কৰি আছিল?,South,East,North,West,C,"পুৱা সূৰ্য পূবত থাকে, সেয়ে shadow পশ্চিমলৈ। Sarita-ৰ বাঁওফালে পশ্চিম থাকিবলৈ Sarita দক্ষিণমুখী। সেয়ে বিপৰীত দিশত থকা Savita উত্তৰমুখী।",Reasoning,Direction Sense
