question_text (English & Assamese text if available),option_A,option_B,option_C,option_D,correct_option,explanation (Detailed step-by-step solution English),subject,topic / subtopic tag
"English: 11. Which of the following is a hill district of Assam?
Assamese: নিম্নলিখিতসমূহৰ কোনখন অসমৰ এক পাৰ্বত্য জিলা ?",Cachar,Dima Hasao,Karimganj,Golaghat,B,Step 1: Identify Assam's hill districts among the options. Step 2: Dima Hasao is a hill district of Assam. Step 3: Correct option: B.,Assam GK,Assam Geography – Hill Districts
"English: 12. Who is known as the ‘Iron Man of India’ ?
Assamese: কোনগৰাকী ব্যক্তিক ‘ভাৰতৰ লৌহমানৱ’ বুলি জনা যায়?",Mahatma Gandhi,Sardar Vallabhbhai Patel,Ishwar Chandra Vidyasagar,Radha Govinda Baruah,B,Step 1: Identify the person popularly called the Iron Man of India. Step 2: This title refers to Sardar Vallabhbhai Patel. Step 3: Correct option: B.,Assam GK,Indian History – Sardar Patel
"English: 13. How many spokes are there in the Chakra of our National Flag?
Assamese: আমাৰ ৰাষ্ট্ৰীয় পতাকাৰ চক্ৰত কিমানডাল দণ্ড আছে?",24,36,18,32,A,Step 1: The Ashoka Chakra on India's national flag contains 24 spokes. Step 2: Therefore the required number is 24. Step 3: Correct option: A.,Assam GK,Indian Polity – National Flag
"English: 14. Who is presently the Supreme Commander of the Defence Forces of India?
Assamese: বৰ্তমান ভাৰতৰ প্ৰতিৰক্ষা বাহিনীৰ সৰ্বাধিনায়ক কোন?",Narendra Modi,Rajnath Singh,Droupadi Murmu,Anil Chauhan,C,"Step 1: The Constitution designates the President of India as Supreme Commander of the Defence Forces. Step 2: As of the question's context, that person is Droupadi Murmu. Step 3: Correct option: C.",Assam GK,Indian Polity – Supreme Commander
"English: 15. As on 1st of January, 2024, which two countries are at war?
Assamese: 2024 বৰ্ষৰ 1 জানুৱাৰী সাপেক্ষে কোন দুখন দেশ যুদ্ধৰত হৈ আছে?",Israel and Saudi Arabia,Russia and Ukraine,India and Pakistan,North Korea and Vietnam,B,Step 1: Use the date specified in the question. Step 2: The major interstate war referred to was between Russia and Ukraine. Step 3: Correct option: B.,Assam GK,Current Affairs – Russia-Ukraine War
"English: 16. Which of the following countries has ‘Ngultrum’ as its currency?
Assamese: ‘নগালট্ৰম’ কোনখন দেশৰ মুদ্ৰাৰ নাম?",Myanmar,Indonesia,Bhutan,Vietnam,C,Step 1: Identify the currency called Ngultrum. Step 2: Ngultrum is the currency of Bhutan. Step 3: Correct option: C.,Assam GK,World Geography – Currencies
"English: 17. In which sport did Lovlina Borgohain win an Olympic medal?
Assamese: কোনটো খেলত লাভলিনা বৰগোহাঁয়ে অলিম্পিক পদক লাভ কৰিছিল?",Wrestling,Judo,Taekwondo,Boxing,D,Step 1: Identify Lovlina Borgohain's Olympic sport. Step 2: She won an Olympic bronze medal in boxing. Step 3: Correct option: D.,Assam GK,Sports – Boxing
"English: 18. The poem collection Xugondhi Pokhila was written by
Assamese: ‘সুগন্ধি পখিলা’ নামৰ কবিতা-সংকলনখনৰ ৰচয়িতা হৈছে",Nabakanta Baruah,Hiren Bhattacharyya,Nirmal Prabha Bordoloi,Nalinidhar Bhattacharyya,B,Step 1: Identify the Assamese poet associated with Xugondhi Pokhila. Step 2: The collection is associated with Hiren Bhattacharyya. Step 3: Correct option: B.,Assam GK,Assam Literature – Xugondhi Pokhila
"English: 19. Which sport is the term ‘Ring’ associated with?
Assamese: ‘ৰিং’ শব্দটো কোনবিধ খেলৰ সৈতে জড়িত?",Boxing,Football,Swimming,Volleyball,A,"Step 1: In sports terminology, a 'ring' is the playing area used in boxing. Step 2: Therefore the sport is boxing. Step 3: Correct option: A.",Assam GK,Sports – Boxing Terminology
"English: 20. Which of the following movies was not made by Bhabendra Nath Saikia?
Assamese: নিম্নলিখিত কোনখন বোলছবি ভবেন্দ্ৰ নাথ শইকীয়া দেৱে নিৰ্মাণ কৰা নাছিল ?",Krishnachura,Agnisnaan,Kolahal,Sandhya Raag,A,Step 1: Compare the listed films with the works of Bhabendra Nath Saikia. Step 2: The paper's key identifies Krishnachura as the film not made by him. Step 3: Correct option: A.,Assam GK,Assam Cinema – Bhabendra Nath Saikia
"English: 21. As on December 31, 2023, which of the following was the highest denomination currency note of India?
Assamese: 2023 চনৰ 31 ডিচেম্বৰ সাপেক্ষে ভাৰতত প্ৰচলিত সৰ্বাধিক মূল্যৰ মুদ্ৰা নোট কোনখন ?","R2,000","R1,000","R20,000","R5,000",A,"Step 1: Use the date specified: 31 December 2023. Step 2: The highest denomination Indian currency note in the stated context was ₹2,000. Step 3: Correct option: A.",Assam GK,Indian Economy – Currency
"English: 22. ‘Dokhona’ is the traditional dress for women of which community?
Assamese: ‘দখনা’ কোন সম্প্ৰদায়ৰ মহিলাসকলৰ পৰম্পৰাগত সাজ-পোছাক?",Tiwa,Khamti,Muttock,Bodo,D,Step 1: Identify the community whose women's traditional dress is Dokhona. Step 2: Dokhona is the traditional attire associated with Bodo women. Step 3: Correct option: D.,Assam GK,Assam Culture – Traditional Dress
"English: 23. Maniram Dewan was involved in which of the following?
Assamese: মণিৰাম দেৱান নিম্নলিখিত কোনটোৰ লগত জড়িত আছিল ?",Peasants Uprising of Patharughat,Phulaguri Dhewa,1857 Rebellion,Quit India Movement,C,Step 1: Maniram Dewan was a prominent figure in Assam's resistance to British rule. Step 2: He was involved in the 1857 Rebellion. Step 3: Correct option: C.,Assam GK,Assam History – Maniram Dewan
"English: 24. Name the State in which the Thar Desert is located.
Assamese: থৰ মৰুভূমি কোন ৰাজ্যত অৱস্থিত?",Punjab,Haryana,Rajasthan,Maharashtra,C,Step 1: Locate the Thar Desert on the map of India. Step 2: The largest part of the Thar Desert lies in Rajasthan. Step 3: Correct option: C.,Assam GK,Indian Geography – Thar Desert
"English: 25. Looking from Assam, in which general direction is New Delhi located?
Assamese: অসমৰ পৰা লক্ষ্য কৰিলে, নতুন দিল্লী কোন দিশত অৱস্থিত?",North-East,West,South-West,South,B,"Step 1: New Delhi lies to the west of Assam. Step 2: Therefore, when viewed from Assam, the general direction is west. Step 3: Correct option: B.",Assam GK,Indian Geography – Direction from Assam
"English: 26. “A person who sets up a business, taking on financial risk in the hope of profit” is termed as
Assamese: ‘লাভৰ আশাৰে বিত্তীয় বিপদাশংকা বহন কৰি যি ব্যক্তিয়ে ব্যৱসায় স্থাপন কৰে’ তেওঁক বোলা হয়",capitalist,entrepreneur,businessman,investor,B,Step 1: The definition describes someone who starts a business and accepts financial risk for possible profit. Step 2: The correct term is entrepreneur. Step 3: Correct option: B.,Assam GK,Business & Economy – Entrepreneur
"English: 27. Which of the following rivers flows from South to North?
Assamese: নিম্নলিখিত কোনখন নদী দক্ষিণৰ পৰা উত্তৰ দিশলৈ বৈ যায়?",Subansiri,Manas,Kopili,Ranganadi,C,Step 1: Compare the general flow directions of the listed rivers. Step 2: Kopili is the river identified by the question as flowing from south to north. Step 3: Correct option: C.,Assam GK,Indian Geography – Rivers
"English: 28. The Assamese food item ‘Hurum’ is prepared from
Assamese: অসমীয়া খাদ্য ‘হুৰুম’ কিহৰ পৰা প্ৰস্তুত কৰা হয়?",Tal jaggery,betel leaves,bamboo shoots,Bora rice,D,Step 1: Identify the traditional Assamese food item Hurum. Step 2: It is prepared from Bora rice. Step 3: Correct option: D.,Assam GK,Assam Food Culture – Hurum
"English: 29. A distinguishing characteristic of trade at Jonbeel Mela is
Assamese: জোনবিল মেলাত বাণিজ্যৰ স্বতন্ত্ৰ বৈশিষ্ট্যটো হ’ল",only banana is traded,women are not permitted,buffalo fight,barter system,D,"Step 1: Identify the distinctive trading practice of Jonbeel Mela. Step 2: Its traditional feature is barter, where goods are exchanged without money. Step 3: Correct option: D.",Assam GK,Assam Culture – Jonbeel Mela
"English: 30. Dhokla and Fafda are traditional snacks of which State?
Assamese: ধোক্‌লা আৰু ফাপ্ৰা কোনখন ৰাজ্যৰ পৰম্পৰাগত জলপান ?",Rajasthan,Punjab,Gujarat,Goa,C,Step 1: Dhokla and Fafda are traditional foods of western India. Step 2: They are strongly associated with Gujarat. Step 3: Correct option: C.,Assam GK,Indian Culture – Gujarat Cuisine
"English: 31. Which of the following is the Lower House of the Parliament of India?
Assamese: নিম্নলিখিতসমূহৰ কোনটো ভাৰতৰ সংসদৰ নিম্নসদন?",Vidhan Sabha,Rajya Sabha,Lok Sabha,Vidhan Parishad,C,Step 1: India has two Houses of Parliament: Lok Sabha and Rajya Sabha. Step 2: Lok Sabha is the Lower House. Step 3: Correct option: C.,Assam GK,Indian Polity – Parliament
"English: 32. Which of the following States is known to have highest coal reserves?
Assamese: নিম্নলিখিত কোনখন ৰাজ্যত সৰ্বাধিক কয়লাৰ ভাণ্ডাৰ আছে বুলি জনাজাত?",Jharkhand,Maharashtra,Karnataka,Mizoram,A,Step 1: Identify the Indian state with the highest coal reserves among the options. Step 2: Jharkhand is the intended answer. Step 3: Correct option: A.,Assam GK,Indian Geography – Coal Reserves
"English: 33. Maibong was the capital of which kingdom?
Assamese: মাইবং কোনখন ৰাজ্যৰ ৰাজধানী আছিল?",Koch Kingdom,Dimasa Kingdom,Chutiya Kingdom,Kamata Kingdom,B,Step 1: Maibong was an important historical capital in Assam's hill region. Step 2: It was the capital of the Dimasa Kingdom. Step 3: Correct option: B.,Assam GK,Assam History – Dimasa Kingdom
"English: 34. Dandi Yatra was a part of the
Assamese: দাণ্ডী যাত্ৰা কোনটোৰ অংশ আছিল?",Quit India Movement,Non-Cooperation Movement,Civil Disobedience Movement,Purna Swaraj,C,Step 1: Dandi Yatra was a major Gandhian mass movement against the British salt laws. Step 2: It formed part of the Civil Disobedience Movement. Step 3: Correct option: C.,Assam GK,Indian History – Civil Disobedience Movement
"English: 35. Which of the following is not the name of a district of Assam?
Assamese: নিম্নলিখিতসমূহৰ কোনটো অসমৰ এক জিলাৰ নাম নহয়?",West Goalpara,Kamrup Metropolitan,South Salmara-Mankachar,West Karbi Anglong,A,Step 1: Check which option is not an Assam district name. Step 2: West Goalpara is not the name of an Assam district. Step 3: Correct option: A.,Assam GK,Assam Geography – Districts
"English: 36. Which State lies towards the North of Assam?
Assamese: অসমৰ উত্তৰ দিশত কোনখন ৰাজ্য অৱস্থিত?",Arunachal Pradesh,Meghalaya,Sikkim,Nagaland,A,Step 1: Identify the state immediately to the north of Assam. Step 2: Arunachal Pradesh lies along Assam's northern boundary. Step 3: Correct option: A.,Assam GK,Assam Geography – Neighbouring States
"English: 37. Which of the following is not a Fundamental Right?
Assamese: নিম্নলিখিতসমূহৰ কোনটো মৌলিক অধিকাৰ নহয়?",Right to equality,Right to freedom,Right to digital information,Right to constitutional remedies,C,Step 1: Recall the Fundamental Rights listed in Part III of the Constitution. Step 2: A 'Right to digital information' is not a constitutional Fundamental Right. Step 3: Correct option: C.,Assam GK,Indian Polity – Fundamental Rights
"English: 38. Which is the capital city of the United States of America?
Assamese: আমেৰিকা যুক্তৰাষ্ট্ৰৰ ৰাজধানী চহৰ কি?",New York,"Washington, DC",Chicago,San Francisco,B,"Step 1: Identify the capital of the United States. Step 2: The capital is Washington, D.C. Step 3: Correct option: B.",Assam GK,World Geography – Capitals
"English: 39. Who composed the poem Korotolo Komolo?
Assamese: ‘কৰতল কমল’ কবিতাটি কোনে ৰচনা কৰিছিল?",Nilamoni Phukan,Mahapurush Madhavdev,Srimanta Sankardev,Nabakanta Baruah,C,Step 1: Identify the author of the devotional poem Korotolo Komolo. Step 2: It is attributed to Srimanta Sankardev. Step 3: Correct option: C.,Assam GK,Assam Culture – Srimanta Sankardev
"English: 40. Magh Bihu is a festival celebrated in which month?
Assamese: মাঘ বিহু উৎসৱটো কোন মাহত পালন কৰা হয়?",April,January,October,March,B,Step 1: Magh Bihu is the harvest festival associated with the Assamese month of Magh. Step 2: It falls in January. Step 3: Correct option: B.,Assam GK,Assam Culture – Magh Bihu
"English: 41. What was the real name of Mahatma Gandhi?
Assamese: মহাত্মা গান্ধীৰ প্ৰকৃত নাম কি আছিল?",Mohandas Kumar Gandhi,Mohansingh Karamchand Gandhi,Mohandas Karamsingh Gandhi,Mohandas Karamchand Gandhi,D,Step 1: Recall Mahatma Gandhi's birth name. Step 2: His full name was Mohandas Karamchand Gandhi. Step 3: Correct option: D.,Assam GK,Indian History – Mahatma Gandhi
"English: 42. Who was involved in the Kalinga War?
Assamese: কলিংগ যুদ্ধত কোন জড়িত আছিল?",Ashoka,Bimbisara,Bindusara,Samudragupta,A,Step 1: The Kalinga War was fought during the reign of the Mauryan emperor Ashoka. Step 2: Therefore Ashoka is the correct choice. Step 3: Correct option: A.,Assam GK,Indian History – Kalinga War
"English: 43. Who was the first Mughal emperor?
Assamese: প্ৰথমগৰাকী মোগল সম্ৰাট কোন আছিল?",Humayun,Aurangzeb,Babur,Akbar,C,Step 1: Identify the founder of the Mughal Empire in India. Step 2: Babur was the first Mughal emperor. Step 3: Correct option: C.,Assam GK,Indian History – Mughal Empire
"English: 44. When was Bangladesh created?
Assamese: বাংলাদেশ কেতিয়া সৃষ্টি হৈছিল?",1947,1962,1951,1971,D,Step 1: Bangladesh emerged as an independent country after the 1971 Liberation War. Step 2: Therefore the year is 1971. Step 3: Correct option: D.,Assam GK,Modern History – Bangladesh Liberation
"English: 45. Identify the incorrect pair of State and capital city of India.
Assamese: ভাৰতবৰ্ষৰ ৰাজ্য আৰু ৰাজধানী চহৰৰ অশুদ্ধ যোৰটো চিনাক্ত কৰক।",Uttarakhand : Mussoorie,West Bengal : Kolkata,Chhattisgarh : Raipur,Goa : Panaji,A,Step 1: Check each state-capital pair. Step 2: Uttarakhand's capital is not Mussoorie; the intended capital is Dehradun. Step 3: Therefore the incorrect pair is option A.,Assam GK,Indian Geography – State Capitals
"English: 46. Which of the following positions is appointed by the President of India?
Assamese: নিম্নলিখিত কোনটো পদৰ নিযুক্তি ভাৰতৰ ৰাষ্ট্ৰপতিয়ে দিয়ে?",The Governor of a State,The Chief Minister of a State,The Speaker of the Legislative Assembly,The Cabinet Minister of a State,A,Step 1: Identify offices appointed by the President under the Constitution. Step 2: The Governor of a State is appointed by the President. Step 3: Correct option: A.,Assam GK,Indian Polity – Constitutional Appointments
"English: 47. Which statement is not correct?
Assamese: কোনটো উক্তি শুদ্ধ নহয়?",Visakhapatnam is a port city of Andhra Pradesh.,Narmada is a river.,Kanchenjunga is a Himalayan peak.,Chilika Lake is in Gujarat.,D,"Step 1: Check the geographical location of Chilika Lake. Step 2: Chilika Lake is in Odisha, not Gujarat. Step 3: Therefore that statement is incorrect: option D.",Assam GK,Indian Geography – Lakes
"English: 48. Which material is the ‘Gogona’ made of ?
Assamese: ‘গগনা’ কোনটো সামগ্ৰীৰে তৈয়াৰ কৰা হয়?",Bamboo,Terra-cotta,Copper,Buffalo horn,A,Step 1: Identify the traditional Assamese instrument Gogona. Step 2: It is traditionally made from bamboo. Step 3: Correct option: A.,Assam GK,Assam Culture – Gogona
"English: 49. Which country did Nelson Mandela belong to?
Assamese: নেলচন মেণ্ডেলা কোনখন দেশৰ আছিল?",Brazil,Switzerland,South Africa,Argentina,C,Step 1: Identify Nelson Mandela's country. Step 2: Mandela was a South African anti-apartheid leader and later president. Step 3: Correct option: C.,Assam GK,World History – Nelson Mandela
"English: 50. Which continent is the Sahara Desert located in?
Assamese: চাহাৰা মৰুভূমি কোনখন মহাদেশত অৱস্থিত?",Australia,Africa,Europe,Asia,B,Step 1: Locate the Sahara Desert. Step 2: It spans much of northern Africa. Step 3: Correct option: B.,Assam GK,World Geography – Continents
"English: 51. Which country is known as the ‘Gift of the Nile’?
Assamese: কোনখন দেশক ‘নীল নদীৰ দান’ বুলি জনা যায়?",Egypt,Lebanon,Israel,Saudi Arabia,A,Step 1: The Nile is the major river historically associated with Egypt's civilisation. Step 2: Egypt is therefore called the 'Gift of the Nile'. Step 3: Correct option: A.,Assam GK,World Geography – Nile
"English: 52. Which vitamin is vital for bones and teeth?
Assamese: হাড় আৰু দাঁতৰ বাবে কোনবিধ ভিটামিন অতি প্ৰয়োজনীয়?",Vitamin D,Vitamin B,Vitamin C,Vitamin A,A,Step 1: Bone mineralisation depends strongly on adequate vitamin D. Step 2: Vitamin D helps the body absorb calcium and supports bones and teeth. Step 3: Correct option: A.,General Science,General Science – Vitamins
"English: 53. The normal blood pressure reading for an adult human is
Assamese: এজন প্ৰাপ্তবয়স্ক মানুহৰ বাবে ৰক্তচাপৰ স্বাভাৱিক মান হৈছে",65/85 mm Hg,95/155 mm Hg,80/120 mm Hg,65/140 mm Hg,C,"Step 1: The standard reference for normal adult blood pressure is about 120/80 mm Hg. Step 2: The paper's option C is printed as 80/120 mm Hg, and the final answer key marks C. Step 3: Correct option according to the paper's key: C.",General Science,General Science – Blood Pressure
"English: 54. Which of the following IPL teams did Mahendra Singh Dhoni captain?
Assamese: মহেন্দ্ৰ সিং ধোনীয়ে নিম্নলিখিত কোনটো আইপিএল দলৰ অধিনায়কত্ব কৰিছিল?",Mumbai Indians,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bengaluru,B,Step 1: Identify the IPL team captained by Mahendra Singh Dhoni. Step 2: Dhoni has captained Chennai Super Kings. Step 3: Correct option: B.,Assam GK,Sports – IPL
"English: 55. As on 1st of January, 2024, who is the Minister for Panchayat and Rural Development of Assam?
Assamese: 2024 চনৰ 1 জানুৱাৰী সাপেক্ষে অসমৰ পঞ্চায়ত আৰু গ্ৰামোন্নয়ন বিভাগৰ মন্ত্ৰী কোন?",Chandra Mohan Patwari,Ranjeet Kumar Dass,Atul Bora,Urkhao Gwra Brahma,B,Step 1: Use the date specified in the question. Step 2: The answer identified for Assam's Panchayat and Rural Development portfolio is Ranjeet Kumar Dass. Step 3: Correct option: B.,Assam GK,Assam Current Affairs – State Government
"English: 56. Who wrote the book Runs and Ruins?
Assamese: ‘Runs and Ruins’ নামৰ কিতাপখন কোনে লিখিছিল?",Kapil Dev,Ravi Shastri,Sachin Tendulkar,Sunil Gavaskar,D,Step 1: Identify the author of Runs and Ruins. Step 2: The book is attributed in the paper to Sunil Gavaskar. Step 3: Correct option: D.,Assam GK,Sports & Literature – Runs and Ruins
"English: 57. In which language was Munshi Premchand’s novel Godaan written?
Assamese: মুন্সি প্রেমচান্দৰ উপন্যাস ‘গোদান’ কোন ভাষাত লিখা হৈছিল?",Urdu,Konkani,Hindi,Gujarati,C,Step 1: Munshi Premchand wrote primarily in Hindi and Urdu. Step 2: Godaan is a Hindi novel. Step 3: Correct option: C.,Assam GK,Indian Literature – Munshi Premchand
"English: 58. What is understood by Tsunami?
Assamese: ছুনামী বুলিলে কি বুজা যায়?",A very powerful cyclone,A major earthquake in the Himalayas,Heavy floods in Eastern India,High waves in coastal areas,D,Step 1: A tsunami is a series of long sea waves generated by large disturbances of the ocean floor or water column. Step 2: The option describing high waves in coastal areas is the intended answer. Step 3: Correct option: D.,General Science,General Science – Tsunami
"English: 59. In Assamese literature, who wrote under the pen name of Saurabh Kumar Chaliha?
Assamese: সৌৰভ কুমাৰ চলিহা ছদ্মনামেৰে কোনে অসমীয়া সাহিত্যত লিখা-মেলা কৰিছিল?",Surendra Nath Medhi,Nabakanta Baruah,Lakshminath Bezbaruah,Bhabendra Nath Saikia,A,Step 1: Identify the Assamese writer who used the pen name Saurabh Kumar Chaliha. Step 2: The pen name is associated with Surendra Nath Medhi. Step 3: Correct option: A.,Assam GK,Assam Literature – Saurabh Kumar Chaliha
"English: 60. By which Assamese author was Mamore Dhora Tarowal written?
Assamese: ‘মামৰে ধৰা তৰোৱাল’ কোনগৰাকী অসমীয়া লেখকে ৰচনা কৰিছিল?",Rita Choudhury,Nirupama Borgohain,Chandana Goswami,Mamoni Raisom Goswami,D,Step 1: Identify the author of Mamore Dhora Tarowal. Step 2: The work is associated with Mamoni Raisom Goswami. Step 3: Correct option: D.,Assam GK,Assam Literature – Mamore Dhora Tarowal
"English: 61. Which of the following has two humps on its back?
Assamese: নিম্নলিখিতসমূহৰ কোনটোৰ পিঠিত দুটাকৈ কুঁজ আছে?",Nilgai,Arabian camel,Bactrian camel,Black panther,C,"Step 1: Identify the animal with two humps. Step 2: The Bactrian camel has two humps, unlike the one-humped dromedary. Step 3: Correct option: C.",General Science,General Science – Animals
"English: 62. In which city of India is the Charminar located?
Assamese: ভাৰতৰ কোনখন চহৰত চাৰমিনাৰ অৱস্থিত?",Hyderabad,Chennai,Prayagraj,Chandigarh,A,"Step 1: Locate the Charminar. Step 2: It is the famous monument in Hyderabad, Telangana. Step 3: Correct option: A.",Assam GK,Indian Geography – Charminar
"English: 63. What is the length of a cricket pitch between the stumps?
Assamese: ক্ৰিকেট ষ্টাম্পসমূহৰ মাজৰ ক্ৰিকেট পিট্‌ছৰ দৈৰ্ঘ্য কিমান?",Twenty-two meters,Twenty-two feet,Twenty-two yards,Twenty-two inches,C,Step 1: The distance between the cricket stumps is standardised. Step 2: It is 22 yards (20.12 m). Step 3: Correct option: C.,Assam GK,Sports – Cricket Pitch
"English: 64. Near which landmark is the Atal Tunnel situated?
Assamese: কোনটো স্থলচিহ্নৰ সমীপত অটল সুৰংগ অৱস্থিত?",Khardung La Pass,Rohtang Pass,Sela Pass,Umling La Pass,B,Step 1: Locate the Atal Tunnel. Step 2: It is on the route near the Rohtang Pass in Himachal Pradesh. Step 3: Correct option: B.,Assam GK,Indian Geography – Atal Tunnel
"English: 65. Which of the following is not extracted from crude oil?
Assamese: নিম্নলিখিত কোনবিধ খাৰুৱা তেলৰ পৰা নিষ্কাশন কৰা নহয়?",Petrol,Bitumen tar,Kerosene,Turpentine oil,D,"Step 1: Crude oil is refined into petroleum products such as petrol, diesel and kerosene. Step 2: Turpentine oil is obtained mainly from pine resin, not crude oil. Step 3: Correct option: D.",General Science,General Science – Petroleum Products
"English: 66. A shopkeeper offers two consecutive discounts—first 10% and subsequently 5% on a certain item. The equivalent discount offered on the item is
Assamese: এজন দোকানীয়ে কোনো এক সামগ্ৰীত ধাৰাবাহিকভাৱে দুটাকৈ—প্ৰথমে 10% আৰু পৰৱৰ্তী 5%ৰ ৰেহাই প্ৰদান কৰে। সামগ্ৰীটোত প্ৰদান কৰা সমতুল্য ৰেহাইৰ মান হৈছে",12·5%,15%,13%,14·5%,D,"Step 1: For successive discounts of 10% and 5%, use the equivalent discount formula: d = a + b − ab/100. Step 2: d = 10 + 5 − (10×5)/100 = 15 − 0.5 = 14.5%. Step 3: Correct option: D.",Mathematics,Profit & Loss – Successive Discounts
"English: 67. The equivalent fraction of the decimal number 2.25 is
Assamese: দশমিক সংখ্যা 2.25ৰ সমতুল্য ভগ্নাংশৰ মান হ’ব",9/4,9/5,9/7,9/8,A,Step 1: Convert 2.25 to a fraction: 2.25 = 225/100. Step 2: Divide numerator and denominator by 25: 225/100 = 9/4. Step 3: Correct option: A.,Mathematics,Fractions & Decimals – Decimal to Fraction
"English: 68. The total interest accrued on the principal amount of R10 at the simple interest rate of 10% per year for a period of 10 years is
Assamese: বছৰি 10% সৰল সুতত ₹10 মূলধনে 10 বছৰত অৰ্জন কৰা মুঠ সুতৰ পৰিমাণ হৈছে","R1,000",R100,R10,R1,C,"Step 1: Simple interest = P×R×T/100. Step 2: Using P=₹10, R=10% and T=10 years gives ₹10×10×10/100 = ₹10. Step 3: Correct option: C.",Mathematics,Simple Interest
