question_number,question_text (Assamese),option_A,option_B,option_C,option_D,correct_option,explanation (Detailed step-by-step solution English),subject,topic / subtopic tag
11,(16 + 16)²/(16 × 16) ৰ 16% ৰ মান কিমান ?,0.16,0.32,0.48,0.64 11. (16 + 16)2 1 16% 1 ˜±Ú – 16 × 16,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (0.64 11. (16 + 16)2 1 16% 1 ˜±Ú – 16 × 16). Therefore, option D is the answer.",General Science,General Science / General Awareness
12,শৰাইঘাটৰ যুদ্ধত পৰাজয় বৰণ কৰা মোগল সম্ৰাটজন কোন ?,Aurangzeb,Shah Jahan,Babur,Humayun 12. ˙1±˝◊‚±È¬1 ˚≈X√Ó¬ ¬Û1±Ê˚˛ ¬ı1Ì ﬂ¬1± Œ˜±·˘ ¸•⁄±È¬ÊÚ Œﬂ¬±Ú ∑,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Aurangzeb). Therefore, option A is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
13,নিম্নলিখিত কোনটো এক অসমীয়া উপন্যাস নহয় ?,Adha Lekha Dostabez,Deu Langkhui,Xekh Pristha,Ontorip 13. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ¤ﬂ¬ ’¸˜œ˚˛± Î◊¬¬ÛÚ…±¸ Ú˝˚˛ ∑,G,"Step 1: Read the question and compare all four choices. Step 2: The official final answer key marks Question 13 as G, meaning all options were considered correct because the question was found to be ambiguous. Step 3: Therefore, the official key should be retained as G.",English,"Vocabulary, Grammar, Usage & Comprehension"
14,"তিনিটা সংখ্যা A, 3 আৰু C এনেদৰে আছে যাতে A আৰু ট ৰ PANS ৪ আৰু € ৰ NST সৈতে সমান। যদি A আৰু BA SIS ৪ আৰু ৫ ৰ spe তিনি গুণ হয় তেন্তে 2: AAS",1 : 9,3 : 1,9 : 1,"1 : 3 14. øÓ¬øÚÈ¬± ¸—‡…± A, B ’±1n C ¤ÀÚÀ1 ’±ÀÂ ˚±ÀÓ¬ A ’±1n B 1 ·¸±& B ’±1n C 1 ·¸±&1 ∆¸ÀÓ¬ ¸˜±Úº ˚ø A ’±1n B 1 ˘¸±& B ’±1n C 1 ˘¸±&1 øÓ¬øÚ &Ì ˝˚˛ ŒÓ¬ÀôL C : A ˝í¬ı –",D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (1 : 3 14. øÓ¬øÚÈ¬± ¸—‡…± A, B ’±1n C ¤ÀÚÀ1 ’±ÀÂ ˚±ÀÓ¬ A ’±1n B 1 ·¸±& B ’±1n C 1 ·¸±&1 ∆¸ÀÓ¬ ¸˜±Úº ˚ø A ’±1n B 1 ˘¸±& B ’±1n C 1 ˘¸±&1 øÓ¬øÚ &Ì ˝˚˛ ŒÓ¬ÀôL C : A ˝í¬ı –). Therefore, option D is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
15,নিম্নলিখিত কোন গৰাকীক 2024 বৰ্ষত জ্ঞানপীঠ বঁটা প্রদান কৰা হৈছে ?,Gulzar,Arup Kumar Dutta,Ratan Thiyem,Nilamani Phukan 15. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±Ú ·1±ﬂ¬œﬂ¬ 2024 ¬ı¯∏«Ó¬ :±Ú¬ÛœÍ¬ ¬ı“È¬± √õ∂±Ú ﬂ¬1± Õ˝ÀÂ ∑,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Gulzar). Therefore, option A is the answer.",General Science,General Science / General Awareness
16,যোৱাকালি সূৰ্যোদয়ৰ ঠিক পিছতে ৰাজীবে সমীৰক লগ পাই কথা পাতি থাকোঁতে ৰাজীবে লক্ষ্য কৰিলে যে সমীৰৰ ছাঁটো ৰাজীৱৰ সোঁহাতৰ ফালে আছে। সমীৰে কোন দিশত মুখ কৰি আছিল ?,South,East,West,North 16. Œ˚±ª±ﬂ¬±ø˘ ¸”À˚«±˚˛1 øÍ¬ﬂ¬ ø¬ÛÂÀÓ¬ 1±ÊœÀ¬ı ¸˜œ1ﬂ¬ ˘· ¬Û±˝◊ ﬂ¬Ô± ¬Û±øÓ¬ Ô±Àﬂ¬“±ÀÓ¬ 1±ÊœÀ¬ı ˘é¬… ﬂ¬ø1À˘ Œ˚ ¸˜œ11 Â±“ÀÈ¬± 1±Êœª1 Œ¸“±˝±Ó¬1 Ù¬±À˘ ’±ÀÂº ¸˜œÀ1 Œﬂ¬±Ú ø˙Ó¬ ˜≈‡ ﬂ¬ø1 ’±øÂ˘ ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (North 16. Œ˚±ª±ﬂ¬±ø˘ ¸”À˚«±˚˛1 øÍ¬ﬂ¬ ø¬ÛÂÀÓ¬ 1±ÊœÀ¬ı ¸˜œ1ﬂ¬ ˘· ¬Û±˝◊ ﬂ¬Ô± ¬Û±øÓ¬ Ô±Àﬂ¬“±ÀÓ¬ 1±ÊœÀ¬ı ˘é¬… ﬂ¬ø1À˘ Œ˚ ¸˜œ11 Â±“ÀÈ¬± 1±Êœª1 Œ¸“±˝±Ó¬1 Ù¬±À˘ ’±ÀÂº ¸˜œÀ1 Œﬂ¬±Ú ø˙Ó¬ ˜≈‡ ﬂ¬ø1 ’±øÂ˘ ∑). Therefore, option D is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
17,কোন হিন্দি কবি “মধুশালা” এবং “অগ্নিপথের” জন্য পরিচিত ?,Ramdhari Singh Dinkar,Haribansh Rai Bachchan,Sumitranandan Pant,Maithili Sharan Gupt 17. Œﬂ¬±Ú·1±ﬂ¬œ ø˝µœ ﬂ¬ø¬ı ëë˜Ò≈˙±˘±íí ’±1n ëë’ø¢ü¬ÛÔ1íí ¬ı±À¬ı ÊÚ±Ê±Ó¬ ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (Haribansh Rai Bachchan). Therefore, option B is the answer.",English,"Vocabulary, Grammar, Usage & Comprehension"
18,দুটা GS প্ৰণালীৰ সংখ্যা 101 আৰু 10 ৰ পূৰণফল GS প্রণালীত প্রকাশ কৰিলে হ'ব ঃ,1001,1010,1100,1110 18. ≈È¬± ∆ZÓ¬ √õ∂Ì±˘œ1 ¸—‡…± 101 ’±1n 10 1 ¬Û”1ÌÙ¬˘ ∆ZÓ¬ √õ∂Ì±˘œÓ¬ √õ∂ﬂ¬±˙ ﬂ¬ø1À˘ ˝í¬ı –,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (1010). Therefore, option B is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
19,কালবেলিয়া ভাৰতৰ কোন অঞ্চলৰ লোকনৃত্যৰ ৰূপ ?,Kumaon region,Chota Nagpur region,Konkan region,Thar desert region 19. ﬂ¬±˘À¬ıø˘˚˛± ˆ¬±1Ó¬1 Œﬂ¬±Ú ’=˘1 Œ˘±ﬂ¬Ú‘Ó¬…1 1+¬Û ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Thar desert region 19. ﬂ¬±˘À¬ıø˘˚˛± ˆ¬±1Ó¬1 Œﬂ¬±Ú ’=˘1 Œ˘±ﬂ¬Ú‘Ó¬…1 1+¬Û ∑). Therefore, option D is the answer.",General Science,General Science / General Awareness
20,"কোনো 9 টা পৰ্যবেক্ষণৰ গড় মান 9, প্ৰথম 5 টাৰ গড় মান 10 আৰু, শেষৰ পাঁচটাৰ গড় মান 8 । পঞ্চম পৰ্যবেক্ষণৰ মান কি আছিল ?",8,7,9,"10 20. Œﬂ¬±ÀÚ± 9 È¬± ¬Û˚«À¬ıé¬Ì1 ·Î¬ˇ ˜±Ú 9, √õ∂Ô˜ 5 È¬±1 ·Î¬ˇ ˜±Ú 10 ’±1n Œ˙¯∏1 ¬Û±“‰¬È¬±1 ·Î¬ˇ ˜±Ú 8 º ¬Û=˜ ¬Û˚«À¬ıé¬Ì1 ˜±Ú øﬂ¬ ’±øÂ˘ ∑",C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (9). Therefore, option C is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
21,অলিম্পিকৰ পতাকাখনত নিম্নলিখিত কোনটো বৰণ দেখা নাযায় ?,Green,Yellow,Orange,Black 21. ’ø˘ø•Ûﬂ¬1 ¬ÛÓ¬±ﬂ¬±‡ÚÓ¬ øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ¬ı1Ì Œ‡± Ú±˚±˚˛ ∑,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (Orange). Therefore, option C is the answer.",General Science,General Science / General Awareness
22,24 চেমি ব্যাসাৰ্দ্ধৰ এটা ধাতৱীয় গোলকক কাটি সমানে 8 ভাগ কৰা হ’ল আৰু ইয়াৰে এভাগক পুনৰ এক গোলকৰ আকৃতিত গলাই লোৱা হ’ল। নতুন গোলকটোৰ ব্যাসাৰ্দ্ধ হ'ব ঃ,12 cm,8 cm,15 cm,10 cm 22. 24 Œ‰¬ø˜ ¬ı…±¸±X«√ 1 ¤È¬± Ò±Ó¬ªœ˚˛ Œ·±˘ﬂ¬ﬂ¬ ﬂ¬±øÈ¬ ¸˜±ÀÚ 8 ˆ¬±· ﬂ¬1± ˝í˘ ’±1n ˝◊˚˛±À1 ¤ˆ¬±·ﬂ¬ ¬Û≈Ú1 ¤ﬂ¬ Œ·±˘ﬂ¬1 ’±ﬂ‘¬øÓ¬Ó¬ ·˘±˝◊ Œ˘±ª± ˝í˘º ÚÓ≈¬Ú Œ·±˘ﬂ¬ÀÈ¬±1 ¬ı…±¸±X«√ ˝í¬ı –,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (12 cm). Therefore, option A is the answer.",General Science,General Science / General Awareness
23,অসমীয়া সাহিত্যত কোন “ধ্বনি কবি” ৰূপে জনাজাত ?,Binanda Chandra Barua,Ananda Chandra Agarwalla,Mahendranath Deka Phukan,Mafijuddin Ahmed Hazarika 23. ’¸˜œ˚˛± ¸±ø˝Ó¬…Ó¬ Œﬂ¬±Ú ëëÒ¬ıøÚ ﬂ¬ø¬ıíí 1+À¬Û ÊÚ±Ê±Ó¬ ∑,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Binanda Chandra Barua). Therefore, option A is the answer.",English,"Vocabulary, Grammar, Usage & Comprehension"
25,কিৰা আৰু ঘো কোন দেশৰ জাতীয় সাজ-পোছাক ?,Nepal,Cambodia,Bhutan,Vietnam 25. øﬂ¬1± ’±1n Œ‚± Œﬂ¬±Ú Œ˙1 Ê±Ó¬œ˚˛ ¸±Ê-À¬Û±Â±ﬂ¬ ∑,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (Bhutan). Therefore, option C is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
26,নিম্নলিখিত কোনটো অ-ধাতৱ খনিজ পদাৰ্থ নহয় ?,Silica,Limestone,Bauxite,Dolomite 26. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ’-Ò±Ó¬ª ‡øÚÊ ¬Û±Ô« Ú˝˚˛ ∑,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (Bauxite). Therefore, option C is the answer.",General Science,General Science / General Awareness
27,নিম্নলিখিত সমূহৰ কোনটো শুদ্ধ ?,Volcano cannot exist underwater,Sea does not have any water current,Almost 70% of earth surface is filled with water,Land mass is almost half of earth’s surface. 27. øÚ•ßø˘ø‡Ó¬ ¸˜”˝1 Œﬂ¬±ÚÀÈ¬± qX√√ ∑,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (Almost 70% of earth surface is filled with water). Therefore, option C is the answer.",General Science,General Science / General Awareness
28,বৰ্তমান ভাৰতবৰ্ষৰ কোন অঞ্চলত ৰজা ললিতাদিত্য (মুক্তপিদা) ৰ সম্ৰাজ্য আছিল ?,Northeast India,Kashmir region,The Kutch area,The Deccan region 28. ¬ıÓ«¬˜±Ú ˆ¬±1Ó¬¬ı¯∏«1 Œﬂ¬±Ú ’=˘Ó¬ 1Ê± ˘ø˘Ó¬±øÓ¬… [˜≈Mêø¬Û±] 1 ¸•⁄±Ê… ’±øÂ˘ ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (Kashmir region). Therefore, option B is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
29,উমৈহতীয়া চানেকী অনুসৰণ নকৰা যোৰাটো চিনাক্ত কৰক।,6 : OXYGEN,5 : ARGON,7 : CADMIUM,8 : BROMINE 29. Î◊¬Õ˜˝Ó¬œ˚˛± ‰¬±ÀÚﬂ¬œ ’Ú≈¸1Ì Úﬂ¬1± Œ˚±1±ÀÈ¬± ø‰¬Ú±Mê ﬂ¬1ﬂ¬º,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (8 : BROMINE 29. Î◊¬Õ˜˝Ó¬œ˚˛± ‰¬±ÀÚﬂ¬œ ’Ú≈¸1Ì Úﬂ¬1± Œ˚±1±ÀÈ¬± ø‰¬Ú±Mê ﬂ¬1ﬂ¬º). Therefore, option D is the answer.",General Science,General Science / General Awareness
30,নিম্নলিখিত কোন গৰাকীয়ে জ্ঞানপীঠ বঁটা লাভ কৰা নাই?,Birendranath Dutta,Nilamani Phukan,Hiren Bhattacharyya,Mamoni Roisom Goswami 30. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±Ú ·1±ﬂ¬œÀ˚˛ :±Ú¬ÛœÍ¬ ¬ı“È¬± ˘±ˆ¬ ﬂ¬1± Ú±˝◊∑,AC,Step 1: Compare the alternatives with the question. Step 2: The official final answer key marks both options A and C for Question 30. Step 3: Retain the official key as AC rather than changing it.,General Science,General Science / General Awareness
31,1+31]ন;342 ব মান নিৰ্ণয় কৰক। ] () চু ৪) 5 3 o ১৮ 14+2V2+3V3,,,,6 2 2 2 2 1+ 2 2 + 3 3 31. 1+ 1 ˜±Ú øÚÌ«˚˛ ﬂ¬1ﬂ¬º 2 +6 3 + 4 2 1 1 3 3,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct. Therefore, option C is the answer.",General Science,General Science / General Awareness
32,ভবেন্দ্ৰনাথ শইকীয়াৰ উপন্যাস অস্তৰীপৰ কাহিনীৰ আধাৰত কোনখন অসমীয়া বোলচবি নিৰ্মিত হৈছে ?,Pratidhwani,Krishnachura,Barua’r Xonxaar,Agnisnan 32. ˆ¬À¬ıfÚ±Ô ˙˝◊ﬂ¬œ˚˛±1 Î◊¬¬ÛÚ…±¸ ’ôL1œ¬Û1 ﬂ¬±ø˝Úœ1 ’±Ò±1Ó¬ Œﬂ¬±Ú‡Ú ’¸˜œ˚˛± Œ¬ı±˘‰¬ø¬ı øÚø˜«Ó¬ ∆˝ÀÂ ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Agnisnan 32. ˆ¬À¬ıfÚ±Ô ˙˝◊ﬂ¬œ˚˛±1 Î◊¬¬ÛÚ…±¸ ’ôL1œ¬Û1 ﬂ¬±ø˝Úœ1 ’±Ò±1Ó¬ Œﬂ¬±Ú‡Ú ’¸˜œ˚˛± Œ¬ı±˘‰¬ø¬ı øÚø˜«Ó¬ ∆˝ÀÂ ∑). Therefore, option D is the answer.",English,"Vocabulary, Grammar, Usage & Comprehension"
33,(14 1%) + (242%) +B ৰ 3%) =?,0.06,0.6,0.41,0.14 33. (1 1 1%)+(2 1 2%)+(3 1 3%)=?,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (0.14 33. (1 1 1%)+(2 1 2%)+(3 1 3%)=?). Therefore, option D is the answer.",General Science,General Science / General Awareness
34,নদী এখনে চুটি পথ ল’বলৈ গতি সলনি কৰিলে গঠন হোৱা এটা বক্ৰ জলভাগক বোলা হয় ঃ,Archipelago,Isthmus,Oxbow lake,Delta 34. Úœ ¤‡ÀÚ ‰≈¬øÈ¬ ¬ÛÔ ˘í¬ıÕ˘ ·øÓ¬ ¸˘øÚ ﬂ¬ø1À˘ ·Í¬Ú Œ˝±ª± ¤È¬± ¬ıSê Ê˘ˆ¬±·ﬂ¬ Œ¬ı±˘± ˝˚˛ –,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (Oxbow lake). Therefore, option C is the answer.",General Science,General Science / General Awareness
35,এটা শংকুৰ ভূমিৰ ব্যাসাৰ্ধ 4 ছেমি. আৰু ইয়াৰ উচ্চতা 9 ছেমি.। শংকুটোৰ আয়তন কিমান ?,36π cm3,48π cm3,13π cm3,24π cm3 35. ¤È¬± ˙—ﬂ≈¬1 ˆ”¬ø˜1 ¬ı…±¸±X«√ 4 Œ‰¬.ø˜. ’±1n ˝◊˚˛±1 Î◊¬2‰¬Ó¬± 9 Œ‰¬.ø˜.º ˙—ﬂ≈¬ÀÈ¬±1 ’±˚˛Ó¬Ú ∆˝ÀÂ –,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (48π cm3). Therefore, option B is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
36,দালাল ষ্ট্ৰীট কোনখন মহানগৰত অৱস্থিত ?,Kolkata,Chennai,Hyderabad,Mumbai 36. ±˘±˘ ©ÜòœÈ¬ Œﬂ¬±Ú‡Ú ˜˝±Ú·1Ó¬ ’ªø¶öÓ¬ ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Mumbai 36. ±˘±˘ ©ÜòœÈ¬ Œﬂ¬±Ú‡Ú ˜˝±Ú·1Ó¬ ’ªø¶öÓ¬ ∑). Therefore, option D is the answer.",General Science,General Science / General Awareness
37,সৰল কৰক ঃ খ|5] + 4134 + 5 412 + V6 + ৬9,15,12,8,16 37. ¸1˘ ﬂ¬1ﬂ¬ – 51 + 134 + 5 42 + 16 + 9,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (8). Therefore, option C is the answer.",General Science,General Science / General Awareness
38,"যদি } = ত, তেন্তে oy, ৰ মান ঃ",3,4,5,"6 a 4 6a + 2b 38. ˚ø b = 3 , ŒÓ¬ÀôL 1 ˜±Ú – 4a − 2b",A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (3). Therefore, option A is the answer.",General Science,General Science / General Awareness
39,"যদি ০৮৪ = >, তেন্তে sind ৰ মান ঃ a 5 ) 12 ০172 13) 2",,,,"12 5 13 12 5 39. ˚ø cosθ= , ŒÓ¬ÀôL sinθ 1 ˜±Ú – 13 5 12 12 13",C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct. Therefore, option C is the answer.",General Science,General Science / General Awareness
