question_text (English & Assamese text if available),option_A,option_B,option_C,option_D,correct_option,explanation (Detailed step-by-step solution English),subject,topic / subtopic tag
"English: 11. The Great Barrier Reef is located in the seas near which continent?
Assamese: কোন মহাদেশৰ সমীপৰ সাগৰত বৃহৎ প্ৰবাল প্ৰাচীৰ অৱস্থিত?",North America,Australia,Africa,Europe,B,Step 1: Identify the fact or concept asked in the question. Step 2: The Great Barrier Reef lies off the northeastern coast of Australia. Step 3: Therefore the correct option is B.,Geography,"World & Indian Geography – borders, directions, landforms"
"English: 12. Which of the following is a mountain range of South America?
Assamese: নিম্নলিখিত কোনটো দক্ষিণ আমেৰিকাৰ এক পৰ্বতমালা?",Andes,Karakoram,Alps,Caucasus,A,Step 1: Identify the fact or concept asked in the question. Step 2: The Andes are the major mountain system running along western South America. Step 3: Therefore the correct option is A.,Geography,"World & Indian Geography – borders, directions, landforms"
"English: 13. The giant waves caused by volcanic eruptions or earthquakes under the sea are known as
Assamese: সাগৰৰ তলিত হোৱা আগ্নেয়গিৰিৰ উদ্গীৰণ অথবা ভূমিকম্পই সৃষ্টি কৰা বৃহৎ ঢৌক কি কোৱা হয়?",tsunami,cyclone,blizzard,landslide,A,"Step 1: Identify the fact or concept asked in the question. Step 2: Tsunamis are long, powerful sea waves commonly generated by undersea earthquakes or volcanic activity. Step 3: Therefore the correct option is A.",Geography,"World & Indian Geography – borders, directions, landforms"
"English: 14. Who is the Chairman of the Rajya Sabha?
Assamese: ৰাজ্যসভাৰ অধ্যক্ষ কোন হয়?",The Prime Minister,The Vice President,The Speaker of the Lok Sabha,The President,B,Step 1: Identify the fact or concept asked in the question. Step 2: The Vice-President of India is the ex-officio Chairman of the Rajya Sabha. Step 3: Therefore the correct option is B.,Indian Polity / Assam GK,"Indian Polity & Assam GK – Parliament, institutions, culture"
"English: 15. Who administers the Oath of Office to the President of India?
Assamese: ভাৰতৰ ৰাষ্ট্ৰপতিক কোনে শপত পাঠ কৰোৱায়?",The Prime Minister,The Chief Justice of the Delhi High Court,The Chief Justice of the Supreme Court,The Speaker of the Lok Sabha,C,Step 1: Identify the fact or concept asked in the question. Step 2: The Chief Justice of India administers the oath of office to the President of India. Step 3: Therefore the correct option is C.,Indian Polity / Assam GK,"Indian Polity & Assam GK – Parliament, institutions, culture"
"English: 16. Which of the following musical instruments of Assam is usually made of bamboo?
Assamese: নিম্নলিখিত অসমৰ বাদ্যযন্ত্ৰসমূহৰ কোনটো সাধাৰণতে বাঁহেৰে নিৰ্মিত?",Doba,Mridanga,Dotara,Toka,D,Step 1: Identify the fact or concept asked in the question. Step 2: Toka is a traditional Assamese percussion instrument commonly made from bamboo. Step 3: Therefore the correct option is D.,Indian Polity / Assam GK,"Indian Polity & Assam GK – Parliament, institutions, culture"
"English: 17. Where is the Tocklai Tea Research Centre located?
Assamese: টোকলাই চাহ গৱেষণা কেন্দ্ৰ ক’ত অৱস্থিত?",Jorhat,Lakhimpur,Tinsukia,Dhemaji,A,"Step 1: Identify the fact or concept asked in the question. Step 2: The Tocklai Tea Research Institute/Research Centre is located at Jorhat, Assam. Step 3: Therefore the correct option is A.",Indian Polity / Assam GK,"Indian Polity & Assam GK – Parliament, institutions, culture"
"English: 18. The Gita Press, a unit of Govind Bhawan Karyalaya, is located in which State?
Assamese: গোবিন্দ ভৱন কাৰ্যালয়ৰ এটা গোট গীতা প্ৰেছ, কোনখন ৰাজ্যত অৱস্থিত?",Uttarakhand,Himachal Pradesh,Maharashtra,Uttar Pradesh,D,"Step 1: Identify the fact or concept asked in the question. Step 2: The historic Gita Press is located in Gorakhpur, Uttar Pradesh. Step 3: Therefore the correct option is D.",Indian Polity / Assam GK,"Indian Polity & Assam GK – Parliament, institutions, culture"
"English: 19. An hour during a day’s session when questions/issues may be raised without prior notice in the Indian Parliament is called
Assamese: ভাৰতীয় সংসদত কোনো এটা দিনৰ অধিৱেশনত আগতীয়া জাননী অবিহনে প্রশ্ন/বিষয় আদি উত্থাপন কৰিবৰ বাবে ধাৰ্য কৰি থোৱা এঘণ্টা সময়ক কি বুলি কোৱা হয়?",Freedom Hour,Lunch Hour,Zero Hour,Party Hour,C,Step 1: Identify the fact or concept asked in the question. Step 2: Zero Hour is the period in Parliament when members may raise matters without the usual prior notice requirement. Step 3: Therefore the correct option is C.,Indian Polity / Assam GK,"Indian Polity & Assam GK – Parliament, institutions, culture"
"English: 20. Who is the Chairman of NITI Aayog?
Assamese: নীতি (NITI) আয়োগৰ অধ্যক্ষ কোন?",The Finance Minister,The Prime Minister,The Governor of the Reserve Bank of India,The Vice President,B,Step 1: Identify the fact or concept asked in the question. Step 2: The Prime Minister is the ex-officio Chairperson of NITI Aayog. Step 3: Therefore the correct option is B.,Indian Polity / Assam GK,"Indian Polity & Assam GK – Parliament, institutions, culture"
"English: 21. The Numaligarh Refinery is in which district of Assam?
Assamese: নুমলীগড় শোধনাগাৰ অসমৰ কোনখন জিলাত অৱস্থিত?",Sivasagar,Jorhat,Golaghat,Dibrugarh,C,Step 1: Identify the fact or concept asked in the question. Step 2: Numaligarh Refinery is located in Golaghat district of Assam. Step 3: Therefore the correct option is C.,Assam GK,Assam Geography – Numaligarh Refinery
"English: 22. The international festival ‘Kullu Dussehra’ is celebrated in which State?
Assamese: আন্তৰ্জাতিক উৎসৱ “PEL দশেৰা” কোনখন ৰাজ্যত পালন কৰা হয়?",Himachal Pradesh,Uttarakhand,Uttar Pradesh,Haryana,A,Step 1: Identify the fact or concept asked in the question. Step 2: Kullu Dussehra is celebrated at Kullu in Himachal Pradesh. Step 3: Therefore the correct option is A.,Geography,Indian & World Geography
"English: 23. The Bering Strait separates which two landmasses?
Assamese: বেৰিং প্রণালীয়ে কোন দুটা ভূখণ্ডক পৃথক কৰে?",Australia and New Zealand,The USA and Russia,South Africa and Madagascar,Japan and China,B,Step 1: Identify the fact or concept asked in the question. Step 2: The Bering Strait separates the Russian Far East from Alaska in the USA. Step 3: Therefore the correct option is B.,Geography,Indian & World Geography
"English: 24. Who wrote the lyrics of ‘Alakananda’, sung by Shankuraj Konwar?
Assamese: শংকুৰাজ কৌৱৰে গোৱা ‘অলকানন্দা’ গীতটিৰ গীতিকাৰ কোন?",Tonmoy Krypton,Sannidhya Bhuyan,Joi Barua,Maitrayee Patar,D,Step 1: Identify the fact or concept asked in the question. Step 2: Maitrayee Patar is credited with the lyrics of 'Alakananda' in the keyed answer. Step 3: Therefore the correct option is D.,Assam Literature,Assamese Literature & Authors
"English: 25. The real name of crime thriller writer Ranju Hazarika is
Assamese: অপৰাধমূলক ৰোমাঞ্চকৰ কাহিনী লেখক ৰঞ্জু হাজৰিকাৰ আচল নাম কি?",Satyanath Bora,Pabitra Kumar Deka,Hiren Gohain,Kumud Chandra Hazarika,D,Step 1: Identify the fact or concept asked in the question. Step 2: Ranju Hazarika is the pen name associated with Kumud Chandra Hazarika. Step 3: Therefore the correct option is D.,Assam Literature,Assamese Literature & Authors
"English: 26. Who wrote the children’s book Xanta-Xista Hrista-Pusta Mahadusto?
Assamese: শান্তশিষ্ট হৃষ্টপুষ্ট মহাদুষ্ট’ নামৰ শিশু পুথিখন কোনে লিখিছিল?",Nabakanta Barua,Hiren Bhattacharyya,Bhabendra Nath Saikia,Arup Kumar Dutta,C,Step 1: Identify the fact or concept asked in the question. Step 2: 'Xanta-Xista Hrista-Pusta Mahadusto' is attributed to Bhabendra Nath Saikia in the keyed answer. Step 3: Therefore the correct option is C.,Assam Literature,Assamese Literature & Authors
"English: 27. Kanchipuram Saree is produced in which State?
Assamese: কাঞ্চিপুৰম শাড়ী কোনখন ৰাজ্যত উৎপাদন কৰা হয়?",Kerala,Tamil Nadu,Karnataka,Telangana,B,"Step 1: Identify the fact or concept asked in the question. Step 2: Kanchipuram silk sarees are traditionally produced in Tamil Nadu, especially around Kanchipuram. Step 3: Therefore the correct option is B.",Art & Culture,Indian Art & Culture
"English: 28. Who among the following was a famous painter?
Assamese: নিম্নলিখিত কোনগৰাকী এজন বিখ্যাত চিত্ৰকৰ আছিল?",Vincent van Gogh,John Lennon,Bob Marley,Marlon Brando,A,"Step 1: Identify the fact or concept asked in the question. Step 2: Vincent van Gogh was a renowned Dutch painter; the other options were a musician, singer and actor. Step 3: Therefore the correct option is A.",Art & Culture,Indian Art & Culture
"English: 29. In which sport do Tania Choudhury and Nayanmoni Saikia from Assam represent India?
Assamese: অসমৰ তানিয়া টৌধুৰী আৰু নয়নমণি শইকীয়াই কোনবিধ খেলত ভাৰতক প্রতিনিধিত্ব কৰে?",Lawn Bowls,Badminton,Carrom,Judo,A,Step 1: Identify the fact or concept asked in the question. Step 2: Tania Choudhury and Nayanmoni Saikia represented India in Lawn Bowls. Step 3: Therefore the correct option is A.,Sports,Sports – Assam/India & Olympics
"English: 30. Identify the Badminton player.
Assamese: বেডমিন্টন খেলুৱৈগৰাকীক চিনাক্ত কৰক |?",Dipa Karmakar,Pullela Gopichand,Sania Mirza,Leander Paes,B,Step 1: Identify the fact or concept asked in the question. Step 2: Pullela Gopichand is a prominent Indian badminton player and coach. Step 3: Therefore the correct option is B.,Sports,Sports – Assam/India & Olympics
"English: 31. In which sport did India not win a medal at 2020 Tokyo Olympics?
Assamese: টকিঅ’ অলিম্পিকত ভাৰতে কোনবিধ খেলত কোনো পদক লাভ কৰা নাছিল?",Boxing,Weightlifting,Taekwondo,Wrestling,C,Step 1: Identify the fact or concept asked in the question. Step 2: India did not win a medal in Taekwondo at the Tokyo 2020 Olympics. Step 3: Therefore the correct option is C.,Sports,Sports – Assam/India & Olympics
"English: 32. The Diamond League is an annual series of competitions in which area?
Assamese: বাৰ্ষিক প্রতিযোগিতাৰ শৃংখলা ডায়ম’গ্ড লীগ কোনবিধ খেলৰ সৈতে জড়িত?",Swimming,Badminton,Gymnastics,Track and Field Events,D,Step 1: Identify the fact or concept asked in the question. Step 2: The Diamond League is an annual athletics/track-and-field competition series. Step 3: Therefore the correct option is D.,Sports,Sports – Assam/India & Olympics
"English: 33. Identify the incorrectly matched pair.
Assamese: ভুলকৈ মিলোৱা যোৰটো চিনাক্ত কৰক।",Stefan Edberg : Cricket,Björn Borg : Lawn Tennis,Tiger Woods : Golf,Cristiano Ronaldo : Football,A,"Step 1: Identify the fact or concept asked in the question. Step 2: Stefan Edberg was a tennis player, not a cricketer, making that pair incorrect. Step 3: Therefore the correct option is A.",General Awareness,Sports – Person/Sport matching
"English: 34. Where is the National War Memorial located?
Assamese: ৰাষ্ট্ৰীয় যুদ্ধ স্মৃতিসৌধটি ক’ত অৱস্থিত?",Srinagar,New Delhi,Tawang,Amritsar,B,Step 1: Identify the fact or concept asked in the question. Step 2: The National War Memorial is located in New Delhi. Step 3: Therefore the correct option is B.,Indian Polity / Governance,"Indian Polity, Government Schemes & Institutions"
"English: 35. Which of the following is the Mission Basundhara of the Government of Assam related to?
Assamese: নিম্নলিখিত কোনটোৰ সৈতে অসম চৰকাৰৰ মিছন বসুন্ধৰা সম্পৰ্কিত?",Fishery and livelihood,Women empowerment,Land records and land revenues,Digital education,C,"Step 1: Identify the fact or concept asked in the question. Step 2: Mission Basundhara concerns land records, mutation and land-related services/revenues in Assam. Step 3: Therefore the correct option is C.",Indian Polity / Governance,"Indian Polity, Government Schemes & Institutions"
"English: 36. Which of the following organizations is not in the business of commercial vehicles?
Assamese: নিম্নলিখিত কোনটো প্ৰতিষ্ঠান বাণিজ্যিক বাহনৰ ব্যৱসায়ৰ লগত জড়িত নহয়?",Larsen & Toubro,Mahindra & Mahindra,Force Motors,Tata Motors,A,"Step 1: Identify the fact or concept asked in the question. Step 2: Larsen & Toubro is not primarily a commercial-vehicle manufacturer; Mahindra, Force Motors and Tata Motors have commercial-vehicle businesses. Step 3: Therefore the correct option is A.",General Awareness,Companies – Commercial Vehicles
"English: 37. If the pH of a liquid is 5·0, then the liquid is
Assamese: কোনো তৰল পদাৰ্থৰ pH মান 510 হ’লে, সেই তৰল পদাৰ্থবিধ?",alkaline in nature,neutral in nature,liquid metal,acidic in nature,D,"Step 1: Identify the fact or concept asked in the question. Step 2: A pH of 5 is below 7, so the liquid is acidic. Step 3: Therefore the correct option is D.",General Science,"Physics, Chemistry & Biology – basic concepts"
"English: 38. Who is the Vice President of India, as on 1st of January, 2024?
Assamese: জানুৱাৰী, 2024 সাপেক্ষে ভাৰতৰ উপৰাষ্ট্ৰপতি কোন?",Gulab Chand Kataria,Ram Nath Kovind,Jagdeep Dhankhar,Rajnath Singh,C,Step 1: Identify the fact or concept asked in the question. Step 2: Jagdeep Dhankhar was the Vice-President of India on 1 January 2024. Step 3: Therefore the correct option is C.,Indian Polity / Governance,"Indian Polity, Government Schemes & Institutions"
"English: 39. Which of the following belongs to Class I category of lever?
Assamese: নিম্নলিখিত কোনটো প্ৰথম শ্রেণীৰ লিভাৰৰ অন্তৰ্গত? (%) কেঁচী (৪) ঠেলা গাড়ী?",Scissor,Wheelbarrow,Human arm,Stapler,A,Step 1: Identify the fact or concept asked in the question. Step 2: A scissor is a first-class lever because the fulcrum lies between effort and load. Step 3: Therefore the correct option is A.,General Science,"Physics, Chemistry & Biology – basic concepts"
"English: 40. The National Flag of which country has a white cross over red background?
Assamese: কোন দেশৰ জাতীয় পতাকাত ৰঙা পৃষ্ঠভূমিত বগা ৰঙৰ এটা HE চিহ্ন আছে?",Brazil,Switzerland,The United States of America,Japan,B,Step 1: Identify the fact or concept asked in the question. Step 2: Switzerland's national flag has a white cross on a red field. Step 3: Therefore the correct option is B.,Geography,Indian & World Geography
"English: 41. Which of the following is considered as the earliest compilation?
Assamese: নিম্নলিখিত কোনটোক আটাইতকৈ পুৰণি সংকলন বুলি বিবেচনা কৰা হয়?",Yajurveda,Atharvaveda,Rigveda,Samaveda,C,Step 1: Identify the fact or concept asked in the question. Step 2: The Rigveda is generally regarded as the earliest of the four Vedas and the earliest major Vedic compilation. Step 3: Therefore the correct option is C.,Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 42. Which of the following places was a part of the Indus Valley Civilization?
Assamese: নিম্নলিখিত কোনটো স্থান সিন্ধু উপত্যকা সভ্যতাৰ অন্তৰ্গত?",Machilipatnam,Babylon,Mohenjo-daro,Byzantine,C,Step 1: Identify the fact or concept asked in the question. Step 2: Mohenjo-daro was a major urban centre of the Indus Valley Civilization. Step 3: Therefore the correct option is C.,Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 43. Who among the following was involved in the Battle of Waterloo?
Assamese: ৱাটাৰলু যুদ্ধত নিম্নলিখিত কোনগৰাকী জড়িত আছিল?",Napoleon Bonaparte,Czar Nicholas,Adolf Hitler,George Washington,A,Step 1: Identify the fact or concept asked in the question. Step 2: Napoleon Bonaparte was defeated by the allied forces at the Battle of Waterloo in 1815. Step 3: Therefore the correct option is A.,History,World History – Battle of Waterloo
"English: 44. Bhairabkunda is a trijunction of which of the following?
Assamese: ভৈৰৱকুণ্ড কোনকেইখনৰ ত্ৰি-সংযোগস্থল?","Assam, Bhutan, China","Assam, Bhutan, Arunachal Pradesh","Assam, Bhutan, Sikkim","Assam, Sikkim, Arunachal Pradesh",B,"Step 1: Identify the fact or concept asked in the question. Step 2: Bhairabkunda is associated with the tri-junction of Assam, Bhutan and Arunachal Pradesh. Step 3: Therefore the correct option is B.",Geography,Indian & World Geography
"English: 45. Which of the following is generally salty in taste?
Assamese: নিম্নলিখিত কোনবিধৰ সোৱাদ সচৰাচৰ লুণীয়া?",Snowflake,Rainwater,Flowing river water,Seawater,D,"Step 1: Identify the fact or concept asked in the question. Step 2: Seawater contains dissolved salts, making it generally salty in taste. Step 3: Therefore the correct option is D.",General Science,"Physics, Chemistry & Biology – basic concepts"
"English: 46. Which of the following mountain ranges is in North-East India?
Assamese: বৰাইল পৰ্বতমালা (3) শিৱালিক পৰ্বতমালা?",Barail Range,Shivalik Range,Satpura Range,Aravalli Range,A,Step 1: Identify the fact or concept asked in the question. Step 2: The Barail Range is a mountain range of northeastern India. Step 3: Therefore the correct option is A.,Geography,Indian & World Geography
"English: 47. Which of the following statements is incorrect?
Assamese: নিম্নলিখিত কোনটো উক্তি অশুদ্ধ?",Lakshadweep is a Union Territory of India.,Maldives is a Union Territory of India.,Andaman and Nicobar Islands is a Union Territory of India.,Puducherry is a Union Territory of India.,B,"Step 1: Identify the fact or concept asked in the question. Step 2: Maldives is an independent country, not a Union Territory of India; the other listed territories are Indian Union Territories. Step 3: Therefore the correct option is B.",Indian Polity / Governance,"Indian Polity, Government Schemes & Institutions"
"English: 48. The Equator, the Tropic of Capricorn and the Tropic of Cancer pass through which continent?
Assamese: ভূমধ্যৰেখা, মকৰক্রান্তি আৰু কৰ্কটক্রান্তি কোন মহাদেশৰ মাজেৰে পাৰ হৈ যায়?",Asia,Australia,South America,Africa,D,"Step 1: Identify the fact or concept asked in the question. Step 2: The Equator, Tropic of Cancer and Tropic of Capricorn all cross Africa. Step 3: Therefore the correct option is D.",Geography,Indian & World Geography
"English: 49. Which of the following is an island State of the United States of America?
Assamese: নিম্নলিখিত কোনখন আমেৰিকা যুক্তৰাষ্ট্ৰৰ এখন দ্বীপৰাজ্য?",Madagascar,Canary Islands,Hawaii,Greenland,C,Step 1: Identify the fact or concept asked in the question. Step 2: Hawaii is a U.S. island state; Greenland is not a U.S. state. Step 3: Therefore the correct option is C.,Geography,Indian & World Geography
"English: 50. Sudden burst into the open of hot water and vapour from deep underground is termed as
Assamese: ভূগৰ্ভৰ গভীৰতাৰ পৰা গৰম পানী আৰু বাষ্প বিস্ফোৰণৰ জৰিয়তে নিৰ্গত হোৱা পৰিঘটনাক কোৱা হয়?",geyser,volcano,tornado,tsunami,A,Step 1: Identify the fact or concept asked in the question. Step 2: A geyser is a natural feature that periodically ejects hot water and steam from underground. Step 3: Therefore the correct option is A.,General Science,"Physics, Chemistry & Biology – basic concepts"
"English: 51. Which of the following is not a component of the Constitution of India?
Assamese: নিম্নলিখিত কোনটো ভাৰতৰ সংবিধানৰ উপাদান নহয়?",The Directive Principles of State Policy,The Directive Rights of the Centre,The Fundamental Rights,The Fundamental Duties,B,"Step 1: Identify the fact or concept asked in the question. Step 2: The Constitution contains Fundamental Rights, Fundamental Duties and Directive Principles; 'Directive Rights of the Centre' is not a component. Step 3: Therefore the correct option is B.",Indian Polity / Governance,"Indian Polity, Government Schemes & Institutions"
"English: 52. A continuous rise in the price level is called
Assamese: মৃল্যৰ স্তৰৰ ক্ৰমাগত বৃদ্ধিক কোৱা হয়?",stagflation,deflation,hyperinflation,inflation,D,Step 1: Identify the fact or concept asked in the question. Step 2: A sustained general rise in prices is called inflation. Step 3: Therefore the correct option is D.,Economics,Economics – Inflation
"English: 53. What does DAY stand for in the National Rural Livelihoods Mission (DAY-NRLM)?
Assamese: ৰাষ্ট্ৰীয় গ্ৰাম্য জীৱিকা অভিযান (DAY-NRLM)= Dayal কি বুজায়? SLRC-2024/P-I/1-A?",District Availability Yojana,Deendayal Antyodaya Yojana,Deendayal Ayurvedic Yojana,District Achievement Yojana,B,Step 1: Identify the fact or concept asked in the question. Step 2: DAY in DAY-NRLM stands for Deendayal Antyodaya Yojana. Step 3: Therefore the correct option is B.,Government Schemes,DAY-NRLM
"English: 54. Which of the following novels was written by Padma Shri Rongbong Terang?
Assamese: নিম্নলিখিত কোনখন উপন্যাস পদ্মশ্ৰী ৰংবং তেৰাঙে ৰচনা কৰিছে?",Mrityunjay,Oximot Jar Heral Xeema,Rongmilir Hanhi,Miri Jiyori,C,Step 1: Identify the fact or concept asked in the question. Step 2: 'Rongmilir Hanhi' is a novel by Rongbong Terang. Step 3: Therefore the correct option is C.,Assam Literature,Assamese Literature & Authors
"English: 55. Which of the following is not a Central Armed Police Force of India?
Assamese: নিম্নলিখিত কোনটো ভাৰতৰ কেন্দ্ৰীয় সশস্ত্ৰ আৰক্ষী বাহিনী নহয়?",Indian Coast Guard (ICG),Sashastra Seema Bal (SSB),National Security Guard (NSG),Central Industrial Security Force (CISF),A,Step 1: Identify the fact or concept asked in the question. Step 2: The Indian Coast Guard is not classified as a Central Armed Police Force. Step 3: Therefore the correct option is A.,Indian Polity / Governance,"Indian Polity, Government Schemes & Institutions"
"English: 56. What is the chemical symbol for silver?
Assamese: ৪) Si?",Ag,Si,Sv,Au,A,Step 1: Identify the fact or concept asked in the question. Step 2: The chemical symbol for silver is Ag. Step 3: Therefore the correct option is A.,General Science,"Physics, Chemistry & Biology – basic concepts"
"English: 57. Who is the President of the USA, as on 1st of January, 2024?
Assamese: জানুৱাৰী, 2024 সাপেক্ষে আমেৰিকা যুক্তৰাষ্ট্ৰৰ ৰাষ্ট্ৰপতি কোন?",Barack Obama,Donald Trump,Joe Biden,Rishi Sunak,C,Step 1: Identify the fact or concept asked in the question. Step 2: Joe Biden was President of the United States on 1 January 2024. Step 3: Therefore the correct option is C.,Current Affairs,International Current Affairs – USA
"English: 58. Which of the following is considered as the powerhouse of an animal cell?
Assamese: নিম্নলিখিত কোনটোক প্ৰাণী কোষৰ শক্তিৰ ভঁৰাল ৰূপে বিবেচনা কৰা হয়?",Nucleus,Golgi apparatus,Ribosome,Mitochondria,D,Step 1: Identify the fact or concept asked in the question. Step 2: Mitochondria generate most of the cell's usable ATP and are therefore called the powerhouse of the cell. Step 3: Therefore the correct option is D.,General Science,"Physics, Chemistry & Biology – basic concepts"
"English: 59. Which of the following countries does not have a seashore?
Assamese: নিম্নলিখিত কোনখন দেশত সাগৰীয় উপকূল নাই?",China,Afghanistan,Myanmar,Iran,B,Step 1: Identify the fact or concept asked in the question. Step 2: Afghanistan is landlocked and has no seashore. Step 3: Therefore the correct option is B.,Geography,Indian & World Geography
"English: 60. The world’s largest island Greenland is a part of which of the following countries?
Assamese: পৃথিৱীৰ বৃহত্তম দ্বীপ, গ্ৰীনলেণ্ড কোনখন দেশৰ অংশ?",Denmark,Sweden,Canada,Iceland,A,Step 1: Identify the fact or concept asked in the question. Step 2: Greenland is an autonomous territory within the Kingdom of Denmark. Step 3: Therefore the correct option is A.,Geography,Indian & World Geography
"English: 61. Consider the four numbers given here : I. 376 II. 629 III. 921 IV. 397 If the digits of each number are arranged in ascending order, which new number would be the smallest?
Assamese: ৪) 1 (c) I (D) IV প্রদত্ত চাৰিটা সংখ্যা বিবেচনা কৰক: 1. 376 Il. 629 Ill. 921 IV. 397 প্রতিটো সংখ্যাৰ অংককেইটা উৰ্দ্ধক্তমত সজালে কোনটো নতুন সংখ্যাৰ মান TSA হ’ব?",III,II,I,IV,A,"Step 1: Arrange each number's digits in ascending order: 376→367, 629→269, 921→129, 397→379. Step 2: Compare the new numbers. 129 is the smallest. Step 3: 129 came from III, so the correct option is A.",Reasoning / Mathematics,"Reasoning – classification, family relation, coding, direction, speed"
"English: 62. Find the odd one out.
Assamese: বিজোড়টো বিচাৰি উলিয়াওক।",Sparrow,Crow,Bat,Peacock,C,"Step 1: Sparrow, crow and peacock are birds. Step 2: A bat is a mammal, not a bird. Step 3: Bat is the odd one out. Correct option: C.",Reasoning / Mathematics,"Reasoning – classification, family relation, coding, direction, speed"
