question_number,question_text (Assamese),option_A,option_B,option_C,option_D,correct_option,explanation (Detailed step-by-step solution English),subject,topic / subtopic tag
19,47329 সংখ্যাটোক দুণ্ডণ কৰিলে ফলাফলটোৰ ঠিক সৌমাজত থকা অংকটো কি হ'ৰ ?,6,7,4,5,A,"Step 1: Identify the concept tested in Question 19. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (6) as correct. Therefore, option A is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
20,ভাবতবর্ষত এখন বাহনত কোনবিধৰ শিঙা অনুমোদিত ?,Multitoned horn,Electric horn,Air horn,Any type of horn,B,"Step 1: Identify the concept tested in Question 20. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Electric horn) as correct. Therefore, option B is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
21,অপবিবাহক বাহনৰ লার্নাছ লাইচেঞ্চ প্রাপ্ত কবাৰ পাছত ড্রাইভিং লাইচেঞ্চৰ বাবে আবেদন কবিবলৈ এজন আবেদকে ন্যুনতম কিমান সময় অপেক্ষা কৰিব লগা হয় ?,30 days,60 days,45 days,6 months Paper-V/A 11 P.T.O,A,"Step 1: Identify the concept tested in Question 21. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (30 days) as correct. Therefore, option A is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
22,নিন্ললিখিত সমূহৰ কোনটো এটা আউটপুট ডিভাইচ ?,Keyboard,Speaker,Mouse,Microphone,B,"Step 1: Identify the concept tested in Question 22. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Speaker) as correct. Therefore, option B is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
24,কোনখন দেশৰ জাতীয় পতাকা ব্রিভূজাকৃতিৰ ?,Brazil,Kuala Lumpur,Sri Lanka,Nepal Paper-V/A 12,D,"Step 1: Identify the concept tested in Question 24. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Nepal Paper-V/A 12) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
25,অর্থশাস্ত্ব কোনে লিখিছিল £,Brahmagupta,Swami Vivekananda,Raghuram Rajan,Chanakya,D,"Step 1: Identify the concept tested in Question 25. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Chanakya) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
26,ভগ্বাংশৰ বূপত প্রকাশ কৰিব নোরাৰা সংখ্যাবোৰক বোলা হয় £,Whole numbers,Recurring numbers,Prime numbers,Irrational numbers,D,"Step 1: Identify the concept tested in Question 26. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Irrational numbers) as correct. Therefore, option D is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
27,এজন মানুহে প্ৰতি মিনিটত 45 শব্দ টাইপ কৰিব পাৰে। 555 টা শব্দ টাইপ কৰিবলৈ তেওঁক প্ৰয়োজন হোৱা সময় হ’ল —,12 min 15 sec,12 min 20 sec,12 min 30 sec,12 min 45 sec,B,"Step 1: Identify the concept tested in Question 27. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (12 min 20 sec) as correct. Therefore, option B is the answer.",English,Vocabulary / Grammar / Usage
28,এটা সংখ্যাক 1111 বে পূৰণ কৰিলে প্রাপ্ত পুৰণফল হৈছে 7777। সংখ্যাটো হৈছে ঃ,7,17,70,77,A,"Step 1: Identify the concept tested in Question 28. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (7) as correct. Therefore, option A is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
29,কোচবজা নবনাবায়ণৰ সেনাবাহিনীৰ সেনাপতি কোন আছিল ?,Raghabendra,Chakradhwaj,Tingrai,Chilarai,D,"Step 1: Identify the concept tested in Question 29. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Chilarai) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
30,ওজাপালি অসমৰ কোন অঞ্চলৰ এক ধর্মীয় উপাদান ?,Lakhimpur - Dibrugarh region,Silchar - Karimganj region,Haflong - Hamren region,Mangaldoi - Nalbari region,D,"Step 1: Identify the concept tested in Question 30. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Mangaldoi - Nalbari region) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
32,18-[6-,9,16,13,11,C,"Step 1: Identify the concept tested in Question 32. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (13) as correct. Therefore, option C is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
34,5000 ৰ 3% ৰ 2% হৈছে ঃ,5,3,2,6,B,"Step 1: Identify the concept tested in Question 34. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (3) as correct. Therefore, option B is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
35,ভাবতবর্ষত এখন বাহন ],right side of the road with the driver sitting on the left side of the vehicle,left side of the road with the driver sitting on the right side of the vehicle,right side of the road with the driver sitting on the right side of the vehicle,left side of the road with the driver sitting on the left side of the vehicle,B,"Step 1: Identify the concept tested in Question 35. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (left side of the road with the driver sitting on the right side of the vehicle) as correct. Therefore, option B is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
36,"যদি TANK ক KNAT হিচাপে ক’ড কৰা হয়, তেন্তে সদৃশ ক’ডত PROCESS ক লিখিলে ইয়াৰ পঞ্চম বৰ্ণটো কি হ’ব ?",C,E,O,R,C,"Step 1: Identify the concept tested in Question 36. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (O) as correct. Therefore, option C is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
37,2020 অলিম্পিক খেলত নীৰজ চোপ্রাই কোনবিধ খেলত সোণৰ পদক লাভ কৰিছিল ?,Discus throw,Hammer throw,Shot put,Javelin throw,D,"Step 1: Identify the concept tested in Question 37. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Javelin throw) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
38,"প্রথমে সামাজিক মাধ্যমত ধাবাবাহিকভাবে, পিছলৈ কিতাপ আকাৰে প্রকাশিত হোরা লাইফ অব এ ড্রাইভাব « কেবিনৰ ইপাবে কিতাপখন লিখা ব্যক্তিজন ঃ",Pratibhu Dutta,Rupam Dutta,Debabrata Das,Ramanuj Goswami,B,"Step 1: Identify the concept tested in Question 38. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Rupam Dutta) as correct. Therefore, option B is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
40,4213.6-ত 2-ৰ স্থানীয় মান হ’ল —,213,2,200,20,C,"Step 1: Identify the concept tested in Question 40. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (200) as correct. Therefore, option C is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
41,নিন্নলিখিত কোনটো একেটা সমষ্টিত থকাটো অনুচিত ? () কাগজ,Paper,Eraser,Pen,Textbook,D,"Step 1: Identify the concept tested in Question 41. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Textbook) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
42,নিন্নলিখিত কোনটো চাৰ আইজাক নিউটনৰ কর্ম্মৰ সৈতে সম্পর্কিত ?,Rocket,Atom Bomb,Semiconductor,Automobile,A,"Step 1: Identify the concept tested in Question 42. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (Rocket) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
43,নিন্ললিখিত কোনটো গোট অশুদ্ধকৈ বজিতা খুওবা আছে ?,M : 13,S : 20,W : 23,K : 11,B,"Step 1: Identify the concept tested in Question 43. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (S : 20) as correct. Therefore, option B is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
44,নিন্নলিখিত কোনটো ভাৰতৰ উচ্চতম পর্বতশৃংগ £,Everest,Annapurna,Nanda Devi,Kanchenjunga,D,"Step 1: Identify the concept tested in Question 44. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Kanchenjunga) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
45,প্ৰথম দহটা ক্ৰমিক স্বাভাৱিক সংখ্যাৰ গড় হ’ল —,5,6,5.5,6.5,C,"Step 1: Identify the concept tested in Question 45. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (5.5) as correct. Therefore, option C is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
46,বিপজ্জনক গাড়ী চালনা কাক বোলা হয় £,Jumping a red traffic light,Violating stop line,Using phone,Any one of all three Paper-V/A 21 P.T.O,D,"Step 1: Identify the concept tested in Question 46. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Any one of all three Paper-V/A 21 P.T.O) as correct. Therefore, option D is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
47,তলত দিয়া কোনটো সংখ্যাৰ দহকৰ স্থানত সৰ্বোচ্চ মানৰ অংকটো আছে ?,(v),(iii),(iv),(i),A,"Step 1: Identify the concept tested in Question 47. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A ((v)) as correct. Therefore, option A is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
48,পৰিবাহক বাহন এখনক কোনটো কথা লক্ষ্য কৰি আন বাহনৰ পৰা পৃথকে চিনি উলিয়াব পাৰি ?,Looking at tyre size,By the colour of the vehicle,By vehicle size,Registration number plate,D,"Step 1: Identify the concept tested in Question 48. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Registration number plate) as correct. Therefore, option D is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
49,টায়াৰ £ ঘুবণীয়া £ ক'লা - এই সম্বন্ধৰ সদৃশ সম্বন্ধ জৌট টি চিনাক্ত কৰক।,Trees : Green : Tall,Windows : Glass : Square,Pipes : Round : Plastic,Bricks : Rectangle : Red,D,"Step 1: Identify the concept tested in Question 49. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Bricks : Rectangle : Red) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
50,অপবিবাহক বাহন ড্রাইভিং লাইচেঞ্চ পাবৰ বাবে প্রয়োজনীয় ন্যুনতম শিক্ষাগত অর্হতা হৈছে £,Class VIII Pass,Matric Pass,Class IX Pass,Not Mandatory,D,"Step 1: Identify the concept tested in Question 50. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Not Mandatory) as correct. Therefore, option D is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
51,কোনখন দেশত হলিউড অবস্থিত ?,United States of America,England,France,Japan,A,"Step 1: Identify the concept tested in Question 51. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (United States of America) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
52,নিন্ললিখিত কোনটো অসমৰ এক অঞ্চল নহয় ?,Brahmaputra valley,Karbi plateau,Barak valley,Deccan plateau,D,"Step 1: Identify the concept tested in Question 52. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Deccan plateau) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
53,অসমত বাছৰ কণ্ডাক্টুৰ (পৰিচালক) ৰ লাইচেঞ্চ পাবৰ বাবে প্রয়োজনীয় ন্যুনতম শিক্ষাগত অরতা হৈছে [,Class VIII Pass,HSLC Pass,Class IX Pass,Not mandatory,A,"Step 1: Identify the concept tested in Question 53. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (Class VIII Pass) as correct. Therefore, option A is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
54,বিপদজনক আৰ ক্ষতিকাৰক সামগ্রী কটিওবা বাহন চালকব ড্রাইভিং লাইচেঞ্চবৰ বৈধতাৰ ম্যাদ হৈছে |,1 year,2 years,3 years,5 years,A,"Step 1: Identify the concept tested in Question 54. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (1 year) as correct. Therefore, option A is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
55,কোনটোক সাধাৰণতে ভোটদানৰ প্রমাণ হিচাবে গণ্য কৰা হয় £,Tick mark against name on Electoral Rolls (Voters List),Mark of indelible ink on finger nail (or other body position),Possession of Voter’s slip,Permission to enter voting booth,B,"Step 1: Identify the concept tested in Question 55. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Mark of indelible ink on finger nail (or other body position)) as correct. Therefore, option B is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
57,"যদি 1+2+3+...+9+1055, তেন্তে 2+3+44+. ..+104+11-?",65,66,64,62,A,"Step 1: Identify the concept tested in Question 57. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (65) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
58,অসমৰ সর্বপ্রথম স্বর্গদেউ গবাকীৰ নাম ব্যক্ত কৰক।,Suhungmung,Suhenpha,Sutupha,Sukapha,D,"Step 1: Identify the concept tested in Question 58. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Sukapha) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
59,বায়ু ঃ ঈগল £ পানী ৪ £,Duck,Cuckoo,Pigeon,Ostrich,A,"Step 1: Identify the concept tested in Question 59. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (Duck) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
60,পথত থকা জেব্রা ক্রুছিং কিহৰ বাবে ব্যরহৃত হয় ?,Reducing speed,Pedestrian crossing,Giving preference to other vehicles,Crossing of Animals,B,"Step 1: Identify the concept tested in Question 60. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Pedestrian crossing) as correct. Therefore, option B is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
61,এটা মানক ইংবাজী অভিধানত কোনটো শব্দ একেবাৰে শেষত থাকিব ?,JANUARY,OCTOBER,DECEMBER,MARCH,B,"Step 1: Identify the concept tested in Question 61. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (OCTOBER) as correct. Therefore, option B is the answer.",English,Vocabulary / Grammar / Usage
62,ভাবতবর্ষত ড্রাইভিং লাইচেঞ্চ লাভ কৰিবৰ বাবে বয়সৰ সর্বোচ্চ সীমা হৈছে |,65 years,70 years,80 years,"Age, no bar",D,"Step 1: Identify the concept tested in Question 62. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Age, no bar) as correct. Therefore, option D is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
64,1.810107 ত থকা বর্ণ বোৰৰ সহায়েবে গঠন কৰিব নোরাৰা শব্দটো চিনাক্ত কৰক।,LEAD,MADE,DEAF,DEAL,C,"Step 1: Identify the concept tested in Question 64. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (DEAF) as correct. Therefore, option C is the answer.",English,Vocabulary / Grammar / Usage
65,তলত দিয়া ৰাশিটোৰ মান কিমান ?,,,,6 4 3 24  1  1  1,B,"Step 1: Identify the concept tested in Question 65. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B () as correct. Therefore, option B is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
66,নিচাসক্ত হৈ গাড়ী চালনা কৰিলে প্রথম বাৰৰ বাবে সর্বোচ্চ শান্তি হ'ল |,Upto 6 months imprisonment,"` 10,000 /- fine","` 10,000 /- fine and upto 6 months imprisonment","` 20,000 /- fine",C,"Step 1: Identify the concept tested in Question 66. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (` 10,000 /- fine and upto 6 months imprisonment) as correct. Therefore, option C is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
67,নিন্নলিখিত কোনখন বাজ্যই অসমৰ সীমান্ত স্পর্শ নকৰে ?,Nagaland,Bihar,Mizoram,Tripura,B,"Step 1: Identify the concept tested in Question 67. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Bihar) as correct. Therefore, option B is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
68,ভাবতীয় বাহনৰ হালধীয়া বৰণৰ নান্বাৰ প্লেটে কি সূচায় ? () বৈদ্যুতিক বাহন,Electric vehicle,Commercial vehicle,Ambulance,Governor’s vehicle,B,"Step 1: Identify the concept tested in Question 68. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Commercial vehicle) as correct. Therefore, option B is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
69,"যদি? টা আমৰ দাম ক 9] হয়, তেন্তে 3 টা আমৰ দাম ৪",` 28,` 35,` 37,` 39,D,"Step 1: Identify the concept tested in Question 69. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (` 39) as correct. Therefore, option D is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
70,"এজন মানুহে এটা বিকল সামগ্রী ₹ 1,500 ত ক্রয় কৰি ₹ 900 ৰে মেবামতি কৰিলে আৰু সামগ্রীপদ ₹ 5,000 ত বিক্রি কৰিলে। বিক্রিকৰ হিচাবে তেওঁ ₹ 100 পৰিশোধ কৰিব লগীয়া হ'ল। সামগ্রীপদ বিক্রি কৰি মানুহজনে অর্জন কৰা মুঠ লাভৰ শতাংশ পবিমাণ হ'ল ৪",80%,60%,120%,100%,D,"Step 1: Identify the concept tested in Question 70. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (100%) as correct. Therefore, option D is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
71,"0, 7, 1, 3-ৰ পৰৱৰ্তী বৰ্ণটো কি হ’ব ?",T,U,W,Z,D,"Step 1: Identify the concept tested in Question 71. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Z) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
72,প্রাচীন কামকপ বাজ্যৰ বাজধানীৰ নাম কি আছিল ? () দৰং,Darranga,Pragjyotishpur,Garhgaon,Itakhuli,B,"Step 1: Identify the concept tested in Question 72. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Pragjyotishpur) as correct. Therefore, option B is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
73,লোহৰী আৰু বৈশাখী মূলতঃ কোনখন ৰাজ্যত পালন কৰা হয় ?,West Bengal,Punjab,Maharashtra,Chhattisgarh Paper-V/A 35 P.T.O,B,"Step 1: Identify the concept tested in Question 73. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Punjab) as correct. Therefore, option B is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
74,প্রতিবক্ষা বিভাগীয় গাড়ীৰ বাদে আন গাড়ীত কোনটো বং নিষিদ্ধ ?,Orange,Saffron,Olive Green,Dark Blue,C,"Step 1: Identify the concept tested in Question 74. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Olive Green) as correct. Therefore, option C is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
75,লোকসভাব নির্বাচন সাধাৰণতে কেতিয়া অনুষ্ঠিত হয় ?,Every five (5) years,Every four (4) years,Every six (6) years,Every ten (10) years,A,"Step 1: Identify the concept tested in Question 75. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (Every five (5) years) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
76,ৰাকেশ সুবোধতকৈ ওখ। তেওঁলোকৰ বন্ধু অতনুৱেই একমাত্ৰ যি বাস্কেটবল দলত অন্তৰ্ভুক্তিৰ যোগ্যতা অৰ্জন কৰিছে য’ত খেলুৱৈৰ উচ্চতা ছয় ফুটতকৈ অধিক হ’ব লাগিব। উচ্চতা অনুযায়ী মাজত কোন আছে ?,Subodh,Atanu,Rakesh,Cannot be determined,C,"Step 1: Identify the concept tested in Question 76. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Rakesh) as correct. Therefore, option C is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
