record_id,recruitment_cycle,exam_level,category,field,value,unit,official_notification,notification_date,age_cutoff,source_status
32,ADRE 2.0,Grade III,HSLC Driver,Total Marks,150,marks,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
33,ADRE 2.0,Grade III,HSLC Driver,Duration,3,hours,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
34,ADRE 2.0,Grade III,HSLC Driver,Social Studies,20,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
35,ADRE 2.0,Grade III,HSLC Driver,General Knowledge,30,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
36,ADRE 2.0,Grade III,HSLC Driver,Logical Reasoning and Mental Ability,20,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
37,ADRE 2.0,Grade III,HSLC Driver,General English,30,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
38,ADRE 2.0,Grade III,HSLC Driver,General Mathematics,30,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
39,ADRE 2.0,Grade III,HSLC Driver,Road Transport,20,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
40,ADRE 2.0,Grade III,All,Negative Marking,0.25,marks per wrong 1-mark question,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
41,ADRE 2.0,Grade III,Degree,Negative Marking RC,0.50,marks per wrong 2-mark question,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
42,ADRE 2.0,Grade IV,All,Vacancies,5000,posts,SLRC-G-IV/Assam/Advertisement for Analogous Posts-IV/2023-24/01/14,2023-10-27,,Official
43,ADRE 2.0,Grade IV,HSLC,Vacancies,1060,posts,SLRC-G-IV/Assam/Advertisement for Analogous Posts-IV/2023-24/01/14,2023-10-27,,Official
44,ADRE 2.0,Grade IV,HSLC+ITI,Vacancies,1990,posts,SLRC-G-IV/Assam/Advertisement for Analogous Posts-IV/2023-24/01/14,2023-10-27,,Official
45,ADRE 2.0,Grade IV,Class VIII,Vacancies,1950,posts,SLRC-G-IV/Assam/Advertisement for Analogous Posts-IV/2023-24/01/14,2023-10-27,,Official
46,ADRE 2.0,Grade IV,All,Minimum Age,18,years,SLRC-G-IV/Assam/Advertisement for Analogous Posts-IV/2023-24/01/14,2023-10-27,2023-01-01,Official
47,ADRE 2.0,Grade IV,All,Base Maximum Age,40,years,SLRC-G-IV/Assam/Advertisement for Analogous Posts-IV/2023-24/01/14,2023-10-27,2023-01-01,Official
48,ADRE 2.0,Grade IV,SC/ST,Upper Age Relaxation,5,years,SLRC-G-IV/Assam/Advertisement for Analogous Posts-IV/2023-24/01/14,2023-10-27,2023-01-01,Official
49,ADRE 2.0,Grade IV,OBC/MOBC,Upper Age Relaxation,3,years,SLRC-G-IV/Assam/Advertisement for Analogous Posts-IV/2023-24/01/14,2023-10-27,2023-01-01,Official
50,ADRE 2.0,Grade IV,Ex-Servicemen,Upper Age Relaxation,2,years,SLRC-G-IV/Assam/Advertisement for Analogous Posts-IV/2023-10-27,,2023-01-01,Official
51,ADRE 2.0,Grade IV,PwBD,Upper Age Relaxation,10,years,SLRC-G-IV/Assam/Advertisement for Analogous Posts-IV/2023-24/01/14,2023-10-27,2023-01-01,Official
52,ADRE 2.0,Grade IV,All,Application Fee,0,INR,SLRC-G-IV/Assam/Advertisement for Analogous Posts-IV/2023-24/01/14,2023-10-27,,Official
53,ADRE 2.0,Grade IV,Class VIII,Exam Category,Elementary School Pass Level,SCERT level,SLRC-G-IV/ASSAM/Advertisement for Analogous Posts-IV/2023-24/01/14,2024-07-15,,Official
54,ADRE 2.0,Grade IV,HSLC/HSLC+ITI,Exam Category,High School Level Certificate Examination,Board of Secondary Education Assam level,SLRC-G-IV/ASSAM/Advertisement for Analogous Posts-IV/2023-24/01/14,2024-07-15,,Official
55,ADRE 2.0,Grade IV,All,Questions,135,questions,SLRC-G-IV/ASSAM/Advertisement for Analogous Posts-IV/2023-24/01/14,2024-07-15,,Official
56,ADRE 2.0,Grade IV,All,Total Marks,135,marks,SLRC-G-IV/ASSAM/Advertisement for Analogous Posts-IV/2023-24/01/14,2024-07-15,,Official
57,ADRE 2.0,Grade IV,All,Duration,150,minutes,SLRC-G-IV/ASSAM/Advertisement for Analogous Posts-IV/2023-24/01/14,2024-07-15,,Official
58,ADRE 2.0,Grade IV,All,Negative Marking,0.25,marks per wrong answer,SLRC-G-IV/ASSAM/Advertisement for Analogous Posts-IV/2023-24/01/14,2024-07-15,,Official
59,ADRE 3.0,Grade III & IV,All,Official Notification Status,NOT_YET_VERIFIED,,,2026-08-14,,Not officially verified
60,ADRE 3.0,Grade III & IV,All,Vacancies,NOT_YET_PUBLISHED,,,,2026-08-14,,Not officially published
61,ADRE 3.0,Grade III & IV,All,Age Limit,NOT_YET_PUBLISHED,,,,2026-08-14,,Not officially published
62,ADRE 3.0,Grade III & IV,All,Age Relaxation,NOT_YET_PUBLISHED,,,,2026-08-14,,Not officially published
63,ADRE 3.0,Grade III & IV,All,Syllabus and Weightage,NOT_YET_PUBLISHED,,,,2026-08-14,,Not officially published
