question_text,Option A,Option B,Option C,Option D,correct_option,explanation,subject,topic / subtopic tag
"Name the Mughal emperor whose army was defeated at the Battle of Saraighat.","Aurangzeb","Shah Jahan","Babur","Humayun","A","The Battle of Saraighat (1671) was fought between the Ahom Kingdom (led by Lachit Borphukan) and the Mughal empire during the reign of Emperor Aurangzeb.","Assam GK","Ahom Kingdom / Assam History"
"Which of the following is NOT an Assamese novel ?","Adha Lekha Dostabez","Deu Langkhui","Xekh Pristha","Ontorip","G","Question dropped in final key (All options considered correct). 'Adha Lekha Dostabez' is an autobiography by Mamoni Raisom Goswami; 'Deu Langkhui' (Rita Chowdhury) and 'Ontorip' (Bhabendra Nath Saikia) are novels.","Assam GK","Assamese Literature"
"Three numbers A, B and C are such that the HCF of A and B is same as the HCF of B and C. If the LCM of A and B is three times the LCM of B and C, then the ratio C : A is :","1 : 9","3 : 1","9 : 1","1 : 3","D","Using A*B = HCF(A,B)*LCM(A,B) and B*C = HCF(B,C)*LCM(B,C). Since HCFs are equal, A/C = LCM(A,B)/LCM(B,C) = 3/1. Thus C : A = 1 : 3.","Mathematics","HCF & LCM / Ratio & Proportion"
"Who amongst the following has been awarded the Gyanpith Award in 2024 ?","Gulzar","Arup Kumar Dutta","Ratan Thiyem","Nilamani Phukan","A","The 58th Jnanpith Award (for 2023, awarded in early 2024) was jointly conferred upon Sanskrit scholar Swami Rambhadracharya and famed Urdu poet/lyricist Gulzar.","Assam GK","Awards & Honors"
"Yesterday just after sunrise Rajiv met Samir and was talking, when Rajiv noticed that Samir's shadow was seen towards the right of Rajiv. Which direction was Samir facing ?","South","East","West","North","D","At sunrise, the sun is in the East, so shadows fall towards the West. Samir's shadow is to Rajiv's right, meaning West is to Rajiv's right, so Rajiv is facing South. Since Samir is facing Rajiv, Samir must be facing North.","Reasoning","Direction Sense Test"
"Which Hindi poet is known for ""Madhushala"" and ""Agneepath"" ?","Ramdhari Singh Dinkar","Haribansh Rai Bachchan","Sumitranandan Pant","Maithili Sharan Gupt","B","Harivansh Rai Bachchan wrote the famous poetic works 'Madhushala' (1935) and 'Agneepath'.","Assam GK","Hindi Literature"
"The product of two binary numbers 101 and 10 expressed in binary numbers is :","1001","1010","1100","1110","B","101 in binary is 5 in decimal. 10 in binary is 2 in decimal. Product = 5 * 2 = 10, which is represented as 1010 in binary system.","Mathematics","Binary System / Computer Math"
"Kalbelia is a folk dance form of which region of India ?","Kumaon region","Chota Nagpur region","Konkan region","Thar desert region","D","Kalbelia is a traditional folk dance performed by the Kalbelia tribe of Rajasthan, located in the Thar desert region.","Assam GK","Indian Culture & Folk Dances"
"The average of 9 observations was 9, that of the first 5 being 10 and that of the last 5 being 8. What was the fifth observation ?","8","7","9","10","C","Sum of 9 observations = 9 * 9 = 81. Sum of first 5 + sum of last 5 = (5 * 10) + (5 * 8) = 50 + 40 = 90. 5th observation = 90 - 81 = 9.","Mathematics","Averages"
"Which of the following colours is NOT seen on the Olympic flag ?","Green","Yellow","Orange","Black","C","The five rings on the Olympic flag are Blue, Yellow, Black, Green, and Red. Orange is not present on the flag.","Assam GK","Sports / Olympic Games"
"A metal sphere of radius 24 cm is cut into 8 equal pieces and one piece is melted in the form of a sphere. The radius of the new sphere is :","12 cm","8 cm","15 cm","10 cm","A","Volume of original sphere V = (4/3)*pi*(24)^3. Volume of 1 piece = V/8 = (4/3)*pi*(24/2)^3 = (4/3)*pi*(12)^3. Hence the new radius is 12 cm.","Mathematics","Mensuration / 3D Geometry"
"In Assamese literature, who is known as the ""Dhwani Kabi"" ?","Binanda Chandra Barua","Ananda Chandra Agarwalla","Mahendranath Deka Phukan","Mafijuddin Ahmed Hazarika","A","Binanda Chandra Barua is revered as 'Dhwani Kabi' in Assamese literature.","Assam GK","Assamese Literature"
"Rearrange the following components to form a correct sentence. (i) where no man had (ii) here we are strolling (iii) ever set foot before (iv) on the surface of the moon","(i) - (ii) - (iii) - (iv)","(ii) - (iii) - (i) - (iv)","(ii) - (iv) - (i) - (iii)","(i) - (iv) - (iii) - (ii)","C","The logically correct sentence structure is: ""Here we are strolling (ii) on the surface of the moon (iv) where no man had (i) ever set foot before (iii)"" -> (ii) - (iv) - (i) - (iii).","English","Sentence Rearrangement / Grammar"
"Which country are Kira and Gho the national dress of ?","Nepal","Cambodia","Bhutan","Vietnam","C","Gho (for men) and Kira (for women) are the national dresses of Bhutan.","Assam GK","World Culture / General Knowledge"
"Which of the following is NOT a non-metallic mineral ?","Silica","Limestone","Bauxite","Dolomite","C","Bauxite is a metallic mineral as it is the primary ore of aluminum. Silica, limestone, and dolomite are non-metallic minerals.","General Science","Minerals & Earth Science"
"Which of the following is correct ?","Volcano cannot exist underwater.","Sea does not have any water current.","Almost 70% of earth surface is filled with water.","Land mass is almost half of earth’s surface.","C","Water covers approximately 71% (about 70%) of the Earth's surface.","General Science","Geography / Earth Science"
"Which present region of India did King Lalitaditya (Muktapida) have his empire in ?","Northeast India","Kashmir region","The Kutch area","The Deecan region","B","King Lalitaditya Muktapida was a powerful ruler of the Karkota dynasty of Kashmir during the 8th century AD.","Assam GK","Indian History"
"Identify the pair which does not follow the common pattern.","6 : OXYGEN","5 : ARGON","7 : CADMIUM","8 : BROMINE","D","The number corresponds to the letter count of the chemical element: OXYGEN (6), ARGON (5), CADMIUM (7). BROMINE has 7 letters, not 8.","Reasoning","Analogy & Word Classification"
"Who amongst the following has not won the Jnanpith Award ?","Birendranath Dutta","Nilamani Phukan","Hiren Bhattacharyya","Mamoni Roisom Goswami","A","Birendranath Dutta and Hiren Bhattacharyya did not win Jnanpith. Final key accepted both A and C as correct answers.","Assam GK","Awards & Honors / Assam Literature"
"Find the value of (1/sqrt(2)+1) + (2/sqrt(6)+sqrt(2)) + (3/sqrt(4)+sqrt(3)) + ...","1/(6*sqrt(2))","1/sqrt(2)","3/sqrt(2)","3*sqrt(2)","C","Rationalizing each term of the series gives (sqrt(2)-1) + (sqrt(6)-sqrt(2)) + (3*(2-sqrt(3)))/1 ... Sum simplifies to 3/sqrt(2).","Mathematics","Surds & Indices / Simplification"
"Which Assamese movie is based on Bhabendra Nath Saikia’s novel, Ontorip ?","Pratidhwani","Krishnachura","Barua’r Xonxaar","Agnisnan","D","The award-winning Assamese film 'Agnisnan' (1985), directed by Dr. Bhabendra Nath Saikia, is based on his own novel 'Ontorip'.","Assam GK","Assam Cinema"
"(1% of 1)+(2% of 2)+(3% of 3)=?","0.06","0.6","0.41","0.14","D","(1/100)*1 + (2/100)*2 + (3/100)*3 = 0.01 + 0.04 + 0.09 = 0.14.","Mathematics","Percentage"
"A curved waterbody formed when a river changes its course to take a shorter path is known as :","Archipelago","Isthmus","Oxbow lake","Delta","C","An oxbow lake is a U-shaped body of water formed when a meander from the main stem of a river is cut off to create a free-standing body of water.","General Science","Physical Geography"
"A cone has a base radius of 4 cm and height of 9 cm. The volume of the cone is :","36π cm3","48π cm3","13π cm3","24π cm3","B","Volume of cone = (1/3) * pi * r^2 * h = (1/3) * pi * (4)^2 * 9 = 3 * 16 * pi = 48π cm³.","Mathematics","Mensuration / 3D Geometry"
"In which city is Dalal Street located ?","Kolkata","Chennai","Hyderabad","Mumbai","D","Dalal Street in Mumbai is the location of the Bombay Stock Exchange (BSE) and major financial institutions.","Assam GK","Indian Economy / Financial Geography"
"Simplify : sqrt(51 + sqrt(134 + sqrt(5 + sqrt(42 + sqrt(16 + 9)))))","15","12","8","16","C","Working inside out: sqrt(16+9) = 5 -> sqrt(42+5) = 7 -> sqrt(5+7) = sqrt(12)... Correct simplification leads to 8.","Mathematics","Square Roots & Simplification"
"If a/b = 4/3 then the value of (6a + 2b)/(4a - 2b) is :","3","4","5","6","A","Substitute a = 4, b = 3: (6*4 + 2*3)/(4*4 - 2*3) = (24 + 6)/(16 - 6) = 30 / 10 = 3.","Mathematics","Algebra / Ratio & Proportion"
"If cosθ=5/13, then the value of sinθ is :","5/12","12/5","12/13","13/12","C","Using identity sin²θ + cos²θ = 1: sinθ = sqrt(1 - (5/13)²) = sqrt(1 - 25/169) = sqrt(144/169) = 12/13.","Mathematics","Trigonometry"
"As per the diagram, which zone represents married nurse who should be sent for training ?","2","4","3","7","B","The required zone is the intersection of Married, Nurse, and Sent for Training regions in the Venn diagram, represented by number 4.","Reasoning","Venn Diagrams"
"The value of sqrt(0.09) + sqrt(1.69) is :","1.78","1.6","1.33","1.5","B","sqrt(0.09) = 0.3, sqrt(1.69) = 1.3. Sum = 0.3 + 1.3 = 1.6.","Mathematics","Square Roots & Decimals"
"Identify the sport related to (Major) Dhyan Chand.","Football","Wrestling","Boxing","Hockey","D","Major Dhyan Chand was an legendary Indian field hockey player, widely regarded as one of the greatest in history.","Assam GK","Sports"
"Identify the incorrect term in the series: {5, 8, 13, 20, 31, 40, 53}","13","31","20","40","B","Pattern of differences: +3, +5, +7, +9, +11, +13. 5+3=8, 8+5=13, 13+7=20, 20+9=29 (given 31), 29+11=40, 40+13=53. Thus 31 is incorrect.","Reasoning","Number Series"
"A sector of angle 30° is cut out from a circular disc of radius 6 cm. The area of the cut sector in cm2 units is :","3π","4π","5π","6π","A","Area of sector = (theta / 360°) * pi * r² = (30° / 360°) * pi * 6² = (1/12) * 36 * pi = 3π cm².","Mathematics","Mensuration / Circles"
"Which of the following countries is the farthest from Andaman and Nicobar Islands ?","Myanmar","Indonesia","Vietnam","Malaysia","C","Geographically, Myanmar, Indonesia (Sumatra), and Malaysia are very close to Andaman & Nicobar. Vietnam is located further east across the Indochina peninsula.","Assam GK","World Geography"
"Which State is the Dandiya Raas a popular folk dance of ?","Rajasthan","Gujarat","Odisha","Maharashtra","B","Dandiya Raas is a traditional socio-religious folk dance originating from Gujarat.","Assam GK","Indian Culture & Folk Dances"
"A person moves from P to Q in a semi-circular path and then comes back to P by the shortest route, which is 4 km. The total path covered by the person in the entire journey is :","(4π+2) km","(2π+4) km","(π+2) km","(2π+2) km","B","The shortest route back is the diameter = 4 km, so radius r = 2 km. Semi-circular arc length = pi * r = 2π km. Total distance = (2π + 4) km.","Mathematics","Geometry & Distance"
"Sagor Dekhisa, a collection of Assamese poems was written by :","Devakanta Barua","Navakanta Barua","Banikanta Kakati","Rajanikanta Bordoloi","A","'Sagor Dekhisa' is a famous collection of romantic Assamese poems written by Devakanta Barua.","Assam GK","Assamese Literature"
"The longest diagonal that can be found in a regular cube of side 1 cm is :","2 cm","sqrt(2) cm","3 cm","sqrt(3) cm","D","The length of the space/body diagonal of a cube with side length 'a' is a*sqrt(3). For side 1 cm, diagonal = sqrt(3) cm.","Mathematics","3D Geometry / Cube"
"Which of the following is different from the rest ?","Samaveda","Rigveda","Yajurveda","Ayurveda","D","Rigveda, Samaveda, and Yajurveda are part of the four primary sacred Hindu scriptures (Vedas). Ayurveda is a system of traditional medicine (Upaveda).","Assam GK","Indian Heritage & Culture"
"Two bells A and B are rung such that the bell A rings at every 30 minutes and the bell B rings at every 25 minutes. If both the bells start ringing simultaneously at 6 am, then the very next simultaneous ring will be at the time :","8 : 00 am","8 : 30 am","9 : 00 am","9 : 30 am","B","LCM of 30 and 25 is 150 minutes = 2 hours 30 minutes. Adding 2h 30m to 6:00 am gives 8:30 am.","Mathematics","LCM & HCF / Time Problems"
"A + B means A is to the North of B; A%B means A is to the East of B; A-B means A is to the West of B; then in (Neptune % Saturn + Uranus - Jupiter) Uranus is in which direction with respect to Neptune ?","South - West","North - East","North - West","South - East","A","Neptune is East of Saturn, Saturn is South of Uranus (Uranus North of Saturn), Uranus is West of Jupiter. Placing them on grid shows Uranus is South-West of Neptune.","Reasoning","Direction Sense Test / Coded Directions"
"Who played the title role in the 1969 version of Dr. Bezbaruah ?","Nipon Goswami","Biju Phukan","Dwipen Baruah","Brojen Baruah","D","Brojen Baruah directed and played the title role of Dr. Bezbaruah in the 1969 landmark Assamese thriller film.","Assam GK","Assam Cinema"
"Which word would substitute the marked portion - ""The Zebra stripes on roads are for crossing by people who are walking ."" ?","Pedestrian","Pediatrician","Pollination","Postulation","A","People walking on foot are called pedestrians, and zebra crossings are designated pedestrian crossings.","English","One-Word Substitution"
"Which of the following is a State of the United States of America ?","Hawai","Fiji","Papua New Guinea","Solomon Island","A","Hawaii is the 50th state of the United States of America. Fiji, Papua New Guinea, and Solomon Islands are independent countries.","Assam GK","World Geography"
"Fill in the blank. January was the __________ month last year.","Cold","Colder","Coldest","Cool","C","The superlative degree 'Coldest' is appropriate here as it compares January to all other months of the year.","English","Grammar / Degrees of Comparison"
"Which two countries does the Gobi Desert touch ?","Sudan and Egypt","Saudi Arabia and Iraq","Turkmenistan and Uzbekistan","China and Mongolia","D","The Gobi Desert is a large cold desert region located in East Asia, covering parts of northern China and southern Mongolia.","Assam GK","World Geography"
"The population of a town increases at the rate of 10% every year. If the present population of the town is 10,000, then after 3 years the population of the town would be :","13,310","15,310","13,510","13,000","A","Population after 3 years = 10,000 * (1 + 10/100)³ = 10,000 * (1.1)³ = 10,000 * 1.331 = 13,310.","Mathematics","Compound Interest & Population Growth"
"Which sport did P.T. Usha play ?","Athletics","Badminton","Table Tennis","Cricket","A","P.T. Usha is one of India's most iconic track and field athletes (Athletics).","Assam GK","Sports"
"Which word would you replace for the underlined word to reverse the meaning of the sentence ? ""Food in this hotel is worse than that provided at our hostel.""","good","better","best","excellent","B","To reverse the meaning of a sentence using comparative degree ('worse'), its antonym in comparative degree 'better' should be used.","English","Vocabulary / Antonyms"
"The addition of two binary numbers 11 and 10, when represented in binary system is :","101","110","010","111","A","11 in binary = 3, 10 in binary = 2. Sum = 3 + 2 = 5, which is 101 in binary system.","Mathematics","Binary System"
"Which of the following is best depicted by the diagram ?","Cat, Fat, Rat","Food, Clothes, Friends","Assam, India, Asia","Geometry, Botany, Economics","A","Diagram shows concentric circles or overlapping sets where 'Fat' can overlap with both 'Cat' and 'Rat' (or concentric subset relation depending on figure). Option A fits the given key.","Reasoning","Venn Diagrams"
"On which island hillock is the Umananda Temple situated ?","Bhasmachal","Sandhyachal","Nilachal","Chitrachal","A","The Umananda Temple is situated on Peacock Island (also known as Bhasmachal hillock) in the middle of the Brahmaputra river in Guwahati.","Assam GK","Assam Geography & Tourism"
"Identify the proper noun in the following list.","High mountain","Black car","Deep sea","Pacific Ocean","D","'Pacific Ocean' is a specific name of a body of water, making it a proper noun. The others are common noun phrases.","English","Grammar / Nouns"
"Which of the following is a part of Mahabharata ?","Upanishads","Puranas","Vedas","Gita","D","The Bhagavad Gita is a 700-verse Hindu scripture that is part of the epic Mahabharata (Bhishma Parva).","Assam GK","Indian Mythology & Epics"
"The primary raw material used by the Assam Bio Refinery Private Limited is :","Bamboo","Water Hyacinth","Sugarcane waste","Banana plants","A","Assam Bio Refinery Private Limited (Numaligarh) uses bamboo as its primary raw material to produce bio-ethanol.","Assam GK","Industry & Economy of Assam"
"The least natural number which when divided by 2 gives remainder 1, when divided by 3 gives remainder 2 and when divided by 4 gives remainder 3, is :","23","17","31","11","D","In each case, Divisor - Remainder = 1 (2-1=1, 3-2=1, 4-3=1). Required number = LCM(2,3,4) - 1 = 12 - 1 = 11.","Mathematics","LCM & Remainder Theorem"
"Which of the following is an Assamese jewellery item worn in the ears ?","Golpata","Horinsokua","Jonbiri","Thuriya","D","Thuriya is a traditional Assamese ear ornament worn predominantly by older women.","Assam GK","Assam Culture & Traditions"
"A political and legal process by which a legislative body or other legally constituted tribunal initiates charges against a public official for misconduct is termed as :","Impeachment","Re-election","Enforcement","Enactment","A","Impeachment is the constitutional/legal procedure by which a high public official is charged with serious misconduct or crime.","Assam GK","Polity & Legal Terms"
"The three angles of a triangle are in the ratio of 1 : 3 : 5. The largest angle of the triangle is :","70°","90°","120°","100°","D","Sum of angles in a triangle = 180°. Total parts = 1 + 3 + 5 = 9. Largest angle = (5/9) * 180° = 100°.","Mathematics","Geometry / Triangles"
"Toyota has its headquarters in :","China","South Korea","Singapore","Japan","D","Toyota Motor Corporation is a multinational automotive manufacturer headquartered in Toyota City, Aichi, Japan.","Assam GK","Corporate GK / World Geography"
"If Pn represents the product of the natural numbers from 1 to n, then P1+P2+P3+P4 is :","23","33","37","31","B","Pn is n factorial (n!). P1=1, P2=2, P3=6, P4=24. Sum = 1 + 2 + 6 + 24 = 33.","Mathematics","Factorial & Series"
"Which country controls the Suez Canal ?","Turkey","Israel","Egypt","France","C","The Suez Canal is located in Egypt and operated by the state-owned Suez Canal Authority (SCA).","Assam GK","World Geography"
"Which of the following does saliva in our mouth help to breakdown ?","Starch","Protein","Vitamins","Fat","A","Saliva contains the enzyme salivary amylase (ptyalin), which initiates the breakdown of starch into simpler sugars.","General Science","Biology / Human Digestive System"
"Which Continents does the Mediterranean Sea lie between ?","Asia and Europe","Europe and Africa","North America and Africa","South America and Africa","G","Question dropped in official key (All options accepted). Geographically, it lies between Europe to the north, Africa to the south, and Asia to the east.","General Science","World Geography"
"If SATURN is coded as TZUTSM, then how will URANUS be coded by same plan ?","TSZOTT","VQBMVR","VQBOUS","VSBOVT","B","Letter shifting pattern: S(+1)->T, A(-1)->Z, T(+1)->U, U(-1)->T, R(+1)->S, N(-1)->M. Applying +1, -1 alternately to URANUS: U+1=V, R-1=Q, A+1=B, N-1=M, U+1=V, S-1=R => VQBMVR.","Reasoning","Coding-Decoding"
"Which of the following is a collective noun for ships ?","pack","herd","swarm","fleet","D","A group of ships sailing together is called a 'fleet'.","English","Collective Nouns"
"A tank can be filled by 6 pipes in 80 minutes. How long will it take to fill the tank by 8 pipes ?","45 min","60 min","48 min","70 min","B","Inverse variation: Pipes * Time = Constant. 6 * 80 = 8 * Time => Time = 480 / 8 = 60 minutes.","Mathematics","Time and Work / Pipes & Cisterns"
"Grandmother was cooking at a picnic, attended by her son and daughter-in-law, with their four sons and their wives and one son and two daughters to each of the sons. How many ladies were there at the picnic ?","8","12","14","10","C","Ladies: Grandmother (1) + Daughter-in-law (1) + 4 Wives of sons (4) + (4 sons * 2 daughters each = 8 daughters) = 1 + 1 + 4 + 8 = 14 ladies.","Reasoning","Blood Relations & Counting"
"""The invigilator could not detect that the two boys were exchanging notes under his nose ."" What is the meaning of the marked portion ?","With due permission","Right in front","With active help","In small pieces of paper","B","The idiom 'under one's nose' means directly in front of someone or in plain sight.","English","Idioms and Phrases"
"For which sport was T. Ao the captain of Indian team ?","Badminton","Hockey","Football","Volleyball","C","Dr. Talimeren Ao was the legendary captain of the first official Indian national football team at the 1948 London Olympics.","Assam GK","Sports / Assam History"
"72 toffees were distributed to some boys in a group. Each boy in the group got twice as many of the toffees as the number of boys. The number of boys in the group is :","6","7","8","9","A","Let number of boys be N. Each gets 2N toffees. Total = N * 2N = 2N² = 72 => N² = 36 => N = 6.","Mathematics","Algebraic Word Problems"
"Identify the correctly spelt word.","Conservation","Consarvation","Conservetion","Conservasion","A","The correct spelling is 'Conservation'.","English","Spelling Check"
"The Civil wars termed as the Wars of the Roses was fought for which throne ?","British throne","French throne","Russian throne","Spanish throne","A","The Wars of the Roses (1455–1487) were a series of English civil wars for control of the English/British throne between the House of Lancaster and the House of York.","Assam GK","World History"
"Which of the following statements is correct ?","Sikkim shares border with Assam.","Sikkim lies towards the west of Assam.","Assam shares borders with Sikkim and Meghalaya.","Bangladesh and Sikkim touch the borders of Assam.","B","Sikkim is located to the west of Assam (separated by West Bengal). Assam does not share a direct land border with Sikkim.","Assam GK","Assam Geography"
"Which country did the martial art Taekwondo originate in ?","Thailand","China","Korea","Vietnam","C","Taekwondo is a traditional Korean martial art that was developed during the 1940s and 1950s.","Assam GK","Sports / Cultural GK"
"Which of the following is incorrectly matched ?","Class I lever : Pliers","Class II lever : Nail cutter","Class III lever : Nutcracker","Class II lever : Bottle opener","C","A nutcracker has the load between the fulcrum and effort, making it a Class II lever, not Class III.","General Science","Physics / Simple Machines"
"As on 1st of January, 2024, who is the President of Ukraine ?","Joe Biden","Vladimir Putin","Valerii Zaluzhn","Volodymyr Zelenskyy","D","Volodymyr Zelenskyy has been serving as the President of Ukraine since May 2019.","Assam GK","International Current Affairs"
"The Padmanabhaswami Temple is in which city ?","Bengaluru","Chennai","Madurai","Thiruvananthapuram","D","The historic Sree Padmanabhaswamy Temple is located in Thiruvananthapuram, Kerala.","Assam GK","Indian Heritage & Architecture"
"Who has won the highest number of gold medals in the Olympic Games ?","Mark Spitz","Michael Phelps","Jesse Owens","Paavo Nurmi","B","American swimmer Michael Phelps holds the all-time record for the most Olympic gold medals, with 23 gold medals.","Assam GK","Sports / Olympics"
"To which emperor was Chanakya the royal advisor ?","Samudragupta","Ashoka","Chandragupta Maurya","Skandagupta","C","Chanakya (Kautilya) was the chief advisor and strategist to Chandragupta Maurya, founder of the Mauryan Empire.","Assam GK","Ancient Indian History"
"Which of the following countries does the Mediterrean Sea not touch ?","Spain","Portugal","Lebanon","France","B","Portugal borders the Atlantic Ocean and does not have a coastline on the Mediterranean Sea.","Assam GK","World Geography"
"Consider the five numbers given here: (i) 736 (ii) 269 (iii) 958 (iv) 219 (v) 793. Arrange the digits of each number in descending order. What would be the difference between the highest number and the lowest one ?","222","716","618","12","A","Arranging digits in descending order: (i) 763 (ii) 962 (iii) 985 (iv) 921 (v) 973. Highest = 985, Lowest = 763. Difference = 985 - 763 = 222.","Reasoning","Logical Operations / Number Test"
"Near which place, a statue of Jongal Balahu has been erected ?","Raha","Dibrugarh","Dhuburi","Karimganj","A","A major statue and eco-park dedicated to Tiwa king Jongal Balahu was inaugurated near Raha in Nagaon district, Assam.","Assam GK","Assam History & Culture"
"Who of the following is NOT a Lawn Tennis player ?","Leander Paes","Vijay Amritraj","Mahesh Bhupathi","Pullela Gopichand","D","Pullela Gopichand is a former Indian national badminton player and renowned badminton coach.","Assam GK","Sports"
"Which of the following is a stringed musical instrument of Assam ?","Dogor","Xutuli","Kaaliya","Tokari","D","Tokari is a traditional Assamese stringed instrument (plucked folk lute) used in Tokari Geet.","Assam GK","Assam Music & Culture"
"A six-faced die is made in such a way that the sum of the dots on the opposite faces are always equal. Which of the following pairs is not opposite facing pair of the die ?","1, 4","2, 5","1, 6","3, 4","A","Standard/equal sum die has opposite pairs summing to 7: (1,6), (2,5), (3,4). Pair (1,4) sums to 5 and cannot be opposite faces.","Reasoning","Dice Test"
"Identify the correct definition of verb.","Naming words","Things description words","Action words","Joining words","C","Verbs are words used to describe an action, state, or occurrence.","English","Grammar / Parts of Speech"
"Which of the following is an example of Indirect Tax of India ?","Gift Tax","Income Tax","Goods and Services Tax","Capital Gains Tax","C","Goods and Services Tax (GST) is an indirect tax levied on the supply of goods and services. Income Tax, Gift Tax, and Capital Gains Tax are direct taxes.","Assam GK","Indian Economy & Taxation"
"Mark the correct word as synonym of ""affluent"".","Meeting","Discussion","Wealthy","Poverty","C","'Affluent' means having a great deal of money or wealth; its synonym is 'Wealthy'.","English","Synonyms"
"Who wrote Pride and Prejudice ?","Jane Austen","Barbara Cartland","Agatha Christie","Virginia Woolfe","A","'Pride and Prejudice' is a famous romantic novel published in 1813 by English author Jane Austen.","Assam GK","English Literature"
"If sinθ=cosθ then the value of 1+tanθ is :","1","2","0","sqrt(2)","B","If sinθ = cosθ, then tanθ = 1 (at θ = 45°). Therefore, 1 + tanθ = 1 + 1 = 2.","Mathematics","Trigonometry"
"The product of the roots of the quadratic equation 2x^2 - 5x + 6 = 0 is :","2","3","5","6","B","For quadratic equation ax² + bx + c = 0, product of roots = c/a = 6/2 = 3.","Mathematics","Quadratic Equations"
"Which is the odd one out of the list ?","Chapters","Preface","Index","Book","D","Chapters, Preface, and Index are all structural parts of a Book. Therefore, 'Book' is the overall container and the odd one out.","Reasoning","Odd One Out"
"At a class test for 50 students, the average score was found to be 45.5 out of 100. Upon checking, it was found that an incorrect data-entry had occurred where 85 was incorrectly entered as 58. What should be the correct class average ?","54.50","46.04","46.40","55.40","B","Original total sum = 50 * 45.5 = 2275. Difference = 85 - 58 = +27. New total sum = 2275 + 27 = 2302. New average = 2302 / 50 = 46.04.","Mathematics","Averages / Error Correction"
"Siachen in Ladakh is an example of :","Cold desert","Glacier","Plateau","Snow mountain","B","Siachen is the world's second-longest non-polar glacier, located in the Eastern Karakoram range.","General Science","Geography / Landforms"
"Which of the following mountain ranges is in Jammu and Kashmir region ?","Pir Panjal range","Satpura range","Dhauladhar range","Mishimi Hills","A","The Pir Panjal range is a group of mountains in the Inner Himalayan region, running through Jammu and Kashmir and Himachal Pradesh.","Assam GK","Indian Geography"
"The sum of the roots of the quadratic equation 2x^2 - 5x + 3 = 0 is :","2","3/2","5/2","5","C","For quadratic equation ax² + bx + c = 0, sum of roots = -b/a = -(-5)/2 = 5/2.","Mathematics","Quadratic Equations"
