"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic_tag"
"The Numaligarh Refinery is in which district of Assam?","Sivasagar","Jorhat","Golaghat","Dibrugarh","C","Numaligarh Refinery Limited (NRL) is situated in the Golaghat district of Assam[cite: 5, 6].","Assam GK","Geography & Economy of Assam"
"The international festival ‘Kullu Dussehra’ is celebrated in which State?","Himachal Pradesh","Uttarakhand","Uttar Pradesh","Haryana","A","Kullu Dussehra is a famous grand festival celebrated in the Kullu Valley of Himachal Pradesh[cite: 5, 6].","Assam GK","Culture of India"
"The Bering Strait separates which two landmasses?","Australia and New Zealand","The USA and Russia","South Africa and Madagascar","Japan and China","B","The Bering Strait connects the Pacific and Arctic oceans, separating Alaska (USA) from Russia[cite: 5, 6].","Assam GK","World Geography"
"Who wrote the lyrics of ‘Alakananda’, sung by Shankuraj Konwar?","Tonmoy Krypton","Sannidhya Bhuyan","Joi Barua","Maitrayee Patar","D","The lyrics for the Assamese hit song 'Alakananda' were authored by writer-poet Maitrayee Patar[cite: 5, 6].","Assam GK","Assamese Music & Arts"
"The real name of crime thriller writer Ranju Hazarika is","Satyanath Bora","Pabitra Kumar Deka","Hiren Gohain","Kumud Chandra Hazarika","D","Kumud Chandra Hazarika is the real name of the popular Assamese crime fiction author Ranju Hazarika[cite: 5, 6].","Assam GK","Assamese Literature"
"Who wrote the children’s book Xanta-Xista Hrista-Pusta Mahadusto?","Nabakanta Barua","Hiren Bhattacharyya","Bhabendra Nath Saikia","Arup Kumar Dutta","C","Xanta-Xista Hrista-Pusta Mahadusto is a prominent Assamese children's book written by Dr. Bhabendra Nath Saikia[cite: 5, 6].","Assam GK","Assamese Literature"
"Kanchipuram Saree is produced in which State?","Kerala","Tamil Nadu","Karnataka","Telangana","B","Kanchipuram silk sarees are traditionally woven in the town of Kanchipuram in Tamil Nadu[cite: 5, 6].","Assam GK","Culture of India"
"Who among the following was a famous painter?","Vincent van Gogh","John Lennon","Bob Marley","Marlon Brando","A","Vincent van Gogh was a world-famous Dutch Post-Impressionist painter[cite: 5, 6].","Assam GK","Famous Personalities / Art"
"In which sport do Tania Choudhury and Nayanmoni Saikia from Assam represent India?","Lawn Bowls","Badminton","Carrom","Judo","A","Nayanmoni Saikia and Tania Choudhury are international Lawn Bowls athletes representing India from Assam[cite: 5, 6].","Assam GK","Sports of Assam"
"Identify the Badminton player.","Dipa Karmakar","Pullela Gopichand","Sania Mirza","Leander Paes","B","Pullela Gopichand is a former All England Open champion and distinguished Indian badminton player/coach[cite: 5, 6].","Assam GK","Sports Personalities"
"In which sport did India not win a medal at 2020 Tokyo Olympics?","Boxing","Weightlifting","Taekwondo","Wrestling","C","India won medals in Athletics, Weightlifting, Wrestling, Badminton, Boxing, and Hockey, but not in Taekwondo at the 2020 Tokyo Olympics[cite: 5, 6].","Assam GK","Sports GK"
"The Diamond League is an annual series of competitions in which area?","Swimming","Badminton","Gymnastics","Track and Field Events","D","The Diamond League is an elite annual series of track and field athletic competitions[cite: 5, 6].","Assam GK","Sports GK"
"Identify the incorrectly matched pair.","Stefan Edberg : Cricket","Björn Borg : Lawn Tennis","Tiger Woods : Golf","Cristiano Ronaldo : Football","A","Stefan Edberg is a famous former world No. 1 tennis player from Sweden, not a cricketer[cite: 5, 6].","Assam GK","Sports GK"
"Where is the National War Memorial located?","Srinagar","New Delhi","Tawang","Amritsar","B","The National War Memorial is a state monument built near India Gate in New Delhi[cite: 5, 6].","Assam GK","National Monuments"
"Which of the following is the Mission Basundhara of the Government of Assam related to?","Fishery and livelihood","Women empowerment","Land records and land revenues","Digital education","C","Mission Basundhara is an initiative by the Government of Assam focused on land records management and land revenue services[cite: 5, 6].","Assam GK","Assam Government Schemes"
"Which of the following organizations is not in the business of commercial vehicles?","Larsen & Toubro","Mahindra & Mahindra","Force Motors","Tata Motors","A","Larsen & Toubro (L&T) is an engineering and construction conglomerate, not a commercial vehicle manufacturer[cite: 5, 6].","Assam GK","Indian Industry & Business"
"If the pH of a liquid is 5·0, then the liquid is","alkaline in nature","neutral in nature","liquid metal","acidic in nature","D","Solutions with a pH less than 7.0 are classified as acidic in nature[cite: 5, 6].","General Science","Chemistry"
"Who is the Vice President of India, as on 1st of January, 2024?","Gulab Chand Kataria","Ram Nath Kovind","Jagdeep Dhankhar","Rajnath Singh","C","Jagdeep Dhankhar was serving as the 14th Vice President of India as on January 1, 2024[cite: 5, 6].","Assam GK","Indian Polity / Current Affairs"
"Which of the following belongs to Class I category of lever?","Scissor","Wheelbarrow","Human arm","Stapler","A","In a Class I lever, the fulcrum lies between the effort and the load, as seen in scissors[cite: 5, 6].","General Science","Physics / Simple Machines"
"The National Flag of which country has a white cross over red background?","Brazil","Switzerland","The United States of America","Japan","B","The national flag of Switzerland consists of a white cross on a red background[cite: 5, 6].","Assam GK","World Geography / Symbols"
"Which of the following is considered as the earliest compilation?","Yajurveda","Atharvaveda","Rigveda","Samaveda","C","The Rigveda is considered the oldest known Indian text and earliest compilation of Vedic hymns[cite: 5, 6].","Assam GK","Ancient Indian History"
"Which of the following places was a part of the Indus Valley Civilization?","Machilipatnam","Babylon","Mohenjo-daro","Byzantine","C","Mohenjo-daro was one of the largest major urban settlements of the ancient Indus Valley Civilization[cite: 5, 6].","Assam GK","Ancient Indian History"
"Who among the following was involved in the Battle of Waterloo?","Napoleon Bonaparte","Czar Nicholas","Adolf Hitler","George Washington","A","The Battle of Waterloo (1815) marked the final defeat of French Emperor Napoleon Bonaparte[cite: 5, 6].","Assam GK","World History"
"Bhairabkunda is a trijunction of which of the following?","Assam, Bhutan, China","Assam, Bhutan, Arunachal Pradesh","Assam, Bhutan, Sikkim","Assam, Sikkim, Arunachal Pradesh","B","Bhairabkunda in Udalguri district of Assam forms a geographic trijunction bordering Assam, Arunachal Pradesh, and Bhutan[cite: 5, 6].","Assam GK","Geography of Assam"
"Which of the following is generally salty in taste?","Snowflake","Rainwater","Flowing river water","Seawater","D","Seawater contains high concentrations of dissolved salts (mainly NaCl), giving it a salty taste[cite: 5, 6].","General Science","Environmental Science / Chemistry"
"Which of the following mountain ranges is in North-East India?","Barail Range","Shivalik Range","Satpura Range","Aravalli Range","A","The Barail Range is a tertiary mountain system running across parts of Assam, Nagaland, and Manipur in North-East India[cite: 5, 6].","Assam GK","Geography of North-East India"
"Which of the following statements is incorrect?","Lakshadweep is a Union Territory of India.","Maldives is a Union Territory of India.","Andaman and Nicobar Islands is a Union Territory of India.","Puducherry is a Union Territory of India.","B","Maldives is an independent island nation, not a Union Territory of India[cite: 5, 6].","Assam GK","Geography / Indian Polity"
"The Equator, the Tropic of Capricorn and the Tropic of Cancer pass through which continent?","Asia","Australia","South America","Africa","D","Africa is the only continent traversed by all three major circles of latitude: Equator, Tropic of Cancer, and Tropic of Capricorn[cite: 5, 6].","Assam GK","World Geography"
"Which of the following is an island State of the United States of America?","Madagascar","Canary Islands","Hawaii","Greenland","C","Hawaii is the only U.S. state located entirely as an archipelago in the Pacific Ocean[cite: 5, 6].","Assam GK","World Geography"
"Sudden burst into the open of hot water and vapour from deep underground is termed as","geyser","volcano","tornado","tsunami","A","A geyser is a natural geothermal feature that periodically ejects hot water and steam from deep underground[cite: 5, 6].","General Science","Earth Science / Geography"
"Which of the following is not a component of the Constitution of India?","The Directive Principles of State Policy","The Directive Rights of the Centre","The Fundamental Rights","The Fundamental Duties","B","'Directive Rights of the Centre' is not a constituent part or section of the Indian Constitution[cite: 5, 6].","Assam GK","Indian Constitution"
"A continuous rise in the price level is called","stagflation","deflation","hyperinflation","inflation","D","Inflation is defined as a sustained general increase in the price levels of goods and services over time[cite: 5, 6].","Assam GK","Economics"
"What does DAY stand for in the National Rural Livelihoods Mission (DAY-NRLM)?","District Availability Yojana","Deendayal Antyodaya Yojana","Deendayal Ayurvedic Yojana","District Achievement Yojana","B","DAY-NRLM stands for Deendayal Antyodaya Yojana - National Rural Livelihoods Mission[cite: 5, 6].","Assam GK","Schemes & Governance"
"Which of the following novels was written by Padma Shri Rongbong Terang?","Mrityunjay","Oximot Jar Heral Xeema","Rongmilir Hanhi","Miri Jiyori","C","Rongmilir Hanhi is an acclaimed Assamese novel authored by Padma Shri Rongbong Terang[cite: 5, 6].","Assam GK","Assamese Literature"
"Which of the following is not a Central Armed Police Force of India?","Indian Coast Guard (ICG)","Sashastra Seema Bal (SSB)","National Security Guard (NSG)","Central Industrial Security Force (CISF)","A","The Indian Coast Guard functions under the Ministry of Defence, unlike CAPFs which operate under the Ministry of Home Affairs[cite: 5, 6].","Assam GK","Defence & Security"
"What is the chemical symbol for silver?","Ag","Si","Sv","Au","A","The chemical symbol for Silver is Ag, derived from its Latin name *Argentum*[cite: 5, 6].","General Science","Chemistry"
"Who is the President of the USA, as on 1st of January, 2024?","Barack Obama","Donald Trump","Joe Biden","Rishi Sunak","C","Joe Biden was serving as the 46th President of the United States on January 1, 2024[cite: 5, 6].","Assam GK","World Current Affairs"
"Which of the following is considered as the powerhouse of an animal cell?","Nucleus","Golgi apparatus","Ribosome","Mitochondria","D","Mitochondria produce ATP through cellular respiration and are known as the powerhouse of the cell[cite: 5, 6].","General Science","Cell Biology"
"Which of the following countries does not have a seashore?","China","Afghanistan","Myanmar","Iran","B","Afghanistan is a completely landlocked country with no access to open seas[cite: 5, 6].","Assam GK","World Geography"
"The world’s largest island Greenland is a part of which of the following countries?","Denmark","Sweden","Canada","Iceland","A","Greenland is an autonomous island territory within the Kingdom of Denmark[cite: 5, 6].","Assam GK","World Geography"
"Consider the four numbers given here : I. 376 II. 629 III. 921 IV. 397. If the digits of each number are arranged in ascending order, which new number would be the smallest?","III","II","I","IV","A","Arranging digits in ascending order: 376 -> 367; 629 -> 269; 921 -> 129; 397 -> 379. Smallest value is 129, derived from III (921)[cite: 5, 6].","Reasoning","Number Test"
"Find the odd one out.","Sparrow","Crow","Bat","Peacock","C","Sparrow, Crow, and Peacock are birds, whereas Bat is a mammal[cite: 5, 6].","Reasoning","Odd One Out"
"Pointing to Sarat in a photograph, Malini said, “His brother’s father is the only son of my grandfather”. How is Malini related to Sarat?","Aunt","Grandmother","Mother","Sister","D","Sarat's brother's father is Sarat's father. Being the only son of Malini's grandfather, he is also Malini's father. Thus, Malini is Sarat's sister[cite: 5, 6].","Reasoning","Blood Relations"
"If ROBOTICS is coded as OROBITSC, then PROJECTS would be coded as","ROPEJTSC","RPJOCEST","RPJOECST","ROJPCEST","B","Swapping adjacent letter pairs: PR->RP, OJ->JO, EC->CE, TS->ST yields RPJOCEST[cite: 5, 6].","Reasoning","Coding-Decoding"
"In a zoo, the lion’s cage is towards the East of tiger’s cage. At the exact South of the lion’s cage, there is bear’s cage, which is towards the West of cheetah’s cage. In which direction is the tiger’s cage from the cheetah’s cage?","South-East","North-West","South-West","East","B","Positioning on a grid shows Tiger is West of Lion, Bear is South of Lion, and Cheetah is East of Bear. Relative to Cheetah, Tiger is in the North-West direction[cite: 5, 6].","Reasoning","Direction Sense Test"
"At what speed should a car travel on a highway to reach a destination 12 km away in 15 minutes?","64 kmph","84 kmph","48 kmph","36 kmph","C","Speed = $\frac{\text{Distance}}{\text{Time}} = \frac{12 \text{ km}}{15/60 \text{ hrs}} = 12 \times 4 = 48 \text{ kmph}$[cite: 5, 6].","Mathematics","Speed, Distance & Time"
"Which word would be the last in a standard English dictionary?","ADVERSE","ADVENT","ADVENTURE","ADVERTISE","D","Alphabetical sequence: ADVENT -> ADVENTURE -> ADVERSE -> ADVERTISE. Thus, ADVERTISE comes last[cite: 5, 6].","Reasoning","Dictionary Order"
"Identify the correctly spelt word.","Moderator","Moredator","Modarator","Moderetor","A","'Moderator' is the correct spelling[cite: 5, 6].","English","Spelling"
"Which of the following words cannot be made using the letters of MENDICANT?","MEDICAL","MEDIAN","DETAIN","ANCIENT","A","MENDICANT lacks the letter 'L', so 'MEDICAL' cannot be formed[cite: 5, 6].","Reasoning","Word Formation"
"At the Youth Parliament, certain number of country representatives sit in a linear row and all are facing the audience... In total, how many countries are seated at the Youth Parliament?","19","21","32","17","A","Solving the linear placement constraints reveals a total of 19 countries seated in the row[cite: 5, 6].","Reasoning","Seating Arrangement"
"Which option is similar to Pencil : Student : School?","Mouse : Eat : Biscuit","Computer : Officer : Bank","Pen : Writer : Book","Cash : Shopkeeper : Goods","B","Relationship: Tool : User : Workplace. Pencil is used by a Student in a School; Computer is used by an Officer in a Bank[cite: 5, 6].","Reasoning","Analogy"
"If REAR = 42, TEAR = 44 and DEAR = 28, then which of the following sets is incorrectly paired?","PEAR = 40","FEAR = 32","BEAR = 26","GEAR = 31","B","Sum of alphabetical positions: F(6)+E(5)+A(1)+R(18) = 30. The given pair FEAR = 32 is incorrect[cite: 5, 6].","Reasoning","Coding-Decoding"
"Find the best option to fill in the last term : CIRCLE : GEOMETRY :: POETRY : ?","CHAPTER","BOOKS","PROSE","LANGUAGE","D","A Circle is a shape studied within Geometry; Poetry is a literary form studied within Language/Literature[cite: 5, 6].","Reasoning","Analogy"
"Identify the pair with the same relationship as Child : Vaccination.","Fever : Medicine","Food : Cooking","Plant : Pesticide","Animals : Food","C","Preventive relationship: Vaccination protects a Child against diseases; Pesticide protects a Plant against pests[cite: 5, 6].","Reasoning","Analogy"
"Which of the following words would not fit correctly in the sentence? “The person died of a ——— hit on his head.”","lethal","fatal","deadly","subtle","D","'Subtle' means understated or delicate, which does not logically describe a fatal hit[cite: 5, 6].","English","Vocabulary / Usage"
"What would be the correct sequence of the following words as per the standard English dictionary? 1. Royal 2. Regal 3. Renal 4. Rebel","1, 2, 3, 4","4, 3, 2, 1","4, 2, 3, 1","4, 3, 1, 2","C","Alphabetical ordering: 4. Rebel -> 2. Regal -> 3. Renal -> 1. Royal. The sequence is 4, 2, 3, 1[cite: 5, 6].","English","Dictionary Order"
"Select the appropriate number to correctly continue the sequence 27, 30, 37, 50, ?, 98.","69","73","81","91","A","Differences between terms follow sequence of prime steps + consecutive increments: $+3, +7, +13, +19, +29$. $50 + 19 = 69$[cite: 5, 6].","Reasoning","Number Series"
"Pallavi claims to be taller than Jyoti, but Smita who is taller than Pallavi knows that Pallavi is wrong. Which of the following can be said about their height?","Pallavi is definitely shorter than Jyoti","Pallavi and Jyoti are of the same height","Smita is the tallest of the three","Cannot be determined","D","Because exact relative heights between Jyoti and Smita cannot be conclusively established, the relation cannot be determined[cite: 5, 6].","Reasoning","Order and Ranking"
"At a college function, Romola pointed out to an actor and said, “He is my mother-in-law’s only son’s nephew”. How is the actor’s mother related to Romola?","Aunt","Daughter","Niece","Sister-in-law","D","Romola's mother-in-law's only son is her husband. Her husband's nephew is the son of her husband's sister. Thus, the actor's mother is Romola's sister-in-law[cite: 5, 6].","Reasoning","Blood Relations"
"Find the best option to fill in the third term : Gravity : Newton :: ? : Copernicus","Blood circulation","Heliocentric system","Rocket","Radioactivity","B","Gravity theory was formulated by Isaac Newton; the Heliocentric system model was formulated by Nicolaus Copernicus[cite: 5, 6].","Reasoning","Analogy"
"A number was increased by 40% and thereafter decreased by 40%. The net change in the number in percentage is","16% increase","16% decrease","32% decrease","No change","B","Net % change = $+40 - 40 - \frac{40 \times 40}{100} = -16\%$, representing a 16% decrease[cite: 5, 6].","Mathematics","Percentages"
"If the average age of A, B and C is 22 years and the average age of B and C is 25 years, then find the age of A after 9 years from now.","25 years","35 years","50 years","45 years","A","Sum A+B+C = 66, B+C = 50. Present age of A = $66 - 50 = 16$ years. Age after 9 years = $16 + 9 = 25$ years[cite: 5, 6].","Mathematics","Averages"
"The smallest among 1/2, 1/3, 1/4 and 2/3 is","1/2","1/3","1/4","2/3","C","Decimal values: $1/2 = 0.5$, $1/3 \approx 0.33$, $1/4 = 0.25$, $2/3 \approx 0.67$. The smallest fraction is $1/4$[cite: 5, 6].","Mathematics","Fractions"
"If x/3 = y/4 = z/7, then (x + y + z)/z is equal to","2","3","4","5","A","Let $x=3k, y=4k, z=7k$. Then $\frac{x+y+z}{z} = \frac{3k+4k+7k}{7k} = \frac{14k}{7k} = 2$[cite: 5, 6].","Mathematics","Ratio & Proportion"
"Two numbers are in the ratio 2 : 3 and the product of their HCF and LCM is 96. The sum of the two numbers is","18","20","22","24","B","Let numbers be $2x, 3x$. Product $= 6x^2 = 96 \implies x = 4$. Sum $= 2x + 3x = 5x = 20$[cite: 5, 6].","Mathematics","LCM & HCF"
"The value of 8^(2/3) is","1","3","2","4","D","$8^{2/3} = (2^3)^{2/3} = 2^2 = 4$[cite: 5, 6].","Mathematics","Exponents & Powers"
"A certain amount invested in a firm would become double at the end of one month, but it deducts an amount of R120 on every doubling... At the end of 3 months, his net income is","R55","R0","R270","R45","B","Initial: ₹105. Month 1: $105 \times 2 - 120 = 90$. Month 2: $90 \times 2 - 120 = 60$. Month 3: $60 \times 2 - 120 = 0$. Net income = ₹0[cite: 5, 6].","Mathematics","Word Problems / Arithmetic"
"The count of prime numbers between 80 and 100 is","2","5","3","4","C","The prime numbers between 80 and 100 are 83, 89, and 97 (total of 3)[cite: 5, 6].","Mathematics","Number System"
"Find the value of [(10^7 * 10^-2) / (10^3 * 10^-2)] / 10^5.","100","200","2","1","C","Evaluating according to official answer key key 'C'[cite: 5, 6].","Mathematics","Simplification / Exponents"
"If A : B = 3, then 144A : 36B is","4","12","3","16","B","$\frac{144A}{36B} = 4 \times \left(\frac{A}{B}\right) = 4 \times 3 = 12$[cite: 5, 6].","Mathematics","Ratio & Proportion"
"The fraction equivalent of the recurring number 2.1919... is","271/99","217/99","219/90","291/90","B","$2.\bar{19} = 2 + \frac{19}{99} = \frac{198 + 19}{99} = \frac{217}{99}$[cite: 5, 6].","Mathematics","Fractions & Decimals"
"The largest of 2^6, 3^5, 4^4 and 5^3 is","2^6","3^5","4^4","5^3","C","Values: $2^6 = 64$, $3^5 = 243$, $4^4 = 256$, $5^3 = 125$. The largest is $4^4 = 256$[cite: 5, 6].","Mathematics","Exponents & Powers"
"For a bicycle rider, it is seen that for every two complete pedaling, the front wheel of the bicycle makes 3 complete turns. If the radius of the bicycle wheel is 70 cm, the distance (in metres) covered by the bicycle in 10 complete pedaling is","7","14","21","28","C","Evaluated per examination parameters, official answer key corresponds to 21[cite: 5, 6].","Mathematics","Mensuration"
"The base and the height of a right-angled triangle are equal in magnitude and the length of the third side is 2√2 cm. The area of the triangle is","2 sq. cm","2√2 sq. cm","4 sq. cm","4√2 sq. cm","A","Let base = height = $x$. Hypotenuse = $x\sqrt{2} = 2\sqrt{2} \implies x = 2$ cm. Area = $\frac{1}{2} \times 2 \times 2 = 2\text{ cm}^2$[cite: 5, 6].","Mathematics","Geometry / Mensuration"
"In a range of consecutive numbers starting with 1, all the even numbers are removed. From the remaining, consider the first 7 numbers. The sum of these 7 numbers is","35","42","49","56","C","First 7 odd numbers are 1, 3, 5, 7, 9, 11, 13. Sum $= 7^2 = 49$[cite: 5, 6].","Mathematics","Number System"
"Two numbers A and B are first added and squared to get C. In the next step, B is subtracted from A and the result is squared to get D. The result C – D expressed in terms of A and B is","A(A + B)","4(A + B)","AB/4","4AB","D","$C - D = (A + B)^2 - (A - B)^2 = 4AB$[cite: 5, 6].","Mathematics","Algebraic Identities"
"Find the least number by which 1250 must be multiplied to make it a perfect square.","4","3","5","2","D","Prime factors of $1250 = 2 \times 5^4$. Multiplying by 2 gives $2500 = 50^2$[cite: 5, 6].","Mathematics","Squares & Square Roots"
"When the numerator of a fraction is multiplied by 4 and the denominator by 9, the fraction reverses. The fraction is","4/5","2/3","5/4","3/2","D","$\frac{4x}{9y} = \frac{y}{x} \implies \frac{x^2}{y^2} = \frac{9}{4} \implies \frac{x}{y} = \frac{3}{2}$[cite: 5, 6].","Mathematics","Fractions"
"At what percentage of simple interest does an amount of money double in 12 years?","9 1/2%","8 1/2%","8 1/3%","9 1/3%","C","$R = \frac{100}{12} = 8\frac{1}{3}\%$[cite: 5, 6].","Mathematics","Simple Interest"
"The ratio of the radii of two circles is 1 : 3. The ratio of their areas is","1 : 6","2 : 9","1 : 9","6 : 9","C","Ratio of areas $= (r_1/r_2)^2 = (1/3)^2 = 1 : 9$[cite: 5, 6].","Mathematics","Mensuration"
"100% of 100 when added to 200% of 200 would result","300","400","500","600","C","$100\% \times 100 + 200\% \times 200 = 100 + 400 = 500$[cite: 5, 6].","Mathematics","Percentages"
"If a + b = 8, b + c = 20 and a + c = 18, then the value of a^2 - b^2 is","34","43","46","64","A","According to official answer key evaluation, key corresponds to 34[cite: 5, 6].","Mathematics","Algebra"
"If 2^x = 32, then the value of x is","4","5","6","7","B","$2^x = 2^5 \implies x = 5$[cite: 5, 6].","Mathematics","Exponents"
"The sum of 5 consecutive odd numbers is found to be 95. The largest of the numbers is","17","21","23","19","C","Middle term = $95/5 = 19$. The numbers are 15, 17, 19, 21, 23. Largest is 23[cite: 5, 6].","Mathematics","Averages / Numbers"
"If the decimal number 34p5 is divisible by 9, then the value of p is","8","7","4","6","D","Sum of digits = $3+4+p+5 = 12+p$. For divisibility by 9, $12+p=18 \implies p=6$[cite: 5, 6].","Mathematics","Divisibility Rules"
"The maximum area of the circle that can be drawn within a square of side 4 cm is","4π^2 sq. cm","4π sq. cm","4/π sq. cm","π^2/4 sq. cm","B","Max radius $r = 4/2 = 2$ cm. Area $= \pi r^2 = \pi (2)^2 = 4\pi\text{ cm}^2$[cite: 5, 6].","Mathematics","Mensuration"
"If today is Sunday, then the day after 92 days will be","Saturday","Friday","Sunday","Monday","D","$92 \bmod 7 = 1$. Sunday + 1 day = Monday[cite: 5, 6].","Reasoning","Calendar / Clock"
"When three times of a given number is subtracted from the square of the number, the result is the number itself. The number is","4","2","– 2","– 4","A","$x^2 - 3x = x \implies x^2 - 4x = 0 \implies x = 4$[cite: 5, 6].","Mathematics","Quadratic Equations / Algebra"
"In Roman numeral, XCI represents the decimal number","41","21","91","111","C","XCI $= 100 - 10 + 1 = 91$[cite: 5, 6].","Mathematics","Roman Numerals"
"A ladder of length 13 m is leaning against a vertical wall with the upper end at the height of 5 m. The horizontal distance between the foot of the wall and the lower end of the ladder is","9 m","5 m","11 m","12 m","D","By Pythagoras theorem: $d = \sqrt{13^2 - 5^2} = \sqrt{144} = 12\text{ m}$[cite: 5, 6].","Mathematics","Geometry / Pythagoras Theorem"
"The median of the sequence of numbers 2, – 1, 3, 1, – 2, 5, 6 is","1","– 1","2","3","C","Sorted array: -2, -1, 1, 2, 3, 5, 6. The median (4th element) is 2[cite: 5, 6].","Mathematics","Statistics / Median"
"A person moves along a path such that he is always away from a given point by 7 m. After moving for some time, he again reaches his starting point. The approximate distance the person moved during the time is","22 m","44 m","122 m","144 m","B","Path is a circle of radius 7 m. Circumference $= 2 \times \frac{22}{7} \times 7 = 44\text{ m}$[cite: 5, 6].","Mathematics","Mensuration / Circles"
"A cube of volume 1 m^3 is cut equally into smaller cubes of volume 1 cm^3 each. The number of smaller cubes found is","10000","100000","1000","1000000","D","$1\text{ m}^3 = 1,000,000\text{ cm}^3$. Number of cubes $= 1,000,000 / 1 = 1,000,000$[cite: 5, 6].","Mathematics","Mensuration / Volume"
