"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic_subtopic_tag"
"Which of the following set is incorrectly matched ?","M : 13","S : 20","W : 23","K : 11","B","The English alphabetical position of S is 19, not 20 (T is 20).","Reasoning","Alphabet & Letter Series"
"Which of the following is the highest mountain peak of India ?","Everest","Annapurna","Nanda Devi","Kanchenjunga","D","Kanchenjunga is the highest mountain peak located in India (Sikkim).","Assam GK","Indian Geography"
"The average of first ten consecutive natural numbers is :","5","6","5.5","6.5","C","The first 10 natural numbers are 1 to 10. Sum = 55. Average = 55 / 10 = 5.5.","Mathematics","Average"
"Dangerous driving means :","Jumping a red traffic light","Violating stop line","Using phone","Any one of all three","D","Red light jumping, stop line violations, and driving while using a mobile phone all fall under dangerous driving.","General Science","Traffic Rules & Driving Knowledge"
"Which of the following numbers has the highest digit in Tens place ? (i) 736 (ii) 269 (iii) 958 (iv) 219 (v) 793","(v)","(iii)","(iv)","(i)","A","Checking tens digits: (i) 3, (ii) 6, (iii) 5, (iv) 1, (v) 9. 793 has the highest digit (9) in the tens place.","Mathematics","Number System"
"How can you distinguish a Transport vehicle from other vehicles ?","Looking at tyre size","By the colour of the vehicle","By vehicle size","Registration number plate","D","Commercial/transport vehicles in India are distinguished by their distinct yellow registration number plates.","General Science","Traffic Rules & Driving Knowledge"
"Identify the combination similar to : Tyres : Round : Black","Trees : Green : Tall","Windows : Glass : Square","Pipes : Round : Plastic","Bricks : Rectangle : Red","D","Pattern: Object : Shape : Color. Tyres are Round and Black; Bricks are Rectangular and Red.","Reasoning","Analogy"
"What is the minimum required educational qualification for obtaining driving licence to drive Non Transport Vehicle ?","Class VIII Pass","Matric Pass","Class IX Pass","Not Mandatory","D","Educational qualification requirements for driving licenses for non-transport/private vehicles have been removed under the Motor Vehicles Act.","General Science","Traffic Rules & Driving Knowledge"
"Which country is Hollywood in ?","United States of America","England","France","Japan","A","Hollywood is a neighborhood in Los Angeles, California, in the United States of America.","Assam GK","World Geography & GK"
"Which of the following is not a region of Assam ?","Brahmaputra valley","Karbi plateau","Barak valley","Deccan plateau","D","Deccan plateau is located in southern India, whereas the other three are geographical divisions of Assam.","Assam GK","Geography of Assam"
"The minimum educational qualification required for a bus conductor licence in Assam is __________.","Class VIII Pass","HSLC Pass","Class IX Pass","Not mandatory","A","Class VIII pass is the minimum required educational qualification to obtain a bus conductor licence.","General Science","Traffic Rules & Driving Knowledge"
"Validity of driving licence for drivers of goods vehicle carrying Dangerous and Hazardous goods is __________.","1 year","2 years","3 years","5 years","A","As per the Motor Vehicles Rules, the validity for driving hazardous goods vehicles is 1 year (renewable subject to training).","General Science","Traffic Rules & Driving Knowledge"
"What is generally considered as proof of casting vote ?","Tick mark against name on Electoral Rolls (Voters List)","Mark of indelible ink on finger nail (or other body position)","Possession of Voter’s slip","Permission to enter voting booth","B","Indelible ink applied on the left index finger serves as official proof that a voter has cast their vote.","Assam GK","Indian Polity & Civics"
"Fill in the blank : Raju __________ his intention to contest in the next elections.","Wished","Conditioned","Declared","Promised","C","'Declared' is the grammatically and contextually correct verb for public announcements of candidacy.","English","Grammar - Fill in the blanks"
"If 1+2+3+. . .+9+10=55 then 2+3+4+. . .+10+11=?","65","66","64","62","A","The new sum is (1+2+...+10) - 1 + 11 = 55 - 1 + 11 = 65.","Mathematics","Number Series"
"Name the first Swargadeo of Assam.","Suhungmung","Suhenpha","Sutupha","Sukapha","D","Chaolung Sukapha was the first Ahom king / Swargadeo of Assam who established the Ahom Kingdom.","Assam GK","Ahom Kingdom"
"Air : Eagle : : Water : ?","Duck","Cuckoo","Pigeon","Ostrich","A","An Eagle flies in the Air; a Duck swims/moves in Water.","Reasoning","Analogy"
"Zebra crossing lines marked on roads are meant for :","Reducing speed","Pedestrian crossing","Giving preference to other vehicles","Crossing of Animals","B","Zebra crossings are designated road spaces marked for pedestrians to safely cross the street.","General Science","Traffic Rules & Driving Knowledge"
"Which word would appear at the last in a standard English dictionary ?","JANUARY","OCTOBER","DECEMBER","MARCH","B","Arranging alphabetically: DECEMBER, JANUARY, MARCH, OCTOBER. 'OCTOBER' appears last.","English","Dictionary Order"
"The maximum age limit to obtain a driving licence in India is ____________.","65 years","70 years","80 years","Age, no bar","D","There is no upper age limit set by the Motor Vehicles Act to obtain/renew a driving licence in India, provided fitness criteria are met.","General Science","Traffic Rules & Driving Knowledge"
"Name the punctuation mark ‘:’.","Comma","Colon","Hyphen","Exclamation","B","The symbol ':' represents a colon.","English","Punctuation"
"Identify the word which cannot be made by using the letters present in LEMONADE.","LEAD","MADE","DEAF","DEAL","C","LEMONADE does not contain the letter 'F', so 'DEAF' cannot be formed.","Reasoning","Word Formation"
"The value of the expression (1 - 1/2)(1 - 1/3)(1 - 1/4) is :","1/6","1/4","1/3","1/24","B","(1/2) * (2/3) * (3/4) = 1/4.","Mathematics","Fractions & Simplification"
"The maximum punishment for drunken driving as first offence is __________.","Upto 6 months imprisonment","` 10,000 /- fine","` 10,000 /- fine and upto 6 months imprisonment","` 20,000 /- fine","C","First-time offence for drunk driving incurs up to Rs 10,000 fine and/or up to 6 months imprisonment under the MV Act.","General Science","Traffic Rules & Driving Knowledge"
"Which of the following states does not share borders with Assam ?","Nagaland","Bihar","Mizoram","Tripura","B","Assam shares borders with 7 Indian states (Arunachal Pradesh, Nagaland, Manipur, Mizoram, Tripura, Meghalaya, West Bengal); it does not border Bihar.","Assam GK","Geography of Assam"
"A yellow coloured number plate on an Indian vehicle indicates :","Electric vehicle","Commercial vehicle","Ambulance","Governor’s vehicle","B","A yellow background with black letters indicates a commercial or transport vehicle in India.","General Science","Traffic Rules & Driving Knowledge"
"If 7 mangoes cost ` 91, then the cost of 3 mangoes is :","` 28","` 35","` 37","` 39","D","Cost of 1 mango = 91 / 7 = Rs 13. Cost of 3 mangoes = 13 * 3 = Rs 39.","Mathematics","Unitary Method"
"A person purchases a defective item at ` 1,500, repairs it at ` 900 and sells the item at ` 5,000. The sales tax he had to pay is ` 100. The net profit percentage the person earns on selling the item is :","80%","60%","120%","100%","D","Total Cost Price = 1500 + 900 + 100 = Rs 2500. Selling Price = Rs 5000. Profit = 5000 - 2500 = Rs 2500. Profit % = (2500 / 2500) * 100 = 100%.","Mathematics","Profit & Loss"
"What would come as the next character after B, E, J, Q ?","T","U","W","Z","D","Alphabet gaps: B (+3) -> E (+5) -> J (+7) -> Q (+9) -> Z. So the next character is Z.","Reasoning","Alphabet & Letter Series"
"What was the name of the capital of ancient Kamrupa Kingdom ?","Darranga","Pragjyotishpur","Garhgaon","Itakhuli","B","Pragjyotishpur was the historic capital of ancient Kamarupa.","Assam GK","History of Ancient Assam"
"Lohri and Baisakhi are commonly celebrated in which state ?","West Bengal","Punjab","Maharashtra","Chhattisgarh","B","Lohri and Baisakhi are traditional harvest and cultural festivals primarily celebrated in Punjab.","Assam GK","Culture & Festivals of India"
"Which colour of paint is prohibited on vehicles except Defence Vehicles ?","Orange","Saffron","Olive Green","Dark Blue","C","Olive Green paint is strictly reserved for Indian Defence Force vehicles and prohibited for civilian usage.","General Science","Traffic Rules & Driving Knowledge"
"When are the elections for Lok Sabha generally held ?","Every five (5) years","Every four (4) years","Every six (6) years","Every ten (10) years","A","Lok Sabha elections in India are conducted every 5 years unless dissolved earlier.","Assam GK","Indian Polity & Civics"
"Rakesh is taller than Subodh. Their friend Atanu is the only one to be in the basketball team that requires player’s height to be above six feet. According to height, who is in the middle ?","Subodh","Atanu","Rakesh","Cannot be determined","C","Atanu is taller than 6 feet and is the tallest. Rakesh is taller than Subodh. So order of height is Atanu > Rakesh > Subodh. Rakesh is in the middle.","Reasoning","Ranking & Ordering"
"Mark the correctly spelt word :","Essantial","Essentsial","Essencial","Essential","D","'Essential' is the correct spelling.","English","Spelling Test"
"The song “Poka Dhanor Majey Majey” was written by :","Tafazzul Ali","Anandiram Barua","Parbati Prasad Barua","Rudra Barua","D","The popular Assamese song 'Poka Dhanor Majey Majey' was written by Luit Konwar Rudra Barua.","Assam GK","Assam Culture & Music"
"Which word in the following sentence is an Adverb ? “The tiger is running faster”.","Tiger","The","Faster","Running","C","'Faster' modifies the verb 'running', making it an adverb.","English","Parts of Speech"
"Pongal is a winter folk festival primarily of which State ?","Tamil Nadu","Bihar","Madhya Pradesh","Punjab","A","Pongal is a harvest festival celebrated in Tamil Nadu.","Assam GK","Culture & Festivals of India"
"Which of the following communities of Assam features prominently in Rita Choudhury’s novel, Deu Langkhui ?","The Kacharis","The Mishings","The Tiwas","The Mottocks","C","Rita Choudhury's Sahitya Akademi award-winning novel 'Deu Langkhui' is based on the culture and history of the Tiwa community of Assam.","Assam GK","Assam Literature & Books"
"The number plate of an Electric Vehicle (EV) in India is coloured _________.","White","Yellow","Green","Black","C","Electric Vehicles (EVs) in India have green registration plates with white lettering (private) or yellow lettering (commercial).","General Science","Traffic Rules & Driving Knowledge"
"The smallest fraction amongst 4/5, 5/6, 6/7 and 7/8 is :","4/5","5/6","6/7","7/8","A","Converting to decimals: 4/5 = 0.80, 5/6 = 0.833, 6/7 = 0.857, 7/8 = 0.875. The smallest fraction is 4/5.","Mathematics","Fractions & Simplification"
"The fraction equivalent of the recurring number 0.222 . . . is :","11/49","1/9","3/19","2/9","D","Let x = 0.222... then 10x = 2.222... => 9x = 2 => x = 2/9.","Mathematics","Fractions & Simplification"
"What is presently the minimum age to be eligible for voting in the General Elections of India ?","21 (Twenty one) years","20 (Twenty) years","18 (Eighteen) years","16 (Sixteen) years","C","The voting age in India was lowered from 21 to 18 years by the 61st Constitutional Amendment Act.","Assam GK","Indian Polity & Civics"
"Which of the following scale is used to measure earthquakes ?","Richter Scale","Enhanced Fuzita Scale","Volumetric Scale","Reaumer Scale","A","The Richter Scale measures the magnitude of seismic waves released by earthquakes.","General Science","Earth Sciences & Geography"
"Babli was born a year after her parent’s marriage. At present Babli is six years old, and her father is twenty five years older than her. If the father is two years older than his wife, at what age did Babli’s mother get married ?","22 years","23 years","21 years","cannot be determined","A","Babli's age = 6. Father's age = 6 + 25 = 31. Mother's current age = 31 - 2 = 29. Babli was born 6 years ago when mother was 23. Babli was born 1 year after marriage, so mother married at age 23 - 1 = 22 years.","Reasoning","Ages & Word Problems"
"The compensation for ‘Hit and Run’ Motor Accident case resulting in death is __________.","Rupees One Lakh","Rupees Two Lakhs","Rupees Two Lakh Fifty Thousand","Rupees Fifty Thousand","B","Under the revised provisions of the Motor Vehicles Act, compensation for hit-and-run fatalities has been increased to Rs 2,00,000.","General Science","Traffic Rules & Driving Knowledge"
"Find the odd one out.","436","298","746","639","D","In 436 (4+3=7 odd), 298 (2+9=11 odd), 746 (7+4=11 odd), but in 639, 6*3 = 18 or sum pattern: 6+3=9 (equal to last digit). Alternatively, 639 is divisible by 9 while others are not.","Reasoning","Odd One Out"
"Who of the following was amongst the first disciples of Srimanta Sankardev ?","Madhabdev","Lachit Barphukan","Ananta Kandali","Mahendra Narayan","A","Sri Madhabdev was the foremost disciple of Srimanta Sankardev.","Assam GK","History & Culture of Assam"
"sqrt(121) + sqrt(81) + sqrt(25) is equal to :","121","81","25","36","C","sqrt(121) = 11, sqrt(81) = 9, sqrt(25) = 5. Sum = 11 + 9 + 5 = 25.","Mathematics","Simplification"
"Which of the following words would come first in an English Dictionary ?","Hectometer","Decimeter","Kilometer","Centimeter","D","Alphabetical order: Centimeter, Decimeter, Hectometer, Kilometer. 'Centimeter' comes first.","English","Dictionary Order"
"Which word is the Synonym of STRANGE ?","Abnormal","Complete","Strong","Perfect","A","'Abnormal' means unusual or extraordinary, which is synonymous with 'strange'.","English","Vocabulary - Synonyms"
"A piece of land surrounded by water on three sides is called :","Peninsula","Island","Isthmus","Atoll","A","A peninsula is a landform surrounded by water on three sides.","General Science","Geomorphology & Geography"
"Each angle of an equilateral triangle is :","90°","60°","45°","30°","B","The sum of angles in a triangle is 180°. In an equilateral triangle, all 3 angles are equal: 180° / 3 = 60°.","Mathematics","Geometry"
"Identify the Article in : The man was walking fast.","man","walking","fast","the","D","'The' is a definite article in English grammar.","English","Parts of Speech"
"The penalty for driving at excessive speed by a Light Motor Vehicle driver is __________.","` 1,000/- to ` 2,000/-","` 3,000/-","` 500/-","` 5,000/-","A","Over-speeding penalty for Light Motor Vehicles (LMV) ranges between Rs 1,000 to Rs 2,000.","General Science","Traffic Rules & Driving Knowledge"
"Find the correct sentence :","Please listen to what I am saying.","Please listen what I am saying.","Please listen to what I saying.","Please listen to what I is saying.","A","'Listen' requires the preposition 'to', and 'I am saying' is grammatically complete present continuous tense.","English","Sentence Correction"
"The perimeter of a rectangle is 34 cm and the length is longer than the breadth by 7 cm. The area of the rectangle is :","40 cm2","60 cm2","238 cm2","64 cm2","B","Perimeter = 2(L + B) = 34 => L + B = 17. Given L - B = 7. Solving: L = 12 cm, B = 5 cm. Area = L * B = 12 * 5 = 60 cm^2.","Mathematics","Mensuration"
"Who is known as the Father of Indian Constitution ?","Pt. Jawaharlal Nehru","Dr. Bhimrao Ambedkar","Dr. Rajendra Prasad","Dr. Sarvepalli Radhakrishnan","B","Dr. B.R. Ambedkar was the Chairman of the Drafting Committee and is known as the Father of the Indian Constitution.","Assam GK","Indian Polity & Civics"
"The capital of Australia is :","Sydney","Canberra","San Francisco","Sao Paulo","B","Canberra is the capital city of Australia.","Assam GK","World Geography & GK"
"Who was the commander of Mughal army that was defeated by Lachit Barphukan at Saraighat ?","Man Singh","Vikram Singh","Vijay Singh","Ram Singh","D","Raja Ram Singh I of Amber led the Mughal forces against Lachit Borphukan in the Battle of Saraighat (1671).","Assam GK","History of Assam"
"What would be placed to continue the sequence 4, 6, 8, 12, 14, 18, *, *, 30 ?","20, 22","20, 24","20, 26","20, 28","B","The sequence consists of composite/prime-related numbers or additions: 4 (+2) -> 6 (+2) -> 8 (+4) -> 12 (+2) -> 14 (+4) -> 18 (+2) -> 20 (+4) -> 24 (+6) -> 30.","Reasoning","Number Series"
"The difference between the smallest of the 4-digit number and the largest of the 3-digit number is :","1","11","101","111","A","Smallest 4-digit number = 1000. Largest 3-digit number = 999. Difference = 1000 - 999 = 1.","Mathematics","Number System"
"After how many days must a newly registered vehicle renew the Pollution Under Control certificate ?","1 year","2 years","6 months","3 years","A","A newly registered vehicle comes with a PUC valid for 1 year, after which it must be renewed annually/semi-annually.","General Science","Traffic Rules & Driving Knowledge"
"To drive a Transport vehicle, an applicant must have a Light Motor Vehicle driving licence atleast for how many years ?","3 years","1 year","2 years","5 years","B","An applicant must hold an LMV driving licence for at least 1 year prior to applying for a transport vehicle driving licence.","General Science","Traffic Rules & Driving Knowledge"
"Which of the following places has the largest cricket stadium ?","Dharamshala","Kolkata","Motera","Hyderabad","C","Narendra Modi Stadium at Motera (Ahmedabad) is the largest cricket stadium in the world by seating capacity.","Assam GK","Sports & Olympics"
"Who found the sea route to India from Europe ?","Christopher Columbus","Marco Polo","Vasco da Gama","James Cook","C","Vasco da Gama discovered the direct sea route from Europe to India when he landed in Calicut in 1498.","Assam GK","Indian History"
"Which of the following is a Union Territory of India ?","Jammu and Kashmir","Goa","Sikkim","Telangana","A","Jammu and Kashmir was reorganized into a Union Territory of India in 2019.","Assam GK","Indian Polity & Civics"
"Which of the following is not the name of a Continent ?","North America","South America","Arctic","Antarctica","C","Arctic is an ocean/region around the North Pole, whereas the others are continents.","Assam GK","World Geography & GK"
"Which of the following equipments is mandatory for petrol vehicles of India ?","Spare wheel","Windshield wipers","Catalytic converter","GPS tracker","C","Catalytic converters are mandated by Indian vehicular emission norms to convert toxic exhaust gases into less harmless pollutants.","General Science","Traffic Rules & Driving Knowledge"
"The factor by which a decimal number is to be multiplied to shift the decimal point by three digits to the right is :","10","100","1,000","10,000","C","Multiplying a number by 1,000 shifts its decimal point three places to the right.","Mathematics","Decimals & Fractions"
"Ashmita Chaliha plays for India in which sport ?","Badminton","Table Tennis","Lawn Tennis","Lawn Bowl","A","Ashmita Chaliha is an Indian badminton player from Assam.","Assam GK","Sports & Olympics"
"Which of the following is the name of a Continent ?","Austria","Armenia","Andrea","Australia","D","Australia is both a continent and a country.","Assam GK","World Geography & GK"
"By what factor a decimal number is to be divided so that the decimal point shifts by two digits to the left ?","0.1","10","100","1000","C","Dividing a decimal number by 100 shifts the decimal point two digits to the left.","Mathematics","Decimals & Fractions"
"The decimal representation of (3/10) / (6/5) is :","0.5","0.75","0.65","0.25","D","(3/10) / (6/5) = (3/10) * (5/6) = 15 / 60 = 1/4 = 0.25.","Mathematics","Decimals & Fractions"
"A person purchases a defective item for ` 900, repairs it for ` 100 and sells the item for ` 1800. His percentage of profit is :","100%","80%","90%","180%","B","Total Cost = 900 + 100 = Rs 1000. Selling Price = Rs 1800. Profit = 800. Profit % = (800 / 1000) * 100 = 80%.","Mathematics","Profit & Loss"
"Which country was Winston Churchill a Prime Minister of ?","United Kingdom","Brazil","United States of America","Switzerland","A","Winston Churchill was the Prime Minister of the United Kingdom during World War II.","Assam GK","World Geography & GK"
"Which of the following is a proper noun ?","Big Ocean","Wide River","Deep Lake","Pacific Ocean","D","'Pacific Ocean' is a specific, proper name for an ocean, thus it is a proper noun.","English","Parts of Speech"
"“ Two weeks from now, the festivals would start”. Identify a single word substitution of the underlined phrase.","Weekend","Month","Fortnight","Year","C","A period of two weeks is called a 'fortnight'.","English","Vocabulary - One Word Substitution"
"The area of a square is 169 metre^2 . The measure of the side of the square is :","17 metre","19 metre","12 metre","13 metre","D","Area of square = side^2 = 169 => side = sqrt(169) = 13 metres.","Mathematics","Mensuration"
"What is a collective noun for dancers ?","Troupe","Gang","Panel","Board","A","A group of dancers performing together is called a 'troupe'.","English","Nouns & Grammar"
"Identify the Conjunction in the sentence : Rakesh and Subham are good friends.","Are","Good","Friends","And","D","'And' connects two nouns (Rakesh, Subham) together, making it a conjunction.","English","Parts of Speech"
"The 2020 Summer Olympic Games was held in which country ?","South Korea","Japan","China","Singapore","B","The 2020 Summer Olympics were held in Tokyo, Japan.","Assam GK","Sports & Olympics"
"The place value of ‘5’ in 425639 is :","5600","25000","5000","5639","C","The digit 5 is in the thousands place, so its place value is 5 * 1000 = 5000.","Mathematics","Number System"
"Who amongst the following led the 1857 rebellion against East India Company ?","Rani Ahilya Bai","Rani Laxmi Bai","Chand Bibi","Rezia Sultana","B","Rani Laxmi Bai of Jhansi was a prominent leader of the Indian Rebellion of 1857.","Assam GK","Indian History"
"Identify the correctly spelt term.","Traffic Single","Traffic Signel","Traffic Signal","Trafic Signal","C","'Traffic Signal' is the correct spelling.","English","Spelling Test"
"Which of the following is not mandatory for a commercial vehicle in Assam ?","Vehicle Registration","Night Driving permit","Pollution Under Control","Fitness Certificate","B","Commercial vehicles require registration, PUC, and fitness certificates; a separate 'Night Driving permit' is not mandated.","General Science","Traffic Rules & Driving Knowledge"
"Why are Red and Blue lights used in Ambulances ?","To alert all drivers, even those with colour blindness","Because they look good","Red stands for danger and Blue for emergency","They can be seen from far","D","Red and blue emergency lights are high-contrast flashing lights designed to be visible from a long distance.","General Science","Traffic Rules & Driving Knowledge"
