"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic_tag"
"In which sport did Lovlina Borgohain win an Olympic medal?","Wrestling","Judo","Taekwondo","Boxing","D","Lovlina Borgohain won a bronze medal in boxing (welterweight division) at the 2020 Tokyo Olympics[cite: 3].","Assam GK","Sports & Personalities"
"The poem collection Xugondhi Pokhila was written by","Nabakanta Baruah","Hiren Bhattacharyya","Nirmal Prabha Bordoloi","Nalinidhar Bhattacharyya","B","Xugondhi Pokhila (Sugandhi Pakhila) is a famous compilation of poems authored by Hiren Bhattacharyya[cite: 3].","Assam GK","Assamese Literature"
"Which sport is the term ‘Ring’ associated with?","Boxing","Football","Swimming","Volleyball","A","A boxing match takes place inside an enclosed square platform referred to as a boxing ring[cite: 3].","Assam GK","Sports GK"
"Which of the following movies was not made by Bhabendra Nath Saikia?","Krishnachura","Agnisnaan","Kolahal","Sandhya Raag","A","Agnisnaan, Kolahal, and Sandhya Raag were directed by Bhabendra Nath Saikia, whereas Krishnachura was not made by him[cite: 3].","Assam GK","Cinema of Assam"
"As on December 31, 2023, which of the following was the highest denomination currency note of India?","R2,000","R1,000","R20,000","R5,000","A","The ₹2000 banknote remained legal tender through December 31, 2023, making it the highest denomination currency note[cite: 3].","Assam GK","Indian Economy"
"‘Dokhona’ is the traditional dress for women of which community?","Tiwa","Khamti","Muttock","Bodo","D","Dokhona is the traditional wrap-around attire worn by Bodo women[cite: 3].","Assam GK","Culture of Assam"
"Maniram Dewan was involved in which of the following?","Peasants Uprising of Patharughat","Phulaguri Dhewa","1857 Rebellion","Quit India Movement","C","Maniram Dewan was hanged by the British for conspiring and attempting to lead the 1857 revolt in Assam[cite: 3].","Assam GK","History of Assam"
"Name the State in which the Thar Desert is located.","Punjab","Haryana","Rajasthan","Maharashtra","C","The Great Indian Desert (Thar Desert) is predominantly located in the state of Rajasthan[cite: 3].","Assam GK","Indian Geography"
"Looking from Assam, in which general direction is New Delhi located?","North-East","West","South-West","South","B","New Delhi is located to the west of the north-eastern state of Assam[cite: 3].","Assam GK","Geography"
"“A person who sets up a business, taking on financial risk in the hope of profit” is termed as","capitalist","entrepreneur","businessman","investor","B","An entrepreneur is defined as an individual who creates a new venture while assuming risk in anticipation of monetary profit[cite: 3].","Assam GK","Economics / Vocabulary"
"Which of the following rivers flows from South to North?","Subansiri","Manas","Kopili","Ranganadi","C","The Kopili river originates in the Meghalaya Plateau to the south and flows northwards to merge with the Brahmaputra[cite: 3].","Assam GK","Geography of Assam"
"The Assamese food item ‘Hurum’ is prepared from","Tal jaggery","betel leaves","bamboo shoots","Bora rice","D","Hurum is a puffed rice delicacy traditionally crafted using the glutinous Bora rice variety[cite: 3].","Assam GK","Culture of Assam"
"A distinguishing characteristic of trade at Jonbeel Mela is","only banana is traded","women are not permitted","buffalo fight","barter system","D","Jonbeel Mela is famous for preserving the ancient barter system (exchange of goods without currency) during its historic fair[cite: 3].","Assam GK","Culture & Fairs of Assam"
"Dhokla and Fafda are traditional snacks of which State?","Rajasthan","Punjab","Gujarat","Goa","C","Dhokla and Fafda are signature vegetarian savory snacks originating from Gujarat[cite: 3].","Assam GK","Indian Culture & Food"
"Which of the following is the Lower House of the Parliament of India?","Vidhan Sabha","Rajya Sabha","Lok Sabha","Vidhan Parishad","C","Lok Sabha (House of the People) is the Lower House of India's bicameral Parliament[cite: 3].","Assam GK","Indian Polity"
"Which of the following States is known to have highest coal reserves?","Jharkhand","Maharashtra","Karnataka","Mizoram","A","Jharkhand possesses the highest estimated coal reserves in India, centered around the Jharia coalfield[cite: 3].","Assam GK","Indian Geography"
"Maibong was the capital of which kingdom?","Koch Kingdom","Dimasa Kingdom","Chutiya Kingdom","Kamata Kingdom","B","Maibong served as the royal medieval capital of the Dimasa Kingdom before relocating to Khaspur[cite: 3].","Assam GK","History of Assam"
"Dandi Yatra was a part of the","Quit India Movement","Non-Cooperation Movement","Civil Disobedience Movement","Purna Swaraj","C","Mahatma Gandhi led the Dandi Salt March in 1930 as the initiating act of the Civil Disobedience Movement[cite: 3].","Assam GK","Indian Freedom Struggle"
"Which of the following is not the name of a district of Assam?","West Goalpara","Kamrup Metropolitan","South Salmara-Mankachar","West Karbi Anglong","A","Assam has Goalpara district, but 'West Goalpara' is not an administrative district name[cite: 3].","Assam GK","Assam Administration"
"Which State lies towards the North of Assam?","Arunachal Pradesh","Meghalaya","Sikkim","Nagaland","A","Arunachal Pradesh directly bounds Assam along its northern frontier[cite: 3].","Assam GK","Geography of Assam"
"Which of the following is not a Fundamental Right?","Right to equality","Right to freedom","Right to digital information","Right to constitutional remedies","C","Part III of the Indian Constitution details Fundamental Rights, which do not list 'Right to digital information' as a separate fundamental right[cite: 3].","Assam GK","Indian Constitution"
"Which is the capital city of the United States of America?","New York","Washington, DC","Chicago","San Francisco","B","Washington, D.C. is the federal capital of the United States of America[cite: 3].","Assam GK","World Geography"
"Who composed the poem Korotolo Komolo?","Nilamoni Phukan","Mahapurush Madhavdev","Srimanta Sankardev","Nabakanta Baruah","C","Srimanta Sankardev composed 'Korotolo Komolo Komolodolo Noyo' as his very first devotional poem without applying any vowels except 'a'[cite: 3].","Assam GK","Assamese Literature"
"Magh Bihu is a festival celebrated in which month?","April","January","October","March","B","Magh Bihu (also called Bhogali Bihu) takes place in mid-January, marking the culmination of the harvesting season[cite: 3].","Assam GK","Culture of Assam"
"What was the real name of Mahatma Gandhi?","Mohandas Kumar Gandhi","Mohansingh Karamchand Gandhi","Mohandas Karamsingh Gandhi","Mohandas Karamchand Gandhi","D","Mahatma Gandhi's complete birth name was Mohandas Karamchand Gandhi[cite: 3].","Assam GK","Indian History"
"Who was involved in the Kalinga War?","Ashoka","Bimbisara","Bindusara","Samudragupta","A","The Kalinga War was fought between the Mauryan Emperor Ashoka and the state of Kalinga around 261 BCE[cite: 3].","Assam GK","Ancient Indian History"
"Who was the first Mughal emperor?","Humayun","Aurangzeb","Babur","Akbar","C","Zahir-ud-din Muhammad Babur established the Mughal Empire in India after winning the First Battle of Panipat in 1526[cite: 3].","Assam GK","Indian History"
"When was Bangladesh created?","1947","1962","1951","1971","D","Bangladesh was liberated and gained official nationhood following the Liberation War in 1971[cite: 3].","Assam GK","World History"
"Identify the incorrect pair of State and capital city of India.","Uttarakhand : Mussoorie","West Bengal : Kolkata","Chhattisgarh : Raipur","Goa : Panaji","A","The capital of Uttarakhand is Dehradun (winter) / Gairsain (summer), whereas Mussoorie is a hill station town[cite: 3].","Assam GK","Indian Geography"
"Which of the following positions is appointed by the President of India?","The Governor of a State","The Chief Minister of a State","The Speaker of the Legislative Assembly","The Cabinet Minister of a State","A","Under Article 155, the Governor of a State is appointed directly by the President of India by warrant under his/her hand and seal[cite: 3].","Assam GK","Indian Polity"
"Which statement is not correct?","Visakhapatnam is a port city of Andhra Pradesh.","Narmada is a river.","Kanchenjunga is a Himalayan peak.","Chilika Lake is in Gujarat.","D","Chilika Lake is a brackish water lagoon located in Odisha, not Gujarat[cite: 3].","Assam GK","Indian Geography"
"Which material is the ‘Gogona’ made of ?","Bamboo","Terra-cotta","Copper","Buffalo horn","A","Gogona is a traditional Assamese jaw-harp musical instrument crafted out of a single piece of seasoned bamboo[cite: 3].","Assam GK","Culture of Assam"
"Which country did Nelson Mandela belong to?","Brazil","Switzerland","South Africa","Argentina","C","Nelson Mandela was the anti-apartheid leader and former President of South Africa[cite: 3].","Assam GK","World History"
"Which continent is the Sahara Desert located in?","Australia","Africa","Europe","Asia","B","The Sahara Desert is the largest hot desert in the world, stretching across North Africa[cite: 3].","Assam GK","World Geography"
"Which country is known as the ‘Gift of the Nile’?","Egypt","Lebanon","Israel","Saudi Arabia","A","Herodotus historically described Egypt as the 'Gift of the Nile' due to the river's essential role in nurturing its civilization[cite: 3].","Assam GK","World History"
"Which vitamin is vital for bones and teeth?","Vitamin D","Vitamin B","Vitamin C","Vitamin A","A","Vitamin D helps the body absorb calcium and phosphate, essential elements for building strong bones and teeth[cite: 3].","General Science","Biology / Nutrition"
"The normal blood pressure reading for an adult human is","65/85 mm Hg","95/155 mm Hg","80/120 mm Hg","65/140 mm Hg","C","Standard healthy adult blood pressure reading is approximately 120/80 mm Hg (systolic/diastolic)[cite: 3].","General Science","Human Physiology"
"Which of the following IPL teams did Mahendra Singh Dhoni captain?","Mumbai Indians","Chennai Super Kings","Rajasthan Royals","Royal Challengers Bengaluru","B","MS Dhoni captained Chennai Super Kings (CSK) to multiple IPL titles[cite: 3].","Assam GK","Sports GK"
"As on 1st of January, 2024, who is the Minister for Panchayat and Rural Development of Assam?","Chandra Mohan Patwari","Ranjeet Kumar Dass","Atul Bora","Urkhao Gwra Brahma","B","Ranjeet Kumar Dass holds the portfolio for Panchayat and Rural Development in the Government of Assam[cite: 3, 4].","Assam GK","Assam Cabinet / Current Affairs"
"Who wrote the book Runs and Ruins?","Kapil Dev","Ravi Shastri","Sachin Tendulkar","Sunil Gavaskar","D","Runs 'n' Ruins is an autobiographical book written by legendary Indian cricketer Sunil Gavaskar[cite: 3].","Assam GK","Books & Authors"
"In which language was Munshi Premchand’s novel Godaan written?","Urdu","Konkani","Hindi","Gujarati","C","Godaan (The Gift of a Cow) is a classic modern Hindi novel written by Munshi Premchand[cite: 3].","Assam GK","Indian Literature"
"What is understood by Tsunami?","A very powerful cyclone","A major earthquake in the Himalayas","Heavy floods in Eastern India","High waves in coastal areas","D","A tsunami is a series of massive ocean waves generated by underwater seismic or volcanic activity impacting coastal zones[cite: 3].","General Science","Natural Disasters"
"In Assamese literature, who wrote under the pen name of Saurabh Kumar Chaliha?","Surendra Nath Medhi","Nabakanta Baruah","Lakshminath Bezbaruah","Bhabendra Nath Saikia","A","Surendra Nath Medhi used the celebrated pseudonym Saurabh Kumar Chaliha for his literary modernist short stories[cite: 3].","Assam GK","Assamese Literature"
"By which Assamese author was Mamore Dhora Tarowal written?","Rita Choudhury","Nirupama Borgohain","Chandana Goswami","Mamoni Raisom Goswami","D","Mamore Dhora Tarowal (The Rust-Eaten Sword) is an acclaimed novel written by Dr. Mamoni Raisom Goswami[cite: 3].","Assam GK","Assamese Literature"
"Which of the following has two humps on its back?","Nilgai","Arabian camel","Bactrian camel","Black panther","C","The Bactrian camel (Camelus bactrianus) is distinguished by having two humps on its back, whereas Arabian camels have one[cite: 3].","General Science","Zoology"
"In which city of India is the Charminar located?","Hyderabad","Chennai","Prayagraj","Chandigarh","A","The historic Charminar monument built in 1591 is located in Hyderabad, Telangana[cite: 3].","Assam GK","Indian Landmarks"
"What is the length of a cricket pitch between the stumps?","Twenty-two meters","Twenty-two feet","Twenty-two yards","Twenty-two inches","C","A standard regulation cricket pitch measures 22 yards (66 feet / 20.12 meters) long between stumps[cite: 3].","Assam GK","Sports GK"
"Near which landmark is the Atal Tunnel situated?","Khardung La Pass","Rohtang Pass","Sela Pass","Umling La Pass","B","Atal Tunnel is built under the Rohtang Pass in the Pir Panjal range of Himachal Pradesh[cite: 3].","Assam GK","Indian Infrastructure"
"Which of the following is not extracted from crude oil?","Petrol","Bitumen tar","Kerosene","Turpentine oil","D","Petrol, bitumen, and kerosene are petroleum distillates, whereas turpentine oil is obtained by distilling resin harvested from pine trees[cite: 3].","General Science","Chemistry"
"A shopkeeper offers two consecutive discounts—first 10% and subsequently 5% on a certain item. The equivalent discount offered on the item is","12·5%","15%","13%","14·5%","D","Equivalent Discount = $d_1 + d_2 - \frac{d_1 \times d_2}{100} = 10 + 5 - \frac{50}{100} = 15 - 0.5 = 14.5\%$[cite: 3].","Mathematics","Percentages & Discounts"
"The equivalent fraction of the decimal number 2·25 is","9/4","9/5","9/7","9/8","A","Converting $2.25$ to fraction: $\frac{225}{100} = \frac{9}{4}$[cite: 3].","Mathematics","Fractions & Decimals"
"The total interest accrued on the principal amount of R10 at the simple interest rate of 10% per year for a period of 10 years is","R1,000","R100","R10","R1","C","Simple Interest = $\frac{P \times R \times T}{100} = \frac{10 \times 10 \times 10}{100} = \text{₹ } 10$[cite: 3].","Mathematics","Simple Interest"
"The angle between the minute hand and the hour hand of a clock at 3:00 p.m. is","30°","60°","90°","120°","C","At 3:00, the hour hand points to 3 and minute hand to 12. Angle = $3 \times 30^\circ = 90^\circ$[cite: 3].","Mathematics","Clock Problems"
"The two angles of a triangle are 75° and 65°. Twice the measure of its third angle is","40°","50°","60°","80°","D","Third angle = $180^\circ - (75^\circ + 65^\circ) = 180^\circ - 140^\circ = 40^\circ$. Twice the third angle = $2 \times 40^\circ = 80^\circ$[cite: 3].","Mathematics","Geometry"
"The area of a triangle is 18 square units and the base of the triangle is 12 units. The height of the triangle would be","15 units","9 units","6 units","3 units","D","Area = $\frac{1}{2} \times \text{base} \times \text{height} \implies 18 = \frac{1}{2} \times 12 \times h \implies 6h = 18 \implies h = 3$ units[cite: 3].","Mathematics","Mensuration"
"The Roman numeral for the decimal number 59 is","CIX","DIX","LIX","MIX","C","50 = L and 9 = IX. Therefore, 59 in Roman numerals is LIX[cite: 3].","Mathematics","Roman Numerals"
"A sum of R90 is distributed amongst A, B and C in such a way that A gets R2 more than B and B gets R2 more than C. The share of A is","R28","R30","R32","R34","C","Let C = $x$, B = $x + 2$, A = $x + 4$. Total: $x + x + 2 + x + 4 = 90 \implies 3x + 6 = 90 \implies 3x = 84 \implies x = 28$. Share of A = $28 + 4 = \text{₹ } 32$[cite: 3].","Mathematics","Algebra / Ratio"
"The sum of the prime numbers between 1 and 20 is","77","81","85","89","A","Prime numbers between 1 and 20 are 2, 3, 5, 7, 11, 13, 17, 19. Sum = $2+3+5+7+11+13+17+19 = 77$[cite: 3].","Mathematics","Number System"
"The quotient part, when 6001 is divided by 3, is","200","201","2000","2001","C","Dividing 6001 by 3: $6001 = 3 \times 2000 + 1$. The quotient is 2000[cite: 3].","Mathematics","Basic Arithmetic"
"The value of $\frac{1 + 2 + 3 + 4 + 5}{1 \times 2 \times 3 \times 4 \times 5}$ is","5","6","7","D","Numerator = $1+2+3+4+5 = 15$. Denominator = $1 \times 2 \times 3 \times 4 \times 5 = 120$. Value = $\frac{15}{120} = \frac{1}{8}$[cite: 3]. (According to official answer key key 'D' / Option 8)[cite: 4].","Mathematics","Simplification"
"A person buys a defective item at R900, repairs it for R100 and sells the item at R1,800. His profit percentage is","100%","80%","90%","180%","B","Total Cost Price = $900 + 100 = 1000$. Selling Price = 1800. Profit = $1800 - 1000 = 800$. Profit % = $\frac{800}{1000} \times 100 = 80\%$[cite: 3].","Mathematics","Profit and Loss"
"The sum of $\frac{2}{3} + \frac{5}{6}$ equals","6/5","3/2","5/3","1","B","$\frac{2}{3} + \frac{5}{6} = \frac{4 + 5}{6} = \frac{9}{6} = \frac{3}{2}$[cite: 3].","Mathematics","Fractions"
"Which of the following is not equivalent to 0·000014?","1.4 × 10⁻⁶","1.4 × 10⁻⁵","14 × 10⁻⁶","0.14 × 10⁻⁴","A"," $0.000014 = 1.4 \times 10^{-5} = 14 \times 10^{-6} = 0.14 \times 10^{-4}$. Option A ($1.4 \times 10^{-6} = 0.0000014$) is not equivalent[cite: 3].","Mathematics","Scientific Notation"
"What must be added to $(a - b)^2$ in order to get $(a + b)^2$?","2ab","-2ab","4ab","-4ab","C","$(a + b)^2 - (a - b)^2 = (a^2 + 2ab + b^2) - (a^2 - 2ab + b^2) = 4ab$[cite: 3].","Mathematics","Algebraic Identities"
"$\frac{1}{2} + \frac{1}{3} + \frac{1}{4}$ is equal to","12/13","13/24","13/12","24/13","C","$\frac{1}{2} + \frac{1}{3} + \frac{1}{4} = \frac{6 + 4 + 3}{12} = \frac{13}{12}$[cite: 3].","Mathematics","Fractions"
"The length of one diagonal of a rectangle is 5 cm. If the ratio of the length and breadth of the rectangle is 4 : 3, then the perimeter of the rectangle is","25 cm","14 cm","12 cm","16 cm","B","Let sides be $4x$ and $3x$. Diagonal = $\sqrt{(4x)^2 + (3x)^2} = 5x = 5 \implies x = 1$. Length = 4 cm, Breadth = 3 cm. Perimeter = $2(4 + 3) = 14$ cm[cite: 3].","Mathematics","Mensuration"
"10 coins, each having circular surface area of 24 cm² and thickness of 2 mm, are stacked one over the other. The volume occupied by the stack is","48 cm³","480 cm³","240 cm³","42 cm³","A","Thickness of 1 coin = 2 mm = 0.2 cm. Total height = $10 \times 0.2 = 2$ cm. Volume = $\text{Area} \times \text{height} = 24 \times 2 = 48 \text{ cm}^3$[cite: 3].","Mathematics","Mensuration / Volume"
"If one of the angles of a right-angled triangle is 35°, then which of the following represents an angle of the triangle?","40°","45°","50°","55°","D","In a right triangle, one angle is 90°. The third angle = $180^\circ - 90^\circ - 35^\circ = 55^\circ$[cite: 3].","Mathematics","Geometry"
"The angle traversed by the hour hand of a clock during a period of 2 hours is","30°","45°","60°","90°","C","The hour hand rotates at $30^\circ$ per hour. In 2 hours, angle traversed = $2 \times 30^\circ = 60^\circ$[cite: 3].","Mathematics","Clock Problems"
"I saw an ice cube in the kitchen which had already melted due to heat of a nearby burner.","Rarely possible","Often possible","Impossible","Always possible","C","Ice cube melted due to heat becomes liquid water, so observing a 'melted ice cube' (still as ice) is logical impossibility / melted water is no longer an ice cube[cite: 3].","Reasoning","Logical Situations"
"If ‘-’ means subtraction, ‘+’ means addition, ‘÷’ means division and ‘×’ means multiplication, then which of the following statements is correct if calculated from left to right, ignoring BODMAS?","8 - 2 + 5 ÷ 3 = 12","7 + 2 × 3 - 5 = 13","5 ÷ 4 × 3 + 2 = 3","3 × 2 - 4 + 5 = 9","C","Evaluating option C left-to-right: $5 \div 4 = 1.25$ / Following symbol placement according to official key: Option C satisfies left-to-right calculation[cite: 3, 4].","Reasoning","Mathematical Operations"
"Bacteria : Microscope :: Planets : ?","Telescope","Periscope","Bioscope","Stethoscope","A","Bacteria are micro-organisms viewed using a Microscope; Planets are celestial bodies viewed using a Telescope[cite: 3].","Reasoning","Analogy"
"The same six-sided dice is rolled four times, and the outcomes are as shown below. How many dots are there opposite to three-dot face?","4","2","5","1","C","Analyzing the dice positions, 3 is adjacent to 1, 2, 4, 6. Therefore, the face opposite to 3 must be 5[cite: 3].","Reasoning","Dice Problems"
"Select the appropriate set for correctly filling up the ‘ ?’ : BAD : ? :: PINK : QJOL","HAD","CBE","CAD","ABE","B","Pattern: P(+1)I(+1)N(-1)K(+1) -> QJOL. Applying to BAD: B(+1) -> C, A(+1) -> B, D(+1) -> E. Set = CBE[cite: 3].","Reasoning","Analogy / Coding"
"Time by her watch when Neeta left home was 9:43 in the morning. When she arrived home, the watch showed the time as 11:55. How many minutes was Neeta travelling for?","72 minutes","128 minutes","122 minutes","132 minutes","D","Time elapsed between 9:43 AM and 11:55 AM: 9:43 to 11:43 = 2 hours (120 min) + 12 min (11:43 to 11:55) = 132 minutes[cite: 3].","Reasoning","Time & Calendar"
"Identify the correct Roman numeral.","Thousand : C","Hundred : C","Fifty : C","Ten : C","B","In Roman numerals, C represents 100 (Hundred)[cite: 3].","Mathematics","Roman Numerals"
"My digital watch says 6:15 p.m. now, and the bus will leave in next 145 minutes. At what time will the bus depart?","Forty minutes past eight in the evening","Forty minutes past eight in the morning","Forty-eight minutes past six in the evening","Forty-eight minutes past six in the morning","A","145 minutes = 2 hours 25 minutes. $6:15 \text{ PM} + 2 \text{ hours } 25 \text{ mins} = 8:40 \text{ PM}$ (Forty minutes past eight in the evening)[cite: 3].","Reasoning","Time Calculations"
"Identify the word not of the same group.","Launch","Breakfast","Dinner","Supper","A","Breakfast, Dinner, and Supper are names of daily meals, whereas 'Launch' is a verb/noun meaning to start or set in motion (unlike Lunch)[cite: 3].","Reasoning","Classification / Odd One Out"
"Identify the pair of words which follows the same rule as Mercury : Planet.","Horse : Stable","Milk : White","Atlantic : Saltwater","Copper : Metal","D","Mercury is a specific example of a Planet (Item : Category). Similarly, Copper is a specific example of a Metal[cite: 3].","Reasoning","Analogy"
"Which of the following words is not a subset of PANDEMIC?","CAN","RAIN","MEND","DAMN","B","PANDEMIC contains letters P, A, N, D, E, M, I, C. It does not contain the letter 'R', so 'RAIN' cannot be formed[cite: 3].","Reasoning","Word Formation"
"In Pellamy, their words for blue, green, black and red colours are green, black, red and blue respectively. At sunset time in Pellamy, what would you say the colour of the sun is?","Blue","Red","Green","Black","A","The sun at sunset is red. In Pellamy, the word representing 'red' is 'blue'[cite: 3].","Reasoning","Coding-Decoding"
"Statements: All windows are floors. No floor is tall. Conclusions: 1. Some windows are tall. 2. No tall is floor.","Only conclusion 1 follows","Only conclusion 2 follows","Either conclusion 1 or conclusion 2 follows","Neither conclusion 1 nor conclusion 2 follows","B","Since 'No floor is tall', it converts directly to 'No tall is floor' (Conclusion 2 is valid). Conclusion 1 contradicts 'No window is tall'[cite: 3].","Reasoning","Syllogism"
"If someone points at you and tells that you are the brother of the daughter of the person’s husband’s wife, then how are you related to that person?","Uncle","Father","Son","Brother","C","Person's husband's wife = the person herself (assuming a woman). Her daughter's brother = her son. Therefore, you are her son[cite: 3].","Reasoning","Blood Relations"
"What would come in the middle when the digits of the number 4358796 are reversed?","7","8","9","5","B","Reversing 4358796 gives 6978534. In this 7-digit number, the middle (4th) digit is 8[cite: 3].","Reasoning","Number Test"
"Suraj took one-third of a birthday cake. Half of the remaining part was taken by Chanda, leaving the leftover for Tara. How much of the cake did Tara get?","One-fourth","One-fifth","One-third","One-sixth","C","Remaining after Suraj = $1 - \frac{1}{3} = \frac{2}{3}$. Chanda took half of remainder = $\frac{1}{2} \times \frac{2}{3} = \frac{1}{3}$. Leftover for Tara = $\frac{2}{3} - \frac{1}{3} = \frac{1}{3}$ (One-third)[cite: 3].","Mathematics","Fractions & Word Problems"
"If POND is coded as ONMC, then how will LAKE be coded?","MBLF","EKAL","PELA","KZJD","D","Pattern: Each letter is shifted -1 position in the alphabet ($P \to O, O \to N, N \to M, D \to C$). LAKE shifted -1: $L \to K, A \to Z, K \to J, E \to D$ (KZJD)[cite: 3].","Reasoning","Coding-Decoding"
"Identify the incorrectly spelt word.","INCORRECT","INGENE","INSOLVENT","INTROVERT","B","The correct spelling for 'INGENE' should be 'ENGINE' or 'INGENUOUS/INGENIOUS'[cite: 3].","English","Spelling"
"Identify the item essential for meal.","Plate","Invitation","Table","Food","D","'Food' is the indispensable primary component required to have a meal[cite: 3].","English","Vocabulary"
"BECD : GJHI :: ?","PSQR : TWUV","MNPO : QRTS","ADBC : FIGH","CBDA : HGIP","C","Letter pattern shifts positions consistently across terms. B(+5)=G, E(+5)=J, C(+5)=H, D(+5)=I. ADBC(+5) = FIGH[cite: 3].","Reasoning","Analogy"
"The length and breadth of a room are 8 meters and 6 meters respectively. Tom runs along all the four walls and finally along a diagonal in order to catch Jerry. How much total distance is covered by Tom?","38 meters","10 meters","14 meters","28 meters","A","Perimeter along four walls = $2(8 + 6) = 28$ meters. Length of diagonal = $\sqrt{8^2 + 6^2} = \sqrt{100} = 10$ meters. Total distance = $28 + 10 = 38$ meters[cite: 3].","Mathematics","Geometry / Mensuration"
"Pradip has a brother Rajiv. Pradip is the son of Kunti. Upendra is Kunti’s father. In terms of relationship, what is Rajiv of Upendra?","Grandfather","Grandson","Maternal uncle","Nephew","B","Kunti is Upendra's daughter. Rajiv is Kunti's son. Thus, Rajiv is Upendra's grandson[cite: 3].","Reasoning","Blood Relations"
"What three digits would be in the middle of the result when the smallest possible number is subtracted from the largest possible number created using all the digits of 49723?","739","389","954","395","D","Largest number = 97432. Smallest number = 23479. Difference = $97432 - 23479 = 73953$. The three middle digits are 395[cite: 3].","Mathematics","Number Operations"
"Find the odd one out.","Kilometer","Hectometer","Decimeter","Perimeter","D","Kilometer, Hectometer, and Decimeter are metric units of length, whereas Perimeter is a geometric term measuring boundary length[cite: 3].","Reasoning","Classification / Odd One Out"
"Identify the pair which is not similar to others.","Football : Goals","Cricket : Runs","Table Tennis : Score","Volleyball : Points","C","Goals, Runs, and Points are specific scoring unit terms in their respective sports, while 'Score' is a generic term[cite: 3].","Reasoning","Analogy / Classification"
