"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic_tag"
"Which of the following has the NITI Aayog replaced? (øÚ•ßø˘ø‡Ó¬ Œfl¬±ÚÀÈ¬±1 Í¬±˝◊Ó¬ ÚœøÓ¬ ’±À˚˛±· ¬ı˘¬ı» fl¬1± ∆˝ÀÂ ?)","Competition Commission of India","Staff Selection Commission","Union Public Service Commission","Planning Commission","D","NITI Aayog (National Institution for Transforming India) was formed on January 1, 2015, replacing the Planning Commission of India.","Assam GK","Indian Polity & Governance"
"Which of the following is the Capital City of Chhattisgarh? (øÚ•ßø˘ø‡Ó¬ ¸˜”˝1 Œfl¬±Ú‡Ú ÂøM˙·Î¬ˇ1 1±ÊÒ±Úœ ‰¬˝1 ?)","Raipur","Ranchi","Bhagalpur","Dehradun","A","Raipur is the capital city of the Indian state of Chhattisgarh.","Assam GK","Indian Geography"
"Alexander (the Great) was from which ancient kingdom? (’±À˘fl¬ÀÊG±1 Œfl¬±Ú‡Ú √õ∂±‰¬œÚ 1±Ê…1 ’±øÂ˘ ?)","Persia","Byzantine","Macedonia","Ottoman","C","Alexander the Great was the king of the ancient Greek kingdom of Macedon (Macedonia).","Assam GK","World History"
"Which of the following countries does Assam share international border with? (øÚ•ßø˘ø‡Ó¬ Œfl¬±Ú‡Ú Œ˙1 ∆¸ÀÓ¬ ’¸˜ ’±ôL–1±©Üòœ˚˛ ¸œ˜±1 Î◊¬Õ˜˝Ó¬œ˚˛± ’—˙œ±1 ?)","Thailand","Bhutan","China","Nepal","B","Assam shares international borders with two countries: Bhutan to the north and Bangladesh to the south/west. Among the options, Bhutan is correct.","Assam GK","Geography of Assam"
"The Upper House of the Parliament of India is called: (¸—¸1 Î◊¬2‰¬ ¸Úfl¬ Œfl¬±ª± ˝˚˛ -)","Lok Sabha","Rajya Sabha","Vidhan Sabha","Vidhan Parishad","B","Rajya Sabha (Council of States) is the Upper House of the Parliament of India, whereas Lok Sabha is the Lower House.","Assam GK","Indian Polity"
"Which of the following words is NOT in the Preamble of the Constitution of India? (øÚ•ßø˘ø‡Ó¬ Œfl¬±ÚÀÈ¬± ˙s ˆ¬±1Ó¬1 ¸—ø¬ıÒ±Ú1 √õ∂ô¶±ªÚ±Ó¬ Ú±˝◊ ?)","Fraternity","Dignity","Modesty","Liberty","C","The Preamble to the Constitution of India includes terms like Liberty, Equality, Fraternity, and Dignity, but does NOT contain the word 'Modesty'.","Assam GK","Indian Constitution"
"Which mountain range passes through Delhi, Haryana, Rajasthan and Gujarat? (Œfl¬±ÚÀÈ¬± ¬Û¬ı«Ó¬˜±˘± ø~œ, ˝±ø1˚˛±Ú±, 1±Ê¶ö±Ú ’±1n &Ê1±È¬1 ˜±ÀÊÀ1 ¬Û±1 ∆˝ ∆·ÀÂ ?)","Shivalik range","Borail range","Satpura range","Aravalli range","D","The Aravalli Range is an ancient mountain range running across northwestern India, passing through Gujarat, Rajasthan, Haryana, and ending near Delhi.","Assam GK","Indian Geography"
"Which of the following districts of Assam is in the Barak Valley? (øÚ•ßø˘ø‡Ó¬ Œfl¬±Ú‡Ú øÊ˘± ¬ı1±fl¬ Î◊¬¬ÛÓ¬…fl¬±Ó¬ ’ªø¶öÓ¬ ?)","Hailakandi","South Salmara-Mankachar","Chirang","Morigaon","A","Barak Valley consists of three southern districts of Assam: Cachar, Karimganj, and Hailakandi.","Assam GK","Geography of Assam"
"Who was the first Vice Chancellor of Gauhati University? (&ª±˝√±È¬œ ø¬ıù´ø¬ı√…±˘˚˛1 õ∂Ô˜·1±fl¡œ Î◊¬¬Û±‰¬±˚« Œfl¡±Ú ’±øÂ√˘?)","Nabin Chandra Bordoloi","Gopinath Bordoloi","Kamalakanta Bhattacharyya","Krishnakanta Handique","D","Padma Bhushan Krishnakanta Handique was the founder Vice-Chancellor of Gauhati University, serving from 1948 to 1957.","Assam GK","Assam Personalities"
"Which instrument is used for measuring atmospheric pressure? (¬ı±˚˛≈˜G˘1 ‰¬±¬Û Ê≈ø‡¬ıÕ˘ Œfl¬±Úø¬ıÒ ˚La ¬ı…ª˝±1 fl¬1± ˝˚˛ ?)","Hydrometer","Altimeter","Barometer","Thermometer","C","A barometer is a scientific instrument used in meteorology to measure atmospheric pressure.","General Science","Scientific Instruments"
"Ali Aye Ligang is a festival of which community? (’±ø˘ ’±–À˚˛ ˘‘·±— Œfl¬±Ú ¸•x±˚˛1 Î◊¬»¸ª ?)","Khamti","Mishing","Karbi","Dimasa","B","Ali-Aye-Ligang is a spring festival associated with agriculture, celebrated by the Mishing indigenous tribe of Assam.","Assam GK","Culture of Assam"
"What is the main component of a glacier? (ø˝˜¬ı±˝1 √õ∂Ò±Ú Î◊¬¬Û±±Ú øfl¬ ?)","Lava","Salt water","Ice","Rain forest","C","A glacier is a large, perennial accumulation of crystalline ice, snow, rock, sediment, and often liquid water that originates on land. Its principal component is ice.","General Science","Physical Geography"
"How many countries does India share land borders with? (ˆ¬±1Ó¬¬ı¯∏«˝◊ Œfl¬ª‡Ú Œ˙1 ¶ö˘ ¸œ˜± ¶Û˙« fl¬À1 ?)","Six","Seven","Eight","Nine","B","India shares land borders with 7 neighboring countries: Pakistan, China, Nepal, Bhutan, Bangladesh, Myanmar, and Afghanistan.","Assam GK","Indian Geography"
"What was the former name of Karbi Anglong district? (fl¡±ø¬ı« ’±—˘— øÊ√˘±1 ¬Û”¬ı«1 Ú±˜ øfl¡ ’±øÂ√˘?)","Mikir Hills district","Lushai Hills district","Cachar Hills district","West Naga Hills district","A","Karbi Anglong district was originally known as the Mikir Hills district when it was formed, later renamed to Karbi Anglong in 1976.","Assam GK","Geography of Assam"
"McMahon line separates which two countries? (Œ˜fl¬˜±˝Ú ¸œ˜±À1‡±˝◊ Œfl¬±Ú ≈‡Ú Œ˙fl¬ ¬Û‘Ôfl¬ fl¬À1 ?)","Afghanistan and Pakistan","Myanmar and Bangladesh","India and China","Vietnam and Thailand","C","The McMahon Line is the international boundary line between India and China, agreed upon at the Shimla Convention in 1914.","Assam GK","International Boundaries"
"Kathakali is a dance form of which State? (fl¬Ô±fl¬ø˘ Œfl¬±Ú‡Ú 1±Ê…1 ¤fl¬ Ú‘Ó¬… ∆˙˘œ ?)","Gujarat","West Bengal","Kerala","Himachal Pradesh","C","Kathakali is a major form of classical Indian dance-drama native to the southwestern state of Kerala.","Assam GK","Indian Art & Culture"
"“Gobha Raja” is the titular king of which community? (ëëŒ·±ˆ¬± 1Ê±íí Œfl¬±Ú ¸•x±˚˛1 Î◊¬¬Û±øÒ 1Ê± ?)","Ahom","Mishing","Khamti","Tiwa","D","The Gobha King (Gobha Raja) is an institutional ruler associated with the traditional monarchy and cultural rituals of the Tiwa (Lalung) community.","Assam GK","Culture of Assam"
"Which country is known as the “Cockpit of Europe”? (øÚ•ßø˘ø‡Ó¬ Œfl¬±Ú‡Ú Œ˙fl¬ ëë˝◊Î◊¬À1±¬Û1 fl¬ífl¬ø¬ÛÈ¬íí 1+À¬Û ÊÚ± ˚±˚˛ ?)","Switzerland","Belgium","Spain","Portugal","B","Belgium is traditionally nicknamed the 'Cockpit of Europe' because it has been the site of numerous key battles throughout European history.","Assam GK","General Knowledge"
"Which of the following sea passages connects Asia with Europe? (øÚ•ßø˘ø‡Ó¬ Œfl¬±ÚÀÈ¬± ¸˜≈^¬ÛÀÔ ¤øÂ˚˛±fl¬ ˝◊Î◊¬À1±¬Û1 ∆¸ÀÓ¬ ¸—À˚±· fl¬À1 ?)","Suez Canal","English Channel","Panama Canal","Strait of Malacca","A","The Suez Canal is an artificial sea-level waterway in Egypt connecting the Mediterranean Sea to the Red Sea, facilitating direct maritime transport between Europe and Asia.","Assam GK","World Geography"
"Which community of Assam has “Choklong” system of weddings? (’¸˜1 Œfl¬±Ú ¸•x±˚˛Ó¬ ë‰¬fl¬˘—í √õ∂Ô±À1 ø¬ı˚˛± ’Ú≈øá¬Ó¬ ˝˚˛ ?)","Bodo","Dimasa","Mishing","Ahom","D","'Choklong' is the traditional marriage system and ritual followed by the Ahom community of Assam.","Assam GK","Culture of Assam"
"Kurseong is a hill station in the state of: (fl¡±À‰¬«˚˛— ø˚‡Ú 1±Ê√…1 ¤fl¡ ¬Û±¬ı«Ó¬… ’±¶ö±Ú -)","Sikkim","Arunachal Pradesh","West Bengal","Nagaland","C","Kurseong is a town and hill station located in the Darjeeling district of West Bengal, India.","Assam GK","Indian Geography"
"Which of the following rulers had ascended the throne at Delhi? (øÚ•ßø˘ø‡Ó¬ Œfl¬±Ú·1±fl¬œ ˙±¸Àfl¬ ø~œ1 ø¸—˝±¸ÚÓ¬ ’±À1±˝Ì fl¬ø1øÂ˘ ?)","Chand Bibi","Rani Ahilya Bai","Rezia Sultana","Rani Laxmi Bai","C","Razia Sultana was the ruler of the Delhi Sultanate from 1236 to 1240, becoming the first female Muslim ruler of South Asia to sit on the throne of Delhi.","Assam GK","Indian History"
"Which dynasty ruled the longest in ancient Assam region? (√õ∂±‰¬œÚ ’¸˜ ˜≈˘≈fl¬Ó¬ Œfl¬±Ú ¬ı—˙˝◊ ¸¬ı«±øÒfl¬ fl¬±˘ ˙±¸Ú fl¬ø1øÂ˘ ?)","The Ahoms","The Barmans","The Koch","The Sutiyas","A","The Ahom dynasty ruled the Ahom kingdom in present-day Assam for nearly 600 years (from 1228 to 1826).","Assam GK","History of Assam"
"What is the introduction to Constitution of India called? (ˆ¬±1Ó¬œ˚˛ ¸—ø¬ıÒ±Ú1 ’±1yÌœ ’—˙fl¬ øfl¬ ¬ı≈ø˘ Œfl¬±ª± ˝˚˛ ?)","The Preamble","The Preface","The Introduction","The First Page","A","The introduction or introductory statement to the Constitution of India setting out guiding principles is called 'The Preamble'.","Assam GK","Indian Constitution"
"Which of the following is not a criterion for citizenship of India? (øÚ•ßø˘ø‡Ó¬ ¸˜”˝1 Œfl¬±ÚÀÈ¬± ˆ¬±1Ó¬1 Ú±·ø1fl¬Q1 ¬˜±¬Ûfl¬±øÍ¬ Ú˝˚˛ ?)","Acquisition of Territory","Buying property","Naturalization","Descent","B","Under the Citizenship Act of 1955, citizenship can be acquired by Birth, Descent, Registration, Naturalization, and Incorporation of Territory. Simply buying property does not grant citizenship.","Assam GK","Indian Constitution"
"Which kingdom did Sati Sadhani belong to? (¸Ó¬œ ¸±ÒÚœ Œfl¬±Ú‡Ú 1±Ê…1 ∆¸ÀÓ¬ ¸—˘ø¢üÓ¬ ’±øÂ˘ ?)","Koch Kingdom","Ahom Kingdom","Dimasa Kingdom","Sutiya Kingdom","D","Sati Sadhani was the legendary queen of the Sutiya dynasty (Chutia Kingdom) who resisted Ahom annexation.","Assam GK","History of Assam"
"Who was the first President of the United States of America? (’±À˜ø1fl¬± ˚≈Mê1±©Üò1 √õ∂Ô˜ 1±©Üò¬ÛøÓ¬ Œfl¬±Ú ’±øÂ˘ ?)","George Washington","Abraham Lincoln","Thomas Jefferson","Benjamin Franklin","A","George Washington was an American military officer and founding father who served as the first president of the United States from 1789 to 1797.","Assam GK","World History"
"Identify the southernmost river amongst the following: (øÚ•ßø˘ø‡Ó¬ ¸˜”˝√1 ¬Û1± ’±È¬±˝◊Ó¬Õfl¡ √øé¬ÌÓ¬ ’ªø¶öÓ¬ Ú√œ‡Ú ø‰¬Ú±Mê fl¡1fl¡º)","Indus River","Godavari River","Brahmaputra River","Cauvery River","D","Geographically, Cauvery (Kaveri) flows in southern India (Karnataka and Tamil Nadu), making it the southernmost river among the listed choices.","Assam GK","Indian Geography"
"The sum of the present age of the father and the son is 60 years. After 15 years, the father’s age will be twice that of the son. The present age of the son is:","10 years","25 years","18 years","15 years","D","Let son's age = $s$, father's age = $f$. Given $f + s = 60 \implies f = 60 - s$. After 15 years: $(f + 15) = 2(s + 15) \implies (60 - s + 15) = 2s + 30 \implies 75 - s = 2s + 30 \implies 3s = 45 \implies s = 15$ years.","Mathematics","Age Problems"
"Find m if $2^m \times 2^{-6} \times 2^4 = 2^{-12} / 2^5$","5","3","8","7","A","Using exponent laws: Left side = $2^{m - 6 + 4} = 2^{m - 2}$. Right side = $2^{-12 - 5} = 2^{-17}$. Equating powers: $m - 2 = -17 \implies m = -15$. (Note: Based on the official answer key key 'A' / Option 5).","Mathematics","Exponents and Powers"
"Two numbers are in the ratio 3 : 4 and their sum equals 49. The two numbers are:","16, 33","18, 31","21, 28","24, 25","C","Let numbers be $3x$ and $4x$. $3x + 4x = 49 \implies 7x = 49 \implies x = 7$. Thus, numbers are $3(7)=21$ and $4(7)=28$.","Mathematics","Ratio and Proportion"
"(-1)^5 + (-1)^6 equals:","1","-1","0","-11","C","$(-1)^5 = -1$ (odd power) and $(-1)^6 = 1$ (even power). Their sum is $-1 + 1 = 0$.","Mathematics","Exponents"
"The value of $\sqrt{1849}$ is:","33","43","53","63","B","Calculating square root: $43 \times 43 = 1849$, so $\sqrt{1849} = 43$.","Mathematics","Square Roots"
"40% of 60 when added to 60% of 40 would result in:","40","48","60","64","B","$40\% \text{ of } 60 = 0.4 \times 60 = 24$. $60\% \text{ of } 40 = 0.6 \times 40 = 24$. Sum = $24 + 24 = 48$.","Mathematics","Percentages"
"Addition of two Roman numbers XIV+IV equals:","XXV","XVIII","XIX","XX","B","XIV = 14 and IV = 4. $14 + 4 = 18$. In Roman numerals, 18 is XVIII.","Mathematics","Roman Numerals"
"(x^2 - 3x - 4) ÷ (x + 1) = ? (x ≠ -1)","x - 4","x - 3","x - 2","x - 1","A","Factoring the numerator: $x^2 - 3x - 4 = (x - 4)(x + 1)$. Dividing by $(x + 1)$ gives $(x - 4)$.","Mathematics","Algebra"
"The fractional form of the recurring number 5.121212 . . . is:","507/90","517/99","517/90","507/99","D","Let $x = 5.\overline{12}$. Then $100x = 512.\overline{12}$. Subtracting gives $99x = 507 \implies x = \frac{507}{99}$.","Mathematics","Fractions & Decimals"
"The total interest accrued on a Principal of ₹ 1000 over 1 year at compound interest of 10% per annum compounded 6 monthly, is:","₹ 105.20","₹ 102.20","₹ 102.50","₹ 105.50","C","Half-yearly rate $r = \frac{10}{2} = 5\%$. Time $n = 2$ periods. $A = 1000 \left(1 + \frac{5}{100}\right)^2 = 1000 \times 1.05^2 = 1000 \times 1.1025 = 1102.50$. $CI = 1102.50 - 1000 = \text{₹ } 102.50$.","Mathematics","Compound Interest"
"If the Minute hand of a clock traverses an angle of 180°, the angle traversed by the Hour hand during the time is:","20°","5°","10°","15°","D","The minute hand turns 180° in 30 minutes. In 30 minutes, the hour hand rotates at a rate of 0.5° per minute: $30 \times 0.5^\circ = 15^\circ$.","Mathematics","Clocks"
"The diagonal of a square is 10 cm. The area of the square is:","100 cm²","50 cm²","64 cm²","48 cm²","B","Area of a square using diagonal $d$ is given by $\text{Area} = \frac{d^2}{2} = \frac{10^2}{2} = \frac{100}{2} = 50 \text{ cm}^2$.","Mathematics","Mensuration"
"The sum of any two integers is:","always a non-zero positive integer.","always a non-zero negative integer.","always either a non-zero positive or a non-zero negative integer.","always either a non-zero positive, a non-zero negative integer or 0.","D","The closure property of integers under addition states that adding two integers always yields an integer, which can be positive, negative, or zero.","Mathematics","Number System"
"The remainder when $2^6$ is divided by 5 is:","0","6","2","4","D","$2^6 = 64$. Dividing 64 by 5 gives quotient 12 with a remainder of 4.","Mathematics","Remainder Theorem"
"The square of a smaller number is subtracted from the square of a larger number and the result is equal to the difference of the larger and the smaller number. The sum of the two numbers is:","0","1/2","1","2","C","Let numbers be $x$ (larger) and $y$ (smaller). Given $x^2 - y^2 = x - y \implies (x - y)(x + y) = x - y$. Assuming $x \neq y$, divide both sides by $(x - y)$ to get $x + y = 1$.","Mathematics","Algebra"
"The sum of the odd numbers 1, 3, 5, . . . . . upto 15 terms is:","225","125","169","196","A","The sum of the first $n$ odd natural numbers is given by $n^2$. For $n = 15$, Sum = $15^2 = 225$.","Mathematics","Arithmetic Progression"
"The LCM and HCF of two numbers are 24 and 4 respectively. If one of the numbers is 12, then the other number is:","20","8","10","6","B","Product of two numbers = $\text{HCF} \times \text{LCM} \implies 12 \times x = 4 \times 24 \implies 12x = 96 \implies x = 8$.","Mathematics","HCF and LCM"
"Let all the months of a year is of 28 days. If January 1 falls on a Monday, then April 28 will fall on a:","Friday","Sunday","Monday","Saturday","B","If every month has 28 days, each month is exactly 4 full weeks long. Thus, the 1st of every month falls on the same day (Monday), and the 28th of April is the last day of April (a Sunday).","Reasoning","Calendar"
"If m is a digit and the number 46 m 23 is divisible by 9, then the digit m is equal to:","1","0","5","3","D","A number is divisible by 9 if the sum of its digits is a multiple of 9. $4 + 6 + m + 2 + 3 = 15 + m$. For $15 + m$ to be divisible by 9, $m = 3$ (since $15 + 3 = 18$).","Mathematics","Divisibility Rules"
"A garden has p numbers of trees. Every tree has q number of branches, every branch has r number of sub-branches and every sub-branch has s number of leaves. The total number of leaves in the garden is:","p+q+r+s","pq+rs","pqr+s","pqrs","D","The total number of leaves is obtained by multiplying the number of entities at each level: $p \times q \times r \times s = pqrs$.","Mathematics","Basic Algebra"
"The first modern Olympic Games was held in: (√õ∂Ô˜ ’±Ò≈øÚfl¬ ’ø˘ø•Ûfl¬ Œ‡˘ fl¬íÓ¬ ’Ú≈øá¬Ó¬ ∆˝øÂ˘ ?)","Athens","Paris","London","Berlin","A","The first modern Olympic Games took place in Athens, Greece, in April 1896.","Assam GK","Sports GK"
"Which of the following statements is incorrect? (øÚ•ßø˘ø‡Ó¬ Œfl¬±ÚÀÈ¬± Î◊¬øMê ’qX√ ?)","Thomas Alva Edison was deaf.","Apple is related to discovery of gravity.","The brightest planet as seen from earth is Venus.","The chemical symbol for sodium is Sd.","D","The chemical symbol for Sodium is Na (derived from Natrium), not Sd. Therefore, statement D is incorrect.","General Science","Chemistry / Physics"
"In a family, the sum of the present ages of the father, mother and the only son is x years. After y years, the sum of their ages will be:","3x+y years","3 (x+y) years","x+y years","x+3y years","D","There are 3 family members. After $y$ years, each member's age increases by $y$ years. Total increase = $3y$. New sum = $x + 3y$ years.","Mathematics","Algebraic Expressions"
"In which field did Bhogeshwar Baruah excel? (Œˆ¬±À·ù´1 ¬ı1nª±˝◊ Œfl¬±ÚÀÈ¬± Œ‡SÓ¬ ¬Û±1ø˙«Ó¬ ± ˘±ˆ¬ fl¬ø1øÂ˘ ?)","Athletes","Swimming","Badminton","Football","A","Bhogeswar Baruah is a renowned Indian former athlete and coach, who won a gold medal in the 1966 Asian Games (800m).","Assam GK","Sports & Personalities"
"The Ramcharitmanas was written by: (1±˜‰¬ø1Ó¬˜±Ú¸ 1‰¬Ú± fl¬1± ¬ı…øMê·1±fl¬œ ∆˝ÀÂ -)","Kabir","Veda Vyas","Adi Shankaracharya","Tulsidas","D","Ramcharitmanas is an epic poem in the Awadhi language, composed by the 16th-century Indian bhakti poet Tulsidas.","Assam GK","Indian Literature"
"In which Continent is the Amazonian Rain Forest found? (’±˜±ÊÚ1 ¬ı¯∏«±1Ì… Œfl¬±Ú‡Ú ˜˝±À˙Ó¬ ’ªø¶öÓ¬ ?)","Europe","North America","Africa","South America","D","The Amazon Rainforest is a moist broadleaf tropical rainforest in the Amazon biome, located in South America.","Assam GK","World Geography"
"Which of the following is responsible for converting milk to curd? (·±‡œ1fl¬ ∆ ∆˘ 1+¬Û±ôLø1Ó¬ fl¬1±1 Œ‡SÓ¬ øÚ•ßø˘ø‡Ó¬ Œfl¬±Úø¬ıÀÒ ˆ”¬ø˜fl¬± ·Ë˝Ì fl¬À1 ?)","Actinomyces","Lactobacillus","Fusobacteriota","Malassezia","B","Lactobacillus is a genus of Gram-positive bacteria that ferments lactose into lactic acid, causing milk to curdle and turn into curd.","General Science","Biology"
"Origami is the art of paper folding that originated in: (fl¬±·Ê ˆ¬±“Ê fl¬1±1 fl¬˘± ’ø1·±ø˜1 Î◊¬»¬ÛM ø˚ÀÈ¬± Œ˙Ó¬ ∆˝øÂ˘ -)","China","Korea","Japan","Cambodia","C","Origami is the traditional Japanese art of paper folding.","Assam GK","Art & Culture"
"Near which town is the Da Parbatia gate located? (Œfl¬±Ú‡Ú ‰¬˝11 ¸˜œ¬ÛÓ¬ í ¬Û¬ı«Ó¬œ˚˛± ŒÓ¬±1Ì ’ªø¶öÓ¬ ?)","Tinsukia","Tezpur","Silchar","Barpeta","B","Da Parbatia is a small village located near Tezpur town in Sonitpur district, Assam, famous for ancient door-frame structures.","Assam GK","History & Heritage of Assam"
"What is the currency of Indonesia? (˝◊ÀG±ÀÚøÂ˚˛±1 ˜≈^±1 Ú±˜ øfl¬ ?)","Ringgit","Dinar","Rupiah","Shilling","C","The official currency of Indonesia is the Indonesian Rupiah (IDR).","Assam GK","World Currencies"
"Which country is known as the “Land of Rising Sun”? (Œfl¬±Ú‡Ú Œ˙ ëëÎ◊¬œ˚˛˜±Ú ¸”˚«…1 Œ˙íí 1+À¬Û ÊÚ±Ê±Ó¬ ?)","China","Japan","New Zealand","Indonesia","B","Japan is commonly referred to as the 'Land of the Rising Sun' due to its name in Japanese (Nihon/Nippon), which literally translates to sun's origin.","Assam GK","General Knowledge"
"Rabindranath Tagore was awarded Nobel Prize in Literature for: (Œfl¬±ÚÀÈ¬± fl‘¬øÓ¬1 ¬ı±À¬ı 1¬ıœfÚ±Ô Í¬±fl≈¬11 ¸±ø˝Ó¬…1 ŒÚ±À¬ı˘ ¬ı“È¬± ˘±ˆ¬ fl¬ø1øÂ˘ ?)","Ghare Baire","Gitimalya","Gitanjali","Gora","C","Rabindranath Tagore won the Nobel Prize in Literature in 1913 for his poetry collection 'Gitanjali'.","Assam GK","Indian Literature"
"The highest gallantry award of Indian military during war is: (˚≈X√1 ¸˜˚˛Ó¬ ˆ¬±1Ó¬œ˚˛ ¸±˜ø1fl¬ ¬ı±ø˝Úœ1 ¸À¬ı«±2‰¬ ¬ıœ1Q ¬ı“È¬± ∆˝ÀÂ -)","Maha Vir Chakra","Param Vir Chakra","Ati Vishisht Seva Medal","Ashoka Chakra","B","The Param Vir Chakra (PVC) is India's highest military decoration, awarded for displaying distinguished acts of valor during wartime.","Assam GK","Indian Armed Forces Awards"
"August Kranti with “Karenge Ya Marenge” slogan was related to which movement for India’s independence? (ëëfl¡À1—À· ˚˛± ˜À1—À·íí Œù≠±·±ÀÚÀ1 ’±·©Ü Sê±øôL ˆ¬±1Ó¬1 ¶§±ÒœÚÓ¬±1 ˝√Àfl¡ fl¡1± Œfl¡±ÚÀÈ¬± ’±Àµ±˘Ú1 ∆¸ÀÓ¬ ¸•§øgÓ¬?)","Non Cooperation Movement","Quit India Movement","Khilafat Movement","The 1857 Sepoy Mutiney","B","The Quit India Movement (also known as August Movement / August Kranti) was launched by Mahatma Gandhi in August 1942 with the call 'Do or Die' (Karenge Ya Marenge).","Assam GK","Indian Freedom Struggle"
"The national flag of which country features a dragon? (Œfl¬±Ú‡Ú Œ˙1 Ê±Ó¬œ˚˛ ¬ÛÓ¬±fl¬±Ó¬ ŒE·Ú1 Âø¬ı ’±ÀÂ ?)","Bhutan","Singapore","Japan","Myanmar","A","The national flag of Bhutan features Druk, the Thunder Dragon of Bhutanese mythology.","Assam GK","World Knowledge"
"Sharp pointed teeth inside human mouth are called: (˜±Ú≈˝1 ˜≈‡1 øˆ¬Ó¬1Ó¬ Ôfl¬± Œ‰¬±fl¬±, ŒÊ±„± ±“Ó¬À¬ı1fl¬ Œ¬ı±˘± ˝˚˛ -)","Molars","Canines","Incisors","Premolars","B","Canines are the sharp, pointed teeth positioned on either side of the incisors used for tearing food.","General Science","Human Anatomy"
"Who conferred the title of Kalaguru to Bishnu Prasad Rabha? (ø¬ı¯û≈√õ∂¸± 1±ˆ¬±fl¬ fl¬˘±&1n Î◊¬¬Û±øÒ Œfl¬±ÀÚ √õ∂±Ú fl¬ø1øÂ˘ ?)","Rabindranath Tagore","Bishnuram Medhi","Subhas Chandra Bose","Sarvapalli Radhakrishnan","D","Dr. Sarvepalli Radhakrishnan conferred the title 'Kalaguru' upon Bishnu Prasad Rabha at Varanasi.","Assam GK","Personalities of Assam"
"What is situated at the confluence of three streams Sandhya, Lalita and Kanta? (¸g…±, ˘ø˘Ó¬± ’±1n∏ fl¡±ôL± Ú±˜1 øÓ¬øÚÈ¬± Ê√˘Ò±1±1 ¸—·˜¶ö˘Ó¬ Œfl¡±ÚÀÈ¬± ’ªø¶öÓ¬?)","Vasistha Ashram, near Guwahati","Ajan Pir Dargah, near Sibsagar","Malinithan temple, near Silapathar","Garampani hot water spring, near Golaghat","A","Vasistha Ashram, located on the outskirts of Guwahati, is situated at the confluence of the three mountain streams: Sandhya, Lalita, and Kanta.","Assam GK","Geography & Tourism of Assam"
