mock_id,section,question_no,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,marks
ADRE_G3_MOCK_01,General Knowledge,17,Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,B,Mars,1
ADRE_G3_MOCK_01,General Knowledge,18,The largest ocean on Earth is:,Atlantic,Indian,Arctic,Pacific,D,Pacific,1
ADRE_G3_MOCK_01,General Knowledge,19,Who was the first President of India?,Rajendra Prasad,S. Radhakrishnan,Zakir Husain,V. V. Giri,A,Rajendra Prasad,1
ADRE_G3_MOCK_01,General Knowledge,20,The Constitution of India came into force on:,15 August 1947,26 November 1949,26 January 1950,2 October 1950,C,26 January 1950,1
ADRE_G3_MOCK_01,Reasoning,21,"Find the next number: 2, 4, 8, 16, ?",20,24,32,36,C,32,1
ADRE_G3_MOCK_01,Reasoning,22,"If CAT is coded as DBU, DOG is coded as:",EPH,EOG,DPH,FPI,A,EPH,1
ADRE_G3_MOCK_01,Reasoning,23,Which one is different from the others?,Apple,Mango,Carrot,Banana,C,Carrot,1
ADRE_G3_MOCK_01,Reasoning,24,"A is taller than B, and B is taller than C. Who is shortest?",A,B,C,Cannot determine,C,C,1
ADRE_G3_MOCK_01,Reasoning,25,"If today is Monday, what day will it be after 10 days?",Wednesday,Thursday,Friday,Saturday,B,Thursday,1
ADRE_G3_MOCK_01,Reasoning,26,Book is to Reading as Fork is to:,Writing,Eating,Walking,Drawing,B,Eating,1
ADRE_G3_MOCK_01,Reasoning,27,"Find the missing number: 5, 10, 20, 40, ?",60,70,80,100,C,80,1
ADRE_G3_MOCK_01,Reasoning,28,"If SOUTH is written as HTUOS, NORTH is written as:",HTRON,NROTH,HRTON,TRHON,A,HTRON,1
ADRE_G3_MOCK_01,Reasoning,29,How many sides does a hexagon have?,5,6,7,8,B,6,1
ADRE_G3_MOCK_01,Reasoning,30,A clock shows 3:00. The angle between the hands is:,60°,90°,120°,180°,B,90°,1
ADRE_G3_MOCK_01,English Language,31,Choose the synonym of 'rapid'.,Slow,Quick,Weak,Late,B,Quick,1
ADRE_G3_MOCK_01,English Language,32,Choose the antonym of 'ancient'.,Old,Historic,Modern,Past,C,Modern,1
ADRE_G3_MOCK_01,English Language,33,Choose the correctly spelled word.,Enviroment,Environment,Environmant,Enviornment,B,Environment,1
ADRE_G3_MOCK_01,English Language,34,Fill in the blank: She ___ to school every day.,go,going,goes,gone,C,goes,1
ADRE_G3_MOCK_01,English Language,35,Identify the noun in: 'The boy opened the door.',opened,the,boy,opened the,C,boy,1
ADRE_G3_MOCK_01,English Language,36,The plural of 'child' is:,Childs,Childes,Children,Childrens,C,Children,1
ADRE_G3_MOCK_01,English Language,37,Choose the correct passive voice: 'Rina wrote a letter.',A letter was written by Rina.,A letter is written by Rina.,Rina was written a letter.,A letter has written Rina.,A,A letter was written by Rina.,1
ADRE_G3_MOCK_01,English Language,38,Choose the correct article: He is ___ honest man.,a,an,the,no article,B,an,1
ADRE_G3_MOCK_01,English Language,39,What does 'break the ice' mean?,Break something,Start a friendly conversation,Become angry,End a meeting,B,Start a friendly conversation,1
ADRE_G3_MOCK_01,English Language,40,Choose the correct sentence.,He don't know me.,He doesn't knows me.,He doesn't know me.,He not know me.,C,He doesn't know me.,1
ADRE_G3_MOCK_01,Assam & Its History,41,The Ahom kingdom was founded by:,Sukaphaa,Rudra Singha,Lachit Borphukan,Gadadhar Singha,A,Sukaphaa,1
ADRE_G3_MOCK_01,Assam & Its History,42,The Battle of Saraighat was fought in:,1667,1671,1681,1691,B,1671,1
ADRE_G3_MOCK_01,Assam & Its History,43,Lachit Borphukan is chiefly associated with the:,Battle of Plassey,Battle of Saraighat,Battle of Panipat,Battle of Buxar,B,Battle of Saraighat,1
ADRE_G3_MOCK_01,Assam & Its History,44,Sukaphaa entered the Brahmaputra valley in:,1228,1328,1428,1528,A,1228,1
ADRE_G3_MOCK_01,Assam & Its History,45,The first Assamese film is generally recognised as:,Indramalati,Joymoti,Piyoli Phukan,Siraj,B,Joymoti,1
ADRE_G3_MOCK_01,Assam & Its History,46,Srimanta Sankardev is associated with the:,Bhakti movement in Assam,Swadeshi movement,Brahmo movement,Sufi movement,A,Bhakti movement in Assam,1
ADRE_G3_MOCK_01,Assam & Its History,47,The traditional Assamese devotional institution is called:,Math,Namghar,Gurudwara,Vihara,B,Namghar,1
ADRE_G3_MOCK_01,Assam & Its History,48,Bihu is primarily associated with the culture of:,Assam,Kerala,Punjab,Gujarat,A,Assam,1
ADRE_G3_MOCK_01,Assam & Its History,49,The capital of the Ahom kingdom under many later rulers was:,Sivasagar,Silchar,Dhubri,Goalpara,A,Sivasagar,1
ADRE_G3_MOCK_01,Assam & Its History,50,The Treaty of Yandabo was signed in:,1824,1826,1836,1846,B,1826,1
ADRE_G3_MOCK_01,General Science,51,The basic unit of life is the:,Tissue,Organ,Cell,Atom,C,Cell,1
ADRE_G3_MOCK_01,General Science,52,Photosynthesis mainly occurs in the:,Nucleus,Chloroplast,Mitochondria,Ribosome,B,Chloroplast,1
ADRE_G3_MOCK_01,General Science,53,Which vitamin is mainly produced in the skin through sunlight exposure?,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,D,Vitamin D,1
ADRE_G3_MOCK_01,General Science,54,The SI unit of force is:,Joule,Newton,Watt,Pascal,B,Newton,1
ADRE_G3_MOCK_01,General Science,55,Water boils at sea level at approximately:,50°C,75°C,100°C,125°C,C,100°C,1
ADRE_G3_MOCK_01,General Science,56,The gas most abundant in Earth's atmosphere is:,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,B,Nitrogen,1
ADRE_G3_MOCK_01,General Science,57,Which organ pumps blood through the human body?,Liver,Lung,Kidney,Heart,D,Heart,1
ADRE_G3_MOCK_01,General Science,58,The pH of pure water at room temperature is approximately:,5,6,7,8,C,7,1
ADRE_G3_MOCK_01,General Science,59,Which blood cells help fight infection?,Red blood cells,White blood cells,Platelets,Plasma,B,White blood cells,1
ADRE_G3_MOCK_01,General Science,60,The process by which liquid changes into vapour is called:,Condensation,Freezing,Evaporation,Sublimation,C,Evaporation,1
