mock_id,question_no,section,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,marks
ADRE_G4_MOCK_03,34,General Knowledge,The Ilbert Bill controversy occurred during the tenure of:,Lord Curzon,Lord Ripon,Lord Lytton,Lord Dalhousie,B,Lord Ripon,1
ADRE_G4_MOCK_03,35,General Knowledge,The Drain of Wealth theory was strongly associated with:,Dadabhai Naoroji,Bal Gangadhar Tilak,M. G. Ranade,Gopal Krishna Gokhale,A,Dadabhai Naoroji,1
ADRE_G4_MOCK_03,36,General Knowledge,The Cabinet Mission came to India in:,1942,1945,1946,1947,C,1946,1
ADRE_G4_MOCK_03,37,General Knowledge,The first Indian Governor-General of independent India was:,Rajendra Prasad,C. Rajagopalachari,Jawaharlal Nehru,Sardar Patel,B,C. Rajagopalachari,1
ADRE_G4_MOCK_03,38,General Knowledge,The Ahom Paik system was mainly related to:,Military and public service,Temple worship,Foreign trade,Coinage,A,Military and public service,1
ADRE_G4_MOCK_03,39,General Knowledge,The Ahom office of Borphukan was especially associated with administration of:,Lower Assam,Upper Assam,Barak Valley,Dibrugarh only,A,Lower Assam,1
ADRE_G4_MOCK_03,40,General Knowledge,Which Ahom ruler is associated with the construction of Rang Ghar in its present form?,Sukaphaa,Pramatta Singha,Rudra Singha,Siva Singha,B,Pramatta Singha,1
ADRE_G4_MOCK_03,41,General Knowledge,The Moamoria Rebellion was a major factor in the decline of the:,Koch kingdom,Ahom kingdom,Kachari kingdom,Jaintia kingdom,B,Ahom kingdom,1
ADRE_G4_MOCK_03,42,General Knowledge,The Treaty of Yandabo was signed in:,1824,1826,1830,1836,B,1826,1
ADRE_G4_MOCK_03,43,General Knowledge,The Battle of Saraighat was fought primarily between the Ahoms and the:,British,Mughals,Burmese,Kochs,B,Mughals,1
ADRE_G4_MOCK_03,44,General Knowledge,Suhungmung is also known as:,Dihingia Raja,Dihingia Raja,Lora Raja,Bamuni Konwar,B,Dihingia Raja,1
ADRE_G4_MOCK_03,45,General Knowledge,The first Assamese newspaper was:,Orunodoi,Jonaki,Assam Bani,Dainik Asam,A,Orunodoi,1
ADRE_G4_MOCK_03,46,General Knowledge,The 'Hemkosh' is primarily a:,Historical chronicle,Dictionary,Religious text,Dance manual,B,Dictionary,1
ADRE_G4_MOCK_03,47,General Knowledge,The Assam Accord was signed in:,1979,1983,1985,1990,C,1985,1
ADRE_G4_MOCK_03,48,General Knowledge,The Assam Movement was primarily centred on the issue of:,Land ceiling,Illegal immigration,Industrialisation,Forest rights,B,Illegal immigration,1
ADRE_G4_MOCK_03,49,General Knowledge,The Sixth Schedule provides special administrative arrangements for certain:,Urban areas,Tribal areas,Coastal areas,Industrial zones,B,Tribal areas,1
ADRE_G4_MOCK_03,50,General Knowledge,Which of the following is NOT a Sixth Schedule autonomous council of Assam?,Karbi Anglong Autonomous Council,North Cachar Hills Autonomous Council,Bodoland Territorial Council,Mising Autonomous Council,D,Mising Autonomous Council,1
ADRE_G4_MOCK_03,51,General Knowledge,The state tree of Assam is:,Hollong,Sal,Neem,Banyan,A,Hollong,1
ADRE_G4_MOCK_03,52,General Knowledge,The state bird of Assam is:,Great hornbill,White-winged wood duck,Peacock,Sarus crane,B,White-winged wood duck,1
ADRE_G4_MOCK_03,53,General Knowledge,The state flower of Assam is commonly identified as:,Foxtail orchid,Lotus,Rose,Kopou phool,A,Foxtail orchid,1
ADRE_G4_MOCK_03,54,General Knowledge,Dehing Patkai is particularly known for its:,Tropical rainforest,Cold desert,Mangrove ecosystem,Alpine grassland,A,Tropical rainforest,1
ADRE_G4_MOCK_03,55,General Knowledge,The Hoolock gibbon is India's only:,Native ape,Native big cat,Flying mammal,Aquatic primate,A,Native ape,1
ADRE_G4_MOCK_03,56,General Knowledge,The Brahmaputra is called Yarlung Tsangpo in:,Nepal,Tibet,Bhutan,Myanmar,B,Tibet,1
ADRE_G4_MOCK_03,57,General Knowledge,The Barak River flows through which important valley of Assam?,Brahmaputra Valley,Barak Valley,Darrang Valley,Dhemaji Valley,B,Barak Valley,1
ADRE_G4_MOCK_03,58,General Knowledge,Which tributary is known for forming one of the major river systems of northern Assam?,Subansiri,Narmada,Tapti,Mahi,A,Subansiri,1
ADRE_G4_MOCK_03,59,General Knowledge,The Ramsar Convention primarily concerns:,Climate change,Wetland conservation,Desertification,Marine fisheries,B,Wetland conservation,1
ADRE_G4_MOCK_03,60,General Knowledge,The energy pyramid in an ecosystem is:,Always inverted,Always upright,Sometimes absent,Always horizontal,B,Always upright,1
ADRE_G4_MOCK_03,61,General Knowledge,Approximately what percentage of energy is conventionally transferred from one trophic level to the next?,1%,10%,25%,50%,B,10%,1
ADRE_G4_MOCK_03,62,General Knowledge,The enzyme that unwinds DNA during replication is:,Ligase,Helicase,Amylase,Pepsin,B,Helicase,1
ADRE_G4_MOCK_03,63,General Knowledge,A test cross is generally made with a:,Homozygous dominant,Heterozygote,Homozygous recessive,Hybrid dominant,C,Homozygous recessive,1
ADRE_G4_MOCK_03,64,General Knowledge,The functional unit of the kidney is the:,Neuron,Nephron,Alveolus,Villus,B,Nephron,1
ADRE_G4_MOCK_03,65,General Knowledge,Which hormone lowers blood glucose?,Glucagon,Insulin,Adrenaline,Thyroxine,B,Insulin,1
ADRE_G4_MOCK_03,66,General Knowledge,The SI unit of electrical resistance is:,Volt,Ampere,Ohm,Coulomb,C,Ohm,1
ADRE_G4_MOCK_03,67,General Knowledge,A transformer operates on the principle of:,Electrolysis,Electromagnetic induction,Photoelectric effect,Nuclear fission,B,Electromagnetic induction,1
ADRE_G4_MOCK_03,68,General Knowledge,The atomic number of an element equals its number of:,Neutrons,Protons,Nucleons,Isotopes,B,Protons,1
ADRE_G4_MOCK_03,69,General Knowledge,Which acid is present in vinegar?,Citric acid,Acetic acid,Lactic acid,Oxalic acid,B,Acetic acid,1
ADRE_G4_MOCK_03,70,General Knowledge,The gas chiefly responsible for the greenhouse effect among the following is:,Oxygen,Carbon dioxide,Nitrogen,Argon,B,Carbon dioxide,1
ADRE_G4_MOCK_03,71,General Knowledge,The ozone layer is mainly found in the:,Troposphere,Stratosphere,Mesosphere,Exosphere,B,Stratosphere,1
ADRE_G4_MOCK_03,72,General Knowledge,Which organelle is known as the powerhouse of the cell?,Ribosome,Mitochondrion,Nucleus,Golgi body,B,Mitochondrion,1
ADRE_G4_MOCK_03,73,General Knowledge,Which blood group is generally considered the universal donor for red-cell transfusion?,AB positive,O negative,A positive,B positive,B,O negative,1
ADRE_G4_MOCK_03,74,General Knowledge,The SI unit of power is:,Joule,Watt,Newton,Pascal,B,Watt,1
ADRE_G4_MOCK_03,75,General Aptitude and Logical Reasoning,A number is increased by 20% and becomes 360. The original number is:,280,300,320,340,B,300,1
ADRE_G4_MOCK_03,76,General Aptitude and Logical Reasoning,A shopkeeper buys an article for Rs 800 and sells it for Rs 920. Profit percentage is:,10%,12%,15%,20%,C,15%,1
ADRE_G4_MOCK_03,77,General Aptitude and Logical Reasoning,"Simple interest on Rs 5,000 at 8% per annum for 2 years is:",Rs 600,Rs 700,Rs 800,Rs 900,C,Rs 800,1
ADRE_G4_MOCK_03,78,General Aptitude and Logical Reasoning,"The average of 18, 24, 30 and 36 is:",24,26,27,28,C,27,1
ADRE_G4_MOCK_03,79,General Aptitude and Logical Reasoning,"If 3/5 of a number is 48, the number is:",60,70,80,90,C,80,1
ADRE_G4_MOCK_03,80,General Aptitude and Logical Reasoning,The HCF of 48 and 72 is:,12,18,24,36,C,24,1
ADRE_G4_MOCK_03,81,General Aptitude and Logical Reasoning,The LCM of 15 and 20 is:,30,45,60,75,C,60,1
ADRE_G4_MOCK_03,82,General Aptitude and Logical Reasoning,A train covers 240 km in 4 hours. Speed is:,50 km/h,60 km/h,70 km/h,80 km/h,B,60 km/h,1
ADRE_G4_MOCK_03,83,General Aptitude and Logical Reasoning,"If 8 workers complete a job in 15 days, 12 workers working at the same rate will take:",8 days,10 days,12 days,14 days,B,10 days,1
ADRE_G4_MOCK_03,84,General Aptitude and Logical Reasoning,"A 10% discount on Rs 2,500 gives a selling price of:","Rs 2,150","Rs 2,200","Rs 2,250","Rs 2,300",C,"Rs 2,250",1
ADRE_G4_MOCK_03,85,General Aptitude and Logical Reasoning,"Find the next number: 3, 7, 15, 31, ?",47,55,63,71,C,63,1
ADRE_G4_MOCK_03,86,General Aptitude and Logical Reasoning,"Find the next number: 2, 6, 12, 20, 30, ?",36,40,42,44,C,42,1
ADRE_G4_MOCK_03,87,General Aptitude and Logical Reasoning,"If CAT is coded as DBU, then BIRD is coded as:",CJSE,CJRD,BHQE,DJSF,A,CJSE,1
ADRE_G4_MOCK_03,88,General Aptitude and Logical Reasoning,"A is taller than B, B taller than C, and C taller than D. Who is second tallest?",A,B,C,D,B,B,1
ADRE_G4_MOCK_03,89,General Aptitude and Logical Reasoning,"If today is Tuesday, what day will it be after 45 days?",Thursday,Friday,Saturday,Sunday,B,Friday,1
ADRE_G4_MOCK_03,90,General Aptitude and Logical Reasoning,A man walks 6 km north and 8 km east. His shortest distance from the starting point is:,10 km,12 km,14 km,16 km,A,10 km,1
ADRE_G4_MOCK_03,91,General Aptitude and Logical Reasoning,"In a row of 30 people, Ravi is 11th from the left. His position from the right is:",18th,19th,20th,21st,C,20th,1
ADRE_G4_MOCK_03,92,General Aptitude and Logical Reasoning,Book is to Library as Animal is to:,Forest,Zoo,Farm,Road,B,Zoo,1
ADRE_G4_MOCK_03,93,General Aptitude and Logical Reasoning,A clock shows 4:00. The angle between the hands is:,90°,120°,150°,180°,C,120°,1
ADRE_G4_MOCK_03,94,General Aptitude and Logical Reasoning,A cube has how many vertices?,6,8,10,12,B,8,1
ADRE_G4_MOCK_03,95,General Aptitude and Logical Reasoning,Statements: All dogs are animals. Some animals are black. Which conclusion definitely follows?,All dogs are black,Some dogs are black,All dogs are animals,No dogs are black,C,All dogs are animals,1
ADRE_G4_MOCK_03,96,General Aptitude and Logical Reasoning,Find the odd one out:,16,25,36,54,D,54,1
ADRE_G4_MOCK_03,97,General Aptitude and Logical Reasoning,"If 5 pens cost Rs 75, 8 pens cost:",Rs 100,Rs 110,Rs 120,Rs 125,C,Rs 120,1
ADRE_G4_MOCK_03,98,General Aptitude and Logical Reasoning,A can complete a work in 10 days and B in 15 days. Together they complete it in:,5 days,6 days,7 days,8 days,B,6 days,1
ADRE_G4_MOCK_03,99,General Aptitude and Logical Reasoning,A number is divided in the ratio 3:5 and the difference between the parts is 24. The larger part is:,36,40,60,72,C,60,1
ADRE_G4_MOCK_03,100,General Knowledge,Which Schedule of the Indian Constitution contains provisions relating to anti-defection?,Eighth Schedule,Ninth Schedule,Tenth Schedule,Twelfth Schedule,C,Tenth Schedule,1
