mock_id,question_no,section,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,marks
ADRE_G3_MOCK_03,28,"General Knowledge, Social Studies & General Science",The SI unit of power is:,Joule,Newton,Watt,Pascal,C,Watt,1.5
ADRE_G3_MOCK_03,29,"General Knowledge, Social Studies & General Science",A convex lens is commonly used to correct:,Myopia,Hypermetropia,Colour blindness,Night blindness,B,Hypermetropia,1.5
ADRE_G3_MOCK_03,30,"General Knowledge, Social Studies & General Science",Which metal is liquid at ordinary room temperature?,Iron,Mercury,Aluminium,Copper,B,Mercury,1.5
ADRE_G3_MOCK_03,31,"General Knowledge, Social Studies & General Science",The process of converting a solid directly into gas is:,Condensation,Sublimation,Evaporation,Fusion,B,Sublimation,1.5
ADRE_G3_MOCK_03,32,"General Knowledge, Social Studies & General Science",Which acid is present in vinegar?,Citric acid,Acetic acid,Sulphuric acid,Nitric acid,B,Acetic acid,1.5
ADRE_G3_MOCK_03,33,"General Knowledge, Social Studies & General Science",The atomic number of carbon is:,4,6,8,12,B,6,1.5
ADRE_G3_MOCK_03,34,"General Knowledge, Social Studies & General Science",Which part of the brain mainly coordinates balance and muscular activity?,Cerebrum,Cerebellum,Medulla,Hypothalamus,B,Cerebellum,1.5
ADRE_G3_MOCK_03,35,"General Knowledge, Social Studies & General Science",The largest gland in the human body is the:,Pancreas,Liver,Thyroid,Pituitary,B,Liver,1.5
ADRE_G3_MOCK_03,36,"General Knowledge, Social Studies & General Science",Which blood group is commonly called the universal donor for red-cell transfusion?,AB positive,O negative,A positive,B negative,B,O negative,1.5
ADRE_G3_MOCK_03,37,"General Knowledge, Social Studies & General Science",The Green Revolution initially had its strongest impact on:,Wheat production,Tea production,Jute production,Rubber production,A,Wheat production,1.5
ADRE_G3_MOCK_03,38,"General Knowledge, Social Studies & General Science",The Planning Commission was replaced by:,NITI Aayog,Finance Commission,GST Council,SEBI,A,NITI Aayog,1.5
ADRE_G3_MOCK_03,39,"General Knowledge, Social Studies & General Science",The Goods and Services Tax was introduced in India in:,2014,2015,2017,2019,C,2017,1.5
ADRE_G3_MOCK_03,40,"General Knowledge, Social Studies & General Science",Which institution is India's central bank?,SBI,RBI,SEBI,NABARD,B,RBI,1.5
ADRE_G3_MOCK_03,41,General Mathematics,A number is increased by 25% and becomes 500. The original number was:,375,400,425,450,B,400,1.5
ADRE_G3_MOCK_03,42,General Mathematics,"If 40% of x is 72, x is:",160,180,200,220,B,180,1.5
ADRE_G3_MOCK_03,43,General Mathematics,The average of the first five positive even numbers is:,5,6,7,8,B,6,1.5
ADRE_G3_MOCK_03,44,General Mathematics,A sum amounts to Rs 6600 at simple interest after 2 years at 10% per annum. The principal is:,Rs 5000,Rs 5250,Rs 5500,Rs 6000,A,Rs 5000,1.5
ADRE_G3_MOCK_03,45,General Mathematics,An article marked at Rs 2000 is sold after two successive discounts of 10% and 5%. Selling price is:,Rs 1700,Rs 1710,Rs 1720,Rs 1750,B,Rs 1710,1.5
ADRE_G3_MOCK_03,46,General Mathematics,A trader gains 20% by selling an article for Rs 960. Cost price is:,Rs 760,Rs 800,Rs 820,Rs 840,B,Rs 800,1.5
ADRE_G3_MOCK_03,47,General Mathematics,The ratio of 2.5 kg to 400 g is:,5:4,25:4,25:1,6:1,C,25:4,1.5
ADRE_G3_MOCK_03,48,General Mathematics,"If 12 men finish a work in 15 days, how many men are required to finish it in 10 days?",15,18,20,24,B,18,1.5
ADRE_G3_MOCK_03,49,General Mathematics,A train 180 m long crosses a pole in 12 seconds. Its speed is:,45 km/h,54 km/h,60 km/h,72 km/h,B,54 km/h,1.5
ADRE_G3_MOCK_03,50,General Mathematics,A boat travels 30 km downstream in 2 hours. Its downstream speed is:,10 km/h,12 km/h,15 km/h,20 km/h,C,15 km/h,1.5
ADRE_G3_MOCK_03,51,General Mathematics,The perimeter of a rectangle is 50 cm and its length is 15 cm. Its breadth is:,8 cm,10 cm,12 cm,15 cm,B,10 cm,1.5
ADRE_G3_MOCK_03,52,General Mathematics,The area of a triangle with base 16 cm and height 9 cm is:,36 cm²,54 cm²,72 cm²,144 cm²,C,72 cm²,1.5
ADRE_G3_MOCK_03,53,General Mathematics,The volume of a cube of side 5 cm is:,25 cm³,75 cm³,100 cm³,125 cm³,D,125 cm³,1.5
ADRE_G3_MOCK_03,54,General Mathematics,"If x/3 + 5 = 11, x is:",12,15,18,21,C,18,1.5
ADRE_G3_MOCK_03,55,General Mathematics,The HCF of 84 and 126 is:,21,28,42,63,C,42,1.5
ADRE_G3_MOCK_03,56,General Mathematics,The LCM of 18 and 24 is:,48,54,72,96,C,72,1.5
ADRE_G3_MOCK_03,57,General Mathematics,A man spends 75% of his income and saves Rs 5000. His income is:,Rs 15000,Rs 18000,Rs 20000,Rs 25000,C,Rs 20000,1.5
ADRE_G3_MOCK_03,58,General Mathematics,"If the price of an item rises by 20%, by what percentage must consumption fall to keep expenditure unchanged?",15%,16 2/3%,20%,25%,B,16 2/3%,1.5
ADRE_G3_MOCK_03,59,General Mathematics,A and B invest Rs 4000 and Rs 6000 respectively for the same period. Their profit ratio is:,2:3,3:2,4:5,5:4,A,2:3,1.5
ADRE_G3_MOCK_03,60,General Mathematics,"A can do a job in 20 days and B in 30 days. Working together, they finish it in:",10 days,12 days,15 days,18 days,B,12 days,1.5
ADRE_G3_MOCK_03,61,Mental Ability and Logical Reasoning,"Find the next term: 7, 14, 28, 56, ?",84,98,112,120,C,112,1.5
ADRE_G3_MOCK_03,62,Mental Ability and Logical Reasoning,"Find the next term: 2, 6, 12, 20, 30, ?",36,40,42,44,C,42,1.5
ADRE_G3_MOCK_03,63,Mental Ability and Logical Reasoning,"Find the missing number: 4, 9, 19, 39, ?",69,79,89,99,B,79,1.5
ADRE_G3_MOCK_03,64,Mental Ability and Logical Reasoning,"If TABLE is coded as UBCMF, then CHAIR is coded as:",DIBJS,DIBIR,DHAJS,EIBJS,A,DIBJS,1.5
ADRE_G3_MOCK_03,65,Mental Ability and Logical Reasoning,"If DELHI is written as IHLED, how is ASSAM written?",MASSA,MASSA,SSAMA,AMASS,A,MASSA,1.5
ADRE_G3_MOCK_03,66,Mental Ability and Logical Reasoning,Choose the odd one out:,121,144,169,196,All are similar,E,All are similar,1.5
ADRE_G3_MOCK_03,67,Mental Ability and Logical Reasoning,A is the brother of B. C is the mother of A. D is the father of C. How is D related to B?,Father,Grandfather,Uncle,Brother,B,Grandfather,1.5
ADRE_G3_MOCK_03,68,Mental Ability and Logical Reasoning,"Pointing to a woman, Raj says, 'She is the daughter of my mother's only daughter.' The woman is Raj's:",Mother,Sister,Niece,Aunt,C,Niece,1.5
ADRE_G3_MOCK_03,69,Mental Ability and Logical Reasoning,"A person walks 8 km east, then 6 km north. The shortest distance from the starting point is:",10 km,12 km,14 km,16 km,A,10 km,1.5
ADRE_G3_MOCK_03,70,Mental Ability and Logical Reasoning,"If today is Wednesday, what day will it be after 100 days?",Thursday,Friday,Saturday,Sunday,B,Friday,1.5
ADRE_G3_MOCK_03,71,Mental Ability and Logical Reasoning,"In a row of 30 students, Rohan is 12th from the left. His position from the right is:",17th,18th,19th,20th,C,19th,1.5
ADRE_G3_MOCK_03,72,Mental Ability and Logical Reasoning,"If all pens are instruments and some instruments are expensive, which conclusion definitely follows?",All pens are expensive,Some pens are expensive,All pens are instruments,No instruments are expensive,C,All pens are instruments,1.5
ADRE_G3_MOCK_03,73,Mental Ability and Logical Reasoning,Complete the analogy: 11 : 121 :: 13 : ?,156,169,172,196,B,169,1.5
ADRE_G3_MOCK_03,74,Mental Ability and Logical Reasoning,"Which number replaces ?: 81, 27, 9, 3, ?",0,1,2,6,B,1,1.5
ADRE_G3_MOCK_03,75,Mental Ability and Logical Reasoning,"If SOUTH = 12345 and NORTH = 67845, then H is represented by:",4,5,7,8,B,5,1.5
ADRE_G3_MOCK_03,76,Mental Ability and Logical Reasoning,A cube has how many edges?,8,10,12,14,C,12,1.5
ADRE_G3_MOCK_03,77,Mental Ability and Logical Reasoning,"If 5 January is Monday, 19 January will be:",Monday,Tuesday,Wednesday,Sunday,A,Monday,1.5
ADRE_G3_MOCK_03,78,Mental Ability and Logical Reasoning,Find the odd word:,January,March,May,Tuesday,D,Tuesday,1.5
ADRE_G3_MOCK_03,79,Mental Ability and Logical Reasoning,"A man faces north, turns right, then right again, then left. He is facing:",North,South,East,West,C,East,1.5
ADRE_G3_MOCK_03,80,Mental Ability and Logical Reasoning,"If 6 workers produce 90 units in a day, at the same rate 10 workers produce:",120,135,150,180,C,150,1.5
ADRE_G3_MOCK_03,81,General English,Choose the synonym of 'reluctant'.,Unwilling,Eager,Certain,Cheerful,A,Unwilling,1.5
ADRE_G3_MOCK_03,82,General English,Choose the antonym of 'scarce'.,Rare,Limited,Abundant,Small,C,Abundant,1.5
ADRE_G3_MOCK_03,83,General English,Choose the correctly spelled word.,Accomodation,Accommodation,Acommodation,Accommadation,B,Accommodation,1.5
ADRE_G3_MOCK_03,84,General English,"Fill in the blank: If I ___ you, I would accept the offer.",am,was,were,be,C,were,1.5
ADRE_G3_MOCK_03,85,General English,Fill in the blank: She has been working here ___ five years.,since,for,from,by,B,for,1.5
ADRE_G3_MOCK_03,86,General English,Choose the correct sentence.,Neither Ram nor his friends was present.,Neither Ram nor his friends were present.,Neither Ram or his friends were present.,Neither Ram nor his friends is present yesterday.,B,Neither Ram nor his friends were present.,1.5
ADRE_G3_MOCK_03,87,General English,Identify the adverb: 'He spoke very politely.',spoke,very,politely,He,C,politely,1.5
ADRE_G3_MOCK_03,88,General English,Choose the correct passive voice: 'They will complete the work tomorrow.',The work will be completed by them tomorrow.,The work is completed by them tomorrow.,The work was completed by them tomorrow.,They will be completed by the work tomorrow.,A,The work will be completed by them tomorrow.,1.5
ADRE_G3_MOCK_03,89,General English,"Choose the correct indirect speech: She said, 'I have finished my work.'",She said that I have finished my work.,She said that she had finished her work.,She said that she has finished my work.,She says she had finished her work.,B,She said that she had finished her work.,1.5
ADRE_G3_MOCK_03,90,General English,The idiom 'once in a blue moon' means:,Very frequently,Rarely,Immediately,Never,B,Rarely,1.5
ADRE_G3_MOCK_03,91,General English,Choose the correct meaning of 'look after'.,Search for,Take care of,Ignore,Look behind,B,Take care of,1.5
ADRE_G3_MOCK_03,92,General English,Choose the correct word: The new rule will ___ everyone.,effect,affect,affects,effected,B,affect,1.5
ADRE_G3_MOCK_03,93,General English,Choose the correct form: 'Each of the players ___ a medal.',have,has,having,were,B,has,1.5
ADRE_G3_MOCK_03,94,General English,Choose the antonym of 'transparent'.,Clear,Opaque,Visible,Bright,B,Opaque,1.5
ADRE_G3_MOCK_03,95,General English,Choose the synonym of 'brief'.,Long,Concise,Difficult,Broad,B,Concise,1.5
ADRE_G3_MOCK_03,96,General English,Identify the adjective: 'The old bridge collapsed suddenly.',bridge,collapsed,old,suddenly,C,old,1.5
ADRE_G3_MOCK_03,97,General English,Choose the correct article: Mount Everest is ___ highest peak in the world.,a,an,the,no article,C,the,1.5
ADRE_G3_MOCK_03,98,General English,Choose the correctly punctuated sentence.,"He said, I am ready.",He said 'I am ready'.,"He said, 'I am ready.'",He said; 'I am ready',C,"He said, 'I am ready.'",1.5
ADRE_G3_MOCK_03,99,General English,Choose the correct one-word substitution for 'one who cannot read or write'.,Illiterate,Innocent,Immature,Invalid,A,Illiterate,1.5
ADRE_G3_MOCK_03,100,General English,Choose the correct spelling.,Privilege,Priviledge,Privelege,Privillage,A,Privilege,1.5
