mock_id,question_no,section,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,marks
ADRE_G3_MOCK_04,13,"General Knowledge, Social Studies & General Science",The Permanent Settlement was introduced in Bengal in 1793 primarily to:,Abolish zamindars,Fix land revenue permanently,Create Ryotwari settlements,Promote village panchayats,B,Fix land revenue permanently,1.5
ADRE_G3_MOCK_04,14,"General Knowledge, Social Studies & General Science",The Swadeshi Movement began as a reaction to the:,Rowlatt Act,Partition of Bengal,Simon Commission,Government of India Act 1919,B,Partition of Bengal,1.5
ADRE_G3_MOCK_04,15,"General Knowledge, Social Studies & General Science",The Cabinet Mission Plan proposed a Union of India dealing mainly with:,"Defence, foreign affairs and communications","Education, health and agriculture","Police, justice and taxation",All provincial subjects,A,"Defence, foreign affairs and communications",1.5
ADRE_G3_MOCK_04,16,"General Knowledge, Social Studies & General Science",The 'Drain of Wealth' theory was systematically developed by:,R. C. Dutt,Dadabhai Naoroji,Gopal Krishna Gokhale,M. G. Ranade,B,Dadabhai Naoroji,1.5
ADRE_G3_MOCK_04,17,"General Knowledge, Social Studies & General Science",The Ahom ruler who adopted the name Swargadeo Rudra Singha after succession was originally known as:,Sukhrung,Suklampha,Sukhaampha,Sukapha,A,Sukhrung,1.5
ADRE_G3_MOCK_04,18,"General Knowledge, Social Studies & General Science","The Ahom king associated with the construction of the Shiva Dol, Vishnu Dol and Devi Dol complex at Sivasagar is:",Sukaphaa,Rudra Singha,Siva Singha,Pramatta Singha,C,Siva Singha,1.5
ADRE_G3_MOCK_04,19,"General Knowledge, Social Studies & General Science",The Moamoria Rebellion severely weakened the Ahom kingdom during the reign of:,Rajeswar Singha,Lakshmi Singha,Gaurinath Singha,Purandar Singha,B,Lakshmi Singha,1.5
ADRE_G3_MOCK_04,20,"General Knowledge, Social Studies & General Science",The Treaty of Yandabo ended the:,First Anglo-Ahom War,First Anglo-Burmese War,Second Anglo-Burmese War,Anglo-Manipur War,B,First Anglo-Burmese War,1.5
ADRE_G3_MOCK_04,21,"General Knowledge, Social Studies & General Science",The Ahom Paik system was primarily a system of:,Land measurement,Compulsory public and military service,Religious taxation,Trade licensing,B,Compulsory public and military service,1.5
ADRE_G3_MOCK_04,22,"General Knowledge, Social Studies & General Science",Which Ahom office was responsible for the administration of Lower Assam?,Borphukan,Borbarua,Borgohain,Barpatra Gohain,A,Borphukan,1.5
ADRE_G3_MOCK_04,23,"General Knowledge, Social Studies & General Science",The Battle of Saraighat is historically significant because it:,Ended Mughal rule in Bengal,Stopped the Mughal advance into Assam,Established Ahom rule in Upper Assam,Ended the Moamoria rebellion,B,Stopped the Mughal advance into Assam,1.5
ADRE_G3_MOCK_04,24,"General Knowledge, Social Studies & General Science",The first Assamese newspaper was:,Orunodoi,Jonaki,Bijnan Jeuti,Assam Bani,A,Orunodoi,1.5
ADRE_G3_MOCK_04,25,"General Knowledge, Social Studies & General Science",The Jonaki era of Assamese literature is strongly associated with the emergence of:,Vaishnavite literature,Romantic modern Assamese literature,Ahom chronicles,Persian literature,B,Romantic modern Assamese literature,1.5
ADRE_G3_MOCK_04,26,"General Knowledge, Social Studies & General Science",The Assam Agreement of 1985 used which date as the basis for identifying foreigners for purposes of detection and deletion?,1 January 1951,15 August 1947,25 March 1971,26 January 1950,C,25 March 1971,1.5
ADRE_G3_MOCK_04,27,"General Knowledge, Social Studies & General Science",The Sixth Schedule of the Constitution provides for autonomous administration in tribal areas of Assam and certain other:,Northern states,North-Eastern states,Southern states,Union Territories,B,North-Eastern states,1.5
ADRE_G3_MOCK_04,28,"General Knowledge, Social Studies & General Science",Which of the following is NOT a Sixth Schedule autonomous council area in Assam?,Karbi Anglong,Dima Hasao,Bodoland Territorial Region,Mising Autonomous Council,D,Mising Autonomous Council,1.5
ADRE_G3_MOCK_04,29,"General Knowledge, Social Studies & General Science",The Dibru-Saikhowa landscape is particularly notable for its:,Coral reefs,Wetlands and riverine ecosystem,Alpine meadows,Mangrove forests,B,Wetlands and riverine ecosystem,1.5
ADRE_G3_MOCK_04,30,"General Knowledge, Social Studies & General Science",The 'Dihang-Dibang Biosphere Reserve' is located mainly in:,Arunachal Pradesh,Assam,Nagaland,Meghalaya,A,Arunachal Pradesh,1.5
ADRE_G3_MOCK_04,31,"General Knowledge, Social Studies & General Science",Which ecological pyramid is always upright?,Pyramid of numbers,Pyramid of biomass,Pyramid of energy,All three,C,Pyramid of energy,1.5
ADRE_G3_MOCK_04,32,"General Knowledge, Social Studies & General Science","In a food chain, approximately what fraction of energy is conventionally transferred to the next trophic level?",1%,10%,25%,50%,B,10%,1.5
ADRE_G3_MOCK_04,33,"General Knowledge, Social Studies & General Science",The enzyme responsible for unwinding the DNA double helix during replication is:,DNA ligase,Helicase,Polymerase,Primase,B,Helicase,1.5
ADRE_G3_MOCK_04,34,"General Knowledge, Social Studies & General Science","In Mendelian genetics, a test cross is performed between an individual of unknown genotype and a:",Homozygous dominant,Heterozygous individual,Homozygous recessive,Pure-breeding dominant,C,Homozygous recessive,1.5
ADRE_G3_MOCK_04,35,"General Knowledge, Social Studies & General Science",The functional unit of the nephron where ultrafiltration begins is the:,Loop of Henle,Glomerulus-Bowman's capsule complex,Collecting duct,Distal tubule,B,Glomerulus-Bowman's capsule complex,1.5
ADRE_G3_MOCK_04,36,"General Knowledge, Social Studies & General Science",Which hormone primarily lowers blood glucose concentration?,Glucagon,Insulin,Adrenaline,Cortisol,B,Insulin,1.5
ADRE_G3_MOCK_04,37,"General Knowledge, Social Studies & General Science",The SI unit of electrical resistance is:,Volt,Ampere,Ohm,Coulomb,C,Ohm,1.5
ADRE_G3_MOCK_04,38,"General Knowledge, Social Studies & General Science",A transformer works on the principle of:,Electrolysis,Electromagnetic induction,Photoelectric effect,Thermionic emission,B,Electromagnetic induction,1.5
ADRE_G3_MOCK_04,39,"General Knowledge, Social Studies & General Science",The escape velocity from a planet depends primarily on its:,Mass and radius,Atmospheric pressure only,Rotation period only,Temperature only,A,Mass and radius,1.5
ADRE_G3_MOCK_04,40,"General Knowledge, Social Studies & General Science",Which particle determines the atomic number of an element?,Neutron,Electron,Proton,Photon,C,Proton,1.5
ADRE_G3_MOCK_04,41,General Mathematics,"A sum becomes Rs 13,310 in 3 years at 10% compound interest per annum. The principal is:","Rs 9,000","Rs 10,000","Rs 11,000","Rs 12,000",B,"Rs 10,000",1.5
ADRE_G3_MOCK_04,42,General Mathematics,"A man can complete a work in 12 days and a woman in 18 days. Working together, they complete it in:",6 days,7.2 days,8 days,9 days,B,7.2 days,1.5
ADRE_G3_MOCK_04,43,General Mathematics,"A pipe fills a tank in 12 hours and another empties it in 18 hours. If both are opened together, the tank fills in:",24 hours,30 hours,36 hours,48 hours,C,36 hours,1.5
ADRE_G3_MOCK_04,44,General Mathematics,A train 240 m long crosses a 360 m platform in 30 seconds. Its speed is:,60 km/h,72 km/h,84 km/h,90 km/h,B,72 km/h,1.5
ADRE_G3_MOCK_04,45,General Mathematics,"If the selling price of an article is 125% of its cost price, the profit percentage is:",20%,25%,30%,35%,B,25%,1.5
ADRE_G3_MOCK_04,46,General Mathematics,A shopkeeper gives successive discounts of 20% and 10%. The equivalent single discount is:,28%,30%,32%,18%,A,28%,1.5
ADRE_G3_MOCK_04,47,General Mathematics,"The average of 11 numbers is 24. If the average of the first six is 21 and that of the last six is 27, the middle number is:",18,21,24,27,C,24,1.5
ADRE_G3_MOCK_04,48,General Mathematics,"If x + 1/x = 5, then x² + 1/x² equals:",21,23,25,27,B,23,1.5
ADRE_G3_MOCK_04,49,General Mathematics,The roots of x² - 7x + 12 = 0 are:,2 and 6,3 and 4,1 and 12,-3 and -4,B,3 and 4,1.5
ADRE_G3_MOCK_04,50,General Mathematics,"If 2x - 3y = 7 and x + y = 5, then x is:",18/5,22/5,24/5,26/5,B,22/5,1.5
ADRE_G3_MOCK_04,51,General Mathematics,"The area of a sector of angle 60° in a circle of radius 21 cm, using π = 22/7, is:",154 cm²,231 cm²,330 cm²,441 cm²,B,231 cm²,1.5
ADRE_G3_MOCK_04,52,General Mathematics,A cylinder has radius 7 cm and height 10 cm. Its volume using π = 22/7 is:,770 cm³,"1,400 cm³","1,540 cm³","1,760 cm³",C,"1,540 cm³",1.5
ADRE_G3_MOCK_04,53,General Mathematics,"If the diagonal of a square is 10√2 cm, its area is:",50 cm²,100 cm²,150 cm²,200 cm²,B,100 cm²,1.5
ADRE_G3_MOCK_04,54,General Mathematics,The ratio of the areas of two circles whose radii are in the ratio 3:5 is:,3:5,6:10,9:25,25:9,C,9:25,1.5
ADRE_G3_MOCK_04,55,General Mathematics,"A number is divided into two parts in the ratio 3:5. If the difference between the parts is 44, the number is:",132,154,176,220,C,176,1.5
ADRE_G3_MOCK_04,56,General Mathematics,A person travels 60 km at 30 km/h and another 60 km at 60 km/h. His average speed for the entire journey is:,36 km/h,40 km/h,45 km/h,50 km/h,B,40 km/h,1.5
ADRE_G3_MOCK_04,57,General Mathematics,"If the price of sugar increases by 25%, consumption must decrease by what percentage to keep expenditure unchanged?",15%,20%,25%,30%,B,20%,1.5
ADRE_G3_MOCK_04,58,General Mathematics,"A invests Rs 8,000 for 6 months and B invests Rs 6,000 for 8 months. Their profit-sharing ratio is:",1:1,2:3,3:2,4:3,A,1:1,1.5
ADRE_G3_MOCK_04,59,General Mathematics,"The difference between compound interest and simple interest on Rs 5,000 at 10% p.a. for 2 years is:",Rs 25,Rs 50,Rs 75,Rs 100,B,Rs 50,1.5
ADRE_G3_MOCK_04,60,General Mathematics,"If 20% of a number exceeds 15% of the same number by 45, the number is:",600,750,900,"1,200",C,900,1.5
ADRE_G3_MOCK_04,61,Mental Ability and Logical Reasoning,"Find the next term: 1, 4, 10, 22, 46, ?",82,86,94,96,C,94,1.5
ADRE_G3_MOCK_04,62,Mental Ability and Logical Reasoning,"Find the next term: 3, 8, 18, 38, 78, ?",118,148,158,168,C,158,1.5
ADRE_G3_MOCK_04,63,Mental Ability and Logical Reasoning,"Find the missing term: AZ, CX, EV, GT, ?",IR,HS,IS,JR,A,IR,1.5
ADRE_G3_MOCK_04,64,Mental Ability and Logical Reasoning,"If each letter is shifted two places forward, 'ASSAM' becomes:",CUUCO,CUUCO,BTTBN,CVVCP,A,CUUCO,1.5
ADRE_G3_MOCK_04,65,Mental Ability and Logical Reasoning,A is the son of B. C is the sister of A. D is the mother of B. How is D related to C?,Mother,Grandmother,Aunt,Sister,B,Grandmother,1.5
ADRE_G3_MOCK_04,66,Mental Ability and Logical Reasoning,P is older than Q but younger than R. S is younger than Q but older than T. Who is second youngest?,P,Q,S,T,C,S,1.5
ADRE_G3_MOCK_04,67,Mental Ability and Logical Reasoning,"In a class, Anu ranks 13th from the top and 18th from the bottom. Total students are:",29,30,31,32,B,30,1.5
ADRE_G3_MOCK_04,68,Mental Ability and Logical Reasoning,"If 1 March of a non-leap year is Tuesday, then 1 April will be:",Wednesday,Thursday,Friday,Saturday,C,Friday,1.5
ADRE_G3_MOCK_04,69,Mental Ability and Logical Reasoning,"A man walks 10 m south, turns left and walks 15 m, then turns left and walks 10 m. He is now:",15 m east of starting point,15 m west of starting point,10 m north of starting point,25 m west of starting point,B,15 m west of starting point,1.5
ADRE_G3_MOCK_04,70,Mental Ability and Logical Reasoning,Statements: All A are B. No B is C. Conclusion: No A is C.,Does not follow,Follows,Only if some A exists,Cannot be determined,B,Follows,1.5
ADRE_G3_MOCK_04,71,Mental Ability and Logical Reasoning,Statements: Some doctors are writers. All writers are readers. Conclusion: Some doctors are readers.,Does not follow,Follows,Only if all doctors are writers,None,B,Follows,1.5
ADRE_G3_MOCK_04,72,Mental Ability and Logical Reasoning,Find the odd pair:,"(3, 12)","(4, 20)","(5, 30)","(6, 36)",B,"(4, 20)",1.5
ADRE_G3_MOCK_04,73,Mental Ability and Logical Reasoning,"If ROAD is coded as URDG, the code follows which pattern?",Each letter +1,Each letter +2,Each letter +3,Reverse alphabet,C,Each letter +3,1.5
ADRE_G3_MOCK_04,74,Mental Ability and Logical Reasoning,A cube is painted on all six faces and cut into 27 equal smaller cubes. How many smaller cubes have exactly two painted faces?,8,12,16,24,B,12,1.5
ADRE_G3_MOCK_04,75,Mental Ability and Logical Reasoning,How many cubes in the same 3×3×3 arrangement have no painted face?,0,1,6,8,B,1,1.5
ADRE_G3_MOCK_04,76,Mental Ability and Logical Reasoning,"If 'PAPER' is arranged alphabetically, which letter is third?",A,E,P,R,C,P,1.5
ADRE_G3_MOCK_04,77,Mental Ability and Logical Reasoning,"A, B, C, D and E sit in a row. A is immediately left of B. C is immediately right of D. E is at the extreme left. Which arrangement is possible?",EABCD,EABDC,DEABC,ABCDE,A,EABCD,1.5
ADRE_G3_MOCK_04,78,Mental Ability and Logical Reasoning,A statement is followed by two assumptions: 'Use our bank because we provide the highest interest.' Assumption I: Customers compare interest rates. Assumption II: Customers never care about service quality. Which is implicit?,Only I,Only II,Both I and II,Neither,A,Only I,1.5
ADRE_G3_MOCK_04,79,Mental Ability and Logical Reasoning,"If the day before yesterday was Thursday, what day will it be three days after tomorrow?",Monday,Tuesday,Wednesday,Thursday,C,Wednesday,1.5
ADRE_G3_MOCK_04,80,Mental Ability and Logical Reasoning,"A family consists of P, Q, R, S and T. P is the father of Q. R is the mother of Q. S is the brother of Q. T is the sister of P. How is T related to S?",Mother,Aunt,Sister,Grandmother,B,Aunt,1.5
ADRE_G3_MOCK_04,81,General English,Choose the word closest in meaning to 'ubiquitous'.,Rare,Present everywhere,Ancient,Temporary,B,Present everywhere,1.5
ADRE_G3_MOCK_04,82,General English,Choose the antonym of 'mitigate'.,Reduce,Alleviate,Aggravate,Moderate,C,Aggravate,1.5
ADRE_G3_MOCK_04,83,General English,Choose the correctly spelled word.,Conscientious,Consciencious,Conscientous,Conscentious,A,Conscientious,1.5
ADRE_G3_MOCK_04,84,General English,Choose the correct sentence.,Hardly had he arrived when it started raining.,Hardly he had arrived when it started raining.,Hardly had he arrived than it started raining.,Hardly did he arrived when it started raining.,A,Hardly had he arrived when it started raining.,1.5
ADRE_G3_MOCK_04,85,General English,Fill in the blank: No sooner did the bell ring ___ the students left.,when,than,then,that,B,than,1.5
ADRE_G3_MOCK_04,86,General English,"Choose the correct form: 'If he had worked harder, he ___ the examination.'",will pass,would pass,would have passed,will have passed,C,would have passed,1.5
ADRE_G3_MOCK_04,87,General English,Identify the clause in: 'I know where he lives.',Noun clause,Adjective clause,Adverb clause,Independent clause only,A,Noun clause,1.5
ADRE_G3_MOCK_04,88,General English,Choose the correct passive voice: 'People speak English all over the world.',English is spoken all over the world.,English was spoken all over the world.,English has spoken all over the world.,English speaks all over the world.,A,English is spoken all over the world.,1.5
ADRE_G3_MOCK_04,89,General English,"Choose the correct indirect speech: He said, 'Do you know the answer?'",He asked me if I knew the answer.,He said if I know the answer.,He asked that did I know the answer.,He asked me whether I know the answer yesterday.,A,He asked me if I knew the answer.,1.5
ADRE_G3_MOCK_04,90,General English,The idiom 'to cut corners' means:,To take a shortcut by compromising standards,To cut paper,To turn sharply,To avoid travelling,A,To take a shortcut by compromising standards,1.5
ADRE_G3_MOCK_04,91,General English,Choose the correct meaning of 'call off'.,Announce,Cancel,Continue,Repeat,B,Cancel,1.5
ADRE_G3_MOCK_04,92,General English,Choose the correct word: The principal's decision had a significant ___ on attendance.,affect,effect,effects,affecting,B,effect,1.5
ADRE_G3_MOCK_04,93,General English,Choose the correct sentence.,Each of the candidates have submitted their form.,Each of the candidates has submitted his or her form.,Each candidates has submitted their form.,Each candidate have submitted his form.,B,Each of the candidates has submitted his or her form.,1.5
ADRE_G3_MOCK_04,94,General English,Choose the synonym of 'fastidious'.,Careless,Very particular,Generous,Impulsive,B,Very particular,1.5
ADRE_G3_MOCK_04,95,General English,Choose the antonym of 'benevolent'.,Kind,Charitable,Malevolent,Helpful,C,Malevolent,1.5
ADRE_G3_MOCK_04,96,General English,Choose the one-word substitution: 'A person who speaks many languages.',Linguist,Polyglot,Orator,Philologist,B,Polyglot,1.5
ADRE_G3_MOCK_04,97,General English,Choose the correct spelling.,Entrepreneur,Enterpreneur,Entreprenuer,Entreprenur,A,Entrepreneur,1.5
ADRE_G3_MOCK_04,98,General English,Identify the figure of speech: 'The wind whispered through the trees.',Simile,Metaphor,Personification,Hyperbole,C,Personification,1.5
ADRE_G3_MOCK_04,99,General English,"Choose the correct tense: 'By next June, she ___ here for ten years.'",works,will work,will have worked,has worked,C,will have worked,1.5
ADRE_G3_MOCK_04,100,General English,Choose the correct preposition: 'He is senior ___ me.',than,to,from,with,B,to,1.5
