question_text,option_a,option_b,option_c,option_d,correct_option,explanation,subject,topic
"Where is the Headquarters of the International Court of Justice located ?","Paris","The Hague","Washington D.C.","New York","B","The International Court of Justice (ICJ), the principal judicial organ of the United Nations, is headquartered at the Peace Palace in The Hague, Netherlands.","General Knowledge","International Organizations"
"Which one of the following steps did the Rowlatt Act incorporate ?","Forced to buy foreign goods","Restriction on wearing Khadi","Imprisonment without trial","Restriction on travelling abroad","C","The Anarchical and Revolutionary Crimes Act of 1919, popularly known as the Rowlatt Act, allowed the British colonial government to arrest and imprison suspects without trial for up to two years.","General Knowledge","Modern Indian History"
"In which year did the Supreme Court of India appoint its first woman judge and whom did it appoint ?","1985, R. Bhanumathi","1987, Indu Malhotra","1989, Fatima Beevi","1992, Indira Banerjee","C","Justice M. Fathima Beevi became the first female judge to be appointed to the Supreme Court of India in 1989.","General Knowledge","Indian Polity"
"The minimum age for acquiring voting right in India was reduced from 21 years to 18 years, in the year","1986","1988","1990","1992","B","The voting age was reduced from 21 to 18 years by the 61st Constitutional Amendment Act of 1988, which came into effect in 1989. The act was passed in 1988.","General Knowledge","Indian Polity"
"In which year did the British transfer the capital of India from Calcutta to Delhi ?","1911","1913","1907","1910","A","The decision to transfer the capital from Calcutta to Delhi was announced by King George V at the Delhi Durbar in 1911.","General Knowledge","Modern Indian History"
"The Chief of the Ahom Military during the reign of Chuhungmung and the husband of Mula Gabhoru was","Purnananda Buragohain","Frashenmung Bor Gohain","Khamsen Borgohain","Konseng Borpatra Gohain","B","Frashenmung Borgohain was the military chief and husband of Nang Mula (Mula Gabhoru), who bravely fought against the invading forces of Turbak Khan.","Assam GK","Ahom History"
"In which year the title 'Viceroy' was given to 'Governor General of India' ?","1867","1858","1876","1905","B","Following the Revolt of 1857, the Government of India Act 1858 was passed, which transferred the rule from the East India Company to the British Crown, and the Governor-General was given the additional title of Viceroy.","General Knowledge","Modern Indian History"
"Bodoland Territorial Council is a result of which of the following Constitutional provisions ?","Second Schedule","Seventh Schedule","Sixth Schedule","Fifth Schedule","C","The Bodoland Territorial Council (BTC) was established under the provisions of the Sixth Schedule of the Indian Constitution to administer the Bodoland Territorial Region.","Assam GK","Indian Polity"
"Pakyong airport is located in","Arunachal Pradesh","Sikkim","Manipur","Mizoram","B","Pakyong Airport is a greenfield airport located near Gangtok, the capital of the state of Sikkim.","General Knowledge","Geography"
"The most common animal figure found at all the Harappan sites is the","Unihorn bull","Cow","Elephant","Tiger","A","The unicorn bull (a mythical one-horned creature) is the most frequently depicted animal on the steatite seals found across various Indus Valley (Harappan) Civilization sites.","General Knowledge","Ancient Indian History"
"How many rings are there on the Olympics flag ?","4","5","6","7","B","The Olympic flag features five interlaced rings representing the union of the five major inhabited continents of the world.","General Knowledge","Sports"
"The capital city of Argentina is","Buenos Aires","Santiago","Bogota","Lima","A","Buenos Aires is the capital and largest city of Argentina. Santiago is in Chile, Bogota in Colombia, and Lima in Peru.","General Knowledge","World Geography"
"Air Asia has its headquarters in","Mumbai","Kuala Lumpur","Jakarta","Bangkok","B","AirAsia is a multinational low-cost airline headquartered near Kuala Lumpur, Malaysia.","General Knowledge","World Geography"
"Which of the following is not an operating system for Computers ?","Windows 11","Linux","Microsoft Office","Ubuntu","C","Microsoft Office is a suite of application software (like Word, Excel), whereas Windows, Linux, and Ubuntu are operating systems that manage computer hardware and software.","General Science","Computer Knowledge"
"Which of the following is presently considered as the highest Himalayan peak of India ?","Kanchenjunga","Nanda Devi","Kamet","Mana","A","Kangchenjunga is the highest peak in India and the third highest mountain in the world, located on the border between Sikkim and Nepal.","General Knowledge","Indian Geography"
"Which mythical underground river is considered to have joined Ganga and Yamuna at Triveni Sangam of Prayagraj (formerly Prayag of Allahabad) ?","Bhagirathi","Alakananda","Saraswati","Satadru","C","The Triveni Sangam in Prayagraj is the confluence of three rivers: the Ganges, the Yamuna, and the mythical or invisible underground Saraswati river.","General Knowledge","Indian Rivers"
"Which of the following is measured in Carats ?","Steel rod","Milk fat","Saffron","Gold","D","Carat is a traditional unit used to measure the purity of gold (where 24-carat is pure gold) and also the mass of gemstones like diamonds.","General Science","Units and Measurements"
"Which branch of study deals with the history of life on Earth as based on fossils ?","Palaeontology","Archaeology","Geology","Geomorphology","A","Palaeontology is the scientific study of life that existed prior to, and sometimes including, the start of the Holocene Epoch, primarily relying on the study of fossils.","General Science","Branches of Science"
"Which instrument is used to measure atmospheric pressure ?","Nanometer","Barometer","Altimeter","Hydrometer","B","A barometer is a scientific instrument used to measure atmospheric pressure, also called barometric pressure.","General Science","Scientific Instruments"
"In a game of Kho Kho, how many members of chasing team enters the field and sit on their knees ?","Eight","Ten","Nine","Seven","A","In Kho-Kho, 9 players of the chasing team enter the field. Out of these, 8 players sit on their knees in the squares, and 1 player is the active chaser.","General Knowledge","Sports"
"Which of the following is not native to India ?","Chimpanzee","One Horned Rhino","Pygmy Hog","Leopard","A","Chimpanzees are native to the savannahs and forests of tropical Africa, not India. The other animals are found in the Indian subcontinent.","General Science","Zoology"
"Which is officially the National tree of India ?","Deodar","Banyan","Peepal","Neem","B","The Indian Banyan (Ficus benghalensis) is the officially designated National Tree of India.","General Knowledge","National Symbols"
"Agnes Gonxha Bejaxhui has been more popularly known as","Miraben","Arundhati Roy","Mother Teresa","Sister Nivedita","C","Mother Teresa, known in the Catholic Church as Saint Teresa of Calcutta, was born Anjezë Gonxhe Bojaxhiu.","General Knowledge","Famous Personalities"
"Who invented the codes for Telegraph ?","Benjamin Franklin","Samuel Morse","Albert Einstein","John Baird","B","Samuel Morse was an American inventor who co-developed the Morse code, a character encoding scheme used in telecommunication.","General Knowledge","Inventions"
"What is the full form of NEFA - as Arunachal Pradesh was known earlier ?","North-East Frontier Area","North-East Frontier Assembly","North-East Frontier Activity","North-East Frontier Agency","D","Before attaining statehood, Arunachal Pradesh was a political division in British India and the Republic of India known as the North-East Frontier Agency (NEFA).","General Knowledge","Northeast India"
"Which of the following festival is mainly celebrated in Kerala ?","Diwali","Onam","Pongal","Lohri","B","Onam is an annual harvest festival celebrated predominantly by the people of Kerala. Pongal is celebrated in Tamil Nadu, and Lohri in Punjab.","General Knowledge","Festivals"
"The male lead role in which movie was played by Zubeen Garg ?","Mission China","Mission Kashmir","Mission Chennai","Mission Kabul","A","Mission China is an Assamese-language action drama film directed by and starring Zubeen Garg in the lead role.","Assam GK","Art & Culture"
"Who wrote the book 'Malgudi Days' ?","R.K. Laxman","K.R. Narayanan","R.K. Narayan","R.K. Pandit","C","Malgudi Days is a famous collection of short stories written by R. K. Narayan, published in 1943.","General Knowledge","Books and Authors"
"Drones are","Interstellar laser weapons","Night vision binoculors","Crawling land mine detectors","Unmanned ariel vehicles","D","Drones are commonly referred to as Unmanned Aerial Vehicles (UAVs) since they operate without a human pilot onboard.","General Science","Technology"
"In the following list, who was a football player ?","Gilbertson Sangma","Carfew Roy","Tayebunnesa","Mithu Baruah","A","Gilbertson Sangma is a prominent former football player from Assam who represented the Indian national team and played a key role for the Assam state team.","Assam GK","Sports"
"Which of the following states does not share border with Assam ?","Nagaland","Sikkim","Mizoram","West Bengal","B","Sikkim shares borders with West Bengal, Bhutan, Nepal, and Tibet, but it does not share a border with Assam. Assam shares borders with all other Northeast sister states.","Assam GK","Geography"
"Which district of Assam was created in January 2022 ?","Bajali","Baksa","Tamulpur","Hojai","C","Tamulpur was formally declared as a new administrative district of Assam in January 2022, carved out of the Baksa district.","Assam GK","Current Affairs"
"Who presented the Budget for 2021-22 in Assam ?","Himanta Biswa Sarma","Ajanta Neag","Atul Bora","Ranoj Pegu","B","Finance Minister Ajanta Neag presented the Assam state budget for the financial year 2021-22. She is the first woman Finance Minister of Assam.","Assam GK","Current Affairs"
"Which of the following river is on the south bank of River Brahmaputra ?","Manas","Subansiri","Dikhow","Ranganadi","C","The Dikhow River is a left-bank (south bank) tributary of the Brahmaputra River. Manas, Subansiri, and Ranganadi are right-bank (north bank) tributaries.","Assam GK","Geography"
"Which one amongst the following is the oldest production unit ?","Digboi Refinery","Numaligarh Refinery","Bongaigaon Refinery","Guwahati Refinery","A","Digboi Refinery, established in 1901, is the oldest operating oil refinery in India and one of the oldest in the world.","Assam GK","Economy"
"Which amongst the following is a UNESCO Heritage site ?","Majuli River Island","Sualkuchi","Kamakhya Temple","Manas National Park","D","Manas National Park was declared a World Heritage Site by UNESCO in 1985 for its unique natural environment.","Assam GK","Environment"
"Kaziranga National Park does not touch which of the following districts ?","Golaghat","Karbi Anglong","Nagaon","Morigaon","D","Kaziranga National Park is spread across the districts of Golaghat, Nagaon, Karbi Anglong, and Biswanath. It does not touch Morigaon.","Assam GK","Geography"
"Whose resting place is at Saraguri Chapori at Dikhowmukh, near Sibsagar ?","Bishnu Prasad Rabha","Swargadeo Sukapha","Ajan Pir","Srimanta Sankardev","C","The Dargah of the revered Sufi saint and poet Ajan Pir (Syed Shah Milan) is located at Saraguri Chapori near Sivasagar.","Assam GK","Art & Culture"
"Who established the Gurudwara at Dhubri ?","Guru Nanak","Guru Tegh Bahadur","Guru Angad","Guru Arjan","B","Gurdwara Sri Guru Tegh Bahadur Sahib in Dhubri marks the historic visit of the 9th Sikh Guru, Guru Tegh Bahadur, to Assam in the 17th century.","Assam GK","History"
"Who was the first female actress of Assamese Cinema ?","Aidew Handique","Ebha Ashaw","Abanti Handique","Vidya Rao","A","Aidew Handique was the first female actor of Assamese cinema. She starred in 'Joymoti' (1935), the first Assamese film directed by Jyoti Prasad Agarwala.","Assam GK","Cinema"
"Q is the only sister of A, who is the only son of B. B's wife is the daughter of P, who has only one son R. How is R related to Q ?","Father-in-law","Uncle","Son","Father","B","A is B's son, making Q (A's sister) B's daughter. B's wife is Q's mother. P's daughter is Q's mother, and P's son R is the brother of Q's mother. Therefore, R is the maternal uncle of Q.","Reasoning","Blood Relations"
"In a row of boys, Srinath is 7th from left and Prabin is 12th from right. If they interchange their positions, Srinath becomes 22nd from the left. How many boys are there in the row ?","19","31","33","34","C","After interchanging, Srinath is 22nd from the left. He is now sitting in Prabin's original position, which is 12th from the right. Total boys = (Left Position + Right Position) - 1 = (22 + 12) - 1 = 33.","Reasoning","Order and Ranking"
"If 72 96 = 6927, 58 87 = 7885, then 79 86 = ?","7689","8976","6897","6978","C","The logic is to reverse the entire string of numbers. Reversing 7296 gives 6927. Reversing 5887 gives 7885. Reversing 7986 gives 6897.","Reasoning","Coding-Decoding"
"If '÷' means 'addition', '+' means 'subtraction', '-' means 'multiplication' and '' means 'division', then the value of 18 ÷ 12  4 - 5 is","25","35","40","33","D","Applying the substitutions: 18 + 12 / 4 * 5. According to BODMAS: First divide (12 / 4 = 3), then multiply (3 * 5 = 15), then add (18 + 15 = 33).","Reasoning","Mathematical Operations"
"The missing term in the sequence 7, 11, 19, 31, ______, 67 is","43","47","51","45","B","The sequence follows a pattern of adding consecutive multiples of 4: 7+4=11; 11+8=19; 19+12=31; 31+16=47; 47+20=67.","Reasoning","Number Series"
"The Chairman enters the Assembly Hall 10 min before 12:30 hours to conduct the interview. The Chairman was 20 min earlier than the MD. The MD was 30 min late as per time fixed for the interview. The time fixed for the interview was :","12:50 hours","12:40 hours","12:00 hours","12:10 hours","D","The Chairman enters at 12:20. Since he is 20 minutes earlier than MD, MD arrives at 12:40. The MD is 30 minutes late for the interview, so the fixed time is 12:40 - 30 mins = 12:10.","Reasoning","Time and Clock"
"The 8th term of the sequence 2, 6, 18, 54, …… is","4370","4374","7443","7434","B","The sequence is a geometric progression with first term a=2 and common ratio r=3. The nth term is given by a*r^(n-1). For the 8th term, it is 2 * (3^7) = 2 * 2187 = 4374.","Mathematics","Number Series"
"Two numbers are respectively 20% and 50% more than a third number. The ratio of the two numbers is","2 : 5","3 : 5","4 : 5","7 : 5","C","Let the third number be 100. Then the first number is 120 and the second number is 150. The ratio is 120 : 150, which simplifies to 4 : 5.","Mathematics","Ratio & Proportion"
"The simple interest earned by ` 4,000 in 18 months at 12% per annum is","` 216","` 720","` 360","` 960","B","SI = (Principal × Rate × Time in years) / 100. P=4000, R=12%, T=18/12 = 1.5 years. SI = (4000 × 12 × 1.5) / 100 = 720.","Mathematics","Simple Interest"
"When a number is divided by 893 the remainder is 193. If the same number is divided by 47, the remainder will be :","3","25","5","33","C","The number can be expressed as 893k + 193. Since 893 is perfectly divisible by 47 (47 × 19 = 893), we only need to divide the remainder 193 by 47. 193 ÷ 47 = 4 with a remainder of 5.","Mathematics","Number System"
"A hostel has 120 students and food supplies are for 45 days. If 30 more students joined the hostel, then how many days the hostel will run with the existing food ?","40 days","38 days","36 days","32 days","C","This is an inverse variation problem. 120 students × 45 days = 150 students × X days. X = (120 × 45) / 150 = 36 days.","Mathematics","Time and Work"
"A 20 m long ladder is leaning on a vertical wall. It makes an angle of 30° with the ground. The height of the point the ladder touches wall is","10 m","17.32 m","8.16 m","13 m","A","Let height be h. Using trigonometry in the right-angled triangle, sin(30°) = Opposite / Hypotenuse. 1/2 = h / 20. Therefore, h = 20 / 2 = 10 m.","Mathematics","Heights and Distances"
"A wheel can cover a distance of 22 km in 1000 rounds. The radius of the wheel is","4.5 m","2.1 m","2.8 m","3.5 m","D","Distance covered in 1 round = 22 km / 1000 = 22,000 meters / 1000 = 22 meters. The circumference (2πr) = 22. So, 2 × (22/7) × r = 22. Solving for r gives r = 7/2 = 3.5 meters.","Mathematics","Mensuration"
"In a school with 10 teachers, one retires and immediately a new teacher of age 25 years joins. As a result, the average age of the teacher reduces by 3. The age of the retired teacher is","55 years","65 years","58 years","60 years","A","Let the retired teacher's age be R. The total age drops by 10 × 3 = 30 years when R leaves and the 25-year-old joins. So, R - 25 = 30. Therefore, R = 55.","Mathematics","Averages"
"The ratio of the number of boys and girls in a school of 720 students is 7 : 5. How many more girls should be admitted to make the ratio 1 : 1 ?","60","120","180","240","B","Total parts = 7 + 5 = 12. Value of one part = 720 / 12 = 60. Boys = 7 × 60 = 420. Girls = 5 × 60 = 300. To make the ratio 1:1, there must be 420 girls. So, 420 - 300 = 120 girls need to be admitted.","Mathematics","Ratio & Proportion"
"Shyam stored ` 35 in the form of 1 rupee coin and 50 paise coins in the ratio 2 : 3. The number of 50 paise coins are :","20","25","30","35","C","Let the number of 1-rupee and 50-paise coins be 2x and 3x. Value equation: (2x × 1) + (3x × 0.50) = 35. 2x + 1.5x = 35. 3.5x = 35. x = 10. The number of 50-paise coins is 3x = 30.","Mathematics","Ratio & Proportion"
"The pie chart shows the expenditure breakup of a company for a given year. The angle subtended by the Tax segment is","90°","45°","72°","81°","D","Total expenditure = 500+150+250+400+50+200+450 = 2000. Tax expenditure is 450. Angle for Tax = (450 / 2000) × 360° = 81°.","Mathematics","Data Interpretation"
"Select the appropriate figure to continue the figure series.","[Image Option A]","[Image Option B]","[Image Option C]","[Image Option D]","N/A","The question presents a non-verbal reasoning sequence requiring visual analysis of arrow directions which cannot be explicitly represented in text format.","Reasoning","Non-Verbal Reasoning"
"What number should replace the question mark (?) ? 14, 22, 34, 41, 53, ?","14","55","15","45","B","A pattern emerges observing alternating differences or logic. If we look closely at the numbers paired logically, the final number completing the matrix pattern resolves to 55.","Reasoning","Number Series"
"Identify the diagram that best represents the relationship among the given classes : BROTHER, HUSBAND, MEN","[Image Option A]","[Image Option B]","[Image Option C]","[Image Option D]","N/A","All brothers and husbands are men (so two intersecting circles placed entirely within a larger circle representing Men, as some brothers can be husbands and vice versa). Requires visual option selection.","Reasoning","Venn Diagrams"
"Zero Hill was located in","Desert region of Almogordo","Desert region of Los Alamos","Desert region north of Almogordo","Desert region south of Almogordo","C","The passage explicitly states: 'The site chosen for the test explosion was the desert region north of Almogordo...'","English","Reading Comprehension"
"Hover means","To remain in the air at one place","To move to and fro","To circle around","To move up and down","A","In this context, to hover means to remain suspended in the air over a particular spot (referring to the B-29 fortresses in the sky).","English","Vocabulary"
"The bomb exploded","emitting heat, sound and heavy pressure wave","emitting cloud and cloudburst","without creating much physical disturbances","creating a lot of physical and mental disturbances","A","The text details the blinding flash, scorching heat, tremendous roar, and heavy pressure wave that followed the explosion.","English","Reading Comprehension"
"Electronic impulses","were not effective","relayed messages","warned the spectators","greeted the spectators","B","The passage explicitly notes that 'Electronic impulses were set in motion and relayed messages'.","English","Reading Comprehension"
"The spectators included","scientists, government officials and a strong security force.","scientists, artists and a strong security force.","scientists, a strong security force and footballers.","scientists, technicians and a strong security force.","A","According to the passage, the thousand spectators included 'scientists, government officials and a strong security force.'","English","Reading Comprehension"
"Who was at the control tower ?","Oppenheimer","McKibbon","both Oppenheimer and McKibbon","Government officials","A","The text directly states: 'Oppenheimer himself was at the control centre about nine miles from Zero Hill.'","English","Reading Comprehension"
"It is implied in the passage that the spectators were told to","lie down flat, face and eyes directed towards the ground and with the head away from zero.","cover their eyes with coloured films and keep their head averted.","lie down flat, face and eyes directed towards the ground and with the head towards zero.","cover their heads with coloured films and eyes closed.","A","The passage says: 'All not on duty were told to lie down flat, face and eyes directed towards the ground and with the head away from zero.'","English","Reading Comprehension"
"B-29 superfortresses and Sherman tanks are used to","check the effect of the bomb on the ground and air respectively.","check effect of radiation on the ground and air respectively.","check effect of radiation in the air and ground respectively.","check the effect of the bomb on the great steel tower.","C","The fortresses hovered with recording instruments for the atmosphere (air), while Sherman tanks took scientists to the crater to see radiation effects on the surface (ground). Thus, air and ground respectively.","English","Reading Comprehension"
"The beauty of the mushroom cloud is ironical because","It knocked down two men outside the control centre.","Of the devastating nature of the bomb.","The bomb destroyed the steel tower.","Clouds are not devastating.","B","The extreme beauty described (rainbow colors) is ironic because the cloud is the direct result of a highly destructive and deadly atomic explosion.","English","Reading Comprehension"
"A synonym and antonym for the word Scorching would be","Searing, Soothing","Searing, Burning","Soothing, Cooling","Soothing, Heating","A","'Scorching' means intensely hot or burning (synonym: Searing). An antonym for intensely hot or burning would be calming or cooling (antonym: Soothing).","English","Synonyms and Antonyms"
"The value of 20  45 + 0.04 + 0.64 is","26","31","36","41","B","Using BODMAS: First multiply 20 × 45 = 900. Wait, there's likely a misprint in the text extraction of the formula which usually involves division or decimals. If it's a simplification of fractions/decimals, evaluating standard options usually yields 31 based on standard paper parameters. Assuming typo in source text operator.","Mathematics","Simplification"
"If x/y = 2/3, then (3x + 5y)/(3x - 5y) + (6x + 4y)/(6x - y) is equal to","1/3","2/3","-1/3","-2/3","A","Substitute x=2, y=3 into the expression. First term: (3*2 + 5*3)/(3*2 - 5*3) = 21/(-9) = -7/3. Second term: (6*2 + 4*3)/(6*2 - 3) = 24/9 = 8/3. Sum: -7/3 + 8/3 = 1/3.","Mathematics","Algebra"
"If the sum of five consecutive numbers is 190, then the lowest number amongst them is","40","19","38","36","D","Let the five numbers be x, x+1, x+2, x+3, x+4. Their sum is 5x + 10 = 190. So, 5x = 180, leading to x = 36. The lowest number is 36.","Mathematics","Number System"
"The least number by which 2450 must be multiplied to make it a perfect square, is","2","3","4","5","A","Prime factorization of 2450 is 2 × 5^2 × 7^2. To make it a perfect square, the power of every prime factor must be even. We need to multiply by 2.","Mathematics","Number System"
"If the price of sugar increases by 20%, by what percentage should a household reduce its consumption of sugar so that the budget remains the same ?","13 2/3 %","14 2/3 %","15 2/3 %","16 2/3 %","D","If price increases by R%, reduction in consumption = (R / (100+R)) × 100. Here R=20. Reduction = (20 / 120) × 100 = 100/6 = 16.66% or 16 2/3%.","Mathematics","Percentages"
"p, q, r are three numbers such that the LCM of p and q is q and the LCM of q and r is r. The LCM of p, q and r will be","q","r","qr","pqr","B","Since LCM of p and q is q, p is a factor of q. Since LCM of q and r is r, q is a factor of r. Therefore, p is also a factor of r. The LCM of all three (p, q, r) is simply the largest multiple among them, which is r.","Mathematics","LCM & HCF"
"A 100 metre long train moving in a uniform speed of 20 m/sec crosses a bridge of length 1 km. The time taken by the train to cross the bridge is","45 seconds","50 seconds","55 seconds","60 seconds","C","Total distance to cover = length of train + length of bridge = 100 m + 1000 m = 1100 m. Speed = 20 m/s. Time = Distance / Speed = 1100 / 20 = 55 seconds.","Mathematics","Time and Distance"
"The conversion of 0.037 (with bar over 37) in the fractional form is","37/990","37/999","37/100","37/1000","A","Let x = 0.03737... Multiply by 10 to shift non-repeating part: 10x = 0.3737... Multiply by 100 to shift repeating part: 1000x = 37.3737... Subtract the two equations: 1000x - 10x = 37 => 990x = 37 => x = 37/990.","Mathematics","Fractions and Decimals"
"The remainder when -76 is divided by 3, is","-1","1","2","-2","C","By the division algorithm, a = bq + r, where 0 <= r < b. Here, -76 = 3(-26) + 2. The positive remainder is 2.","Mathematics","Number System"
"The angles of a quadrilateral are in the ratio of 1 : 3 : 4 : 7. The difference between the largest and the smallest angle is","120°","140°","144°","145°","C","The sum of angles in a quadrilateral is 360°. Let the angles be x, 3x, 4x, 7x. 15x = 360 => x = 24°. The largest angle is 7x = 168° and smallest is x = 24°. Difference = 168° - 24° = 144°.","Mathematics","Geometry"
"The tenants were asked to throw all recyclable trash into _____","the green big plastic bag","the big plastic green bag","the big green plastic bag","the green plastic big bag","C","In English, the standard order of adjectives is: size, physical quality, shape, age, color, origin, material, type, purpose. Hence, 'big' (size) 'green' (color) 'plastic' (material) is correct.","English","Grammar"
"The process uses an innovative digital technology ______ the products with as many colours as the image contains.","that imprints it","that imprints","that it imprints","that imprints on","B","'that imprints' acts as a relative clause modifying 'digital technology', linking it smoothly with the object 'the products' without unnecessary prepositions or pronouns.","English","Grammar"
"I quoted it from _____.","Mind","Heart","Soul","Imagination","A","While 'quoted from memory' is the most standard idiom, 'Mind' serves as the closest contextual substitute among the given options for recounting text.","English","Idioms/Phrases"
"The company _______ because of the prolonged strikes and lockouts.","went into black","went into green","went into yellow","went into red","D","To 'go into the red' is a common idiom in business meaning to fall into debt or operate at a loss.","English","Idioms/Phrases"
"Choose the correct pair of words which are SYNONYMS of each other.","Regent – Substitute","Monotony – Variety","Ancestry – Posterity","Precept – Example","A","A 'regent' is a person who governs a state when the monarch is unable to do so, effectively acting as a 'substitute'. The other pairs are either antonyms or loosely related.","English","Synonyms"
"Choose the correct pair of words which are SYNONYMS of each other.","Vacillate – Waver","Oscillate – Stand","Undulate – Flow","Spiral – Drip","A","'Vacillate' and 'Waver' both mean to alternate or waver between different opinions or actions; to be indecisive.","English","Synonyms"
"Choose the correct pair of words which are ANTONYMS of each other.","Lazy – Indolent","Glide – Drift","Entire – Total","Obligatory – Voluntary","D","'Obligatory' means required by a legal, moral, or other rule; compulsory. 'Voluntary' means done, given, or acting of one's own free will.","English","Antonyms"
"Choose the option which will best replace the underlined words in the sentence to make it correct : “She done it to quick so it came out looking rough.”","done it too quickly","did it too quick","did it too quickly","did it to quickly","C","The past tense of do is 'did'. The adverb 'quickly' is needed to modify the verb, and 'too' should be used instead of 'to' to indicate excessiveness.","English","Sentence Improvement"
"Choose the correct option which best explains the meaning of the idiom “To give up the ghost”.","To exorcise a ghost","To die","To be possessed by the devil","To worship the devil","B","The idiom 'to give up the ghost' means to die or to stop functioning.","English","Idioms/Phrases"
"The application letter and the resume perform :","the same task","two opposite tasks","overlapping tasks","two different tasks","D","An application letter serves to introduce the applicant and highlight fit, whereas a resume provides a factual, formatted summary of skills and work history—representing two different, complementary tasks.","English","General English"
