"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic / subtopic tag"
"The first Assamese writer to receive the Jnanpeeth Award was","Mamoni Roisom Goswami","Yese Dorje Thongsi","Bhabendra Nath Saikia","Birendra Kumar Bhattacharya","Option D","Birendra Kumar Bhattacharya received the Jnanpith Award in 1979 for his novel 'Mrityunjay'.[cite: 1]","Assam GK","Literature / Awards"
"In 1942 Quit India Movement, the British Police shot dead Kanaklata and Mukunda Kakati at","Gohpur","Tezpur","Dhekiajuli","Ahotguri","Option A","Kanaklata Barua and Mukunda Kakati were shot dead by the British police at Gohpur Police Station in 1942.[cite: 1]","Assam GK","Freedom Struggle"
"The word that would correctly fill the gap in “Oxomiya Bhaxa Unnati ______ Xobha” is","Xadhini","Bohumukhi","Koron","Bistaron","Option A","The complete name of the literary organization formed in 1888 is 'Asamiya Bhasar Unnati Sadhini Sabha'.[cite: 1]","Assam GK","Literature / History"
"Who wrote Saptakanda Ramayana, a translation of Valmiki Ramayana in Assamese ?","Ram Saraswati","Ananta Kandali","Madhav Kandali","Srimanta Sankardeva","Option C","Madhava Kandali translated the Valmiki Ramayana into Assamese as Saptakanda Ramayana in the 14th century.[cite: 1]","Assam GK","Literature"
"Where is the Assam State Zoo cum Botanical Garden located ?","Tezpur","Kaziranga","Guwahati","Goalpara","Option C","The Assam State Zoo cum Botanical Garden is located in the Hengrabari Reserved Forest area in Guwahati.[cite: 1]","Assam GK","Parks & Wildlife"
"Which of the following is not in the life-cycle of a butterfly ?","Caterpillar","Eggs","Pupa","Tadpole","Option D","A tadpole is the larval stage in the life cycle of an amphibian, particularly a frog, not a butterfly.[cite: 1]","General Science","Biology / Life Cycles"
"The first Assamese film to be awarded the Best Feature Film at the National Film Awards was","Village Rockstars","Aranya","Halodhiya Choraye Baodhan Khai","Dr. Bezbarua","Option C","Jahnu Barua's 'Halodhia Choraye Baodhan Khai' won the National Film Award for Best Feature Film in 1987.[cite: 1]","Assam GK","Cinema / Awards"
"The Toklai Tea Research Institute is in which city ?","Dibrugarh","Jorhat","Sibsagar","Bishwanath Chariali","Option B","Tocklai Tea Research Institute, the oldest and largest tea research station in the world, is located in Jorhat.[cite: 1]","Assam GK","Economy / Institutions"
"The only Sainik School of Assam is at","Silchar","Bongaigaon","Tinsukia","Goalpara","Option D","Sainik School Goalpara was established in 1964 and is the only Sainik School in Assam.[cite: 1]","Assam GK","Education"
"In which district is the Numaligarh Refinery located ?","Golaghat","Jorhat","Karbi Anglong","Nagaon","Option A","Numaligarh Refinery is located at Morangi in Golaghat district of Assam.[cite: 1]","Assam GK","Industry / Economy"
"Which planet of the solar system lies between Earth and Jupiter ?","Mars","Venus","Saturn","Mercury","Option A","The order of planets from the sun is Mercury, Venus, Earth, Mars, Jupiter. Thus, Mars lies between Earth and Jupiter.[cite: 1]","General Science","Astronomy / Solar System"
"Who designed the National Flag of India ?","Mohandas Karamchand Gandhi","Pingali Venkayya","Sarojini Naidu","Rabindranath Tagore","Option B","Pingali Venkayya designed the Indian National Flag.[cite: 1]","General Knowledge","Indian History"
"Which vitamin is prominently present in lemon and Amla ?","Vitamin C","Vitamin K","Vitamin B","Vitamin D","Option A","Citrus fruits like lemons and gooseberries (Amla) are rich sources of Vitamin C (ascorbic acid).[cite: 1]","General Science","Biology / Nutrition"
"Who was the first Indian born woman to go to space ?","Kiran Shaw","Kiran Bedi","Kalpana Chawla","Kalpana Saxena","Option C","Kalpana Chawla was the first woman of Indian origin to go to space, flying on the Space Shuttle Columbia in 1997.[cite: 1]","General Knowledge","Science & Tech / Firsts in India"
"Who won the Men’s Singles at French Open 2022 ?","Roger Federer","Stefanos Tsitsipas","Novak Djokovic","Rafael Nadal","Option D","Rafael Nadal defeated Casper Ruud to win the Men's Singles title at the 2022 French Open.[cite: 1]","General Knowledge","Sports / Tennis"
"What is the capital of Jharkhand ?","Raipur","Ranchi","Dehradun","Gangtok","Option B","Ranchi is the capital city of the Indian state of Jharkhand.[cite: 1]","General Knowledge","Indian Geography"
"The place associated with gold mine in India is","Jaduguda","Kolar","Ankleshwar","Kalahandi","Option B","Kolar Gold Fields in Karnataka is famously associated with gold mining in India.[cite: 1]","General Knowledge","Geography / Minerals"
"In which place did India test its first nuclear device ?","Balasore","Trombay","Sriharikota","Pokhran","Option D","India's first nuclear test, codenamed Smiling Buddha, was conducted at Pokhran in Rajasthan in 1974.[cite: 1]","General Knowledge","Indian History / Science & Tech"
"What is the distance between the two sets of wickets on a cricket pitch ?","20 yards","32 yards","22 yards","25 yards","Option C","A standard cricket pitch is 22 yards (20.12 meters) long between the wickets.[cite: 1]","General Knowledge","Sports"
"As on 1st of January, 2022, who is the President of the United States of America ?","Bill Clinton","Barack Obama","Donald Trump","Joe Biden","Option D","Joe Biden assumed office as the 46th President of the United States on January 20, 2021.[cite: 1]","General Knowledge","World Politics"
"Greek Mathematician Pythagoras is known for","Distance between Earth and Sun","Value of Pi","Relationship between the sides of a Right angled triangle","Area of a circle","Option C","Pythagoras is famous for the Pythagorean theorem, which states a^2 + b^2 = c^2 for a right-angled triangle.[cite: 1]","Mathematics","Geometry / History of Math"
"Which of the following festivals is related to the film industry ?","Rouketopolemos","Octoberfest","Woodstock festival","Cannes festival","Option D","The Cannes Festival is an annual film festival held in Cannes, France, which previews new films of all genres from around the world.[cite: 1]","General Knowledge","Cinema / Festivals"
"Goitre is caused due to the lack of which of the following in our food ?","Calcium","Iodine","Sodium","Iron","Option B","Goitre is an enlargement of the thyroid gland, typically caused by a deficiency of iodine in the diet.[cite: 1]","General Science","Biology / Human Diseases"
"Who was the father of Lata Mangeshkar ?","Dinanath Mangeshkar","Hridoynath Mangeshkar","Jitendra Mangeshkar","Mani Prasad Mangeshkar","Option A","Deenanath Mangeshkar was a Marathi theatre actor, a renowned Natya Sangeet musician and Hindustani classical vocalist, and the father of Lata Mangeshkar.[cite: 1]","General Knowledge","Art & Culture"
"The first Assamese woman - a poet and author – to win Padma Shree award was","Chandraprabha Saikiani","Nalini Bala Devi","Mamoni Roisom Goswami","Nirmal Prabha Bardoloi","Option B","Nalini Bala Devi was a noted Indian writer and poet of Assamese literature, who received the Padma Shri in 1957.[cite: 1]","Assam GK","Literature / Awards"
"Which state of India did the Chipko Movement originate in?","Uttarakhand","Himachal Pradesh","Haryana","Sikkim","Option A","The Chipko movement was a forest conservation movement that began in 1973 in Uttarakhand (then part of Uttar Pradesh).[cite: 1]","General Knowledge","Environment / Indian History"
"Which among the following criteria need not to be fulfilled to become a Member of Parliament in India ?","Must be a citizen of India.","Must not be less than 25 years of age.","Must be a voter in any constituency in India.","Must pass class 10 level of examination.","Option D","The Constitution of India does not prescribe any educational qualification (like passing Class 10) to become a Member of Parliament.[cite: 1]","General Knowledge","Indian Polity"
"Which Emperor built the (popularly known) Grand Trunk Road of India ?","Akbar","Jahangir","Qutubuddin Aibak","Sher Shah Suri","Option D","Sher Shah Suri rebuilt and modernized the ancient route connecting Central Asia and the Indian subcontinent, which is now known as the Grand Trunk Road.[cite: 1]","General Knowledge","Indian History"
"Which among the following is NOT included in the Eighth schedule, as per the Constitution of India ?","Santhali","Bodo","Maithili","Karbi","Option D","Karbi is not listed in the 8th Schedule of the Indian Constitution, while Santhali, Bodo, and Maithili were added by the 92nd Amendment Act of 2003.[cite: 1]","General Knowledge","Indian Polity"
"In which year was the Armed Forces (Special Powers) Act (AFSPA) was passed ?","1958","1952","1960","1971","Option A","The Armed Forces (Special Powers) Act was passed by the Parliament of India on September 11, 1958.[cite: 1]","General Knowledge","Indian Polity / History"
"Which Article of Indian Constitution grants special status to the states of North East India ?","Article 14","Article 377","Article 371","Article 254","Option C","Article 371 (and its subsequent clauses like 371A, 371B, etc.) grants special provisions to some states of Northeast India.[cite: 1]","General Knowledge","Indian Polity"
"Where did Jawahar Lal Nehru wrote the book ‘Discovery of India’ ?","Pune Central Jail","Yerwada Jail","Thane Jail","Ahmednagar Fort","Option D","Jawaharlal Nehru wrote 'The Discovery of India' during his imprisonment at Ahmednagar Fort camp from 1942 to 1945.[cite: 1]","General Knowledge","Books & Authors / Indian History"
"Which among the following places has received the GI tag for its Litchi ?","Tezpur","Jorhat","Lakhimpur","Shillong","Option A","Tezpur Litchi from Assam was granted the Geographical Indication (GI) tag for its excellent quality and distinct flavor.[cite: 1]","Assam GK","Agriculture / GI Tags"
"Who amongst the following is known for his reforms in Indian Education System ?","Lord Clive Dalhousie","Lord Cornwallis","Lord Mountbatten","Lord Macaulay","Option D","Thomas Babington Macaulay (Lord Macaulay) is credited with introducing the English education system in India through his famous 'Minute on Indian Education' in 1835.[cite: 1]","General Knowledge","Modern Indian History"
"Who was the first Editor of the Assamese magazine Orunodoi ?","Dr. Nathan Brown","Hem Chandra Baruah","Oliver Cutter","Anandaram Dhekial Phukan","Option A","Dr. Nathan Brown was the first editor of 'Orunodoi', the first Assamese-language magazine published in 1846.[cite: 1]","Assam GK","Literature / History"
"The streamlining of Land Revenue related services scheme of the Government of Assam is better known as _______.","Arunudoi","Basundhara","Sarothi","Arundhati","Option B","Mission Basundhara was launched by the Government of Assam to streamline land revenue services and ensure digital land records.[cite: 1]","Assam GK","Government Schemes"
"What is the form of the One Act Play, made popular by Srimanta Sankardev known as ?","Ankiya Nat","Yakshagana","Tamasha","Bhramyaman","Option A","Ankiya Nat is a genre of one-act plays created by Srimanta Sankardev, primarily performed in the Satras of Assam.[cite: 1]","Assam GK","Art & Culture"
"Which among the following Satras is situated in West Bengal ?","Chamaria Satra","Baradi Satra","Madhupur Satra","Jakai Satra","Option C","Madhupur Satra, where Srimanta Sankardev spent his last days, is situated in Cooch Behar district of West Bengal.[cite: 1]","Assam GK","Art & Culture / History"
"Which direction does the river Brahmaputra flow in Assam ?","East to West","West to East","North to South","South to North","Option A","The Brahmaputra enters Assam from the east (Arunachal Pradesh) and flows towards the west into Bangladesh.[cite: 1]","Assam GK","Geography"
"Who was the founder of Mughal Empire in India ?","Humayun","Sher Shah Suri","Babur","Akbar","Option C","Babur founded the Mughal Empire in India after defeating Ibrahim Lodi in the First Battle of Panipat in 1526.[cite: 1]","General Knowledge","Medieval Indian History"
"Which source do the projects at Kalpakkam, Narora and Tarapore produce electricity from ?","Hydro power","Nuclear energy","Thermal energy","Solar energy","Option B","Kalpakkam, Narora, and Tarapur are sites of major nuclear power plants in India that generate electricity from nuclear energy.[cite: 1]","General Knowledge","Science & Tech / Energy"
"Who established Jorhat as the last capital of Ahom Kingdom ?","Swargadeo Gaurinath Singha","Swargadeo Rudra Singha","Swargadeo Shiva Singha","Swargadeo Purandar Singha","Option A","Swargadeo Gaurinath Singha shifted the capital of the Ahom Kingdom to Jorhat in 1794.[cite: 1]","Assam GK","Ahom Kingdom"
"What was the name of the king Naranarayana before he ascended the throne of Koch kingdom ?","Nara Singha","Biswajit","Shukladhwaj","Malladev","Option D","King Naranarayana's original name was Malladev. Shukladhwaj was the original name of his brother Chilarai.[cite: 1]","Assam GK","Koch Kingdom"
"Which of the following trees is not considered as an example of deciduous vegetation ?","Sal","Mango","Pine","Simalu","Option C","Pine trees are evergreen conifers, not deciduous trees that shed their leaves annually.[cite: 1]","General Science","Botany / Geography"
"Which region is Jhum cultivation usually practised in ?","Wetlands","Hill sides","Char areas","Flat plains","Option B","Jhum cultivation (slash-and-burn agriculture) is primarily practiced on hill sides and slopes in Northeast India.[cite: 1]","General Knowledge","Agriculture / Geography"
"Which Act of British India had the Jallianwala Bagh Massacre crowd gather to protest ?","Simon Commission","Rowlatt Act","Morley-Minto Reforms","Separate Electorate","Option B","The crowd had gathered at Jallianwala Bagh on April 13, 1919, to peacefully protest against the draconian Rowlatt Act and the arrest of their leaders.[cite: 1]","General Knowledge","Modern Indian History"
"Hajo is considered as the confluence of the three religions :","Hinduism, Sikhism, Islam","Buddhism, Hinduism, Islam","Buddhism, Jainism, Hinduism","Hinduism, Sikhism, Buddhism","Option B","Hajo is an ancient pilgrimage centre in Assam for three religions: Hinduism (Hayagriva Madhava Temple), Buddhism, and Islam (Powa Mecca).[cite: 1]","Assam GK","Religion & Culture"
"Who amongst the following is the ‘anti-corruption authority’ to represent the public interest ?","Chief Information Commissioner","Lokpal","Chief Justice of High Court","Chief Election Commissioner","Option B","The Lokpal is an anti-corruption ombudsman organization in the Republic of India that represents public interest and inquires into allegations of corruption against public functionaries.[cite: 1]","General Knowledge","Indian Polity"
"Under which schedule of the Constitution of India is the North Cachar Hills Autonomous Council (NCHAC) formed ?","Seventh Schedule","Fifth Schedule","Eighth Schedule","Sixth Schedule","Option D","The Sixth Schedule of the Indian Constitution provides for the administration of tribal areas in Assam, Meghalaya, Tripura, and Mizoram, establishing autonomous districts like the North Cachar Hills.[cite: 1]","General Knowledge","Indian Polity / Assam Govt"
"A number when decreased by 12.5% becomes 119. The number is","130","125","148","136","Option D","Let the number be x. x - 12.5% of x = 119 implies 87.5% of x = 119, so x = (119 * 100) / 87.5 = 136.[cite: 1]","Mathematics","Percentages"
"The area of a rectangle is 300 cm2 and the length of its diagonal is 25 cm. The perimeter of the rectangle is","88 cm","70 cm","64 cm","58 cm","Option B","Let length be l and breadth be b. l*b = 300. l^2 + b^2 = 25^2 = 625. (l+b)^2 = l^2 + b^2 + 2lb = 625 + 600 = 1225. l+b = 35. Perimeter = 2(l+b) = 70 cm.[cite: 1]","Mathematics","Mensuration"
"The numerator of a fraction is 2 less than its denominator. If the numerator is multiplied by 2 and the denominator is multiplied by 3, then the fraction becomes 2/9. The fraction is","1/3","3/5","5/7","7/9","Option A","Let fraction be x/y. x = y - 2. (2*x) / (3*y) = 2/9 implies x/y = 1/3. Substituting x = y - 2 yields y = 3 and x = 1. Fraction is 1/3.[cite: 1]","Mathematics","Fractions & Equations"
"In a school, the average age of both boys and girls is 16 years; the average age of only boys is 15 years and average age of only girls is 18 years. The ratio of the number of boys and girls in the school is :","5 : 2","4 : 3","2 : 1","3 : 2","Option C","Using alligation or algebraic method: Let boys be B and girls be G. 16(B+G) = 15B + 18G. This simplifies to 1B = 2G, meaning B/G = 2/1. Ratio is 2:1.[cite: 1]","Mathematics","Averages and Ratios"
"The value of the expression (1 - 1/2)(1 - 1/3) ……… (1 - 1/9)(1 - 1/10) is","1","1/10","-1/10","1/5","Option B","The expression simplifies to (1/2) * (2/3) * (3/4) * ... * (8/9) * (9/10). The intermediate terms cancel out, leaving 1/10.[cite: 1]","Mathematics","Simplification"
"The LCM and HCF of 14, 21 and 28 are respectively","(84, 14)","(56, 7)","(84, 7)","(56, 14)","Option C","Factors: 14 = 2*7, 21 = 3*7, 28 = 2^2*7. Highest common factor (HCF) is 7. Least common multiple (LCM) is 2^2 * 3 * 7 = 84.[cite: 1]","Mathematics","LCM & HCF"
"The number of terms in the series 1, 2, 4, 8, 16, ………, 256, 512 is","10","9","7","8","Option A","This is a geometric progression where a=1, r=2. The nth term is a*r^(n-1) = 512. Since 2^9 = 512, n-1 = 9, making n = 10.[cite: 1]","Mathematics","Number Series"
"The map of a city is drawn on a scale of 1 : 50000. The distance between two locations is 12 cm on the map. The actual distance between the two locations is","6 km","9 km","12 km","15 km","Option A","Actual distance = 12 cm * 50000 = 600,000 cm. Since 100,000 cm = 1 km, actual distance = 600,000 / 100,000 = 6 km.[cite: 1]","Mathematics","Proportions"
"The sum of two numbers is 12 and the difference of their squares is 60. The difference between the two numbers is :","4","3","6","5","Option D","Let numbers be a and b. a + b = 12 and a^2 - b^2 = 60. Since a^2 - b^2 = (a + b)(a - b), 12 * (a - b) = 60, resulting in a - b = 5.[cite: 1]","Mathematics","Algebraic Identities"
"200% of 200 is","40,000","400","4,000","440","Option B","200% represents 200/100, which equals 2. So, 2 * 200 = 400.[cite: 1]","Mathematics","Percentages"
"If the largest 3-digit number is subtracted from the smallest 5-digit number, the result is","9001","9000","9990","9999","Option A","Smallest 5-digit number is 10000. Largest 3-digit number is 999. Subtracting them: 10000 - 999 = 9001.[cite: 1]","Mathematics","Number System"
"Find the value of 18 – [6 – {4 – (8 + 3)}]","– 2","– 5","5","2","Option C","Using BODMAS: 18 - [6 - {4 - 11}] = 18 - [6 - {-7}] = 18 - [6 + 7] = 18 - 13 = 5.[cite: 1]","Mathematics","BODMAS / Simplification"
"A person types at the rate of 35 words per minute. How long will it take him to type 987 words ?","27 minutes 12 second","28 minutes 8 second","27 minutes 7 second","28 minutes 12 second","Option D","Time taken = 987 / 35 minutes = 28.2 minutes. 0.2 minutes is equal to 12 seconds, resulting in 28 minutes 12 seconds.[cite: 1]","Mathematics","Time & Work"
"Find the value of 4 / (1 + 1/3) - 7 / (2 + 1/3)","1/12","1/3","1","0","Option D","First part: 4 / (4/3) = 3. Second part: 7 / (7/3) = 3. Subtracting them: 3 - 3 = 0.[cite: 1]","Mathematics","Simplification"
"The total count of natural numbers available in the series {–7, –6, –5, ….., 5, 6, 7} is","15","14","7","8","Option C","Natural numbers start from 1. The natural numbers in the set are 1, 2, 3, 4, 5, 6, 7. Therefore, there are 7 natural numbers.[cite: 1]","Mathematics","Number System"
"Fill in the blanks : 149,600,000 = ______ x 10^7","1496","149.6","14.96","1.496","Option C","149,600,000 can be represented in scientific notation by shifting the decimal 7 places to the left, which results in 14.96 * 10^7.[cite: 1]","Mathematics","Exponents & Powers"
"“Two times the area of a square of side x is added to three times the perimeter of the same square.” The algebraic expression of the above statement is","2x^2 + 3x","2x^2 + 4x","2x^2 + 7x","2x^2 + 12x","Option D","Area = x^2, Perimeter = 4x. Two times area = 2x^2. Three times perimeter = 3*(4x) = 12x. The sum is 2x^2 + 12x.[cite: 1]","Mathematics","Algebraic Expressions"
"If the sum of two unequal integers equals the subtraction of the smaller from the larger of the same two integers, then which of the following statements is correct ?","The two integers must be Natural numbers.","The sum of the two integers is always zero.","The inverse of one integer equals the other integer.","At least one of the two integers is zero.","Option D","Let the integers be a and b, where a > b. Given: a + b = a - b, which implies 2b = 0 or b = 0. So, at least one of the two integers (the smaller one) is zero.[cite: 1]","Mathematics","Integers / Equations"
"The three sides of a triangle are of length 2.3 cm, 20 mm and 23 mm. The triangle is a/an","Scalene triangle","Equilateral triangle","Right angled triangle","Isosceles triangle","Option D","2.3 cm = 23 mm. The sides are 23 mm, 20 mm, and 23 mm. Since two sides are equal in length, it is an isosceles triangle.[cite: 1]","Mathematics","Geometry / Triangles"
"The area of a Rhombus equals","1/2 x (sum of the lengths of its two diagonals)","2 x (sum of the lengths of its two diagonals)","1/2 x (product of the lengths of its two diagonals)","2 x (product of the lengths of its two diagonals)","Option C","The area of a rhombus is given by half the product of the lengths of its diagonals (1/2 * d1 * d2).[cite: 1]","Mathematics","Mensuration"
"Division of x^2 – 5x + 6 by x – 3 results in","1","x – 2","0","x + 2","Option B","x^2 - 5x + 6 factorizes to (x - 2)(x - 3). Dividing this by (x - 3) gives (x - 2).[cite: 1]","Mathematics","Polynomials"
"The sum of the first 20 natural numbers is","210","120","124","310","Option A","The sum of the first n natural numbers is evaluated using the formula n(n+1)/2. For n=20, it is 20*21/2 = 210.[cite: 1]","Mathematics","Number Series"
"The HCF of x^2y and xy^2 is","x","y","x + y","xy","Option D","The highest common factor between x^2y (x*x*y) and xy^2 (x*y*y) is x*y, which evaluates to xy.[cite: 1]","Mathematics","LCM & HCF"
"If the digit at the unit place is x and the digit at the ten’s place is y, then the number is given by","10x + y","x + y","x * y","10y + x","Option D","A two-digit number is represented mathematically as 10*(tens digit) + 1*(units digit). So, 10y + x.[cite: 1]","Mathematics","Number System"
"Evaluate : (1/2)^-2 + (1/3)^-2 + (1/4)^-2 + (1/5)^-2","1/14","1/54","14","54","Option D","Based on index laws, (1/a)^-b = a^b. Therefore, 2^2 + 3^2 + 4^2 + 5^2 = 4 + 9 + 16 + 25 = 54.[cite: 1]","Mathematics","Exponents & Powers"
"Edmund Hillary and Tenzing Norgay were _____ first to conquer Mt. Everest.","the","an","a","it","Option A","The definite article 'the' is used before ordinal numbers such as 'first'.[cite: 1]","English","Articles"
"Mr. Bennet left his property to ______ unknown heir.","a","an","the","some","Option B","The word 'unknown' begins with a vowel sound, meaning the article 'an' should be used.[cite: 1]","English","Articles"
"Have pity _____ the poor.","with","of","at","for","Option D","The correct preposition to use after the verb 'pity' in this context is 'for'.[cite: 1]","English","Prepositions"
"Take precaution _____ cold.","against","for","with","within","Option A","The phrase 'precaution against' is standard English usage to indicate taking measures to prevent something harmful.[cite: 1]","English","Prepositions"
"The picnic table is placed ______ the tree.","under","underneath","beneath","below","Option A","'Under' is the most common and appropriate preposition to use when referring to something directly covered by or located beneath a tree.[cite: 1]","English","Prepositions"
"Choose the correctly spelled word :","Veterinary","Veterinery","Veternary","Veterenery","Option A","The correct spelling is 'Veterinary'.[cite: 1]","English","Spelling"
"Choose the correctly spelled word :","Elemantary","Elementary","Ellemantary","Elemantery","Option B","The correct spelling is 'Elementary'.[cite: 1]","English","Spelling"
"Choose the correctly spelled word :","Dissimilar","Disimilar","Dissimmiler","Dissimiler","Option A","The correct spelling is 'Dissimilar', with a double 's'.[cite: 1]","English","Spelling"
"Choose the correct pair which is similarly related.","Good, Best","Tall, More tall","Fat, Rough","Worser, Bad","Option A","'Good' is the base adjective and 'Best' is its superlative form. This demonstrates a valid comparative relationship among choices given.[cite: 1]","English","Adjectives / Degrees of Comparison"
"Choose the correct pair which is similarly related.","Funny, Funnest","Order, Disorderly","Keen, Kind","Calm, Calmer","Option D","'Calm' is the base adjective and 'Calmer' is its comparative form, showing a correct grammatical relationship.[cite: 1]","English","Adjectives / Degrees of Comparison"
"Choose the correct pair of words which are OPPOSITE of each other.","Rough – Coarse","Artificial – Synthetic","Take – Accept","Sad – Happy","Option D","'Sad' and 'Happy' are clear antonyms. The other pairs are synonyms or loosely related words.[cite: 1]","English","Antonyms"
"Choose the correct pair of words which are OPPOSITE of each other.","Easy – Tender","Within – Outside","Right – Correct","Closed – Shut","Option B","'Within' and 'Outside' are antonyms, indicating opposite locations or conditions.[cite: 1]","English","Antonyms"
"Choose the correct pair of words which are SYNONYMS of each other.","Evil – Blessed","Cheat – Deceive","Above – Below","War – Peace","Option B","'Cheat' and 'Deceive' both mean to act dishonestly to gain an advantage, making them synonyms.[cite: 1]","English","Synonyms"
"A group of Dogs is called","Pack","Swarm","Herd","Flock","Option A","A collective noun for a group of dogs is a 'pack'.[cite: 1]","English","Collective Nouns"
"A group of Monkeys is called","Troop","Cluster","Rabble","Herd","Option A","The collective noun for a group of monkeys is a 'troop'.[cite: 1]","English","Collective Nouns"
"What should come next to continue the series : ACRA, BDSB, CETC, DFUD, ?","EGVE","EVGE","EFGE","EGFE","Option A","Observe the pattern in each respective position. 1st letter: A, B, C, D -> E. 2nd: C, D, E, F -> G. 3rd: R, S, T, U -> V. 4th: A, B, C, D -> E. Result is EGVE.[cite: 1]","Reasoning","Letter Series"
"Which pair of numbers should replace $ in (2, 3), (4, 5), (6, 7), $, (10, 13) ?","(8, 11)","(8, 9)","(7, 8)","(7, 11)","Option A","The first items in each pair form consecutive even numbers (2, 4, 6, 8, 10), and the second items in each pair form consecutive prime numbers starting from 3 (3, 5, 7, 11, 13). The missing pair is (8, 11).[cite: 1]","Reasoning","Number Series"
"Which of the following number is unmatched in the sequence (3, 7, 15, 33, 63)","33","15","7","63","Option A","The pattern follows 2^n - 1. 2^2 - 1 = 3, 2^3 - 1 = 7, 2^4 - 1 = 15, 2^5 - 1 = 31, 2^6 - 1 = 63. The number 33 does not follow this pattern; it should be 31.[cite: 1]","Reasoning","Odd One Out / Number Series"
