Question No.,Question,Option A,Option B,Option C,Option D
28,"Which of the following ministries is NOT associated with the initiative of 'Beti Bachao, Beti Padhao' scheme ?",Ministry of Health and Family Welfare,Ministry of Rural Development,Ministry of Women and Child Development,Ministry of Human Resource Development
29,The Assam Medical College is situated in :,Silchar,Jorhat,Guwahati,Dibrugarh
30,"The mission Indradhanush, an initiative of the Government of India, is associated with :",Immunisation,Cleanliness,Digitalisation,Highway development
31,Article 17 of the Constitution of India deals with the abolition of :,Slavery,Bonded Labour,Untouchability,Sati
32,Which of the following events did NOT take place in 1919 ?,Rowlatt Act was passed,Montagu – Chelmsford Reforms were announced,Partition of Bengal,Jallianwala Bagh tragedy
33,Which of the following schemes was launched in July 2019 to accelerate water harvesting and conservation measures ?,Jal Shakti Abhiyan,Jal Vikas Abhiyan,Jal Hi Dhan Hai Abhiyan,Jal Bachao Abhiyan
34,Which of the following locations is NOT associated with the petroleum sector ?,Duliajan,Nazira,Bongaigaon,Margherita
35,Which country was first to implement Goods and Services Tax (GST) ?,Germany,France,Canada,USA
36,"As of January 2022, the state which has the maximum number of seats in the Rajya Sabha, is :",Karnataka,Madhya Pradesh,Rajasthan,Uttar Pradesh
37,Hiuen Tsang visited India during the reign of the King :,Harshavardhana,Ashoka,Vishnugupta,Samudragupta
38,Who among the following publishes the Economic Survey of India ?,National Development Council,Institute of Finance,Indian Statistical Institute,Ministry of Finance
39,"In which of the following economies, all productive resources are owned and controlled by the government ?",Socialist,Capitalist,Mixed,Dual
40,In which of the following locations was the Quit India Movement launched by Mahatma Gandhi in the year 1942 ?,Shivaji Park,Brabourne Stadium,August Kranti Maidan,Pragati Maidan
41,"The LCM of two numbers is 40 and their HCF is 4. If the difference between the two numbers is 12, then the sum of the numbers is :",20,24,28,32
42,The value of the expression 51 + 134 + 5 42 + 16 + 9 is :,52,8,19,9
43,"The number when divided by 2, leaves remainder 1; when divided by 3, leaves remainder 2 and when divided by 4, leaves remainder 3, is :",25,41,13,11
44,"When the numerator of a fraction increases by 3, the fraction increases by its three-fourth. The numerator of the fraction is :",3,4,5,6
45,"The smallest among 1/2, 1/3, 1/4 and 2/3 is :",3/2,1/2,1/3,1/4
46,"If x = 3, then the value of x^4 + 1/x^4 is :",9 1/9,2 1/9,9 1/2,1/9
47,"If x/3 = y/4 = z/7, then 2z / (x + y + z) is equal to",1,3,2,4
48,The sum of the four consecutive alternate numbers is 64. The smallest number amongst them is :,13,11,16,9
49,"Two numbers are in the ratio of 2 : 3 and the product of their LCM and HCF is 96. The sum of the numbers is :",8,12,20,36
50,"If the salary of A is 25% more than that of B, how much percentage is the salary of B lower than that of A ?",20%,25%,12 1/2 %,16 2/3 %
51,"98 toffees were distributed to some boys in a group. Each boy in the group got twice as many of the toffees as the number of boys. The number of boys in the group was :",5,7,10,14
52,"If cos  = b/a, then the value of sec  will be :",b / (a^2 - b^2),a/b,sqrt(a^2 + b^2),(a+b)/b
53,The perimeter of an equilateral triangle is 6 cm. The area of the triangle is :,6 cm2,6 cm2,3 cm2,3 cm2
54,"The value of 0.04 + 1.44 + 1.69 + 0.0009 is :",1.73,2.03,2.73,1.03
55,45% of a number is same as 30% of another number. The ratio of the first number to the second number is :,2 : 3,3 : 2,3 : 5,2 : 5
56,"Liza deposits money in her savings bank in such a way that every next day her deposit amount is ` 12 more than her previous day deposit. If she starts her deposit with ` 12 on the first day, the total amount deposited by Liza at the end of 30 days will be :",` 5420,` 5580,` 5620,` 5780
57,"Find the median of the data set. 1, 2, 4, 1, 5, 12, 7, 8, 5, 1, 16, 17, 12",8,7,5,4
58,Find the value of 81/16 - 144/25 - 729/225.,-5/9,-7/12,-27/20,-11/36
59,"'A' starts his journey at 1:00 p.m. from a location P with a speed of 1 m/sec. 'B' starts his journey from the same location P and along the same direction at 1:10 p.m. with a speed of 2 m/sec. If 'B' meets 'A' at the location Q, then the distance PQ is :",1.5 km,1.75 km,1.2 km,1.25 km
60,"The price of an article is first decreased by 40% and then increased by 20%. The net change in the price will be :",20%,40%,24%,28%
61,"On the moon, ________ air because the Moon’s gravitational field is too weak to retain an atmosphere.",there is no,where no,no,is no
62,_______ in front of a camera lens changes the colour of the light that reaches the film.,Placed a filter,A filter is placed,A filter placed,When a filter placed
63,"In 1850, Yale University established Sheffield Scientific School, ________.",engineers were educated there,where engineers were educated,"in which, were engineers educated",where were engineers educated
64,Choose the correct pair of words which are SYNONYMS to each other :,Emigrant – Immigrant,Piece – Pierce,Frugal – Thrifty,Irritate – Instigate
65,Choose the correct pair of words which are SYNONYMS to each other :,Rely – Resist,Rule – Rue,Secret – Clandestine,Site – Sight
66,Choose the correct pair of words which are SYNONYMS to each other :,Deride – Arrive,Derive – Divide,Deride – Mock,Mock – Praise
67,Choose the correct pair of words which are SYNONYMS to each other :,Citizen – Foreigner,Citizen – Emigrant,Citizen – Subject,Citizen – Immigrant
68,Choose the correct pair of words which are ANTONYMS to each other :,Folly – Stupidity,Sweet – Salty,Visible – Unvisible,Scatter – Collect
69,Choose the correct pair of words which are ANTONYMS to each other :,Advance – Retreat,Abandon – Desert,Elevate – Raise,Value – Success
70,Choose the correct pair of words which are ANTONYMS to each other :,Acquit – Convict,Expect – Hope,Faithful – Loyal,End – Finish
71,"Choose the correct options which best explains the meaning of the given idioms : ""To split hairs""",To quarrel bitterly,To complain about every small detail,To argue about trifles,To study every detail minutely
72,"Choose the correct options which best explains the meaning of the given idioms : ""Nail the lie to the counter""",To blame a person for something,To expose publicly,To investigate an allegation,To lie vehemently
73,"Choose the correct options which best explains the meaning of the given idioms : ""To see red""",To be mad with anger,To see danger,Sunset,To be drunk
74,"Choose the correct options which best explains the meaning of the given idioms : ""To hit below the belt""",To trick the opponent,To defeat the opponent,To take bribe,To act unfairly in a contest
75,"Choose the correct options which best explains the meaning of the given idioms : ""To beat about the bush""",To prune the bush,To approach a matter directly,To approach a matter in a roundabout manner,To discuss a matter endlessly
76,"Choose the correct options which best explains the meaning of the given idioms : ""Bird in hand is better than two in the bush""",Probability is better than possibility,Certainty is better than possibility,Possibility is better than probability,Probability indicates certainty
77,"Choose the correct order to complete the sentence : I. I smelled the gas II. Door of my house then III. As soon as IV. I opened the front",I II III IV,II III IV I,III IV II I,III IV I II
78,"The following sentence is divided into four parts. One of the parts has an error in it. Read the sentence and find the part containing the error : “The movement which aims at (I) raising awareness about climate change, hopes (II) to bring people together to think about (III) what they can do for reducing harmful pollution. (IV)”",IV,III,I,II
79,"""For the little boy, a lolly was tangible, whereas a promise was not."" The word tangible in this sentence means",Basic,Untouchable,Actual,Edible
80,Which among the following options is correct ?,My thoughts are with the families of those who have lost their loved ones in this unfortunate accident.,My thoughts are with the families of those who has lost their loved ones in this unfortunate incident.,My thoughts are with the families of those who have lost their loved ones in this unfortunate events.,My thoughts are with the families of those who have lost their loved ones in this unfortunate incidents.
81,Which letter of the English Alphabet is the seventh from left of sixteenth from right ?,D,W,R,E
82,"Five boys are sitting in a circle facing inward. Ajay is between Rohit and Doljit. Suman is at the left of Shyamal, Rohit is at the left of Suman. Who is sitting at the immediate right of Ajay ?",Suman,Shyamal,Rohit,Doljit
83,"A man is 3 years older than his wife and four times as old as his son. If the son becomes 15 years old after 3 years, the present age of his wife is :",60 years,51 years,48 years,45 years
84,"Sarita and Savita were coming to each other in the garden in the morning. Savita saw that Sarita’s shadow was at Sarita’s left side. Which direction was Savita facing to ?",South,East,North,West
85,"If 20% of a is b, then b% of 20 is the same as :",4% of a,6% of a,8% of a,10% of a
86,"Kabita walks from her office 2 km to the east, then 8 km towards her right, then 2 km towards the east and then 4 km towards the south. Finally she turns left and walks 1 km to reach her apartment. The shortest aerial distance between Kabita’s office and her apartment is :",25 km,13 km,12 km,17 km
87,Select the number pair in which the two numbers are related in the same way as 35 : 6.,85 : 9,64 : 8,26 : 5,120 : 11
88,"Arrange the following words in a logical and meaningful order : (1) Cloud (2) Rainbow (3) Devastation (4) Rain (5) Low Pressure (6) Flood",1 5 4 2 6 3,5 1 4 2 6 3,5 4 1 2 3 6,1 5 2 4 6 3
89,"If HONESTY is written as 5132468 and POVERTY is as 7192068, then in the same code, HORSE is written as :",50124,51042,51024,52014
90,"Two trains of 200 m and 100 m long are running parallel at the rate of 20 m/sec. and 22 m/sec. respectively. How much time will they take to cross each other, if the trains are running along the same direction ?",212 sec.,135 sec.,150 sec.,120 sec.
91,"The ratio of the sides of a triangle is 1/4 : 1/3 : 1/2 and its perimeter is 104 cm. The longest arm of the triangle is :",52 cm,48 cm,44 cm,40 cm
92,"Priya booked a ticket for a movie whose trailer was released 20 days before she booked the ticket. She watched the movie 45 days after the trailer was released. The movie was released 16 day before the day on which Priya watched the movie. On which day of the week was the movie released if she booked the ticket on Sunday ?",Friday,Saturday,Sunday,Tuesday
93,5 : 27 :: 9 : ________,83,81,36,18
94,AQRD : BRSE :: LMTJ : ________,MNRK,MNSK,MNUK,MMUK
95,Bus : Driver :: Horse : ________,Saddle,Rein,Horseman,Stirrup
96,Three out of the following four options are alike in a particular pattern and hence form a group. Find the one which does NOT belong to the group.,2837,7651,3925,9762
97,Three out of the following four options are alike in a particular pattern and hence form a group. Find the one which does NOT belong to the group.,3375/225,1331/100,2744/169,5832/289
98,Three out of the following four options are alike in a particular pattern and hence form a group. Find the one which does NOT belong to the group.,Emission,Pollution,Contamination,Adulteration
99,Find the number of triangles in the given figure :,12,18,22,26
100,"Identify the diagram that best represents the relationship among the classes : New Delhi, Sri Lanka, Asia",(A),(B),(C),(D)
