"question_text","Option A","Option B","Option C","Option D","correct_option","explanation","subject","topic / subtopic tag"
"The Umananda temple is situated on the hilltop of","Chitrachal","Bhasmachal","Bindhyachal","Sandhyachal","Option B","The Umananda Temple, dedicated to Lord Shiva, is located on Peacock Island in the Brahmaputra River, which is also known as Bhasmachal hill[cite: 1].","Assam GK","Geography / Monuments"
"The ancient Indian physician known as the 'Father of Surgery' was :","Charaka","Sushruta","Vagbhatta","Vinayaka","Option B","Sushruta is historically known as the 'Father of Surgery' for his pioneering work and surgical procedures documented in the Sushruta Samhita[cite: 1].","General Knowledge","Indian History"
"How many schedules are in the Indian Constitution ?","14","10","15","12","Option D","The Indian Constitution originally had 8 schedules, but currently, it has 12 schedules[cite: 1].","General Knowledge","Indian Polity"
"The Fox-tail orchid is the state flower of","Arunachal Pradesh","Tripura","Manipur","Sikkim","Option A","The Fox-tail orchid (Rhynchostylis retusa), locally known as Kopou Phool, is the state flower of both Assam and Arunachal Pradesh. From the given options, Arunachal Pradesh is correct[cite: 1].","General Knowledge","State Symbols"
"World War II was fought by two opposite power blocs called ______ .","Axis and Allied","Allied and Axiom","Allied and Gammon","Gammon and Axiom","Option A","World War II was fought between two major military alliances: the Allies (led by the UK, US, USSR) and the Axis powers (led by Germany, Italy, Japan)[cite: 1].","General Knowledge","World History"
"A major Oil-field accident took place recently at","Tingkhong","Sarupathar","Merapani","Baghjan","Option D","In 2020, a massive blowout and subsequent fire occurred at an Oil India Limited gas well in Baghjan, Tinsukia district, Assam[cite: 1].","Assam GK","Current Affairs / Environment"
"The real name of Bir Chilarai was","Janmejoy","Sukladhwaj","Kalapahar","Malladev","Option B","Bir Chilarai was a great general of the Koch dynasty. His real name was Sukladhwaj, and he was the younger brother of King Naranarayan (Malladev)[cite: 1].","Assam GK","Assam History / Koch Dynasty"
"""Tusu Puja"" is an important festival of the","Bishnupriyas","Tea tribes of Assam","Dimasas","Kuki tribe","Option B","Tusu Puja is a major folk festival celebrated primarily by the Tea Tribes of Assam (and in parts of Jharkhand/West Bengal) to honor Goddess Tusu[cite: 1].","Assam GK","Art & Culture / Festivals"
"In which of the following places, ""Mask making"" is predominantly practiced ?","Charaidew","Majuli","Goalpara","Sadiya","Option B","Majuli, the river island in Assam, is renowned globally for its traditional mask-making (Mukha Shilpa) craft, deeply tied to the Satras (Vaishnavite monasteries)[cite: 1].","Assam GK","Art & Culture"
"""Poki"" is the name of ancestral home of","Jyoti Prasad Agarwalla","Lakshminath Bezbaruah","Bishnu Prasad Rabha","Nabin Chandra Bardoloi","Option A","'Poki', situated in Tezpur, is the ancestral home of Rupkonwar Jyoti Prasad Agarwalla and served as a major hub for cultural and literary activities[cite: 1].","Assam GK","Personalities"
"Which of the following is located at Sibsagar ?","Surya Pahar","Malinithan","Rang Ghar","Dolgobinda Mandir","Option C","Rang Ghar, a two-story historical pavilion built by the Ahom kings, is located in Sibsagar (Sivasagar), Assam[cite: 1].","Assam GK","Monuments"
"In which state of India does the Barak river originate ?","Assam","Manipur","Mizoram","Meghalaya","Option B","The Barak River originates in the hill country of Manipur state in northeastern India[cite: 1].","General Knowledge","Indian Geography / Rivers"
"Which of the following communities is ""Haidang Geet"" associated with ?","Deuri","Sonowal Kachari","Tiwa","Karbi","Option B","Haidang Geet is a traditional folk song deeply associated with the Sonowal Kachari community of Assam, usually sung during religious ceremonies[cite: 1].","Assam GK","Art & Culture"
"Asharikandi village in Assam is famous for :","Silk","Terracotta","Jute","Marble","Option B","Asharikandi village in the Dhubri district of Assam is highly acclaimed for its traditional terracotta and pottery crafts[cite: 1].","Assam GK","Art & Culture"
"The product of three numbers which are in the ratio 3:4:5 is found to be 480. The largest number among the three numbers is","6","8","10","12","Option C","Let the numbers be 3x, 4x, and 5x. Their product is 3x * 4x * 5x = 60x³ = 480. x³ = 8, so x = 2. The largest number is 5x = 5(2) = 10[cite: 1].","Mathematics","Ratio and Proportion"
"A number was increased by 30% and thereafter decreased by 30%. The net change in the number in percentage is","9% increase","10% decrease","10% increase","9% decrease","Option D","Let the number be 100. A 30% increase makes it 130. A 30% decrease of 130 is 130 - (0.30 * 130) = 130 - 39 = 91. The net change from 100 to 91 is a 9% decrease[cite: 1].","Mathematics","Percentage"
"In the equation x² – 2x + 1 = 0, the value of x³ – 1/x³ is :","0","1","–1","2","Option A","The equation x² - 2x + 1 = 0 factors to (x - 1)² = 0, so x = 1. Therefore, x³ - 1/x³ = 1³ - 1/1³ = 1 - 1 = 0[cite: 1].","Mathematics","Algebra"
"How many cubes of volume 1 cm³ each, can be cut out from a single cube of volume 1 m³ ?","108","106","104","102","Option B","1 m³ equals (100 cm)³ = 1,000,000 cm³ or 10^6 cm³. Thus, 10^6 cubes of 1 cm³ can be formed. The printed option '106' actually denotes 10^6[cite: 1].","Mathematics","Mensuration / Volume"
"A 10 ft. long ladder leaning against a wall, touches the wall at a height of 8 ft. By what distance should the ladder be moved towards the wall so that its top touches the wall at 9.6 ft height ?","3.2 ft","2.8 ft","3.9 ft","4.4 ft","Option A","Initial base = √(10² - 8²) = 6 ft. New base = √(10² - 9.6²) = √(100 - 92.16) = √7.84 = 2.8 ft. The ladder moves 6 - 2.8 = 3.2 ft towards the wall[cite: 1].","Mathematics","Geometry / Pythagoras Theorem"
"If the average age of A, B and C is 22 years and the average age of B and C is 25 years, then the age of A after 9 years is :","35 years","30 years","25 years","20 years","Option C","Total age of A+B+C = 22 * 3 = 66. Total age of B+C = 25 * 2 = 50. Therefore, A's present age = 66 - 50 = 16. A's age after 9 years = 16 + 9 = 25 years[cite: 1].","Mathematics","Averages"
"Kamal buys an article for 20% less than its printed price and sells it for 20% more than the printed price. The percentage of gain on selling the article is","40%","50%","30%","45%","Option B","Let printed price be 100. Cost Price (CP) = 80. Selling Price (SP) = 120. Profit = 120 - 80 = 40. Percentage gain = (40/80) * 100 = 50%[cite: 1].","Mathematics","Profit & Loss"
"If A:B = 2:3 and B:C = 4:5, then C:A is :","8:5","5:8","5:18","15:8","Option D","Make B equal in both ratios: A:B = 8:12 and B:C = 12:15. This gives A:B:C = 8:12:15. Thus, C:A = 15:8[cite: 1].","Mathematics","Ratio and Proportion"
"If the population of a town increases at the rate of 10% every year, the present population is 1000, then after 3 years the population of the town would be","1300","1351","1310","1331","Option D","Using compound interest formula: P = P0 * (1 + R/100)^t. P = 1000 * (1 + 10/100)³ = 1000 * 1.331 = 1331[cite: 1].","Mathematics","Compound Interest / Population"
"Two natural numbers are in the ratio 3:5 and their product is 135. The smaller number is","5","9","11","15","Option B","Let the numbers be 3x and 5x. 3x * 5x = 135 => 15x² = 135 => x² = 9 => x = 3. The smaller number is 3x = 3 * 3 = 9[cite: 1].","Mathematics","Ratio and Proportion"
"The diagonals of any two squares are in the ratio of 2:3. The areas of the squares are in the ratio of","3:5","2:9","4:9","4:5","Option C","The area of a square is proportional to the square of its diagonal. Ratio of areas = (2/3)² = 4/9 = 4:9[cite: 1].","Mathematics","Mensuration"
"6 men can complete a task in 15 days. After 10 days, 4 more men join. The number of days required to complete the remaining work is :","2","3","4","5","Option B","Total work = 6 * 15 = 90 man-days. Work done in 10 days = 6 * 10 = 60 man-days. Remaining work = 30 man-days. Now, total men = 6 + 4 = 10. Days required = 30 / 10 = 3 days[cite: 1].","Mathematics","Time and Work"
"50% of 25% of 20% of a number is 21. The number is","420","520","840","940","Option C","Let the number be x. 0.50 * 0.25 * 0.20 * x = 21 => 0.025 * x = 21 => x = 21 / 0.025 = 840[cite: 1].","Mathematics","Percentage"
"0.23 is equivalent to the fraction","23 / 99","23 / 990","23 / 999","23 / 90","Option A","Let x = 0.2323... Then 100x = 23.2323... Subtracting x gives 99x = 23, so x = 23/99[cite: 1].","Mathematics","Number System"
"The area of an isosceles right angled triangle is 81 cm². The length of the hypotenus of the triangle is","14 cm","16 cm","18 cm","22 cm","Option C","Area = 1/2 * base * height. Since it's isosceles, base = height = a. 1/2 * a² = 81 => a² = 162. Hypotenuse = √(a² + a²) = √(162 + 162) = √324 = 18 cm[cite: 1].","Mathematics","Mensuration / Triangles"
"The angle 54° when converted to radians, is","pi / 10","3pi / 10","7pi / 10","9pi / 10","Option B","To convert degrees to radians, multiply by π/180. 54 * (π / 180) = 3π / 10 radians[cite: 1].","Mathematics","Trigonometry"
"The decimal representation of 2.5 / 50 is :","0.5","0.25","0.05","0.025","Option C","2.5 / 50 is equal to 25 / 500. Dividing both numerator and denominator by 25 yields 1 / 20, which is equal to 0.05[cite: 1].","Mathematics","Decimals & Fractions"
"Find the value of x if x / 128 = 162 / x","12","14","196","144","Option D","Cross-multiply: x² = 128 * 162. x² = 20736. x = √20736 = 144[cite: 1].","Mathematics","Algebra"
"If a – b = 5 and a² + b² = 41, then the value of 'ab' is","10","5","7","8","Option D","Using the identity (a - b)² = a² + b² - 2ab. (5)² = 41 - 2ab => 25 = 41 - 2ab => 2ab = 16 => ab = 8[cite: 1].","Mathematics","Algebra"
"A tank can be filled by 5 pipes in 80 minutes. How long would it take to fill the same tank by 8 pipes ?","80 minutes","70 minutes","60 minutes","50 minutes","Option D","This is an inverse variation problem. 5 pipes * 80 mins = 400 pipe-minutes. If 8 pipes are used: 400 / 8 = 50 minutes[cite: 1].","Mathematics","Pipes and Cisterns"
"Sympathy","Empathy","Antipathy","Condolence","Consolation","Option B","The antonym of Sympathy (feeling of pity or sorrow) is Antipathy (a deep-seated feeling of dislike or aversion)[cite: 1].","English","Vocabulary / Antonyms"
"Economise","Enormous","Purchase","Waste","Trade","Option C","To economise means to spend less; its exact opposite (antonym) is to waste or spend extravagantly[cite: 1].","English","Vocabulary / Antonyms"
"Hamper","Promote","Stop","Barrier","Fail","Option A","To hamper means to hinder or impede the movement or progress of something. The opposite is to promote or assist[cite: 1].","English","Vocabulary / Antonyms"
"Incompetent","Unskilled","Inefficient","Dexterous","Useless","Option C","Incompetent means lacking the necessary ability or skill. Dexterous means showing or having skill, especially with the hands, making it the antonym[cite: 1].","English","Vocabulary / Antonyms"
"Judicious","Prudent","Irrational","Foolish","Impatient","Option A","Judicious means having, showing, or done with good judgment or sense. Prudent is a synonym that carries the exact same meaning[cite: 1].","English","Vocabulary / Synonyms"
"Monotonous","Pleasant","Varied","Variety","Tedious","Option D","Monotonous means dull, tedious, and repetitious; lacking in variety and interest. Tedious is a synonym[cite: 1].","English","Vocabulary / Synonyms"
"Outrage","Praise","Favour","Pleased","Offence","Option D","Outrage refers to an extremely strong reaction of anger, shock, or indignation, or an act that violates bounds of decency. 'Offence' acts as the closest synonym here[cite: 1].","English","Vocabulary / Synonyms"
"A number of people listening to a concert or a lecture is called","Audience","Spectators","Crowd","Rabble","Option A","An audience refers to a group of listeners or spectators at a public event such as a play, concert, or lecture[cite: 1].","English","One Word Substitution"
"The place where airplanes are housed is called a","Garage","Warehouse","Hanger","Hangar","Option D","A hangar is a large building with an extensive floor area, typically for housing aircraft. 'Hanger' is for clothes[cite: 1].","English","One Word Substitution"
"A person who walks in his sleep is known as","Misanthropist","Somniloquist","Somnambulist","Ventriloquist","Option C","A somnambulist is someone who performs motor acts (like walking) while sleeping. A somniloquist talks in their sleep[cite: 1].","English","One Word Substitution"
"He said this ______ oath.","by","on","with","from","Option B","The correct prepositional phrase is 'on oath' or 'under oath', which means having made a formal promise to tell the truth[cite: 1].","English","Prepositions"
"The post ______ the Government of Assam in the Department of Education has been advertised.","in","with","under","for","Option C","When referring to a position within a governmental or organizational hierarchy, 'under' is the correct preposition[cite: 1].","English","Prepositions"
"The train starts ______ 5 O'clock ______ the morning ______ Wednesdays.","in, at, in","at, in, on","in, on, at","on, at, in","Option B","We use 'at' for specific times (at 5 O'clock), 'in' for periods of the day (in the morning), and 'on' for days of the week (on Wednesdays)[cite: 1].","English","Prepositions"
"The plaster on the walls has been removed to expose the original bricks ____.","underneath","below","under","inside","Option A","'Underneath' means situated directly below something else, especially when concealed or covered by it (like bricks covered by plaster)[cite: 1].","English","Prepositions"
"'The Statesman' has the largest circulation of any English daily.","'The Statesman' has the largest circulation of any English dailies.","'The Statesman' have the largest circulation of all English dailies.","'The Statesman' has largest circulations of all English dailies.","'The Statesman' has largest circulation of all English dailies.","Option D","When comparing one item with the rest of its group using the superlative degree, 'of all' is followed by a plural noun. (Note: Option D misses 'the' but is grammatically the closest valid option)[cite: 1].","English","Sentence Correction"
"I contradicted against him.","I contradicted by him.","I contradicted for him.","I contradicted with him.","I contradicted him.","Option D","The verb 'contradict' is a transitive verb and takes a direct object. Therefore, no preposition like 'against' or 'with' is needed[cite: 1].","English","Sentence Correction"
"This is one of the best book that has been written since ten years.","This is one of the best book written in ten years.","This is one of the best books that have been written in ten years.","This is one of the best books written since ten years.","This is one of the best books that has been written since ten years.","Option B","The phrase 'one of the' must be followed by a plural noun ('books'). The relative pronoun 'that' refers to 'books', making the verb plural ('have'). 'In ten years' accurately defines the duration[cite: 1].","English","Sentence Correction"
"Please ______ to let the children pass.","stand aside","stand to the side","stand in the side","stand on the side","Option A","'Stand aside' is the correct phrasal verb meaning to step out of the way to allow someone to pass[cite: 1].","English","Phrasal Verbs"
"______ imaginative stories about the origin of the game of chess.","Many of the","Many","There are many","Of the many","Option C","The sentence requires a subject and a verb to be grammatically complete. 'There are many' provides the dummy subject and the verb[cite: 1].","English","Grammar"
"I really have to go now. I have ______ the doctor.","an appointment to","an appointment with","appointment with","an appointment from","Option B","You 'have an appointment with' a professional like a doctor. Using 'an' is necessary because appointment is a singular countable noun[cite: 1].","English","Grammar"
"Which letter should replace # in BFEC, KONL, PT # Q ?","S","U","R","D","Option A","Looking at the pattern in groups: B(+4) = F(-1) = E(-2) = C. K(+4) = O(-1) = N(-2) = L. P(+4) = T(-1) = S(-2) = Q. Thus, the missing letter is S[cite: 1].","Reasoning","Letter Series"
"While writing the even numbers from 1 to 100, how many time '2' will be written ?","12","15","10","13","Option B","The even numbers with 2 are: 2, 12, 20, 22 (has two 2s), 24, 26, 28, 32, 42, 52, 62, 72, 82, 92. Counting the 2s: 1+1+1+2+1+1+1+1+1+1+1+1+1+1 = 15[cite: 1].","Reasoning","Number Puzzles"
"Cut out a Decagon through one of its vertices, in the form of triangles. Total number of triangle cut-outs will be","5","6","7","8","Option D","A polygon with 'n' sides can be divided into (n - 2) non-overlapping triangles from a single vertex. For a decagon (10 sides), it is 10 - 2 = 8 triangles[cite: 1].","Reasoning","Geometry Puzzles"
"Which of the following pair of numbers has the same relationship as (18, 75), (39, 54), (27, 66) ?","(51, 42)","(32, 62)","(51, 65)","(61, 55)","Option A","In each pair, the sum of the numbers is 93 (18+75=93, 39+54=93, 27+66=93). Only option A satisfies this: 51+42 = 93[cite: 1].","Reasoning","Number Analogy"
"Identify the term that is incorrectly placed in the series 5, 7, 11, 17, 23, 35, 47.","23","17","11","35","Option A","The differences between terms should be consecutive even numbers: 2, 4, 6, 8, 10, 12. So, 5+2=7; 7+4=11; 11+6=17; 17+8=25; 25+10=35; 35+12=47. The term 23 is wrong and should be 25[cite: 1].","Reasoning","Number Series"
"In a code, BEC means 'books are old', EDF means 'man is old' and CGH means 'buy good books'. The code for 'books' is","B","C","E","D","Option B","Comparing BEC and EDF, 'E' = 'old'. Comparing BEC and CGH, 'C' = 'books'. Therefore, the code for 'books' is C[cite: 1].","Reasoning","Coding & Decoding"
"Consider the following relations : A = 2C, A + 3C = 2C + G, 7C = 2A + G. Which among the following is equal to 2G ?","2A","3A","2A + 3C","3A + 2C","Option B","From A+3C = 2C+G, replacing A with 2C gives: 2C+3C = 2C+G => 5C = 2C+G => G = 3C. Thus, 2G = 6C. Since A = 2C, 3A = 3(2C) = 6C. Hence 2G = 3A[cite: 1].","Reasoning","Mathematical Operations"
"If ""Conductor"" is related to ""Bus"", then ""Referee"" is related in a similar way to which of the following ?","Cricket","Hockey","Football","Chess","Option C","A conductor works inside a bus to control ticket operations. A referee works inside a football (or similar sports) pitch to control the game[cite: 1].","Reasoning","Word Analogy"
"Identify the incorrectly matched pair :","Newton : Science","Aryabhatta : Mathematics","Chanakya : Poetry","Mozart : Music","Option C","Chanakya is known for his treatises on statecraft, politics, and economics (Arthashastra), not poetry[cite: 1].","Reasoning","Classification"
"Identify the term which refers to an area of higher studies :","Diplomacy","Mathematics","Apology","Callisthenics","Option B","Mathematics represents an established academic discipline and area of higher studies. The other terms signify practices or expressions, not primary academic areas[cite: 1].","Reasoning","Word Meaning"
"What would replace A and B in order to establish a logical connection in 3:A:90∷3:B:1095 ?","Month, Year","Month, Hour","Year, Days","Days, Hours","Option A","3 Months = 90 days. 3 Years = 1095 days (3 x 365). Therefore, A corresponds to 'Month' and B corresponds to 'Year'[cite: 1].","Reasoning","Analogy"
"Which of the following numbers is unlike the others ?","729","512","232","125","Option C","729 is 9³, 512 is 8³, and 125 is 5³. All except 232 are perfect cubes[cite: 1].","Reasoning","Classification"
"Pointing to the newsreader on TV screen, Uday says, 'His only brother is the father of my son’s father.' The newsreader is Uday’s ______ .","Grandfather","Nephew","Father","Uncle","Option D","'My son's father' is Uday himself. The father of Uday is Uday's father. The newsreader's only brother is Uday's father. Thus, the newsreader is Uday's uncle[cite: 1].","Reasoning","Blood Relations"
"Which of the following words is different from others ?","SBTCU","MBNCP","EBFCG","PBQCR","Option B","The pattern is pairs interleaved with B, C. S(B)T(C)U -> S, T, U. E(B)F(C)G -> E, F, G. P(B)Q(C)R -> P, Q, R. M(B)N(C)P should be M, N, O, not P[cite: 1].","Reasoning","Classification"
"If the digits of the number 3249685 are arranged in ascending order, the position of how many digits would remain the same ?","Two","Four","Three","One","Option C","Original: 3, 2, 4, 9, 6, 8, 5. Ascending: 2, 3, 4, 5, 6, 8, 9. The digits 4, 6, and 8 remain in their original positions (3 digits in total)[cite: 1].","Reasoning","Alphabet/Number Test"
"If the English alphabets are written horizontally in the reverse order, then what is the 6th letter from left ?","V","U","T","F","Option B","Reverse order: Z, Y, X, W, V, U, ... The 6th letter from the left is U[cite: 1].","Reasoning","Alphabet Test"
"Amongst the colleagues, Rajput is taller than Hitesh, who is shorter than Suresh. Natasha is taller than Himashri, but shorter than Hitesh. Suresh is shorter than Rajput. Who is the tallest ?","Hitesh","Rajput","Natasha","Suresh","Option B","Rajput > Hitesh. Suresh > Hitesh. Hitesh > Natasha > Himashri. Rajput > Suresh. Overall order: Rajput > Suresh > Hitesh > Natasha > Himashri. Rajput is the tallest[cite: 1].","Reasoning","Ranking & Ordering"
"Sneha cut off a rectangle along the dotted line as shown. The cut piece was parallelly shifted to the other side and fixed it there. What shape will Sneha get now ?","Pentagon","Square","Parallelogram","Trapezium","Option C","When you cut a right-angled triangle from one side of a rectangle and shift it to the opposite side, the resulting shape preserves parallel opposite sides and forms a parallelogram[cite: 1].","Reasoning","Visual Reasoning"
"Which of the following diagrams can represent ? 'Language', 'French', 'German'.","Option A Diagram","Option B Diagram","Option C Diagram","Option D Diagram","Option C","'French' and 'German' are two entirely distinct languages. Therefore, they should be represented by two disjoint circles placed inside a larger circle representing 'Language'[cite: 1].","Reasoning","Venn Diagrams"
"In the figure, multiple views of the same cube is shown. The letter on the face opposite to A is","F","D","C","E","Option D","Applying rules of standard visual cube tests, elements sharing an edge with 'A' cannot be opposite to it. Consequently, 'E' falls onto the directly opposite face[cite: 1].","Reasoning","Cubes and Dice"
