"Question_Number","Question_Text","Option_A","Option_B","Option_C","Option_D","Source"
"17","Where was the first medical college of Assam established ?","Jorhat","Guwahati","Silchar","Dibrugarh","[cite: 2]"
"18","Which of the following places is adjacent to New Delhi ?","Gurugram","Nandigram","Secunderabad","Dhanbad","[cite: 2]"
"19","Margaret Thatcher was a former Prime Minister of","New Zealand","Canada","Israel","England","[cite: 2]"
"20","The body of water between Russia and Alaska is","Panama Canal","Bering Strait","Suez Canal","Palk Strait","[cite: 2]"
"21","Which of the following is not a sea-side city of India ?","Bengaluru","Chennai","Mumbai","Cochin","[cite: 2]"
"22","Which of the following vehicles is exempted from NHAI Fastag Tolls ?","Ambulance","Petroleum Tanker","Private vehicles of Senior citizens","Personal vehicle of Defence personnel","[cite: 2]"
"23","The first modern theatre hall of Assam, the ‘Baan Theatre’ is located in","Guwahati","Jorhat","Tezpur","Nagaon","[cite: 2]"
"24","Which of the following countries is in South America ?","Somalia","Bolivia","Tasmania","Cambodia","[cite: 2]"
"25","In which movement during India’s struggle for independence was Kanaklata Barua martyred ?","Non-Cooperation","Quit India","Sepoy Mutiny","Civil Disobedience","[cite: 2]"
"26","Who was the first Indian to go to space ?","Kalpana Chawla","Vikram Sarabhai","Rakesh Sharma","Yuri Gagarin","[cite: 2]"
"27","Where is the Assam State Museum located ?","Majuli","Guwahati","Nagaon","Kohora","[cite: 2]"
"28","Who amongst the following is a newly inducted Cabinet Minister of Assam ?","Pizush Hazarika","Jayanta Malla Baruah","Ranoj Pegu","Ajanta Neog","[cite: 2]"
"29","In which year did Doordarshan start colour television programme in India ?","1991","1985","1980","1982","[cite: 2]"
"30","What is the primary product of Boeing company ?","Aircrafts","Breakfast cereals","Shoes","Medicines","[cite: 2]"
"31","Which of the following is NOT an element ?","Tin","Mercury","Iodine","Quartz","[cite: 2]"
"32","Which one of the following sports does not use a ball ?","Golf","Lawn Tennis","Table Tennis","Badminton","[cite: 2]"
"33","Which of the following is celebrated on May 8 every year ?","Environment Day","No Tobacco Day","Labour Day","Red Cross and Red Crescent Day","[cite: 2]"
"34","Who was awarded the Ramon Magsaysay Award in 1994 in the category of Government Service ?","Arvind Kejriwal","T.N. Seshan","Dr. Kiran Bedi","Chintaman D. Deshmukh","[cite: 2]"
"35","Which of the following was the first artificial satellite of India ?","Bhaskara","Rohini","Aryabhatta","INSAT – IA","[cite: 2]"
"36","If a person is transacting in “Taka”, which country the person is in ?","Nepal","Pakistan","Cambodia","Bangladesh","[cite: 2]"
"37","Which country is the biggest exporter of asafoetida (hing) to India ?","Spain","Mexico","Afghanistan","Russia","[cite: 2]"
"38","“God’s Own Country” is the tagline for tourism of which state of India ?","Karnataka","Jammu and Kashmir","Rajasthan","Kerala","[cite: 2]"
"39","Which state is the North Eastern Police Academy located in ?","Assam","Meghalaya","Arunachal Pradesh","Manipur","[cite: 2]"
"40","Counter-Insurgency and Jungle Warfare School is located in Mizoram at _____.","Aizawl","Lunglei","Serchhip","Vairengte","[cite: 2]"
"41","The animal Sangai is found in","Keibul Lamjao National Park","Kaziranga National Park","Namdapha National Park","Nokrek National Park","[cite: 2]"
"42","Who won the Whitley Award, also known as the Green Oscar for the efforts in protecting the Greater Adjutant Stork ?","Purnima Devi Barman","Jadav Payeng","Birubala Rabha","Rohit Choudhury","[cite: 2]"
"43","The Right to Education Act as a Fundamental Right was enacted under _____.","Article 21 (a)","Article 25","Article 18","Article 23","[cite: 2]"
"44","Chanakya, the author of Arthashastra was a minister in the court of :","Ashoka","Samudragupta","Chandragupta Maurya","Bindusara","[cite: 2]"
"45","Who amongst the following was an explorer to visit India during the reign of Muhammad bin Tughlaq ?","Fahien","Hieun Tsang","Vasco da Gama","Ibn Battuta","[cite: 2]"
"46","Who is the first Law and Justice Minister of Independent India ?","Vallabhbhai Patel","Maulana Abul Kalam Azad","C. Rajagopalachari","B.R. Ambedkar","[cite: 2]"
"47","The Durand Line forms the dividing border between","Pakistan and Afghanistan","Pakistan and India","India and Burma (Myanmar)","India and Bangladesh","[cite: 2]"
"48","The National Inter-School football tournament in India is played for","Durand Cup","Subroto Cup","Duleep Trophy","Irani Trophy","[cite: 2]"
"49","The first private bank of Assam set up in the year 1926 was","Assam Co-operative Apex Bank Limited","The Gauhati Bank Limited","Assam Gramin Vikash Bank","Lakhimi Gaonlia Bank","[cite: 2]"
"50","Who holds the position of the Chairman of NITI Aayog ?","Prime Minister of India","Finance Minister of India","Governor, Reserve Bank of India","Home Minister of India","[cite: 2]"
"51","Which form of Democracy is followed in India ?","Representative Democracy","Presidential Democracy","Parliamentary Democracy","Participatory Democracy","[cite: 2]"
"52","By which name is the river Brahmaputra known after it joins the river Ganga in Bangladesh ?","Lohit","Hooghly","Padma","Siang","[cite: 2]"
"53","The angular distance of any place from the Prime Meridian measured towards East and West is called","Latitude","Altitude","Longitude","Amplitude","[cite: 2]"
"54","Which of the following pairs is NOT correctly matched ?","Hydrosphere : Water","Biosphere : Environment","Atmosphere : Air","Lithosphere : Land","[cite: 2]"
"55","Tsunamis are caused in the","Oceans","Deserts","High mountains","Deep forests","[cite: 2]"
"56","Which of the following words does not appear in the preamble of the Constitution of India ?","Secular","Democratic","Federal","Socialist","[cite: 2]"
"57","The ancient tradition of exchanging goods for goods (trade without currency) is :","Paik System","Barter System","Banking System","Rayat System","[cite: 2]"
"58","The famous dish “Dal Baati Churma” is typically served in the state of :","Punjab","Rajasthan","Bihar","Odisha","[cite: 2]"
"59","Animals that feed on green plants are known as","Omnivorous","Carnivorous","Cannibals","Herbivorous","[cite: 2]"
"60","Which schedule of the Indian Constitution has made provisions for autonomous administration for hills and tribal regions of North East India ?","Sixth Schedule","Fifth Schedule","Eighth Schedule","Ninth Schedule","[cite: 2]"
"61","If 4/5 + (- 3/10) = x + 1 1/2 , then what will be the value of x ?","2","1","-1","-2","[cite: 2]"
"62","The circumferential length of a circle of radius 7 cm is used to construct a square. The length of the side of the square is : (Take pi = 22/7)","7 cm","11 cm","15 cm","22 cm","[cite: 2]"
"63","The HCF and LCM of two numbers are 2^5 and 2^5 * 7^3 respectively. If one of the two numbers is 2^7, then the other number is","2^3 * 7^3","2^5 * 7^2","2^2 * 7^3","2^3 * 7^2","[cite: 2]"
"64","If 1296 = x^2, then the value of x will be :","5","6","7","8","[cite: 2]"
"65","Bijit purchased an article for 800 and sold the article such that the gain is the 20% of its selling price. The selling price of the article is :","1300","1200","1100","1000","[cite: 2]"
"66","A sheet of paper of thickness of 0.5 mm is repeatedly folded to fill up a gap of size 1.28 cm. The required number of folds is :","12","10","8","7","[cite: 2]"
"67","A rectangle has 15 cm as its length and 150 cm^2 as its area. If the area is increased to 1 1/3 times the original area by increasing its length only, the new perimeter will be","50 cm","60 cm","70 cm","80 cm","[cite: 2]"
"68","Which of the following is a factor of the polynomial x^2 - x - 2 ?","(x - 4)","(x + 5)","(x - 2)","(x + 4)","[cite: 2]"
"69","The mean of the data series 7, 12, 5, 1, 4, 2, 1, 12, 17, 16, 1, 5, 8","7","4","8","5","[cite: 2]"
"70","The number that replaces the question mark (?) in the equation 0.003 / ? = 0.3, is :","0.01","1.0","0.0001","0.001","[cite: 2]"
"71","Which of the following fractions is the largest ? 11/12 , 12/13 , 13/14 , 14/15","14/15","13/14","12/13","11/12","[cite: 2]"
"72","What percentage of 1.5 kg is 7.5 gm ?","0.25%","0.3%","0.5%","0.75%","[cite: 2]"
"73","If a/b = 8/6 , then the value of (6a + 2b)/(4a - 2b) is :","5","3","2","1","[cite: 2]"
"74","Rajen goes to his school from his house at a speed of 2 km/hour and returns at a speed of 3 km/hour. If he takes 5 hours in the entire journey, the distance between his school and his house is :","4 km","5 km","6 km","7 km","[cite: 2]"
"75","The total surface area of a cube is 96 cm^2. The volume of the cube is :","81 cm^3","27 cm^3","36 cm^3","64 cm^3","[cite: 2]"
"76","The ratio of the radii of two circles is 2 : 3. The ratio of the areas of the circles is :","3 : 2","4 : 9","9 : 4","2 : 3","[cite: 2]"
"77","If x + 1/x = 4, then the value of x^2 + 1/x^2 is :","10","12","13","14","[cite: 2]"
"78","The area of an equilateral triangle with the length of the side of 12 cm is","12 3 cm^2","24 3 cm^2","30 3 cm^2","36 3 cm^2","[cite: 2]"
"79","Ravi plans to tile his kitchen floor with square tiles. Each of the tiles has side of 10 cm. The kitchen is 2.4 m long and 1.6 m wide. How many tiles will Ravi need ?","184","244","284","384","[cite: 2]"
"80","A man purchased a fan which had a printed price of 2,000. If he received two successive discounts of 20% and 10%, then how much did he pay for the fan ?","1,440","1,400","1,540","1,500","[cite: 2]"
"81","Find the value of - [- {- (-1) ( -1)}] - [- {- (-1) ( -1)}]","-2","-1","1","2","[cite: 2]"
"82","A Die is marked with 1, 1, 2, 2, 4, 4 respectively on its six faces. The probability that ‘2’ will face up on a single throw of the Die is :","1/2","1/3","2/3","1/4","[cite: 2]"
"83","The value of (ab^2)^2 * (3 ab)^4 / (9 * 9(a^2b^2)^3) , when a = b and a = 3 is","9","1","1/3","1/9","[cite: 2]"
"84","Manoj borrowed a sum of 6,000 on simple interest at the rate of 5% per annum. If he decides to pay the entire amount at the end of one month, then the amount he needs to pay is :","6,300","6,030","6,250","6,025","[cite: 2]"
"85","If a > b, (a > 0, b > 0), then which one of the following is true ?","- a < - b","- a > - b","a < - b","- a > b","[cite: 2]"
"86","Choose the correct SYNONYM for the given word : Pompous","Humble","Simple","Haughty","Unpretentious","[cite: 2]"
"87","Choose the correct SYNONYM for the given word : Timid","Courageous","Brave","Coward","Bold","[cite: 2]"
"88","Choose the correct SYNONYM for the given word : Virtue","Vice","Morality","Dishonesty","Unworthy","[cite: 2]"
"89","Choose the correct ANTONYM for the given word : Harass","Irritate","Comfort","Molest","Seduce","[cite: 2]"
"90","Choose the correct ANTONYM for the given word : Gorgeous","Magnificent","Dazzling","Beautiful","Dull","[cite: 2]"
"91","Choose the correct ANTONYM for the given word : Bloom","Wilt","Revive","Plant","Dry","[cite: 2]"
"92","Choose the correct preposition : I always get nervous when I have to speak _____ an audience.","in the front of","in front of","infront of","affront of","[cite: 2]"
"93","Choose the correct preposition : Submit your assignments _____ ten days of the announcement.","within","by","with in","before","[cite: 2]"
"94","Choose the correct preposition : No student or teacher should be _____ this famous reference book.","with","without","given","despite","[cite: 2]"
"95","Choose the correct option : A number of vehicles travelling together under escort for the sake of safety is called","Regiment","Convoy","Escort","Cavalry","[cite: 2]"
"96","Choose the correct option : Love for one’s country is known as","Jingoism","Patriotism","Nationalism","Expatriate","[cite: 2]"
"97","Fill in the blanks with correct options : A gifted scientist, Newton _____ some of the most fundamental laws in the history of science.","keeps discovering","who discovered","discovered","kept from discovering","[cite: 2]"
"98","Fill in the blanks with correct options : We are all worried about the _____ condition of the company.","monetary affair","financial","finance","monetary","[cite: 2]"
"99","Choose the correct order to complete the sentence : I. relationship between two or more II. people, places or things III. a relationship in space or time as a logical IV. prepositions are used to show","II, III, IV, I","II, IV, I, III","IV, III, I, II","IV, III, II, I","[cite: 2]"
"100","A group of lions is called","Herd","Pride","Pack","Bunch","[cite: 2]"
"101","What would be the next to continue the series : PENTAGRAPH – ENTAGRAP – NTAGRA – ?","GRAT","TAGR","NTAG","AGRA","[cite: 2]"
"102","Identify the incorrect term in the series : 7 – 10 – 15 – 22 – 30 – 42 – 55","30","15","22","55","[cite: 2]"
"103","Identify the incorrect term in the series : (2, 6, 24, 60, 120, 216)","216","120","24","0","[cite: 2]"
"104","Consider the following steps : Step 1 : Add 4. Step 2 : Subtract 1. Step 3 : If less than 15 then go to step 1 and continue from there; otherwise proceed to step 4. Step 4 : Add 3. Step 5 : If greater than 18 then subtract 2. If the starting value is 2, what will be the final result?","11","18","17","19","[cite: 2]"
